# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.145
metadata : {}


# id : NWRW1800000036.145.1.1
‘JYJ’ 소송 족쇄 풀렸다

‘JYJ’	‘/SS+JYJ/SL+’/SS
종료하고,	종료/NNG+하/XSV+고/EC+,/SP
앞으로	앞/NNG+으로/JKB
활동을	활동/NNG+을/JKO
간섭하지	간섭/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
이날	이날/NNG
서울중앙지법에서	서울중앙지법/NNP+에서/JKB
임의조정을	임의/NNG+조정/NNG+을/JKO
통해	통하/VV+아/EC
합의했다”고	합의/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.145.4.2
제이와이제이 3명은 2009년 7월 “계약기간이 13년이나 되고 수익분배가 불합리하다”는 등의 이유를 들어 전속계약 효력정지 가처분 신청을 냈고, 법원은 이를 받아들였다.

제이와이제이	제이와이제이/NNP
3명은	3/SN+명/NNB+은/JX
2009년	2009/SN+년/NNB
7월	7/SN+월/NNB
“계약기간이	“/SS+계약/NNG+기간/NNG+이/JKS
13년이나	13/SN+년/NNB+이나/JX
되고	되/VV+고/EC
수익분배가	수익/NNG+분배/NNG+가/JKS
불합리하다”는	불/XPN+합리/NNG+하/XSA+다/EF+”/SS+는/ETM
등의	등/NNB+의/JKG
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
전속계약	전속/NNG+계약/NNG
효력정지	효력/NNG+정지/NNG
가처분	가/XPN+처분/NNG
신청을	신청/NNG+을/JKO
냈고,	내/VV+었/EP+고/EC+,/SP
법원은	법원/NNG+은/JX
이를	이/NP+를/JKO
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.145.4.3
이후 양쪽은 전속계약 효력을 둘러싸고 소송을 벌여왔다.

이후	이후/NNG
양쪽은	양쪽/NNG+은/JX
전속계약	전속/NNG+계약/NNG
효력을	효력/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
소송을	소송/NNG+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.145.5.1
이에 대해 에스엠은 “제이와이제이 3명이 동방신기로 활동할 의사가 없음을 밝혀 더 이상 매니지먼트를 맡을 이유가 없다고 판단했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
에스엠은	에스엠/NNP+은/JX
“제이와이제이	“/SS+제이와이제이/NNP
3명이	3/SN+명/NNB+이/JKS
동방신기로	동방신기/NNP+로/JKB
활동할	활동/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
없음을	없/VA+음/ETN+을/JKO
밝혀	밝히/VV+어/EC
더	더/MAG
이상	이상/NNG
매니지먼트를	매니지먼트/NNG+를/JKO
맡을	맡/VV+을/ETM
이유가	이유/NNG+가/JKS
없다고	없/VA+다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.145.5.2
지금도 동방신기로 활동하는 유노윤호·최강창민에게 추가 피해가 가지 않도록 재판을 끝내는 게 최선이라는 판단을 내렸다”고 밝혔다.

지금도	지금/NNG+도/JX
동방신기로	동방신기/NNP+로/JKB
활동하는	활동/NNG+하/XSV+는/ETM
유노윤호·최강창민에게	유노윤호/NNP+·/SP+최강창민/NNP+에게/JKB
추가	추가/NNG
피해가	피해/NNG+가/JKS
가지	가/VV+지/EC
않도록	않/VX+도록/EC
재판을	재판/NNG+을/JKO
끝내는	끝내/VV+는/ETM
게	거/NNB+이/JKS
최선이라는	최선/NNG+이/VCP+라는/ETM
판단을	판단/NNG+을/JKO
내렸다”고	내리/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.145.5.3
세종쪽은 “합의에 앞서 가처분 신청을 통해 약자인 신인의 처지를 악용한 불공정 계약은 무효라는 판결을 끌어내 기존 연예계 불공정 관행을 개선하는 계기를 마련했다는 데 의의가 있다”고 말했다.

세종쪽은	세종/NNP+쪽/NNB+은/JX
“합의에	“/SS+합의/NNG+에/JKB
앞서	앞서/VV+어/EC
가처분	가/XPN+처분/NNG
신청을	신청/NNG+을/JKO
통해	통하/VV+아/EC
약자인	약자/NNG+이/VCP+ㄴ/ETM
신인의	신인/NNG+의/JKG
처지를	처지/NNG+를/JKO
악용한	악용/NNG+하/XSV+ㄴ/ETM
불공정	불/XPN+공정/NNG
계약은	계약/NNG+은/JX
무효라는	무효/NNG+이/VCP+라는/ETM
판결을	판결/NNG+을/JKO
끌어내	끌어내/VV+어/EC
기존	기존/NNG
연예계	연예/NNG+계/XSN
관행을	관행/NNG+을/JKO
개선하는	개선/NNG+하/XSV+는/ETM
계기를	계기/NNG+를/JKO
마련했다는	마련/NNG+하/XSV+았/EP+다는/ETM
데	데/NNB
의의가	의의/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.145.6.1
이번 합의에 따라 제이와이제이의 방송 가요·예능 프로그램 출연의 문이 열릴지 주목된다.

이번	이번/NNG
합의에	합의/NNG+에/JKB
따라	따르/VV+아/EC
제이와이제이의	제이와이제이/NNP+의/JKG
방송	방송/NNG
가요·예능	가요/NNG+·/SP+예능/NNG
프로그램	프로그램/NNG
출연의	출연/NNG+의/JKG
문이	문/NNG+이/JKS
열릴지	열리/VV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.145.6.2
방송사들은 소송 진행중이라는 등의 이유를 들어 드라마를 빼고는 이들의 출연을 사실상 거부해왔다.

방송사들은	방송사/NNG+들/XSN+은/JX
소송	소송/NNG
진행중이라는	진행/NNG+중/NNB+이/VCP+라는/ETM
등의	등/NNB+의/JKG
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
드라마를	드라마/NNG+를/JKO
빼고는	빼/VV+고/EC+는/JX
이들의	이/NP+들/XSN+의/JKG
출연을	출연/NNG+을/JKO
사실상	사실/NNG+상/XSN
거부해왔다.	거부/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.145.6.3
이에 대해 제이와이제이 소속사 씨제스엔터테인먼트의 백창주 대표는 “사실 그동안 활동 방해는 법적 문제 탓만이 아니어서 크게 달라질 건 없다고 보지만, 이번을 계기로 개선되길 바란다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
제이와이제이	제이와이제이/NNP
소속사	소속사/NNG
씨제스엔터테인먼트의	씨제스엔터테인먼트/NNP+의/JKG
백창주	백창주/NNP
대표는	대표/NNG+는/JX
“사실	“/SS+사실/MAG
그동안	그동안/NNG
활동	활동/NNG
방해는	방해/NNG+는/JX
법적	법/NNG+적/XSN
문제	문제/NNG
탓만이	탓/NNG+만/JX+이/JKC
아니어서	아니/VCN+어서/EC
크게	크/VA+게/EC
달라질	달라지/VV+ㄹ/ETM
건	거/NNB+ㄴ/JX
없다고	없/VA+다고/EC
보지만,	보/VV+지만/EC+,/SP
이번을	이번/NNG+을/JKO
계기로	계기/NNG+로/JKB
개선되길	개선/NNG+되/XSV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


