# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.358
metadata : {}


# id : NWRW1800000041.358.1.1
국정감사, “서면답변-화상질의 활용… 증인채택 기준 강화해야”

국정감사,	국정/NNG+감사/NNG+,/SP
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.358.7.1
홍금애 국정감사 NGO 모니터단 집행위원장은 “증인을 신청한 의원이 신청 이유를 A4용지 1장 분량으로 적어내서 의원들이 회람한 뒤 상임위에서 토론할 필요가 있다”며 “의원들이 서로 어떤 증인을 불렀는지 미리 의견을 교환하고 질의 내용을 연구한다면 더 깊이 있는 질의를 할 수 있을 것”이라고 강조했다.

홍금애	홍금애/NNP
국정감사	국정/NNG+감사/NNG
NGO	NGO/SL
모니터단	모니터단/NNG
집행위원장은	집행/NNG+위원장/NNG+은/JX
“증인을	“/SS+증인/NNG+을/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
의원이	의원/NNG+이/JKS
신청	신청/NNG
이유를	이유/NNG+를/JKO
A4용지	A/SL+4/SN+용지/NNG
1장	1/SN+장/NNB
분량으로	분량/NNG+으로/JKB
적어내서	적/VV+어/EC+내/VV+어서/EC
의원들이	의원/NNG+들/XSN+이/JKS
회람한	회람/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
상임위에서	상임위/NNG+에서/JKB
토론할	토론/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“의원들이	“/SS+의원/NNG+들/XSN+이/JKS
서로	서로/MAG
어떤	어떤/MMD
증인을	증인/NNG+을/JKO
불렀는지	부르/VV+었/EP+는지/EF
미리	미리/MAG
의견을	의견/NNG+을/JKO
교환하고	교환/NNG+하/XSV+고/EC
질의	질의/NNG
내용을	내용/NNG+을/JKO
연구한다면	연구/NNG+하/XSV+ㄴ다면/EC
더	더/MAG
깊이	깊이/NNG
있는	있/VA+는/ETM
질의를	질의/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


