# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.216
metadata : {}


# id : NWRW1800000021.216.1.1
행안부, 지자체-공무원노조 단협 조사해보니…

행안부,	행안부/NNG+,/SP
대상으로	대상/NNG+으로/JKB
교육프로그램을	교육/NNG+프로그램/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.216.3.2
국가공무원법은 성실 의무, 복종 의무, 직장 이탈 금지 의무 등을 통해 근무시간 외에 노조활동을 하는 것을 원칙으로 하고 있지만 노조 측에서는 이를 무시하고 있다.

국가공무원법은	국가/NNG+공무원법/NNG+은/JX
성실	성실/NNG
의무,	의무/NNG+,/SP
복종	복종/NNG
직장	직장/NNG
이탈	이탈/NNG
금지	금지/NNG
의무	의무/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
근무시간	근무/NNG+시간/NNG
외에	외/NNB+에/JKB
노조활동을	노조/NNG+활동/NNG+을/JKO
하는	하/VV+는/ETM
것을	것/NNB+을/JKO
원칙으로	원칙/NNG+으로/JKB
하고	하/VV+고/EC
있지만	있/VX+지만/EC
노조	노조/NNG
측에서는	측/NNB+에서/JKB+는/JX
이를	이/NP+를/JKO
무시하고	무시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.216.3.3
정부 조사 결과 공무원노조들의 이 같은 불법 관행들이 비일비재한 것으로 5일 확인됐다.

정부	정부/NNG
조사	조사/NNG
결과	결과/NNG
공무원노조들의	공무원/NNG+노조/NNG+들/XSN+의/JKG
이	이/NP
같은	같/VA+은/ETM
불법	불법/NNG
관행들이	관행/NNG+들/XSN+이/JKS
비일비재한	비일비재/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
5일	5/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.216.4.1
○ 10곳 중 8곳 유급 노조 전임자 인정

○	○/SW
10곳	10/SN+곳/NNG
중	중/NNB
8곳	8/SN+곳/NNG
유급	유급/NNG
노조	노조/NNG
전임자	전임자/NNG
인정	인정/NNG


# id : NWRW1800000021.216.5.1
노동부에 단체협약 체결이 신고된 112개 기관 중 지방자치단체 97개 기관을 대상으로 행정안전부가 최근 현행법 위반 여부를 조사한 결과 97개 기관 중 78개(80.4%)가 유급 노조 전임자를 인정하고 있는 것으로 나타났다.

노동부에	노동부/NNG+에/JKB
단체협약	단체/NNG+협약/NNG
체결이	체결/NNG+이/JKS
신고된	신고/NNG+되/XSV+ㄴ/ETM
112개	112/SN+개/NNB
기관	기관/NNG
중	중/NNB
지방자치단체	지방/NNG+자치/NNG+단체/NNG
97개	97/SN+개/NNB
기관을	기관/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
행정안전부가	행정/NNG+안전부/NNG+가/JKS
최근	최근/NNG
현행법	현행법/NNG
위반	위반/NNG
여부를	여부/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
78개(80.4%)가	78/SN+개/NNB+(/SS+80/SN+./SP+4/SN+%/SW+)/SS+가/JKS
유급	유급/NNG
노조	노조/NNG
전임자를	전임자/NNG+를/JKO
인정하고	인정/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.216.5.2
또 노조활동은 공무수행에 지장이 없도록 근무시간 외에 하는 것이 원칙이지만 92개(94.8%) 지자체는 단체협약에서 근무시간 중 노조활동을 할 수 있도록 규정했다.

또	또/MAG
노조활동은	노조/NNG+활동/NNG+은/JX
공무수행에	공무/NNG+수행/NNG+에/JKB
지장이	지장/NNG+이/JKS
없도록	없/VA+도록/EC
근무시간	근무/NNG+시간/NNG
외에	외/NNB+에/JKB
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
원칙이지만	원칙/NNG+이/VCP+지만/EC
92개(94.8%)	92/SN+개/NNB+(/SS+94/SN+./SP+8/SN+%/SW+)/SS
지자체는	지자체/NNG+는/JX
단체협약에서	단체/NNG+협약/NNG+에서/JKB
중	중/NNB
노조활동을	노조/NNG+활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.216.6.1
행안부는 97개 기관의 △유급 노조 전임자 인정 여부 △가입 금지대상 허용 여부 △근무시간 중 노조활동 인정 여부 등을 면밀히 조사했다.

행안부는	행안부/NNG+는/JX
97개	97/SN+개/NNB
기관의	기관/NNG+의/JKG
△유급	△/SW+유급/NNG
노조	노조/NNG
전임자	전임자/NNG
인정	인정/NNG
여부	여부/NNG
△가입	△/SW+가입/NNG
금지대상	금지/NNG+대상/NNG
허용	허용/NNG
△근무시간	△/SW+근무/NNG+시간/NNG
중	중/NNB
노조활동	노조/NNG+활동/NNG
등을	등/NNB+을/JKO
면밀히	면밀히/MAG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.216.6.2
그 결과 단체협약 체결이 신고된 기관 가운데 서울 인천 대전 광주 등 대부분의 광역·기초단체 기관 노조들의 위법 사례가 적발됐다.

그	그/MMD
결과	결과/NNG
단체협약	단체/NNG+협약/NNG
체결이	체결/NNG+이/JKS
신고된	신고/NNG+되/XSV+ㄴ/ETM
기관	기관/NNG
가운데	가운데/NNG
서울	서울/NNP
인천	인천/NNP
대전	대전/NNP
광주	광주/NNP
등	등/NNB
대부분의	대/XPN+부분/NNG+의/JKG
광역·기초단체	광역/NNG+·/SP+기초/NNG+단체/NNG
노조들의	노조/NNG+들/XSN+의/JKG
위법	위법/NNG
사례가	사례/NNG+가/JKS
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.216.6.3
3월 노동부에서 112개 기관의 단체협약 내용 중 일부 위법사항을 발표했지만 행안부가 소속 지자체를 대상으로 조사한 구체적인 불법 관행 기관 수와 내용이 공개된 것은 처음이다.

3월	3/SN+월/NNB
노동부에서	노동부/NNG+에서/JKB
112개	112/SN+개/NNB
기관의	기관/NNG+의/JKG
단체협약	단체/NNG+협약/NNG
내용	내용/NNG
중	중/NNB
일부	일부/NNG
위법사항을	위법/NNG+사항/NNG+을/JKO
발표했지만	발표/NNG+하/XSV+았/EP+지만/EC
행안부가	행안부/NNG+가/JKS
소속	소속/NNG
지자체를	지자체/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
조사한	조사/NNG+하/XSV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
불법	불법/NNG
관행	관행/NNG
기관	기관/NNG
수와	수/NNG+와/JC
내용이	내용/NNG+이/JKS
공개된	공개/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.216.7.1
행안부에 따르면 공무원노조법 7조 2항은 국가공무원법과 지방공무원법에 따라 노조 전임자에 대해 휴직 명령을 해야 한다고 규정하고 있다.

행안부에	행안부/NNG+에/JKB
따르면	따르/VV+면/EC
공무원노조법	공무원/NNG+노조법/NNG
7조	7/SN+조/NNB
2항은	2/SN+항/NNG+은/JX
국가공무원법과	국가/NNG+공무원법/NNG+과/JC
지방공무원법에	지방/NNG+공무원법/NNG+에/JKB
따라	따르/VV+아/EC
노조	노조/NNG
전임자에	전임자/NNG+에/JKB
대해	대하/VV+아/EC
휴직	휴직/NNG
명령을	명령/NNG+을/JKO
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.216.7.2
공무원노조 전임자에 대한 보수지급은 부당노동행위로 금지하고 있다.

공무원노조	공무원/NNG+노조/NNG
전임자에	전임자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보수지급은	보수/NNG+지급/NNG+은/JX
부당노동행위로	부당/NNG+노동/NNG+행위/NNG+로/JKB
금지하고	금지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.216.7.3
하지만 78개 기관 공무원노조 단체협약은 ‘노조가 추천하는 간부에 대해 노조활동에 전념할 수 있도록 보장해야 한다’(서울 성동구 등)는 식으로 유급 노조 전임자를 규정하고 있다.

하지만	하지만/MAJ
78개	78/SN+개/NNB
기관	기관/NNG
공무원노조	공무원/NNG+노조/NNG
단체협약은	단체/NNG+협약/NNG+은/JX
‘노조가	‘/SS+노조/NNG+가/JKS
추천하는	추천/NNG+하/XSV+는/ETM
간부에	간부/NNG+에/JKB
대해	대하/VV+아/EC
노조활동에	노조/NNG+활동/NNG+에/JKB
전념할	전념/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
보장해야	보장/NNG+하/XSV+아야/EC
한다’(서울	하/VX+ㄴ다/EF+’/SS+(/SS+서울/NNP
성동구	성동구/NNP
등)는	등/NNB+)/SS+는/JX
식으로	식/NNB+으로/JKB
유급	유급/NNG
노조	노조/NNG
전임자를	전임자/NNG+를/JKO
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.216.7.4
이에 따라 일부 전임자는 조합비를 통해 노조 간부로서의 월급을 받으면서도 휴직을 하지 않아 소속 기관의 공무원 월급은 월급대로 챙겨왔던 것으로 알려졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
일부	일부/NNG
전임자는	전임자/NNG+는/JX
조합비를	조합비/NNG+를/JKO
통해	통하/VV+아/EC
노조	노조/NNG
간부로서의	간부/NNG+로서/JKB+의/JKG
월급을	월급/NNG+을/JKO
받으면서도	받/VV+으면서/EC+도/JX
휴직을	휴직/NNG+을/JKO
하지	하/VV+지/EC
않아	않/VX+아/EC
소속	소속/NNG
기관의	기관/NNG+의/JKG
공무원	공무원/NNG
월급은	월급/NNG+은/JX
월급대로	월급/NNG+대로/JX
챙겨왔던	챙기/VV+어/EC+오/VX+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.216.8.1
노동부는 “공무원 노조전임자는 올 12월까지는 노조전임자 임금지급이 허용된 민간 기업노조와 달리 공무원노조법상 국가 및 지자체로부터 보수를 받는 게 금지돼 있으며 이는 기업의 노조전임자 임금지급 금지가 시행되는 내년 이후에도 마찬가지”라고 밝혔다.

노동부는	노동부/NNG+는/JX
“공무원	“/SS+공무원/NNG
노조전임자는	노조/NNG+전임자/NNG+는/JX
올	올/NNG
12월까지는	12/SN+월/NNB+까지/JX+는/JX
노조전임자	노조/NNG+전임자/NNG
임금지급이	임금/NNG+지급/NNG+이/JKS
허용된	허용/NNG+되/XSV+ㄴ/ETM
민간	민간/NNG
기업노조와	기업/NNG+노조/NNG+와/JKB
달리	달리/MAG
공무원노조법상	공무원/NNG+노조법/NNG+상/XSN
국가	국가/NNG
및	및/MAG
지자체로부터	지자체/NNG+로부터/JKB
보수를	보수/NNG+를/JKO
받는	받/VV+는/ETM
게	거/NNB+이/JKS
금지돼	금지/NNG+되/XSV+어/EC
있으며	있/VX+으며/EC
이는	이/NP+는/JX
기업의	기업/NNG+의/JKG
임금지급	임금/NNG+지급/NNG
금지가	금지/NNG+가/JKS
시행되는	시행/NNG+되/XSV+는/ETM
내년	내년/NNG
이후에도	이후/NNG+에/JKB+도/JX
마찬가지”라고	마찬가지/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.216.9.1
○ 근무 중 노조활동 가능하게 규정

○	○/SW
근무	근무/NNG
중	중/NNB
노조활동	노조/NNG+활동/NNG
가능하게	가능/NNG+하/XSA+게/EC
규정	규정/NNG


# id : NWRW1800000021.216.10.1
이번 조사 대상인 97개 기관 중 92개 기관의 단체협약은 규약에 의한 회의 및 행사, 조합 주관 행사, 조합원 교육 등 근무시간 중이라도 노조활동을 할 수 있다고 규정하고 있다.

이번	이번/NNG
조사	조사/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
97개	97/SN+개/NNB
기관	기관/NNG
중	중/NNB
92개	92/SN+개/NNB
기관의	기관/NNG+의/JKG
단체협약은	단체/NNG+협약/NNG+은/JX
규약에	규약/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
회의	회의/NNG
및	및/MAG
행사,	행사/NNG+,/SP
조합	조합/NNG
주관	주관/NNG
조합원	조합원/NNG
교육	교육/NNG
등	등/NNB
근무시간	근무/NNG+시간/NNG
중이라도	중/NNB+이/VCP+라도/EC
노조활동을	노조/NNG+활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.216.10.2
경남 진주시는 ‘연 12시간 이상 조합원 교육’, 울산 동구는 ‘연 20시간 이내 조합원 교육’ 등이 포함돼 있다.

경남	경남/NNP
진주시는	진주시/NNP+는/JX
‘연	‘/SS+연/NNG
12시간	12/SN+시간/NNB
이상	이상/NNG
조합원	조합원/NNG
교육’,	교육/NNG+’/SS+,/SP
울산	울산/NNP
동구는	동구/NNP+는/JX
20시간	20/SN+시간/NNB
이내	이내/MAG
교육’	교육/NNG+’/SS
등이	등/NNB+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.216.10.3
하지만 근무시간 중 노조활동을 인정하게 한 부분도 국가공무원법 위반이다.

하지만	하지만/MAJ
근무시간	근무/NNG+시간/NNG
중	중/NNB
노조활동을	노조/NNG+활동/NNG+을/JKO
인정하게	인정/NNG+하/XSV+게/EC
한	하/VX+ㄴ/ETM
부분도	부분/NNG+도/JX
국가공무원법	국가/NNG+공무원법/NNG
위반이다.	위반/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.216.10.4
노조활동은 공무수행에 지장이 없도록 근무시간 외에 하는 것이 원칙이다.

노조활동은	노조/NNG+활동/NNG+은/JX
공무수행에	공무/NNG+수행/NNG+에/JKB
지장이	지장/NNG+이/JKS
없도록	없/VA+도록/EC
근무시간	근무/NNG+시간/NNG
외에	외/NNB+에/JKB
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
원칙이다.	원칙/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.216.11.1
30개 기관은 노조 가입 제한 완화 규정도 두고 있다.

30개	30/SN+개/NNB
기관은	기관/NNG+은/JX
노조	노조/NNG
가입	가입/NNG
제한	제한/NNG
완화	완화/NNG
규정도	규정/NNG+도/JX
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.216.11.2
공무원노조법 6조 2항에는 ‘다른 공무원에 대해 지휘·감독권을 행사하는 업무, 인사·보수에 관한 업무, 교정·수사 업무 등의 해당 공무원은 노조에 가입할 수 없다’고 돼 있다.

공무원노조법	공무원/NNG+노조법/NNG
6조	6/SN+조/NNB
2항에는	2/SN+항/NNG+에/JKB+는/JX
‘다른	‘/SS+다른/MMD
공무원에	공무원/NNG+에/JKB
대해	대하/VV+아/EC
지휘·감독권을	지휘/NNG+·/SP+감독/NNG+권/XSN+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
업무,	업무/NNG+,/SP
인사·보수에	인사/NNG+·/SP+보수/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
교정·수사	교정/NNG+·/SP+수사/NNG
업무	업무/NNG
등의	등/NNB+의/JKG
해당	해당/NNG
공무원은	공무원/NNG+은/JX
노조에	노조/NNG+에/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다’고	없/VA+다/EF+’/SS+고/JKQ
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.216.11.3
하지만 부산 동래구 등은 ‘조합원은 6급 이하로 하되, 조합원의 자격과 관련한 여타의 사항은 기관과 노조의 자율교섭에 의하여 정한다’는 식으로 노조원의 범위를 폭넓게 규정했다.

하지만	하지만/MAJ
부산	부산/NNP
동래구	동래구/NNP
등은	등/NNB+은/JX
‘조합원은	‘/SS+조합원/NNG+은/JX
6급	6/SN+급/NNG
이하로	이하/NNG+로/JKB
하되,	하/VV+되/EC+,/SP
조합원의	조합원/NNG+의/JKG
자격과	자격/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
여타의	여타/NNG+의/JKG
사항은	사항/NNG+은/JX
기관과	기관/NNG+과/JC
노조의	노조/NNG+의/JKG
자율교섭에	자율/NNG+교섭/NNG+에/JKB
의하여	의하/VV+아/EC
정한다’는	정하/VV+ㄴ다/EF+’/SS+는/ETM
식으로	식/NNB+으로/JKB
노조원의	노조원/NNG+의/JKG
범위를	범위/NNG+를/JKO
폭넓게	폭넓/VA+게/EC
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.216.12.1
해고자의 조합원 자격을 인정한 기관은 세 곳.

해고자의	해고자/NNG+의/JKG
조합원	조합원/NNG
자격을	자격/NNG+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
기관은	기관/NNG+은/JX
세	세/MMN
곳.	곳/NNG+./SF


# id : NWRW1800000021.216.12.2
‘조합원이 법적으로 해고의 효력을 다투고 있는 경우 조합원의 자격을 유지한다’는 광주 북구 등의 단체협약은 ‘중앙노동위의 재심판정이 있을 때까지 조합원 지위가 유지된다’는 공무원노조법보다 폭넓게 해석될 수 있다는 점에서 현행법을 위반할 소지가 있다.

‘조합원이	‘/SS+조합원/NNG+이/JKS
법적으로	법/NNG+적/XSN+으로/JKB
해고의	해고/NNG+의/JKG
효력을	효력/NNG+을/JKO
다투고	다투/VV+고/EC
있는	있/VX+는/ETM
경우	경우/NNG
조합원의	조합원/NNG+의/JKG
자격을	자격/NNG+을/JKO
유지한다’는	유지/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
광주	광주/NNP
북구	북구/NNP
등의	등/NNB+의/JKG
단체협약은	단체/NNG+협약/NNG+은/JX
‘중앙노동위의	‘/SS+중앙/NNG+노동위/NNG+의/JKG
재심판정이	재심/NNG+판정/NNG+이/JKS
있을	있/VA+을/ETM
때까지	때/NNG+까지/JX
조합원	조합원/NNG
지위가	지위/NNG+가/JKS
유지된다’는	유지/NNG+되/XSV+ㄴ다/EF+’/SS+는/ETM
공무원노조법보다	공무원/NNG+노조법/NNG+보다/JKB
폭넓게	폭넓/VA+게/EC
해석될	해석/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
현행법을	현행법/NNG+을/JKO
위반할	위반/NNG+하/XSV+ㄹ/ETM
소지가	소지/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.216.13.1
행안부는 앞으로 위법한 단체협약을 시정하지 않고 있는 기관들의 리스트를 공표해 이를 시정하도록 유도하고 이를 이행하지 않을 경우 검찰에 고발할 계획이다.

행안부는	행안부/NNG+는/JX
앞으로	앞/NNG+으로/JKB
위법한	위법/NNG+하/XSV+ㄴ/ETM
단체협약을	단체/NNG+협약/NNG+을/JKO
시정하지	시정/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
기관들의	기관/NNG+들/XSN+의/JKG
리스트를	리스트/NNG+를/JKO
공표해	공표/NNG+하/XSV+아/EC
이를	이/NP+를/JKO
시정하도록	시정/NNG+하/XSV+도록/EC
유도하고	유도/NNG+하/XSV+고/EC
이행하지	이행/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
검찰에	검찰/NNG+에/JKB
고발할	고발/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.216.13.2
행안부 관계자는 “공무원노조 단체협약 위법 판단 기준에 따라 지자체에 대한 자체 조사를 실시해 점검작업을 하고 있으며 일부 지자체는 불법 관행을 시정하고 있다”고 밝혔다.

행안부	행안부/NNG
관계자는	관계자/NNG+는/JX
“공무원노조	“/SS+공무원/NNG+노조/NNG
단체협약	단체/NNG+협약/NNG
위법	위법/NNG
판단	판단/NNG
기준에	기준/NNG+에/JKB
따라	따르/VV+아/EC
지자체에	지자체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자체	자체/NNG
조사를	조사/NNG+를/JKO
실시해	실시/NNG+하/XSV+아/EC
점검작업을	점검/NNG+작업/NNG+을/JKO
하고	하/VV+고/EC
있으며	있/VX+으며/EC
일부	일부/NNG
지자체는	지자체/NNG+는/JX
불법	불법/NNG
관행을	관행/NNG+을/JKO
시정하고	시정/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.216.14.1
이와 관련해 전공노 정용찬 대변인은 “관행적으로 인정돼 오던 것들을 이 정부에서 계속 문제 제기를 하고 있다”며 “근무시간 노조활동 금지 등 현행법의 조항들은 노조의 자율성을 탄압하기 위한 ‘독소조항’이라고 본다”고 밝혔다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
전공노	전공노/NNP
정용찬	정용찬/NNP
대변인은	대변인/NNG+은/JX
“관행적으로	“/SS+관행/NNG+적/XSN+으로/JKB
인정돼	인정/NNG+되/XSV+어/EC
오던	오/VX+던/ETM
것들을	것/NNB+들/XSN+을/JKO
이	이/MMD
정부에서	정부/NNG+에서/JKB
계속	계속/MAG
문제	문제/NNG
제기를	제기/NNG+를/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“근무시간	“/SS+근무/NNG+시간/NNG
노조활동	노조/NNG+활동/NNG
금지	금지/NNG
등	등/NNB
현행법의	현행법/NNG+의/JKG
조항들은	조항/NNG+들/XSN+은/JX
노조의	노조/NNG+의/JKG
자율성을	자율/NNG+성/XSN+을/JKO
탄압하기	탄압/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
‘독소조항’이라고	‘/SS+독소/NNG+조항/NNG+’/SS+이/VCP+라고/EC
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


