# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.33
metadata : {}


# id : NWRW1800000046.33.1.1
['내일의 韓國'을 꿈꾸는 나라들] (5) 한국이 세운 학교 10여곳, 명문 '코리아 교육벨트'로

['내일의	[/SS+'/SS+내일/NNG+의/JKG
치열해졌다"고	치열/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.33.5.2
올해 이 학교 지원자는 벌써 정원의 두 배를 넘었다.

올해	올해/NNG
이	이/MMD
학교	학교/NNG
지원자는	지원자/NNG+는/JX
벌써	벌써/MAG
정원의	정원/NNG+의/JKG
두	두/MMN
배를	배/NNG+를/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.33.6.1
'코리아 교육 벨트'에서 공부한 현지인들이 교사로 일자리를 잡기도 한다.

'코리아	'/SS+코리아/NNP
교육	교육/NNG
벨트'에서	벨트/NNG+'/SS+에서/JKB
공부한	공부/NNG+하/XSV+ㄴ/ETM
현지인들이	현지인/NNG+들/XSN+이/JKS
교사로	교사/NNG+로/JKB
일자리를	일자리/NNG+를/JKO
잡기도	잡/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.33.6.2
900명의 키르기스 초·중·고교생이 매주 영어·한국어·컴퓨터를 배우는 '어린이개발센터'의 교사 아지니아(23)는 추이주 미래지도자학교를 거쳐 한국계 미국인이 세운 케인전문대학을 졸업했다.

900명의	900/SN+명/NNB+의/JKG
키르기스	키르기스/NNP
초·중·고교생이	초·중·고교/NNG+생/XSN+이/JKS
매주	매주/MAG
영어·한국어·컴퓨터를	영어/NNP+·/SP+한국어/NNP+·/SP+컴퓨터/NNG+를/JKO
배우는	배우/VV+는/ETM
'어린이개발센터'의	'/SS+어린이개발센터/NNP+'/SS+의/JKG
교사	교사/NNG
아지니아(23)는	아지니아/NNP+(/SS+23/SN+)/SS+는/JX
추이주	추이주/NNP
미래지도자학교를	미래지도자학교/NNG+를/JKO
거쳐	거치/VV+어/EC
한국계	한국/NNP+계/XSN
미국인이	미국인/NNG+이/JKS
세운	세우/VV+ㄴ/ETM
케인전문대학을	케인전문대학/NNP+을/JKO
졸업했다.	졸업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.33.6.3
추이주 미래지도자학교를 졸업하고 케인전문대학 교수가 된 젱이시(32)는 "한국이 세운 학교를 다닌 덕에 절반은 한국인이 됐다"고 말했다.

추이주	추이주/NNP
미래지도자학교를	미래지도자학교/NNG+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
케인전문대학	케인전문대학/NNP
교수가	교수/NNG+가/JKC
된	되/VV+ㄴ/ETM
젱이시(32)는	젱이시/NNP+(/SS+32/SN+)/SS+는/JX
"한국이	"/SS+한국/NNP+이/JKS
세운	세우/VV+ㄴ/ETM
학교를	학교/NNG+를/JKO
다닌	다니/VV+ㄴ/ETM
덕에	덕/NNG+에/JKB
절반은	절반/NNG+은/JX
한국인이	한국인/NNG+이/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.33.7.1
한국어를 가르치는 전문대학인 키르기스―한국대학 미나라(41) 총장은 "예전에는 터키가 범투르크주의에 입각해 키르기스스탄에 많은 학교를 지어줬지만 최근에는 한국이 그 역할을 대신하면서 교육 원조 강국으로 인정받고 있다"고 했다.

한국어를	한국어/NNP+를/JKO
가르치는	가르치/VV+는/ETM
전문대학인	전문/NNG+대학/NNG+이/VCP+ㄴ/ETM
키르기스―한국대학	키르기스/NNP+―/SS+한국/NNP+대학/NNG
미나라(41)	미나라/NNP+(/SS+41/SN+)/SS
총장은	총장/NNG+은/JX
"예전에는	"/SS+예전/NNG+에/JKB+는/JX
터키가	터키/NNP+가/JKS
범투르크주의에	범/XPN+투르크주의/NNG+에/JKB
입각해	입각/NNG+하/XSV+아/EC
키르기스스탄에	키르기스스탄/NNP+에/JKB
많은	많/VA+은/ETM
학교를	학교/NNG+를/JKO
지어줬지만	짓/VV+어/EC+주/VX+었/EP+지만/EC
최근에는	최근/NNG+에/JKB+는/JX
한국이	한국/NNP+이/JKS
그	그/MMD
역할을	역할/NNG+을/JKO
대신하면서	대신/NNG+하/XSV+면서/EC
교육	교육/NNG
원조	원조/NNG
강국으로	강국/NNG+으로/JKB
인정받고	인정/NNG+받/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


