# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.24
metadata : {}


# id : NWRW1800000046.24.1.1
生存 가능 72시간 지나자… 中, 바로 선체 인양

生存	生存/SH
이	이/MMD
때문에	때문/NNB+에/JKB
피해자	피해자/NNG
가족	가족/NNG
수십	수십/NR
명은	명/NNB+은/JX
이날	이날/NNG
후베이성	후베이성/NNP
젠리(監利)현에	젠리/NNP+(/SS+監利/SH+)/SS+현/NNG+에/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
당국의	당국/NNG+의/JKG
기자회견장으로	기자/NNG+회견장/NNG+으로/JKB
몰려가	몰려가/VV+아/EC
울분을	울분/NNG+을/JKO
토해냈다.	토하/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.24.7.6
한 70대 여성은 "정부가 (피해자) 가족과 내외신 매체의 접촉을 막고 있다"며 "왜 우리에게 말할 권리를 주지 않느냐"고 외쳤다.

한	한/MMN
70대	70/SN+대/NNB
여성은	여성/NNG+은/JX
"정부가	"/SS+정부/NNG+가/JKS
(피해자)	(/SS+피해자/NNG+)/SS
가족과	가족/NNG+과/JC
내외신	내외신/NNG
매체의	매체/NNG+의/JKG
접촉을	접촉/NNG+을/JKO
막고	막/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"왜	"/SS+왜/MAG
우리에게	우리/NP+에게/JKB
말할	말/NNG+하/XSV+ㄹ/ETM
권리를	권리/NNG+를/JKO
주지	주/VV+지/EC
않느냐"고	않/VX+느냐/EF+"/SS+고/JKQ
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.24.7.7
당국은 "피해자 가족을 위로할 것"이라고 말했다.

당국은	당국/NNG+은/JX
"피해자	"/SS+피해자/NNG
가족을	가족/NNG+을/JKO
위로할	위로/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.8.1
이제 남은 건 사고 진상 규명과 보상이다.

이제	이제/MAG
남은	남/VV+은/ETM
건	거/NNB+ㄴ/JX
사고	사고/NNG
진상	진상/NNG
규명과	규명/NNG+과/JC
보상이다.	보상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.24.8.2
영국 '데일리 텔레그래프'는 이날 난징(南京)해사국 문건을 인용해 "사고 선박은 2년 전 안전 검사를 통과하지 못했다"고 전했다.

영국	영국/NNP
'데일리	'/SS+데일리/NNP
텔레그래프'는	텔레그래프/NNP+'/SS+는/JX
이날	이날/NNG
난징(南京)해사국	난징/NNP+(/SS+南京/SH+)/SS+해사국/NNG
문건을	문건/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
"사고	"/SS+사고/NNG
선박은	선박/NNG+은/JX
2년	2/SN+년/NNB
전	전/NNG
안전	안전/NNG
검사를	검사/NNG+를/JKO
통과하지	통과/NNG+하/XSV+지/EC
못했다"고	못하/VX+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.8.3
또 "2013년 둥팡즈싱은 안전 규정 위반으로 적발됐고, 중대한 문제가 있었다"고 말했다.

또	또/MAG
"2013년	"/SS+2013/SN+년/NNB
둥팡즈싱은	둥팡즈싱/NNP+은/JX
안전	안전/NNG
규정	규정/NNG
위반으로	위반/NNG+으로/JKB
적발됐고,	적발/NNG+되/XSV+었/EP+고/EC+,/SP
중대한	중대/NNG+하/XSA+ㄴ/ETM
문제가	문제/NNG+가/JKS
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.8.4
사고 선박은 1994년 건조 이후 수차례 개조를 거쳤다.

사고	사고/NNG
선박은	선박/NNG+은/JX
1994년	1994/SN+년/NNB
건조	건조/NNG
이후	이후/NNG
수차례	수차례/NNG
개조를	개조/NNG+를/JKO
거쳤다.	거치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.24.8.5
악천후 속에서 운항을 강행한 이유도 미스터리다.

악천후	악천후/NNG
속에서	속/NNG+에서/JKB
운항을	운항/NNG+을/JKO
강행한	강행/NNG+하/XSV+ㄴ/ETM
이유도	이유/NNG+도/JX
미스터리다.	미스터리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.24.8.6
둥팡즈싱의 장순원(張順文) 선장은 최근 인터뷰에서 "배 속도를 조절해 바람에 맞서려고 했으나 갑자기 강풍이 불면서 선체가 통제력을 상실했다"고 말했다.

둥팡즈싱의	둥팡즈싱/NNP+의/JKG
장순원(張順文)	장순원/NNP+(/SS+張順文/SH+)/SS
선장은	선장/NNG+은/JX
최근	최근/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"배	"/SS+배/NNG
속도를	속도/NNG+를/JKO
조절해	조절/NNG+하/XSV+아/EC
바람에	바람/NNG+에/JKB
맞서려고	맞서/VV+려고/EC
했으나	하/VX+았/EP+으나/EC
갑자기	갑자기/MAG
강풍이	강풍/NNG+이/JKS
불면서	불/VV+면서/EC
선체가	선체/NNG+가/JKS
통제력을	통제력/NNG+을/JKO
상실했다"고	상실/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.9.1
둥팡즈싱 소속 회사인 충칭둥팡룬촨(重慶東方輪船)공사 장자오 대표는 이날 "만년을 편히 보내야하는 장년 승객들이 불행을 맞았다"고 사과하면서도, "(둥팡즈싱을) 여러 번 개조했지만, 규정에 따라 진행한 것"이라고 주장했다.

둥팡즈싱	둥팡즈싱/NNP
소속	소속/NNG
회사인	회사/NNG+이/VCP+ㄴ/ETM
충칭둥팡룬촨(重慶東方輪船)공사	충칭둥팡룬촨/NNP+(/SS+重慶東方輪船/SH+)/SS+공사/NNG
장자오	장자오/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
"만년을	"/SS+만년/NNG+을/JKO
편히	편히/MAG
보내야하는	보내/VV+어야/EC+하/VX+는/ETM
장년	장년/NNG
승객들이	승객/NNG+들/XSN+이/JKS
불행을	불행/NNG+을/JKO
맞았다"고	맞/VV+았/EP+다/EF+"/SS+고/JKQ
사과하면서도,	사과/NNG+하/XSV+면서/EC+도/JX+,/SP
"(둥팡즈싱을)	"/SS+(/SS+둥팡즈싱/NNP+을/JKO+)/SS
여러	여러/MMN
번	번/NNB
개조했지만,	개조/NNG+하/XSV+았/EP+지만/EC+,/SP
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
진행한	진행/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


