# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.240
metadata : {}


# id : NWRW1800000054.240.1.1
'태극기 집회 주도' 김경재 자유총연맹 총재 압수수색

'태극기	'/SS+태극기/NNG
또 지난해 3월 총재직에 부임한 뒤 올해 1월까지 법인카드로 유흥주점을 이용하는 등 연맹 예산 수천만원을 사적으로 유용한 혐의도 받는다.

또	또/MAG
지난해	지난해/NNG
3월	3/SN+월/NNB
총재직에	총재직/NNG+에/JKB
부임한	부임/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
올해	올해/NNG
1월까지	1/SN+월/NNB+까지/JX
법인카드로	법인/NNG+카드/NNG+로/JKB
유흥주점을	유흥/NNG+주점/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
등	등/NNB
연맹	연맹/NNG
예산	예산/NNG
수천만원을	수천만/NR+원/NNB+을/JKO
사적으로	사/NNG+적/XSN+으로/JKB
유용한	유용/NNG+하/XSA+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000054.240.6.2
김 총재는 이날 기자들과 만나 "임기가 시작된 직후 개인 카드로 내야 할 20만원을 착각해 연맹 카드로 잘못 계산했고, 이후 반환한 적이 있을 뿐"이라며 혐의를 부인했다.

김	김/NNP
총재는	총재/NNG+는/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"임기가	"/SS+임기/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
직후	직후/NNG
개인	개인/NNG
카드로	카드/NNG+로/JKB
내야	내/VV+어야/EC
할	하/VX+ㄹ/ETM
20만원을	20/SN+만/NR+원/NNB+을/JKO
착각해	착각/NNG+하/XSV+아/EC
연맹	연맹/NNG
잘못	잘못/MAG
계산했고,	계산/NNG+하/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
반환한	반환/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있을	있/VA+을/ETM
뿐"이라며	뿐/NNB+"/SS+이/VCP+라며/EC
혐의를	혐의/NNG+를/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.240.6.3
경찰은 지난 9월 김 총재에 대한 제보를 입수해 내사에 착수한 것으로 알려졌다.

경찰은	경찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
김	김/NNP
총재에	총재/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제보를	제보/NNG+를/JKO
입수해	입수/NNG+하/XSV+아/EC
내사에	내사/NNG+에/JKB
착수한	착수/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.240.6.4
경찰 관계자는 "모든 의혹에 대해 수사할 것"이라고 했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"모든	"/SS+모든/MMN
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
수사할	수사/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.240.7.1
자유총연맹 측은 "김 총재에 관련된 비리 의혹은 모두 사실이 아니다. 경찰이 김 총재를 연맹에서 몰아내기 위해 수사를 하고 있다"며 강력 반발했다.

자유총연맹	자유총연맹/NNP
측은	측/NNB+은/JX
"김	"/SS+김/NNP
총재에	총재/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
비리	비리/NNG
의혹은	의혹/NNG+은/JX
모두	모두/MAG
사실이	사실/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF
경찰이	경찰/NNG+이/JKS
김	김/NNP
총재를	총재/NNG+를/JKO
연맹에서	연맹/NNG+에서/JKB
몰아내기	몰아내/VV+기/ETN
위해	위하/VV+아/EC
수사를	수사/NNG+를/JKO
하고	하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
강력	강력/NNG
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.240.7.2
김 총재는 작년 2월 선거를 통해 선출됐으며, 임기는 2019년 2월까지다.

김	김/NNP
총재는	총재/NNG+는/JX
작년	작년/NNG
2월	2/SN+월/NNB
선거를	선거/NNG+를/JKO
통해	통하/VV+아/EC
선출됐으며,	선출/NNG+되/XSV+었/EP+으며/EC+,/SP
임기는	임기/NNG+는/JX
2019년	2019/SN+년/NNB
2월까지다.	2/SN+월/NNB+까지/JX+이/VCP+다/EF+./SF


# id : NWRW1800000054.240.7.3
자유총연맹 대변인인 양일국 한국외대 외래교수는 "자유총연맹을 와해시키기 위해 터무니없는 공작과 음해가 악의적 제보에 의해 기획되고 있다"고 말했다.

자유총연맹	자유총연맹/NNP
대변인인	대변인/NNG+이/VCP+ㄴ/ETM
양일국	양일국/NNP
한국외대	한국외대/NNP
외래교수는	외래/NNG+교수/NNG+는/JX
"자유총연맹을	"/SS+자유총연맹/NNP+을/JKO
와해시키기	와해/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
터무니없는	터무니없/VA+는/ETM
공작과	공작/NNG+과/JC
음해가	음해/NNG+가/JKS
악의적	악의/NNG+적/XSN
제보에	제보/NNG+에/JKB
의해	의하/VV+아/EC
기획되고	기획/NNG+되/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.240.8.1
김 총재는 동교동계로 정치를 시작해 김대중 전 대통령의 측근으로 활동해왔다.

김	김/NNP
총재는	총재/NNG+는/JX
동교동계로	동교동/NNP+계/XSN+로/JKB
정치를	정치/NNG+를/JKO
시작해	시작/NNG+하/XSV+아/EC
김대중	김대중/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
측근으로	측근/NNG+으로/JKB
활동해왔다.	활동/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.240.8.2
2002년 대선 때 노무현 전 대통령을 돕기도 했으나 2004년 새천년민주당 분당 사태 때 열린우리당에 합류하지 않고 노 전 대통령의 탄핵 소추를 주도했다.

2002년	2002/SN+년/NNB
대선	대선/NNG
때	때/NNG
노무현	노무현/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
돕기도	돕/VV+기/ETN+도/JX
했으나	하/VX+았/EP+으나/EC
2004년	2004/SN+년/NNB
새천년민주당	새천년민주당/NNP
분당	분당/NNP
사태	사태/NNG
열린우리당에	열린우리당/NNP+에/JKB
합류하지	합류/NNG+하/XSV+지/EC
않고	않/VX+고/EC
노	노/NNP
대통령의	대통령/NNG+의/JKG
탄핵	탄핵/NNG
소추를	소추/NNG+를/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.240.8.3
2012년 한광옥·한화갑 등 동교동계 인사들과 함께 새누리당에 입당해 대통령 홍보특보를 지냈다.

2012년	2012/SN+년/NNB
한광옥·한화갑	한광옥/NNP+·/SP+한화갑/NNP
등	등/NNB
동교동계	동교동/NNP+계/XSN
인사들과	인사/NNG+들/XSN+과/JKB
함께	함께/MAG
새누리당에	새누리당/NNP+에/JKB
입당해	입당/NNG+하/XSV+아/EC
대통령	대통령/NNG
홍보특보를	홍보/NNG+특보/NNG+를/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.240.9.1
김 총재는 지난해 11월 태극기 집회에서 "노무현 대통령도 삼성으로부터 8000억원을 받았다"고 말했다가 올해 6월 명예훼손 혐의로 기소됐다.

김	김/NNP
총재는	총재/NNG+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
태극기	태극기/NNG
집회에서	집회/NNG+에서/JKB
"노무현	"/SS+노무현/NNP
대통령도	대통령/NNG+도/JX
삼성으로부터	삼성/NNP+으로부터/JKB
8000억원을	8000/SN+억/NR+원/NNB+을/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
말했다가	말/NNG+하/XSV+았/EP+다가/EC
올해	올해/NNG
6월	6/SN+월/NNB
명예훼손	명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


