# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.194
metadata : {}


# id : NWRW1800000049.194.1.1
“BNF통상, 신영자 이사장이 실소유”

“BNF통상,	“/SS+BNF통상/NNP+,/SP
검찰은 정운호 네이처리퍼블릭 대표(51·수감 중)가 면세점에 입점하기 위해 신 이사장과 친분이 있는 브로커 한모 씨(58·구속 기소)가 대표인 I사, BNF통상과 차례로 컨설팅 계약을 맺은 뒤 수수료 명목으로 14억여 원을 건넨 단서를 잡고 수사해왔다.

검찰은	검찰/NNG+은/JX
정운호	정운호/NNP
네이처리퍼블릭	네이처리퍼블릭/NNP
대표(51·수감	대표/NNG+(/SS+51/SN+·/SP+수감/NNG
중)가	중/NNB+)/SS+가/JKS
면세점에	면세점/NNG+에/JKB
입점하기	입점/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
신	신/NNP
이사장과	이사장/NNG+과/JKB
친분이	친분/NNG+이/JKS
있는	있/VA+는/ETM
브로커	브로커/NNG
한모	한/NNP+모/NP
씨(58·구속	씨/NNB+(/SS+58/SN+·/SP+구속/NNG
기소)가	기소/NNG+)/SS+가/JKS
대표인	대표/NNG+이/VCP+ㄴ/ETM
I사,	I/SL+사/NNG+,/SP
BNF통상과	BNF통상/NNP+과/JKB
차례로	차례/NNG+로/JKB
컨설팅	컨설팅/NNG
계약을	계약/NNG+을/JKO
맺은	맺/VV+은/ETM
뒤	뒤/NNG
수수료	수수료/NNG
명목으로	명목/NNG+으로/JKB
14억여	14/SN+억/NR+여/XSN
원을	원/NNB+을/JKO
건넨	건네/VV+ㄴ/ETM
단서를	단서/NNG+를/JKO
잡고	잡/VV+고/EC
수사해왔다.	수사/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.194.6.1
한편 롯데케미칼의 해외 비자금 조성 의혹을 수사 중인 서울중앙지검 특별수사4부(부장 조재빈)와 첨단범죄수사1부(부장 손영배)는 전날 긴급 체포한 김모 전 롯데케미칼 재무담당 이사(54·상무)에 대해 특정범죄가중처벌법상 조세포탈 혐의 등으로 21일 구속영장을 청구했다.

한편	한편/MAG
롯데케미칼의	롯데케미칼/NNP+의/JKG
해외	해외/NNG
비자금	비자금/NNG
조성	조성/NNG
의혹을	의혹/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
특별수사4부(부장	특별/NNG+수사/NNG+4/SN+부/NNG+(/SS+부장/NNG
조재빈)와	조재빈/NNP+)/SS+와/JC
첨단범죄수사1부(부장	첨단/NNG+범죄/NNG+수사/NNG+1/SN+부/NNG+(/SS+부장/NNG
손영배)는	손영배/NNP+)/SS+는/JX
전날	전날/NNG
긴급	긴급/NNG
체포한	체포/NNG+하/XSV+ㄴ/ETM
김모	김/NNP+모/NP
전	전/MMD
롯데케미칼	롯데케미칼/NNP
재무담당	재무/NNG+담당/NNG
이사(54·상무)에	이사/NNG+(/SS+54/SN+·/SP+상무/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
특정범죄가중처벌법상	특정/NNG+범죄/NNG+가중/NNG+처벌법/NNG+상/XSN
조세포탈	조세/NNG+포탈/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
21일	21/SN+일/NNB
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


