# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.29
metadata : {}


# id : NWRW1800000046.29.1.1
[월드 톡톡] 美와 核합의 이뤄낸 이란에 '진짜 맥도널드 1호점' 생기나

[월드	[/SS+월드/NNG
지점'	지점/NNG+'/SS
창업	창업/NNG
신청을	신청/NNG+을/JKO
받기	받/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.29.7.4
맥도널드는 1994년 이란 내 첫 매장을 개장하려다 당국의 허가를 끝내 받지 못해 실패한 바 있다.

맥도널드는	맥도널드/NNP+는/JX
1994년	1994/SN+년/NNB
이란	이란/NNP
내	내/NNB
첫	첫/MMN
매장을	매장/NNG+을/JKO
개장하려다	개장/NNG+하/XSV+려다/EC
당국의	당국/NNG+의/JKG
허가를	허가/NNG+를/JKO
끝내	끝내/MAG
받지	받/VV+지/EC
못해	못하/VX+아/EC
실패한	실패/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.29.7.5
이번 점주 모집 공고에 현지 이란인들이 큰 관심을 보인 것으로 알려지면서, 일부 이란 정치인들이 "핵협상과 무관하게 미국 자본주의 산물인 맥도널드는 이 땅에 들어올 수 없을 것"이라며 불편한 심기를 드러내기도 했다.

이번	이번/NNG
점주	점주/NNG
모집	모집/NNG
공고에	공고/NNG+에/JKB
현지	현지/NNG
이란인들이	이란인/NNG+들/XSN+이/JKS
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려지면서,	알려지/VV+면서/EC+,/SP
일부	일부/NNG
이란	이란/NNP
정치인들이	정치인/NNG+들/XSN+이/JKS
"핵협상과	"/SS+핵/NNG+협상/NNG+과/JKB
무관하게	무관하/VA+게/EC
미국	미국/NNP
자본주의	자본주의/NNG
산물인	산물/NNG+이/VCP+ㄴ/ETM
맥도널드는	맥도널드/NNP+는/JX
이	이/MMD
땅에	땅/NNG+에/JKB
들어올	들어오/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
불편한	불편/NNG+하/XSA+ㄴ/ETM
심기를	심기/NNG+를/JKO
드러내기도	드러내/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.29.7.6
그러나 맥도널드는 "개점 시기를 못박을 순 없지만 모집은 계속 하겠다"는 입장이다.

그러나	그러나/MAJ
맥도널드는	맥도널드/NNP+는/JX
"개점	"/SS+개점/NNG
시기를	시기/NNG+를/JKO
못박을	못/NNG+박/VV+을/ETM
순	수/NNB+ㄴ/JX
없지만	없/VA+지만/EC
모집은	모집/NNG+은/JX
계속	계속/MAG
하겠다"는	하/VV+겠/EP+다/EF+"/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.29.8.1
뉴욕타임스는 2일 이 소식을 전하며 "핵위기 발발로 미국 주도의 제재가 강화된 2010년 이후 이란은 '미국에 죽음을'이라는 구호를 외쳐댔지만, 시민들은 햄버거를 먹으며 이를 비웃어왔던 것이 분명하다"고 했다.

뉴욕타임스는	뉴욕타임스/NNP+는/JX
2일	2/SN+일/NNB
이	이/MMD
소식을	소식/NNG+을/JKO
전하며	전하/VV+며/EC
"핵위기	"/SS+핵/NNG+위기/NNG
발발로	발발/NNG+로/JKB
미국	미국/NNP
주도의	주도/NNG+의/JKG
제재가	제재/NNG+가/JKS
강화된	강화/NNG+되/XSV+ㄴ/ETM
2010년	2010/SN+년/NNB
이후	이후/NNG
이란은	이란/NNP+은/JX
'미국에	'/SS+미국/NNP+에/JKB
죽음을'이라는	죽음/NNG+을/JKO+'/SS+이/VCP+라는/ETM
구호를	구호/NNG+를/JKO
외쳐댔지만,	외치/VV+어/EC+대/VX+었/EP+지만/EC+,/SP
시민들은	시민/NNG+들/XSN+은/JX
햄버거를	햄버거/NNG+를/JKO
먹으며	먹/VV+으며/EC
이를	이/NP+를/JKO
비웃어왔던	비웃/VV+어/EC+오/VX+았/EP+던/ETM
것이	것/NNB+이/JKS
분명하다"고	분명/MAG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.29.8.2
미국 온라인 매체 버즈피드도 "'반미 정부'와 상관없이 사실 이란은 중동에서도 특히 미국을 좋아하는 국가"라고 꼬집었다.

미국	미국/NNP
온라인	온라인/NNG
매체	매체/NNG
버즈피드도	버즈피드/NNP+도/JX
"'반미	"/SS+'/SS+반미/NNG
정부'와	정부/NNG+'/SS+와/JKB
상관없이	상관없이/MAG
사실	사실/MAG
이란은	이란/NNP+은/JX
중동에서도	중동/NNP+에서/JKB+도/JX
특히	특히/MAG
미국을	미국/NNP+을/JKO
좋아하는	좋아하/VV+는/ETM
국가"라고	국가/NNG+"/SS+라고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


