# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.148
metadata : {}


# id : NWRW1800000030.148.1.1
"나는 시체처리반… 北에서 850구를 버렸다"

"나는	"/SS+나/NP+는/JX
기억을	기억/NNG+을/JKO
떠올렸다.	떠올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.148.5.1
이씨는 1990년대 중반 먼저 탈북한 이복동생으로부터 생활자금을 받은 것이 보위부에 발각돼 간첩으로 몰려 고문을 당했고 교화소로 끌려갔다.

이씨는	이/NNP+씨/NNB+는/JX
1990년대	1990/SN+년대/NNB
중반	중반/NNG
먼저	먼저/MAG
탈북한	탈북/NNG+하/XSV+ㄴ/ETM
이복동생으로부터	이복동생/NNG+으로부터/JKB
생활자금을	생활/NNG+자금/NNG+을/JKO
받은	받/VV+은/ETM
것이	것/NNB+이/JKS
보위부에	보위부/NNG+에/JKB
발각돼	발각/NNG+되/XSV+어/EC
간첩으로	간첩/NNG+으로/JKB
몰려	몰리/VV+어/EC
고문을	고문/NNG+을/JKO
당했고	당하/VV+았/EP+고/EC
교화소로	교화소/NNG+로/JKB
끌려갔다.	끌려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.5.2
이씨는 '밀수범'이라는 죄목으로 전거리교화소에서 1999년 6월부터 2001년 1월까지 복역했다.

이씨는	이/NNP+씨/NNB+는/JX
'밀수범'이라는	'/SS+밀수범/NNG+'/SS+이/VCP+라는/ETM
죄목으로	죄목/NNG+으로/JKB
전거리교화소에서	전거리교화소/NNP+에서/JKB
1999년	1999/SN+년/NNB
6월부터	6/SN+월/NNB+부터/JX
2001년	2001/SN+년/NNB
1월까지	1/SN+월/NNB+까지/JX
복역했다.	복역/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.5.3
이후 북한에서 외화벌이사업을 하다 '반동'으로 몰렸고, 작년 8월 탈출해 한국으로 넘어왔다.

이후	이후/NNG
북한에서	북한/NNP+에서/JKB
외화벌이사업을	외화벌이/NNG+사업/NNG+을/JKO
하다	하/VV+다/EC
'반동'으로	'/SS+반동/NNG+'/SS+으로/JKB
몰렸고,	몰리/VV+었/EP+고/EC+,/SP
작년	작년/NNG
8월	8/SN+월/NNB
탈출해	탈출/NNG+하/XSV+아/EC
한국으로	한국/NNP+으로/JKB
넘어왔다.	넘어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.6.1
이씨는 1년6개월가량 교화소에서 850여구의 시신을 처리했다고 한다.

이씨는	이/NNP+씨/NNB+는/JX
1년6개월가량	1/SN+년/NNB+6/SN+개월/NNB+가량/XSN
교화소에서	교화소/NNG+에서/JKB
850여구의	850/SN+여/XSN+구/NNB+의/JKG
시신을	시신/NNG+을/JKO
처리했다고	처리/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.148.6.2
당시 전거리교화소 수용인원은 최대 1200명 정도였다.

당시	당시/NNG
전거리교화소	전거리교화소/NNP
수용인원은	수용/NNG+인원/NNG+은/JX
최대	최대/NNG
1200명	1200/SN+명/NNB
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.148.6.3
그가 일했던 시신보관소는 가로·세로 3m 정도의 시멘트 바닥이었다.

그가	그/NP+가/JKS
일했던	일/NNG+하/XSV+았/EP+던/ETM
시신보관소는	시신/NNG+보관소/NNG+는/JX
가로·세로	가로/NNG+·/SP+세로/NNG
3m	3/SN+m/SW
정도의	정도/NNG+의/JKG
시멘트	시멘트/NNG
바닥이었다.	바닥/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.148.6.4
죄수들은 영양 상태가 극도로 나빴고, 병이 나도 치료를 받지 못하는 상황에서 중노동에 시달리고 있었다.

죄수들은	죄수/NNG+들/XSN+은/JX
영양	영양/NNG
상태가	상태/NNG+가/JKS
극도로	극도/NNG+로/JKB
나빴고,	나쁘/VA+았/EP+고/EC+,/SP
병이	병/NNG+이/JKS
나도	나/VV+아도/EC
치료를	치료/NNG+를/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
상황에서	상황/NNG+에서/JKB
중노동에	중노동/NNG+에/JKB
시달리고	시달리/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.148.7.1
"나이와 성별을 가리지 않고 거의 매일 마대나 비닐자루에 담긴 시신이 1~2구씩 들어 왔습니다"

"나이와	"/SS+나이/NNG+와/JC
성별을	성별/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
거의	거의/MAG
매일	매일/MAG
마대나	마대/NNG+나/JC
비닐자루에	비닐/NNG+자루/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
시신이	시신/NNG+이/JKS
1~2구씩	1/SN+~/SO+2/SN+구/NNB+씩/XSN
들어	들/VV+어/EC
왔습니다"	오/VX+았/EP+습니다/EF+"/SS


# id : NWRW1800000030.148.8.1
시신은 쌓아 두었다가 한 달에 한 번 정도 화장터로 시신을 실어가는 트럭이 오면 옮겨 담아서 처리했다.

시신은	시신/NNG+은/JX
쌓아	쌓/VV+아/EC
두었다가	두/VX+었/EP+다가/EC
한	한/MMN
달에	달/NNB+에/JKB
번	번/NNB
정도	정도/NNG
화장터로	화장터/NNG+로/JKB
시신을	시신/NNG+을/JKO
실어가는	싣/VV+어/EC+가/VX+는/ETM
트럭이	트럭/NNG+이/JKS
오면	오/VV+면/EC
옮겨	옮기/VV+어/EC
담아서	담/VV+아서/EC
처리했다.	처리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.8.2
그는 "시신을 바로 화장하지 않고 쌓아 둔 것은 시신 운반 트럭의 연료가 부족했기 때문"이라고 했다.

그는	그/NP+는/JX
"시신을	"/SS+시신/NNG+을/JKO
바로	바로/MAG
화장하지	화장/NNG+하/XSV+지/EC
않고	않/VX+고/EC
쌓아	쌓/VV+아/EC
둔	두/VX+ㄴ/ETM
것은	것/NNB+은/JX
시신	시신/NNG
운반	운반/NNG
트럭의	트럭/NNG+의/JKG
연료가	연료/NNG+가/JKS
부족했기	부족/NNG+하/XSA+았/EP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.9.1
이씨는 이처럼 처참한 북한의 인권 상황을 21일 국가인권위원회 북한인권침해센터에 접수했다.

이씨는	이/NNP+씨/NNB+는/JX
이처럼	이/NP+처럼/JKB
처참한	처참하/VA+ㄴ/ETM
북한의	북한/NNP+의/JKG
인권	인권/NNG
상황을	상황/NNG+을/JKO
21일	21/SN+일/NNB
국가인권위원회	국가인권위원회/NNP
북한인권침해센터에	북한인권침해센터/NNP+에/JKB
접수했다.	접수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.9.2
22일로 개소 100일째를 맞는 북한인권침해센터에는 23건(진정인 수 718명)의 진정이 접수됐다.

22일로	22/SN+일/NNB+로/JKB
개소	개소/NNG
100일째를	100/SN+일/NNB+째/XSN+를/JKO
맞는	맞/VV+는/ETM
북한인권침해센터에는	북한인권침해센터/NNP+에/JKB+는/JX
23건(진정인	23/SN+건/NNB+(/SS+진정인/NNG
수	수/NNG
718명)의	718/SN+명/NNB+)/SS+의/JKG
진정이	진정/NNG+이/JKS
접수됐다.	접수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.148.10.1
그는 시신들을 파먹고 사는 쥐들을 지금도 잊을 수 없다고 했다.

그는	그/NP+는/JX
시신들을	시신/NNG+들/XSN+을/JKO
파먹고	파먹/VV+고/EC
사는	살/VV+는/ETM
쥐들을	쥐/NNG+들/XSN+을/JKO
지금도	지금/NNG+도/JX
잊을	잊/VV+을/ETM
수	수/NNB
없다고	없/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.11.1
"시신을 먹고 사는 쥐들은 몸통길이만 30㎝ 정도 되는 놈도 있을 정도로 살 찌고 컸어요.

"시신을	"/SS+시신/NNG+을/JKO
먹고	먹/VV+고/EC
사는	살/VV+는/ETM
쥐들은	쥐/NNG+들/XSN+은/JX
몸통길이만	몸통/NNG+길이/NNG+만/JX
30㎝	30/SN+㎝/SW
정도	정도/NNG
되는	되/VV+는/ETM
놈도	놈/NNB+도/JX
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
살	살/NNG
찌고	찌/VV+고/EC
컸어요.	크/VA+었/EP+어요/EF+./SF


# id : NWRW1800000030.148.11.2
시신을 쌓아 놓고 며칠이 지나면 쥐나 구더기가 다 파먹어 버려 시신이 가벼워졌습니다."

시신을	시신/NNG+을/JKO
쌓아	쌓/VV+아/EC
놓고	놓/VX+고/EC
며칠이	며칠/NNG+이/JKS
지나면	지나/VV+면/EC
쥐나	쥐/NNG+나/JC
구더기가	구더기/NNG+가/JKS
다	다/MAG
파먹어	파먹/VV+어/EC
버려	버리/VX+어/EC
시신이	시신/NNG+이/JKS
가벼워졌습니다."	가벼워지/VV+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000030.148.12.1
교화소 내부에서도 시신보관실은 비밀 시설이었다고 했다.

교화소	교화소/NNG
내부에서도	내부/NNG+에서/JKB+도/JX
시신보관실은	시신/NNG+보관실/NNG+은/JX
비밀	비밀/NNG
시설이었다고	시설/NNG+이/VCP+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.12.2
교화소 병원 옆에 붙어 있는 시신보관실 옆에는 항상 무장한 군인이 지키고 있었고, 일반 수감자는 내부를 들여다볼 수도 없었다.

교화소	교화소/NNG
병원	병원/NNG
옆에	옆/NNG+에/JKB
붙어	붙/VV+어/EC
있는	있/VX+는/ETM
시신보관실	시신/NNG+보관실/NNG
옆에는	옆/NNG+에/JKB+는/JX
항상	항상/MAG
무장한	무장/NNG+하/XSV+ㄴ/ETM
군인이	군인/NNG+이/JKS
지키고	지키/VV+고/EC
있었고,	있/VX+었/EP+고/EC+,/SP
일반	일반/NNG
수감자는	수감자/NNG+는/JX
내부를	내부/NNG+를/JKO
들여다볼	들여다보/VV+ㄹ/ETM
수도	수/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.148.13.1
이씨는 교화소에서 죽음은 일상적인 일이었다고 했다.

이씨는	이/NNP+씨/NNB+는/JX
교화소에서	교화소/NNG+에서/JKB
죽음은	죽음/NNG+은/JX
일상적인	일상/NNG+적/XSN+이/VCP+ㄴ/ETM
일이었다고	일/NNG+이/VCP+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.13.2
그는 "배가 고파 노역을 하다 그냥 쓰러지거나 산에서 독초를 캐 먹다 죽는 일도 많았다"며 "고문을 당하거나 맞아 죽는 경우도 흔했다"고 했다.

그는	그/NP+는/JX
"배가	"/SS+배/NNG+가/JKS
고파	고프/VA+아/EC
노역을	노역/NNG+을/JKO
하다	하/VV+다/EC
그냥	그냥/MAG
쓰러지거나	쓰러지/VV+거나/EC
산에서	산/NNG+에서/JKB
독초를	독초/NNG+를/JKO
캐	캐/VV+어/EC
먹다	먹/VV+다/EC
죽는	죽/VV+는/ETM
일도	일/NNG+도/JX
많았다"며	많/VA+았/EP+다/EF+"/SS+며/EC
"고문을	"/SS+고문/NNG+을/JKO
당하거나	당하/VV+거나/EC
맞아	맞/VV+아/EC
경우도	경우/NNG+도/JX
흔했다"고	흔하/VA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.14.1
수감자가 죽어나가는 것은 아무런 문제도 아니었다고 한다.

수감자가	수감자/NNG+가/JKS
죽어나가는	죽/VV+어/EC+나가/VX+는/ETM
것은	것/NNB+은/JX
아무런	아무런/MMD
문제도	문제/NNG+도/JX
아니었다고	아니/VCN+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.148.14.2
이씨는 "교화소 수감자들은 어차피 반동분자라고 생각하기 때문에 수감자들이 죽는 것에 신경을 쓰는 사람은 아무도 없었다"고 말했다.

이씨는	이/NNP+씨/NNB+는/JX
"교화소	"/SS+교화소/NNG
수감자들은	수감자/NNG+들/XSN+은/JX
어차피	어차피/MAG
반동분자라고	반동분자/NNG+이/VCP+라고/EC
생각하기	생각/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
수감자들이	수감자/NNG+들/XSN+이/JKS
죽는	죽/VV+는/ETM
것에	것/NNB+에/JKB
신경을	신경/NNG+을/JKO
쓰는	쓰/VV+는/ETM
사람은	사람/NNG+은/JX
아무도	아무/NP+도/JX
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


