# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.260
metadata : {}


# id : NWRW1800000048.260.1.1
“자취할 돈 없어 먼거리 통학하는데…” 대학생들, 경기도 버스요금 인상안에 반발

“자취할	“/SS+자취/NNG+하/XSV+ㄹ/ETM
광역버스까지	광역/NNG+버스/NNG+까지/JX
확대	확대/NNG
적용하는	적용/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
논의한다.	논의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.260.8.3
거리비례제가 적용되면 요금은 최대 1200원까지 오르게 된다.

거리비례제가	거리/NNG+비례/NNG+제/XSN+가/JKS
적용되면	적용/NNG+되/XSV+면/EC
요금은	요금/NNG+은/JX
최대	최대/NNG
1200원까지	1200/SN+원/NNB+까지/JX
오르게	오르/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


