# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.87
metadata : {}


# id : NWRW1800000056.87.1.1
유럽, 난민 자격 사전심사 아프리카로 외주화

유럽,	유럽/NNP+,/SP
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.87.7.3
유럽 쪽은 새 제도 시행 비용을 내기로 했다.

유럽	유럽/NNP
쪽은	쪽/NNB+은/JX
새	새/MMA
제도	제도/NNG
시행	시행/NNG
비용을	비용/NNG+을/JKO
내기로	내/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.87.7.4
최근 난민 보트가 주로 출항해온 리비아와 국경을 맞댄 니제르와 차드의 국경 통제 강화 비용도 유럽이 부담하기로 했다.

최근	최근/MAG
난민	난민/NNG
보트가	보트/NNG+가/JKS
주로	주로/MAG
출항해온	출항/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
리비아와	리비아/NNP+와/JKB
국경을	국경/NNG+을/JKO
맞댄	맞대/VV+ㄴ/ETM
니제르와	니제르/NNP+와/JC
차드의	차드/NNP+의/JKG
국경	국경/NNG
통제	통제/NNG
강화	강화/NNG
비용도	비용/NNG+도/JX
유럽이	유럽/NNP+이/JKS
부담하기로	부담/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.87.8.1
난민 심사를 아예 다른 대륙에서 진행한다는 이 새로운 실험은 유럽행 난민이 급증해온 데다, 지중해를 건너 밀입국하려던 아프리카인들이 떼죽음당하는 사태가 빈발하는 상황에서 시작된다.

난민	난민/NNG
심사를	심사/NNG+를/JKO
아예	아예/MAG
다른	다른/MMD
대륙에서	대륙/NNG+에서/JKB
진행한다는	진행/NNG+하/XSV+ㄴ다는/ETM
이	이/MMD
새로운	새롭/VA+ㄴ/ETM
실험은	실험/NNG+은/JX
유럽행	유럽행/NNG
난민이	난민/NNG+이/JKS
급증해온	급증/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
지중해를	지중해/NNP+를/JKO
건너	건너/VV+어/EC
밀입국하려던	밀입국/NNG+하/XSV+려던/ETM
아프리카인들이	아프리카인/NNG+들/XSN+이/JKS
떼죽음당하는	떼죽음/NNG+당하/XSV+는/ETM
사태가	사태/NNG+가/JKS
빈발하는	빈발/NNG+하/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.87.8.2
지난해에만 5천명 넘는 이들이 지중해에서 목숨을 잃었다.

지난해에만	지난해/NNG+에/JKB+만/JX
5천명	5/SN+천/NR+명/NNB
넘는	넘/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
지중해에서	지중해/NNP+에서/JKB
목숨을	목숨/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.87.8.3
난민 이송 브로커들이 불량 선박을 이용해 사고로 이어지고, 인신매매 브로커가 활개 치는 것도 국제적 문제로 부각됐다.

난민	난민/NNG
이송	이송/NNG
브로커들이	브로커/NNG+들/XSN+이/JKS
불량	불량/NNG
선박을	선박/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
사고로	사고/NNG+로/JKB
이어지고,	이어지/VV+고/EC+,/SP
인신매매	인신매매/NNG
브로커가	브로커/NNG+가/JKS
활개	활개/NNG
치는	치/VV+는/ETM
것도	것/NNB+도/JX
국제적	국제/NNG+적/XSN
문제로	문제/NNG+로/JKB
부각됐다.	부각/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.87.8.4
지중해 연안 유럽 국가들이 부담을 떠안는 점은 유럽 통합 저해 요소로 지적돼왔다.

지중해	지중해/NNP
연안	연안/NNG
유럽	유럽/NNP
국가들이	국가/NNG+들/XSN+이/JKS
부담을	부담/NNG+을/JKO
떠안는	떠안/VV+는/ETM
점은	점/NNG+은/JX
통합	통합/NNG
저해	저해/NNG
요소로	요소/NNG+로/JKB
지적돼왔다.	지적/NNG+되/XSV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.87.8.5
올 들어 7월까지 이탈리아에 9만4천여명, 그리스에 1만1천여명, 스페인에 8천여명의 난민이 유입됐다.

올	올/NNG
들어	들/VV+어/EC
7월까지	7/SN+월/NNB+까지/JX
이탈리아에	이탈리아/NNP+에/JKB
9만4천여명,	9/SN+만/NR+4/SN+천/NR+여/XSN+명/NNB+,/SP
그리스에	그리스/NNP+에/JKB
1만1천여명,	1/SN+만/NR+1/SN+천/NR+여/XSN+명/NNB+,/SP
스페인에	스페인/NNP+에/JKB
8천여명의	8/SN+천/NR+여/XSN+명/NNB+의/JKG
난민이	난민/NNG+이/JKS
유입됐다.	유입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.87.8.6
이번 조처에는 테러에 대비해 입국 심사를 강화하려는 의도도 있는 것으로 분석된다.

이번	이번/NNG
조처에는	조처/NNG+에/JKB+는/JX
테러에	테러/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
입국	입국/NNG
심사를	심사/NNG+를/JKO
강화하려는	강화/NNG+하/XSV+려는/ETM
의도도	의도/NNG+도/JX
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.87.8.7
하지만 난민 자격을 인정받기 어렵다고 생각하는 이들이 계속 모험을 감행하는 것을 차단하기는 어려워 보인다.

하지만	하지만/MAJ
난민	난민/NNG
자격을	자격/NNG+을/JKO
인정받기	인정/NNG+받/XSV+기/ETN
어렵다고	어렵/VA+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
이들이	이/NP+들/XSN+이/JKS
계속	계속/MAG
모험을	모험/NNG+을/JKO
감행하는	감행/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
차단하기는	차단/NNG+하/XSV+기/ETN+는/JX
어려워	어렵/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.87.9.1
이번 회의에서 아프리카 정상들은 난민 발생의 주요인인 빈곤에 유럽이 관심을 가져야 한다고 촉구했다.

이번	이번/NNG
회의에서	회의/NNG+에서/JKB
아프리카	아프리카/NNP
정상들은	정상/NNG+들/XSN+은/JX
난민	난민/NNG
발생의	발생/NNG+의/JKG
주요인인	주요인/NNG+이/VCP+ㄴ/ETM
빈곤에	빈곤/NNG+에/JKB
유럽이	유럽/NNP+이/JKS
관심을	관심/NNG+을/JKO
가져야	가지/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.87.9.2
국제 구호단체 옥스팜은 유럽이 난민을 회피 대상으로 여기며 “국경 통제의 외주화”에 나섰다고 비판했다.

국제	국제/NNG
구호단체	구호/NNG+단체/NNG
옥스팜은	옥스팜/NNP+은/JX
유럽이	유럽/NNP+이/JKS
난민을	난민/NNG+을/JKO
회피	회피/NNG
대상으로	대상/NNG+으로/JKB
여기며	여기/VV+며/EC
“국경	“/SS+국경/NNG
통제의	통제/NNG+의/JKG
외주화”에	외주/NNG+화/XSN+”/SS+에/JKB
나섰다고	나서/VV+었/EP+다고/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


