# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.164
metadata : {}


# id : NWRW1800000046.164.1.1
檢 "박기춘 의원 건설비자금 증거인멸 정황"

檢	檢/SH
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.164.5.1
검찰은 그러나 업체 압수 수색 과정에서 회사 측이 사전에 수사 정보를 입수한 흔적을 발견했다.

검찰은	검찰/NNG+은/JX
그러나	그러나/MAJ
업체	업체/NNG
압수	압수/NNG
수색	수색/NNG
과정에서	과정/NNG+에서/JKB
회사	회사/NNG
측이	측/NNB+이/JKS
사전에	사전/NNG+에/JKB
수사	수사/NNG
정보를	정보/NNG+를/JKO
입수한	입수/NNG+하/XSV+ㄴ/ETM
흔적을	흔적/NNG+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.164.5.2
회계 장부 등이 말끔히 사라져 버렸고, 몇몇 직원은 노트북을 들고 잠적해 버렸다.

회계	회계/NNG
장부	장부/NNG
등이	등/NNB+이/JKS
말끔히	말끔히/MAG
사라져	사라지/VV+어/EC
버렸고,	버리/VX+었/EP+고/EC+,/SP
몇몇	몇몇/NR
직원은	직원/NNG+은/JX
노트북을	노트북/NNG+을/JKO
들고	들/VV+고/EC
잠적해	잠적/NNG+하/XSV+아/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.164.5.3
특히 이 업체 대표 김모(44·구속)씨는 압수 수색 당일 이사를 하고 있었다고 한다.

특히	특히/MAG
이	이/MMD
업체	업체/NNG
대표	대표/NNG
김모(44·구속)씨는	김/NNP+모/NP+(/SS+44/SN+·/SP+구속/NNG+)/SS+씨/NNB+는/JX
압수	압수/NNG
수색	수색/NNG
당일	당일/NNG
이사를	이사/NNG+를/JKO
하고	하/VV+고/EC
있었다고	있/VX+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.164.6.1
이에 검찰은 수사 기밀이 이 업체에 유출된 것으로 보고 수사팀은 물론 업체 관계자를 상대로 집중적으로 수사를 벌여 왔다.

이에	이/NP+에/JKB
검찰은	검찰/NNG+은/JX
수사	수사/NNG
기밀이	기밀/NNG+이/JKS
이	이/MMD
업체에	업체/NNG+에/JKB
유출된	유출/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
수사팀은	수사/NNG+팀/NNG+은/JX
물론	물론/MAG
업체	업체/NNG
관계자를	관계자/NNG+를/JKO
상대로	상대/NNG+로/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
수사를	수사/NNG+를/JKO
벌여	벌이/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.164.6.2
그 과정에서 I사 대표 김씨와 박 의원이 수십 차례 통화한 사실을 확인했으며, 회사 관계자로부터 "박 의원이 수사에 대비해 관련 자료를 치우라고 알려줬다"는 진술도 확보한 것으로 알려졌다.

그	그/MMD
과정에서	과정/NNG+에서/JKB
I사	I/SL+사/NNG
대표	대표/NNG
김씨와	김/NNP+씨/NNB+와/JC
박	박/NNP
의원이	의원/NNG+이/JKS
수십	수십/NR
차례	차례/NNG
통화한	통화/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인했으며,	확인/NNG+하/XSV+았/EP+으며/EC+,/SP
회사	회사/NNG
관계자로부터	관계자/NNG+로부터/JKB
"박	"/SS+박/NNP
수사에	수사/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
관련	관련/NNG
자료를	자료/NNG+를/JKO
치우라고	치우/VV+라고/EC
알려줬다"는	알리/VV+어/EC+주/VX+었/EP+다/EF+"/SS+는/ETM
진술도	진술/NNG+도/JX
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.164.6.3
검찰은 박 의원의 측근인 정모(50)씨가 박 의원과 김씨 사이에서 연결고리 역할을 한 정황도 포착하고 지난 4일 구속했다.

검찰은	검찰/NNG+은/JX
박	박/NNP
의원의	의원/NNG+의/JKG
측근인	측근/NNG+이/VCP+ㄴ/ETM
정모(50)씨가	정/NNP+모/NP+(/SS+50/SN+)/SS+씨/NNB+가/JKS
의원과	의원/NNG+과/JC
김씨	김/NNP+씨/NNB
사이에서	사이/NNG+에서/JKB
연결고리	연결/NNG+고리/NNG
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
정황도	정황/NNG+도/JX
포착하고	포착/NNG+하/XSV+고/EC
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.164.7.1
이에 대해 박 의원 측은 "김씨와 통화한 사실은 있지만 원래 친분이 있던 사이였기 때문에 전화를 했던 것"이라며 "금품 수수는 김씨와 동생 사이의 일이며 박 의원과는 무관하다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
박	박/NNP
의원	의원/NNG
측은	측/NNB+은/JX
"김씨와	"/SS+김/NNP+씨/NNB+와/JKB
통화한	통화/NNG+하/XSV+ㄴ/ETM
사실은	사실/NNG+은/JX
있지만	있/VA+지만/EC
원래	원래/MAG
친분이	친분/NNG+이/JKS
있던	있/VA+던/ETM
사이였기	사이/NNG+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
전화를	전화/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"금품	"/SS+금품/NNG
수수는	수수/NNG+는/JX
김씨와	김/NNP+씨/NNB+와/JC
동생	동생/NNG
사이의	사이/NNG+의/JKG
일이며	일/NNG+이/VCP+며/EC
의원과는	의원/NNG+과/JKB+는/JX
무관하다"고	무관하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


