# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.435
metadata : {}


# id : NWRW1800000028.435.1.1
성남도 시장<민주당>-시의회<한나라당 과반> 예산갈등

성남도	성남/NNP+도/JX
대응’에	대응/NNG+’/SS+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
해	하/VV+아/EC
파장이	파장/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.435.3.1
14일 성남시 관계자의 말을 종합하면, 이 시장은 최근 열린 간부회의에서 “시의원들이 타당성과 설득력이 떨어지는 이유를 끄집어내 시정 운영에 반드시 필요한 각종 사안을 잇달아 부결시키고 있다”고 지적했다.

14일	14/SN+일/NNB
성남시	성남시/NNP
관계자의	관계자/NNG+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
이	이/NNP
시장은	시장/NNG+은/JX
최근	최근/MAG
열린	열리/VV+ㄴ/ETM
간부회의에서	간부/NNG+회의/NNG+에서/JKB
“시의원들이	“/SS+시/NNG+의원/NNG+들/XSN+이/JKS
타당성과	타당성/NNG+과/JC
설득력이	설득력/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
이유를	이유/NNG+를/JKO
끄집어내	끄집어내/VV+어/EC
시정	시정/NNG
운영에	운영/NNG+에/JKB
반드시	반드시/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
각종	각종/NNG
사안을	사안/NNG+을/JKO
잇달아	잇달/VV+아/EC
부결시키고	부결/NNG+시키/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.435.3.2
그는 이어 “의회가 이런 식으로 실력행사를 한다면, 집행부(시)도 법과 절차에 따라 대응할 필요가 있다”며 “앞으로 공무원의 의회 출석이나 자료제출 요구 등 의회와 관련된 모든 행정행위는 정해진 지방자치법에 따라 이뤄져야 한다”고 강조했다.

그는	그/NP+는/JX
이어	이어/MAG
“의회가	“/SS+의회/NNG+가/JKS
이런	이런/MMD
식으로	식/NNB+으로/JKB
실력행사를	실력/NNG+행사/NNG+를/JKO
한다면,	하/VV+ㄴ다면/EC+,/SP
집행부(시)도	집행부/NNG+(/SS+시/NNG+)/SS+도/JX
법과	법/NNG+과/JC
절차에	절차/NNG+에/JKB
따라	따르/VV+아/EC
대응할	대응/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
공무원의	공무원/NNG+의/JKG
의회	의회/NNG
출석이나	출석/NNG+이나/JC
자료제출	자료/NNG+제출/NNG
요구	요구/NNG
등	등/NNB
의회와	의회/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
모든	모든/MMN
행정행위는	행정/NNG+행위/NNG+는/JX
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
지방자치법에	지방/NNG+자치법/NNG+에/JKB
이뤄져야	이뤄지/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.435.4.1
이에 성남시는 이달 초 ‘의회가 자료 제출이나 의회 출석 등을 요구할 경우 지방자치법에 따라 의회 의결 등의 절차를 거쳐 달라’는 내용의 공문을 시의회에 보낸 것으로 확인됐다.

이에	이/NP+에/JKB
성남시는	성남시/NNP+는/JX
이달	이달/NNG
초	초/NNB
‘의회가	‘/SS+의회/NNG+가/JKS
자료	자료/NNG
제출이나	제출/NNG+이나/JC
의회	의회/NNG
출석	출석/NNG
등을	등/NNB+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
지방자치법에	지방/NNG+자치법/NNG+에/JKB
따라	따르/VV+아/EC
의결	의결/NNG
등의	등/NNB+의/JKG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
달라’는	달/VX+라/EF+’/SS+는/ETM
내용의	내용/NNG+의/JKG
공문을	공문/NNG+을/JKO
시의회에	시/NNG+의회/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.435.4.2
지방자치법 제40조(서류 제출 요구)는 의원이 특정 자료를 원할 경우 본회의나 위원회가 의결해 해당 지방자치단체장에게 요구할 수 있으며 본회의나 위원회에서 의결된 자료 제출 요구는 반드시 의장을 거쳐 집행부에 전달되도록 규정돼 있다.

지방자치법	지방/NNG+자치법/NNG
제40조(서류	제/XPN+40/SN+조/NNB+(/SS+서류/NNG
제출	제출/NNG
요구)는	요구/NNG+)/SS+는/JX
의원이	의원/NNG+이/JKS
특정	특정/NNG
자료를	자료/NNG+를/JKO
원할	원/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
본회의나	본회의/NNG+나/JC
위원회가	위원회/NNG+가/JKS
의결해	의결/NNG+하/XSV+아/EC
해당	해당/NNG
지방자치단체장에게	지방/NNG+자치/NNG+단체장/NNG+에게/JKB
요구할	요구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
위원회에서	위원회/NNG+에서/JKB
의결된	의결/NNG+되/XSV+ㄴ/ETM
자료	자료/NNG
요구는	요구/NNG+는/JX
반드시	반드시/MAG
의장을	의장/NNG+을/JKO
거쳐	거치/VV+어/EC
집행부에	집행부/NNG+에/JKB
전달되도록	전달/NNG+되/XSV+도록/EC
규정돼	규정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.435.5.1
특히 이 시장은 지난 6일 결식아동 등을 돌보는 지역아동센터의 취사인력 보조 비용 2억4천만원과 아동센터 환경개선비 1억3500만원 등 대표적 서민·복지예산이 의회에서 삭감되자, 의회 상임위원회나 본회의가 열릴 때 간부 공무원이 회의장에서 대기하던 관행도 없앨 것을 지시한 것으로 전해졌다.

특히	특히/MAG
이	이/NNP
시장은	시장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
결식아동	결식아동/NNG
등을	등/NNB+을/JKO
돌보는	돌보/VV+는/ETM
지역아동센터의	지역/NNG+아동/NNG+센터/NNG+의/JKG
취사인력	취사/NNG+인력/NNG
보조	보조/NNG
비용	비용/NNG
2억4천만원과	2/SN+억/NR+4/SN+천만/NR+원/NNB+과/JC
아동센터	아동/NNG+센터/NNG
환경개선비	환경/NNG+개선비/NNG
1억3500만원	1/SN+억/NR+3500/SN+만/NR+원/NNB
등	등/NNB
대표적	대표/NNG+적/XSN
서민·복지예산이	서민/NNG+·/SP+복지/NNG+예산/NNG+이/JKS
의회에서	의회/NNG+에서/JKB
삭감되자,	삭감/NNG+되/XSV+자/EC+,/SP
의회	의회/NNG
상임위원회나	상임/NNG+위원회/NNG+나/JC
본회의가	본회의/NNG+가/JKS
열릴	열리/VV+ㄹ/ETM
때	때/NNG
간부	간부/NNG
공무원이	공무원/NNG+이/JKS
회의장에서	회의장/NNG+에서/JKB
대기하던	대기/NNG+하/XSV+던/ETM
관행도	관행/NNG+도/JX
없앨	없애/VV+ㄹ/ETM
것을	것/NNB+을/JKO
지시한	지시/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.435.5.2
이 시장의 지시는 전체 34석 가운데 18석을 차지하는 한나라당 소속 의원들이 ‘시정 발목 잡기’를 하고 있다는 판단에 따른 정면대응이어서 심각한 갈등이 예상된다.

이	이/NNP
시장의	시장/NNG+의/JKG
지시는	지시/NNG+는/JX
전체	전체/NNG
34석	34/SN+석/NNB
가운데	가운데/NNG
18석을	18/SN+석/NNB+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
한나라당	한나라당/NNP
소속	소속/NNG
의원들이	의원/NNG+들/XSN+이/JKS
‘시정	‘/SS+시정/NNG
발목	발목/NNG
잡기’를	잡/VV+기/ETN+’/SS+를/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
정면대응이어서	정면/NNG+대응/NNG+이/VCP+어서/EC
심각한	심각하/VA+ㄴ/ETM
갈등이	갈등/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.435.6.1
이에 대해 성남시의회 장대훈(한나라당) 의장은 “시민의 대의기구에 대해 시장이 감정적으로 대응하고 있는 것”이라며 “민주주의를 외치며 시민운동을 해온 시장이 스스로 시민 민주주의를 포기하는 행위가 아니냐”고 비판했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
성남시의회	성남시의회/NNP
장대훈(한나라당)	장대훈/NNP+(/SS+한나라당/NNP+)/SS
의장은	의장/NNG+은/JX
“시민의	“/SS+시민/NNG+의/JKG
대의기구에	대의/NNG+기구/NNG+에/JKB
시장이	시장/NNG+이/JKS
감정적으로	감정/NNG+적/XSN+으로/JKB
대응하고	대응/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“민주주의를	“/SS+민주주의/NNG+를/JKO
외치며	외치/VV+며/EC
시민운동을	시민운동/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
스스로	스스로/MAG
시민	시민/NNG
민주주의를	민주주의/NNG+를/JKO
포기하는	포기/NNG+하/XSV+는/ETM
행위가	행위/NNG+가/JKC
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.435.7.1
앞서 성남시의회 한나라당 소속 의원들은 지난달 25일 시가 상정한 시정개혁위원회 설치·운영 조례와 청소년육성재단 상임이사, 성남문화재단 대표 등에 대한 임명동의안을 기립표결로 부결시켰다.

앞서	앞서/MAG
성남시의회	성남시의회/NNP
한나라당	한나라당/NNP
소속	소속/NNG
의원들은	의원/NNG+들/XSN+은/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
시가	시/NNG+가/JKS
상정한	상정/NNG+하/XSV+ㄴ/ETM
시정개혁위원회	시정/NNG+개혁/NNG+위원회/NNG
설치·운영	설치/NNG+·/SP+운영/NNG
조례와	조례/NNG+와/JC
청소년육성재단	청소년/NNG+육성/NNG+재단/NNG
상임이사,	상임/NNG+이사/NNG+,/SP
성남문화재단	성남문화재단/NNP
대표	대표/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
임명동의안을	임명/NNG+동의안/NNG+을/JKO
기립표결로	기립/NNG+표결/NNG+로/JKB
부결시켰다.	부결/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.435.7.2
당시 한나라당 의원들은 “이들이 성남시에 얼마나 애정을 갖고 살아온 사람들이냐, 누군가의 부탁이 의심되지 않느냐”라는 이유를 달았다.

당시	당시/NNG
한나라당	한나라당/NNP
의원들은	의원/NNG+들/XSN+은/JX
“이들이	“/SS+이/NP+들/XSN+이/JKS
성남시에	성남시/NNP+에/JKB
얼마나	얼마나/MAG
애정을	애정/NNG+을/JKO
갖고	갖/VV+고/EC
살아온	살아오/VV+ㄴ/ETM
사람들이냐,	사람/NNG+들/XSN+이/VCP+냐/EF+,/SP
누군가의	누구/NP+이/VCP+ㄴ가/EF+의/JKG
부탁이	부탁/NNG+이/JKS
의심되지	의심/NNG+되/XSV+지/EC
않느냐”라는	않/VX+느냐/EF+”/SS+이/VCP+라는/ETM
이유를	이유/NNG+를/JKO
달았다.	달/VV+았/EP+다/EF+./SF


