# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.49
metadata : {}


# id : NWRW1800000030.49.1.1
뉴욕 교통안전 표지판에 섬뜩한 短詩

뉴욕	뉴욕/NNP
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.49.5.2
짧은 시 형식으로 된 문장 12개를 눈에 잘 띄는 그래픽과 함께 교통사고 위험이 높은 뉴욕의 16개 지역, 200개 지점에 설치될 예정이다.

짧은	짧/VA+은/ETM
시	시/NNG
형식으로	형식/NNG+으로/JKB
된	되/VV+ㄴ/ETM
문장	문장/NNG
12개를	12/SN+개/NNB+를/JKO
눈에	눈/NNG+에/JKB
잘	잘/MAG
띄는	띄/VV+는/ETM
그래픽과	그래픽/NNG+과/JKB
함께	함께/MAG
교통사고	교통사고/NNG
위험이	위험/NNG+이/JKS
높은	높/VA+은/ETM
뉴욕의	뉴욕/NNP+의/JKG
16개	16/SN+개/NNB
지역,	지역/NNG+,/SP
200개	200/SN+개/NNB
지점에	지점/NNG+에/JKB
설치될	설치/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.49.6.1
하이쿠 시구에다 색종이를 오려붙인 콜라주 형식의 이 그래픽은 모두 미국의 흑인 예술가 존 모어스가 만들었다.

하이쿠	하이쿠/NNG
시구에다	시구/NNG+에다/JKB
색종이를	색종이/NNG+를/JKO
오려붙인	오리/VV+어/EC+붙이/VV+ㄴ/ETM
콜라주	콜라주/NNG
형식의	형식/NNG+의/JKG
이	이/MMD
그래픽은	그래픽/NNG+은/JX
모두	모두/MAG
미국의	미국/NNP+의/JKG
흑인	흑인/NNG
예술가	예술가/NNG
존	존/NNP
모어스가	모어스/NNP+가/JKS
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.49.6.2
하이쿠 12개 중 10개는 영어, 2개는 스페인어다.

하이쿠	하이쿠/NNG
12개	12/SN+개/NNB
중	중/NNB
10개는	10/SN+개/NNB+는/JX
영어,	영어/NNP+,/SP
2개는	2/SN+개/NNB+는/JX
스페인어다.	스페인어/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000030.49.7.1
뉴욕시가 설치할 교통안전 캠페인용 하이쿠는 일본의 하이쿠 양식을 엄격하게 따르진 않았다.

뉴욕시가	뉴욕시/NNP+가/JKS
설치할	설치/NNG+하/XSV+ㄹ/ETM
교통안전	교통안전/NNG
캠페인용	캠페인/NNG+용/XSN
하이쿠는	하이쿠/NNG+는/JX
일본의	일본/NNP+의/JKG
하이쿠	하이쿠/NNG
양식을	양식/NNG+을/JKO
엄격하게	엄격/NNG+하/XSA+게/EC
따르진	따르/VV+지/EC+ㄴ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.49.8.1
짧은 3개 구(句)로 이루어진 하이쿠의 기본 틀만 따랐다.

짧은	짧/VA+은/ETM
3개	3/SN+개/NNB
구(句)로	구/NNG+(/SS+句/SH+)/SS+로/JKB
이루어진	이루어지/VV+ㄴ/ETM
하이쿠의	하이쿠/NNG+의/JKG
기본	기본/NNG
틀만	틀/NNG+만/JX
따랐다.	따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.49.8.2
'차들이 보도로 넘어온다/ 친구와 우연히 마주치기엔/ 최악의 장소' '갑자기 차 문이 열린다/ 다시 써야 할 사이클리스트의 이야기/ 부러져 버렸네' '그녀가 아름답게 걷는다/ 밤처럼.

'차들이	'/SS+차/NNG+들/XSN+이/JKS
보도로	보도/NNG+로/JKB
넘어온다/	넘어오/VV+ㄴ다/EF+//SP
친구와	친구/NNG+와/JKB
우연히	우연히/MAG
마주치기엔/	마주치/VV+기/ETN+에/JKB+ㄴ/JX+//SP
최악의	최악/NNG+의/JKG
장소'	장소/NNG+'/SS
'갑자기	'/SS+갑자기/MAG
차	차/NNG
문이	문/NNG+이/JKS
열린다/	열리/VV+ㄴ다/EF+//SP
다시	다시/MAG
써야	쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
사이클리스트의	사이클/NNG+리스트/NNG+의/JKG
이야기/	이야기/NNG+//SP
부러져	부러지/VV+어/EC
버렸네'	버리/VX+었/EP+네/EF+'/SS
'그녀가	'/SS+그녀/NP+가/JKS
아름답게	아름답/VA+게/EC
걷는다/	걷/VV+는다/EF+//SP
밤처럼.	밤/NNG+처럼/JKB+./SF


# id : NWRW1800000030.49.8.3
혹시 그래서/ 운전자들이 그녀를 못 보나'….

혹시	혹시/MAG
그래서/	그렇/VA+어서/EC+//SP
운전자들이	운전자/NNG+들/XSN+이/JKS
그녀를	그녀/NP+를/JKO
못	못/MAG
보나'….	보/VV+나/EF+'/SS+…/SE+./SF


# id : NWRW1800000030.49.8.4
문구 내용은 '뉴욕의 거리에서 정신 바싹 차리지 않으면 사고당하기 십상'이라는 협박성 경고가 대부분이다.

문구	문구/NNG
내용은	내용/NNG+은/JX
'뉴욕의	'/SS+뉴욕/NNP+의/JKG
거리에서	거리/NNG+에서/JKB
정신	정신/NNG
바싹	바싹/MAG
차리지	차리/VV+지/EC
않으면	않/VX+으면/EC
사고당하기	사고/NNG+당하/XSV+기/ETN
십상'이라는	십상/NNG+'/SS+이/VCP+라는/ETM
협박성	협박/NNG+성/XSN
경고가	경고/NNG+가/JKS
대부분이다.	대/XPN+부분/NNG+이/VCP+다/EF+./SF


