# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.391
metadata : {}


# id : NWRW1800000033.391.1.1
새누리, 국채발행규모 9000억으로 낮춰

새누리,	새누리/NNP+,/SP
민주당은 ‘국채 발행은 안 된다’는 강경한 입장이었으나 새누리당에서 성의를 보이자 어느 정도의 국채 발행은 용인할 수 있다는 입장으로 선회했다.

민주당은	민주당/NNP+은/JX
‘국채	‘/SS+국채/NNG
발행은	발행/NNG+은/JX
안	안/MAG
된다’는	되/VV+ㄴ다/EF+’/SS+는/ETM
강경한	강경/NNG+하/XSA+ㄴ/ETM
입장이었으나	입장/NNG+이/VCP+었/EP+으나/EC
새누리당에서	새누리당/NNP+에서/JKB
성의를	성의/NNG+를/JKO
보이자	보이/VV+자/EC
어느	어느/MMD
정도의	정도/NNG+의/JKG
국채	국채/NNG
용인할	용인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
입장으로	입장/NNG+으로/JKB
선회했다.	선회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.391.6.2
다만 현재 9000억 원 수준인 국채 발행 규모는 더 줄여야 한다고 주장한다.

다만	다만/MAG
현재	현재/MAG
9000억	9000/SN+억/NR
원	원/NNB
수준인	수준/NNG+이/VCP+ㄴ/ETM
국채	국채/NNG
발행	발행/NNG
규모는	규모/NNG+는/JX
더	더/MAG
줄여야	줄이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.391.6.3
소득세와 법인세 등 부자증세를 요구하던 기존 태도에서도 한발 물러서 금융소득종합과세 기준금액을 낮추는 선에서 세법 개정안에도 동의했다.

소득세와	소득세/NNG+와/JC
법인세	법인세/NNG
등	등/NNB
부자증세를	부자/NNG+증세/NNG+를/JKO
요구하던	요구/NNG+하/XSV+던/ETM
기존	기존/NNG
태도에서도	태도/NNG+에서/JKB+도/JX
한발	한발/MAG
물러서	물러서/VV+어/EC
금융소득종합과세	금융/NNG+소득/NNG+종합/NNG+과세/NNG
기준금액을	기준/NNG+금액/NNG+을/JKO
낮추는	낮추/VV+는/ETM
선에서	선/NNG+에서/JKB
세법	세법/NNG
개정안에도	개정안/NNG+에/JKB+도/JX
동의했다.	동의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.391.7.1
최 의원은 “복지 일자리 분야에서 예산 지출을 늘리는 것은 반대하지 않는다. 다만 최대한 불필요한 예산을 줄이자는 것”이라며 “국채 발행 규모를 새누리당이 주장하던 규모의 3분의 1로 줄인 것은 민주당의 성과”라고 설명했다.

최	최/NNP
의원은	의원/NNG+은/JX
“복지	“/SS+복지/NNG
일자리	일자리/NNG
분야에서	분야/NNG+에서/JKB
예산	예산/NNG
지출을	지출/NNG+을/JKO
늘리는	늘리/VV+는/ETM
것은	것/NNB+은/JX
반대하지	반대/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF
다만	다만/MAG
최대한	최대한/MAG
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
예산을	예산/NNG+을/JKO
줄이자는	줄이/VV+자는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“국채	“/SS+국채/NNG
발행	발행/NNG
규모를	규모/NNG+를/JKO
새누리당이	새누리당/NNP+이/JKS
주장하던	주장/NNG+하/XSV+던/ETM
규모의	규모/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1로	1/SN+로/JKB
줄인	줄이/VV+ㄴ/ETM
민주당의	민주당/NNP+의/JKG
성과”라고	성과/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.391.8.1
하지만 아직 합의 처리를 낙관하기 힘들다는 지적도 있다.

하지만	하지만/MAJ
아직	아직/MAG
합의	합의/NNG
처리를	처리/NNG+를/JKO
낙관하기	낙관/NNG+하/XSV+기/ETN
힘들다는	힘들/VA+다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.391.8.2
국채 발행 규모에 대한 최종 합의가 도출되지 않았고 반값등록금 실현 예산 등 예산의 세부 내용을 둘러싸고 여야 간 이견이 여전하기 때문이다.

국채	국채/NNG
발행	발행/NNG
규모에	규모/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최종	최종/NNG
합의가	합의/NNG+가/JKS
도출되지	도출/NNG+되/XSV+지/EC
않았고	않/VX+았/EP+고/EC
반값등록금	반값/NNG+등록금/NNG
실현	실현/NNG
예산	예산/NNG
등	등/NNB
예산의	예산/NNG+의/JKG
세부	세부/NNG
내용을	내용/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
여야	여야/NNG
간	간/NNB
이견이	이견/NNG+이/JKS
여전하기	여전하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.391.8.3
새누리당 김기현 원내수석부대표는 “현재 80∼90% 마무리된 상황”이라고 설명했다.

새누리당	새누리당/NNP
김기현	김기현/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
“현재	“/SS+현재/MAG
80∼90%	80/SN+∼/SO+90/SN+%/SW
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.391.8.4
최 의원은 “큰 흐름은 잡혔지만 대형 폭탄들은 여전히 남아 있다”고 밝혔다.

최	최/NNP
의원은	의원/NNG+은/JX
“큰	“/SS+크/VA+ㄴ/ETM
흐름은	흐름/NNG+은/JX
잡혔지만	잡히/VV+었/EP+지만/EC
대형	대형/NNG
폭탄들은	폭탄/NNG+들/XSN+은/JX
여전히	여전히/MAG
남아	남/VV+아/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


