# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.58
metadata : {}


# id : NWRW1800000052.58.1.1
무지 vs 브라운…막상막하 무승부

무지	무지/NNP
화내고,	화내/VV+고/EC+,/SP
위로하는	위로/NNG+하/XSV+는/ETM
오욕칠정을	오욕/NNG+칠정/NNG+을/JKO
귀엽게	귀엽/VA+게/EC
드러내는	드러내/VV+는/ETM
스티커	스티커/NNG
가운데,	가운데/NNG+,/SP
두	두/MMN
프로그램의	프로그램/NNG+의/JKG
대표	대표/NNG
캐릭터인	캐릭터/NNG+이/VCP+ㄴ/ETM
‘카카오	‘/SS+카카오/NNP
프렌즈’와	프렌즈/NNG+’/SS+와/JC
‘라인	‘/SS+라인/NNP
프렌즈’는	프렌즈/NNG+’/SS+는/JX
휴대전화	휴대/NNG+전화/NNG
바깥으로	바깥/NNG+으로/JKB
나와	나오/VV+아/EC
오프라인	오프라인/NNG
세상에서도	세상/NNG+에서/JKB+도/JX
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.58.4.4
문구류나 생활용품 등 전통적인 ‘캐릭터 상품’이 만화나 애니메이션처럼 ‘실체’와 ‘스토리’가 있는 원작의 캐릭터를 따온 것과는 달리, 사람들이 일상에서 느끼는 감정이 투영된 메신저 캐릭터가 새로운 시장을 열고 있는 것이다.

문구류나	문구/NNG+류/XSN+나/JC
생활용품	생활용품/NNG
등	등/NNB
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
‘캐릭터	‘/SS+캐릭터/NNG
상품’이	상품/NNG+’/SS+이/JKS
만화나	만화/NNG+나/JC
애니메이션처럼	애니메이션/NNG+처럼/JKB
‘실체’와	‘/SS+실체/NNG+’/SS+와/JC
‘스토리’가	‘/SS+스토리/NNG+’/SS+가/JKS
있는	있/VX+는/ETM
원작의	원작/NNG+의/JKG
캐릭터를	캐릭터/NNG+를/JKO
따온	따오/VV+ㄴ/ETM
것과는	것/NNB+과/JKB+는/JX
달리,	달리/MAG+,/SP
사람들이	사람/NNG+들/XSN+이/JKS
일상에서	일상/NNG+에서/JKB
느끼는	느끼/VV+는/ETM
감정이	감정/NNG+이/JKS
투영된	투영/NNG+되/XSV+ㄴ/ETM
메신저	메신저/NNG
캐릭터가	캐릭터/NNG+가/JKS
새로운	새롭/VA+ㄴ/ETM
시장을	시장/NNG+을/JKO
열고	열/VV+고/EC
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.58.5.1
대체 캐릭터로 만들 수 있는 상품의 한계는 어딜까?

대체	대체/MAG
캐릭터로	캐릭터/NNG+로/JKB
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상품의	상품/NNG+의/JKG
한계는	한계/NNG+는/JX
어딜까?	어디/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000052.58.5.2
두 캐릭터가 이토록 열풍을 일으키는 비결은 뭘까?

두	두/MMN
캐릭터가	캐릭터/NNG+가/JKS
이토록	이토록/MAG
열풍을	열풍/NNG+을/JKO
일으키는	일으키/VV+는/ETM
비결은	비결/NNG+은/JX
뭘까?	뭐/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000052.58.5.3
카카오 프렌즈와 라인 프렌즈 각각의 대표 캐릭터인 ‘무지’와 ‘브라운’의 대화 형식으로 이런 궁금증을 짚어봤다.

카카오	카카오/NNP
프렌즈와	프렌즈/NNG+와/JC
라인	라인/NNP
프렌즈	프렌즈/NNG
각각의	각각/NNG+의/JKG
대표	대표/NNG
캐릭터인	캐릭터/NNG+이/VCP+ㄴ/ETM
‘무지’와	‘/SS+무지/NNP+’/SS+와/JC
‘브라운’의	‘/SS+브라운/NNP+’/SS+의/JKG
대화	대화/NNG
형식으로	형식/NNG+으로/JKB
이런	이런/MMD
궁금증을	궁금증/NNG+을/JKO
짚어봤다.	짚/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.58.6.1
성별 불분명한 카카오 프렌즈

성별	성별/NNG
불분명한	불분명하/VA+ㄴ/ETM
카카오	카카오/NNP
프렌즈	프렌즈/NNG


# id : NWRW1800000052.58.7.1
1천종 넘는 생활밀착형 상품으로

1천종	1/SN+천/NR+종/NNG
넘는	넘/VV+는/ETM
생활밀착형	생활/NNG+밀착/NNG+형/XSN
상품으로	상품/NNG+으로/JKB


# id : NWRW1800000052.58.8.1
외국서 더 사랑받는 라인 프렌즈

외국서	외국/NNG+서/JKB
더	더/MAG
사랑받는	사랑/NNG+받/XSV+는/ETM
라인	라인/NNP
프렌즈	프렌즈/NNG


# id : NWRW1800000052.58.9.1
중국 팝업스토어 사흘에 1만명 몰려

중국	중국/NNP
팝업스토어	팝업/NNG+스토어/NNG
사흘에	사흘/NNG+에/JKB
1만명	1/SN+만/NR+명/NNB
몰려	몰리/VV+어/EF


# id : NWRW1800000052.58.10.1
무지: 안녕?

무지:	무지/NNP+:/SP
안녕?	안녕/IC+?/SF


# id : NWRW1800000052.58.10.2
내 이름은 ‘무지’야.

내	나/NP+의/JKG
이름은	이름/NNG+은/JX
‘무지’야.	‘/SS+무지/NNP+’/SS+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.10.3
2012년 9월에 태어났지.

2012년	2012/SN+년/NNB
9월에	9/SN+월/NNB+에/JKB
태어났지.	태어나/VV+았/EP+지/EF+./SF


# id : NWRW1800000052.58.10.4
설마, 가수 ‘뮤지’랑 헷갈리는 건 아니겠지?

설마,	설마/MAG+,/SP
가수	가수/NNG
‘뮤지’랑	‘/SS+뮤지/NNP+’/SS+랑/JKB
헷갈리는	헷갈리/VV+는/ETM
건	거/NNB+ㄴ/JX
아니겠지?	아니/VCN+겠/EP+지/EF+?/SF


# id : NWRW1800000052.58.10.5
ㅋㅋ.

ㅋㅋ.	ㅋㅋ/IC+./SF


# id : NWRW1800000052.58.10.6
내가 토끼인 줄 아는 사람도 많은데, 사실 난 단무지야.

내가	내/NP+가/JKS
토끼인	토끼/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
아는	알/VV+는/ETM
사람도	사람/NNG+도/JX
많은데,	많/VA+은데/EC+,/SP
사실	사실/MAG
난	나/NP+ㄴ/JX
단무지야.	단무지/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.10.7
원래 부끄러움을 너무너무 많이 타는 성격인데, 이 토끼옷을 입으면 안 그래.

원래	원래/MAG
부끄러움을	부끄러움/NNG+을/JKO
너무너무	너무너무/MAG
많이	많이/MAG
타는	타/VV+는/ETM
성격인데,	성격/NNG+이/VCP+ㄴ데/EC+,/SP
이	이/MMD
토끼옷을	토끼/NNG+옷/NNG+을/JKO
입으면	입/VV+으면/EC
안	안/MAG
그래.	그래/IC+./SF


# id : NWRW1800000052.58.10.8
세상 모든 게 궁금하고, 아무하고나 장난치고 싶고 막 그래.

세상	세상/NNG
모든	모든/MMN
게	거/NNB+이/JKS
궁금하고,	궁금하/VA+고/EC+,/SP
아무하고나	아무/NP+하고/JKB+나/JX
장난치고	장난치/VV+고/EC
싶고	싶/VX+고/EC
막	막/MAG
그래.	그렇/VA+어/EF+./SF


# id : NWRW1800000052.58.10.9
두더지 ‘제이지’(JAY-G)가 날 토끼로 착각하고 자꾸 잡으러 다니는데, 걔도 참 안됐어.

두더지	두더지/NNG
‘제이지’(JAY-G)가	‘/SS+제이지/NNP+’/SS+(/SS+JAY/SL+-/SO+G/SL+)/SS+가/JKS
날	나/NP+ㄹ/JKO
토끼로	토끼/NNG+로/JKB
착각하고	착각/NNG+하/XSV+고/EC
자꾸	자꾸/MAG
잡으러	잡/VV+으러/EC
다니는데,	다니/VV+는데/EC+,/SP
걔도	걔/NP+도/JX
참	참/MAG
안됐어.	안/MAG+되/XSA+었/EP+어/EF+./SF


# id : NWRW1800000052.58.10.10
원래 살던 땅속나라 용왕이 위독해 토끼 간을 찾으러 온 비밀요원이거든.

원래	원래/MAG
살던	살/VV+던/ETM
땅속나라	땅속/NNG+나라/NNG
용왕이	용왕/NNG+이/JKS
위독해	위독하/VA+아/EC
토끼	토끼/NNG
간을	간/NNG+을/JKO
찾으러	찾/VV+으러/EC
온	오/VX+ㄴ/ETM
비밀요원이거든.	비밀/NNG+요원/NNG+이/VCP+거든/EF+./SF


# id : NWRW1800000052.58.10.11
그런데 어리바리해서 진짜 토끼는 못 찾고 엉뚱하게 나만 괴롭힌다니까.

그런데	그런데/MAJ
어리바리해서	어리바리/MAG+하/XSA+아서/EC
진짜	진짜/NNG
토끼는	토끼/NNG+는/JX
못	못/MAG
찾고	찾/VV+고/EC
엉뚱하게	엉뚱하/VA+게/EC
나만	나/NP+만/JX
괴롭힌다니까.	괴롭히/VV+ㄴ다니까/EF+./SF


# id : NWRW1800000052.58.10.12
내 옆에 찰싹 붙어 다니는 악어 ‘콘’, 유전자 변이 때문에 자웅동주가 된 게 슬퍼 복숭아 나무에서 탈출한 ‘어피치’, 카카오 프렌즈 공식 커플인 개 ‘프로도’랑 고양이 ‘네오’, 겁 많은 오리 ‘튜브’, 그리고 지난달 8일에 합류한 아프리카 둥둥섬 왕위 계승자이자 소녀감성 수사자 ‘라이언’이 내 친구들이야.

내	나/NP+의/JKG
옆에	옆/NNG+에/JKB
찰싹	찰싹/MAG
붙어	붙/VV+어/EC
다니는	다니/VV+는/ETM
악어	악어/NNG
‘콘’,	‘/SS+콘/NNP+’/SS+,/SP
유전자	유전자/NNG
변이	변이/NNG
때문에	때문/NNB+에/JKB
자웅동주가	자웅/NNG+동주/NNG+가/JKC
된	되/VV+ㄴ/ETM
게	거/NNB+이/JKS
슬퍼	슬프/VA+어/EC
복숭아	복숭아/NNG
나무에서	나무/NNG+에서/JKB
탈출한	탈출/NNG+하/XSV+ㄴ/ETM
‘어피치’,	‘/SS+어피치/NNP+’/SS+,/SP
카카오	카카오/NNP
프렌즈	프렌즈/NNG
공식	공식/NNG
커플인	커플/NNG+이/VCP+ㄴ/ETM
개	개/NNG
‘프로도’랑	‘/SS+프로도/NNP+’/SS+랑/JC
고양이	고양이/NNG
‘네오’,	‘/SS+네오/NNP+’/SS+,/SP
겁	겁/NNG
많은	많/VA+은/ETM
오리	오리/NNG
‘튜브’,	‘/SS+튜브/NNP+’/SS+,/SP
그리고	그리고/MAJ
지난달	지난달/NNG
8일에	8/SN+일/NNB+에/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
아프리카	아프리카/NNP
둥둥섬	둥둥섬/NNP
왕위	왕위/NNG
계승자이자	계승자/NNG+이/VCP+자/EC
소녀감성	소녀/NNG+감성/NNG
수사자	수사자/NNG
‘라이언’이	‘/SS+라이언/NNP+’/SS+이/JKS
친구들이야.	친구/NNG+들/XSN+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.11.1
브라운: 난 ‘브라운’.

브라운:	브라운/NNP+:/SP
난	나/NP+ㄴ/JX
‘브라운’.	‘/SS+브라운/NNP+’/SS+./SF


# id : NWRW1800000052.58.11.2
곰이야.

곰이야.	곰/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.11.3
소심하고 온순하고 말수도 적어서 따뜻한 햇살 아래 드러누워 일광욕을 하거나, 집중해서 뭔가 만들어내는 걸 좋아해.

소심하고	소심하/VA+고/EC
온순하고	온순하/VA+고/EC
말수도	말수/NNG+도/JX
적어서	적/VA+어서/EC
따뜻한	따뜻하/VA+ㄴ/ETM
햇살	햇살/NNG
아래	아래/NNG
드러누워	드러눕/VV+어/EC
일광욕을	일광욕/NNG+을/JKO
하거나,	하/VV+거나/EC+,/SP
집중해서	집중/NNG+하/XSV+아서/EC
뭔가	뭐/NP+이/VCP+ㄴ가/EF
만들어내는	만들/VV+어/EC+내/VX+는/ETM
걸	거/NNB+ㄹ/JKO
좋아해.	좋아하/VV+아/EF+./SF


# id : NWRW1800000052.58.11.4
라인 프렌즈엔 진짜 토끼가 있는데 그건 ‘코니’야.

라인	라인/NNP
프렌즈엔	프렌즈/NNG+에/JKB+ㄴ/JX
진짜	진짜/NNG
토끼가	토끼/NNG+가/JKS
있는데	있/VA+는데/EC
그건	그거/NP+ㄴ/JX
‘코니’야.	‘/SS+코니/NNP+’/SS+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.11.5
맛있는 거, 이쁜 거 엄청 좋아하는데, 집안일은 귀찮다고 안 해.

맛있는	맛있/VA+는/ETM
거,	거/NNB+,/SP
이쁜	이쁘/VA+ㄴ/ETM
거	거/NNB
엄청	엄청/MAG
좋아하는데,	좋아하/VV+는데/EC+,/SP
집안일은	집안일/NNG+은/JX
귀찮다고	귀찮/VA+다고/EC
안	안/MAG
해.	하/VV+아/EF+./SF


# id : NWRW1800000052.58.11.6
맛난 거 먹고 이쁜 거 입으려면 해야 하는 일인데 말야.

맛난	맛나/VA+ㄴ/ETM
거	거/NNB
먹고	먹/VV+고/EC
이쁜	이쁘/VA+ㄴ/ETM
입으려면	입/VV+으려면/EC
해야	하/VX+아야/EC
하는	하/VX+는/ETM
일인데	일/NNG+이/VCP+ㄴ데/EC
말야.	말/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.11.7
그나저나 제이지 만나면 조심하라고 얘기해줘야겠다.

그나저나	그나저나/MAG
제이지	제이지/NNP
만나면	만나/VV+면/EC
조심하라고	조심/NNG+하/XSV+라고/EC
얘기해줘야겠다.	얘기/NNG+하/XSV+아/EC+주/VX+어야/EC+하/VX+겠/EP+다/EF+./SF


# id : NWRW1800000052.58.11.8
ㅎㅎ.

ㅎㅎ.	ㅎㅎ/IC+./SF


# id : NWRW1800000052.58.11.9
고양이도 있어.

고양이도	고양이/NNG+도/JX
있어.	있/VA+어/EF+./SF


# id : NWRW1800000052.58.11.10
‘제시카’라고, 여성스럽고 꼼꼼한 모범 소녀랄까, 못하는 게 없는 팔방미인이야.

‘제시카’라고,	‘/SS+제시카/NNP+’/SS+라고/JKQ+,/SP
여성스럽고	여성/NNG+스럽/XSA+고/EC
꼼꼼한	꼼꼼/MAG+하/XSA+ㄴ/ETM
모범	모범/NNG
소녀랄까,	소녀/NNG+이/VCP+랄까/EF+,/SP
못하는	못/MAG+하/XSV+는/ETM
게	거/NNB+이/JKS
없는	없/VA+는/ETM
팔방미인이야.	팔방미인/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.11.11
엄청 깔끔하고 청결하지.

엄청	엄청/MAG
깔끔하고	깔끔/NNG+하/XSA+고/EC
청결하지.	청결/NNG+하/XSA+지/EF+./SF


# id : NWRW1800000052.58.11.12
‘샐리’는 병아리인데, 엉뚱하고 단순무식한 다혈질.

‘샐리’는	‘/SS+샐리/NNP+’/SS+는/JX
병아리인데,	병아리/NNG+이/VCP+ㄴ데/EC+,/SP
엉뚱하고	엉뚱하/VA+고/EC
단순무식한	단순/NNG+무식/NNG+하/XSA+ㄴ/ETM
다혈질.	다혈질/NNG+./SF


# id : NWRW1800000052.58.11.13
애벌레인 ‘에드워드’가 워낙 똑똑하고 눈치가 빨라서 이런 ‘샐리’ 주변을 지키며 항상 조언을 하는데 만날 무시당해.

애벌레인	애벌레/NNG+이/VCP+ㄴ/ETM
‘에드워드’가	‘/SS+에드워드/NNP+’/SS+가/JKS
워낙	워낙/MAG
똑똑하고	똑똑하/VA+고/EC
눈치가	눈치/NNG+가/JKS
빨라서	빠르/VA+아서/EC
이런	이런/MMD
‘샐리’	‘/SS+샐리/NNP+’/SS
주변을	주변/NNG+을/JKO
지키며	지키/VV+며/EC
항상	항상/MAG
조언을	조언/NNG+을/JKO
하는데	하/VV+는데/EC
만날	만날/MAG
무시당해.	무시/NNG+당하/XSV+아/EF+./SF


# id : NWRW1800000052.58.11.14
‘레너드’는 혼자 노는 거 좋아하는 얌전한 개구리야.

‘레너드’는	‘/SS+레너드/NNP+’/SS+는/JX
혼자	혼자/NNG
노는	놀/VV+는/ETM
거	거/NNB
좋아하는	좋아하/VV+는/ETM
얌전한	얌전/NNG+하/XSA+ㄴ/ETM
개구리야.	개구리/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.11.15
우리 친구 중엔 ‘남자 사람’ 셋이 있어.

우리	우리/NP
친구	친구/NNG
중엔	중/NNB+에/JKB+ㄴ/JX
‘남자	‘/SS+남자/NNG
사람’	사람/NNG+’/SS
셋이	셋/NR+이/JKS
있어.	있/VA+어/EF+./SF


# id : NWRW1800000052.58.11.16
‘문’이랑 ‘제임스’, ‘부장님’인데, ‘문’은 우주, 신기한 것, 기괴한 것들에 꽂혀 있는데다 호기심 많고 자기 주장이 강해서 어디로 튈지 몰라.

‘문’이랑	‘/SS+문/NNP+’/SS+이랑/JC
‘제임스’,	‘/SS+제임스/NNP+’/SS+,/SP
‘부장님’인데,	‘/SS+부장/NNG+님/XSN+’/SS+이/VCP+ㄴ데/EC+,/SP
‘문’은	‘/SS+문/NNP+’/SS+은/JX
우주,	우주/NNG+,/SP
신기한	신기하/VA+ㄴ/ETM
것,	것/NNB+,/SP
기괴한	기괴하/VA+ㄴ/ETM
것들에	것/NNB+들/XSN+에/JKB
꽂혀	꽂히/VV+어/EC
있는데다	있/VX+는/ETM+데/NNB+다/JX
호기심	호기심/NNG
많고	많/VA+고/EC
자기	자기/NNG
주장이	주장/NNG+이/JKS
강해서	강하/VA+아서/EC
어디로	어디/NP+로/JKB
튈지	튀/VV+ㄹ지/EC
몰라.	모르/VV+아/EF+./SF


# id : NWRW1800000052.58.11.17
‘제임스’는 자기 외모 가꾸는 데 정신없는 나르시시스트고, ‘부장님’은 뭐…, 그냥 촌스럽고 전형적인 아저씨야.

‘제임스’는	‘/SS+제임스/NNP+’/SS+는/JX
자기	자기/NP
외모	외모/NNG
가꾸는	가꾸/VV+는/ETM
데	데/NNB
정신없는	정신없/VA+는/ETM
나르시시스트고,	나르시시스트/NNG+이/VCP+고/EC+,/SP
‘부장님’은	‘/SS+부장/NNG+님/XSN+’/SS+은/JX
뭐…,	뭐/IC+…/SE+,/SP
그냥	그냥/MAG
촌스럽고	촌/NNG+스럽/XSA+고/EC
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
아저씨야.	아저씨/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.11.18
참, 난 2011년 6월에 나왔으니까 이제부터 형이라고 불러.

참,	참/IC+,/SP
난	나/NP+ㄴ/JX
2011년	2011/SN+년/NNB
6월에	6/SN+월/NNB+에/JKB
나왔으니까	나오/VV+았/EP+으니까/EC
이제부터	이제/NNG+부터/JX
형이라고	형/NNG+이/VCP+라고/EC
불러.	부르/VV+어/EF+./SF


# id : NWRW1800000052.58.12.1
무지: 내가 남자도 아닌데 형은 무슨~.

무지:	무지/NNP+:/SP
내가	내/NP+가/JKS
남자도	남자/NNG+도/JX
아닌데	아니/VCN+ㄴ데/EC
형은	형/NNG+은/JX
무슨~.	무슨/MMD+~/SO+./SF


# id : NWRW1800000052.58.12.2
그렇다고 여자도 아니지만.

그렇다고	그렇/VA+다고/EC
여자도	여자/NNG+도/JX
아니지만.	아니/VCN+지만/EC+./SF


# id : NWRW1800000052.58.12.3
나랑 내 친구들은 대체로 성별이 불분명해.

나랑	나/NP+랑/JKB
내	나/NP+의/JKG
친구들은	친구/NNG+들/XSN+은/JX
대체로	대체로/MAG
성별이	성별/NNG+이/JKS
불분명해.	불분명하/VA+아/EF+./SF


# id : NWRW1800000052.58.12.4
그래서 그런지 문구, 인형은 말할 것도 없고 엘지생활건강과 협업한 치약 등 생활용품, 브이디엘(VDL) 화장품에 배스킨라빈스 아이스크림 케이크 같은 식음료, 전자제품, 패션까지 우리가 안 들어간 상품이 없어.

그래서	그래서/MAJ
그런지	그렇/VA+ㄴ지/EC
문구,	문구/NNG+,/SP
인형은	인형/NNG+은/JX
말할	말/NNG+하/XSV+ㄹ/ETM
것도	것/NNB+도/JX
없고	없/VA+고/EC
엘지생활건강과	엘지생활건강/NNP+과/JC
협업한	협업/NNG+하/XSV+ㄴ/ETM
치약	치약/NNG
등	등/NNB
생활용품,	생활용품/NNG+,/SP
브이디엘(VDL)	브이디엘/NNP+(/SS+VDL/SL+)/SS
화장품에	화장품/NNG+에/JKB
배스킨라빈스	배스킨라빈스/NNP
아이스크림	아이스크림/NNG
케이크	케이크/NNG
같은	같/VA+은/ETM
식음료,	식음료/NNG+,/SP
전자제품,	전자/NNG+제품/NNG+,/SP
패션까지	패션/NNG+까지/JX
우리가	우리/NP+가/JKS
안	안/MAG
들어간	들어가/VV+ㄴ/ETM
상품이	상품/NNG+이/JKS
없어.	없/VA+어/EF+./SF


# id : NWRW1800000052.58.12.5
카카오 프렌즈 자체 상품과 협업 상품을 포함해, 우리가 들어간 상품이 1천 종류가 넘는다지?

카카오	카카오/NNP
프렌즈	프렌즈/NNG
자체	자체/NNG
상품과	상품/NNG+과/JC
협업	협업/NNG
상품을	상품/NNG+을/JKO
포함해,	포함/NNG+하/XSV+아/EC+,/SP
우리가	우리/NP+가/JKS
들어간	들어가/VV+ㄴ/ETM
상품이	상품/NNG+이/JKS
1천	1/SN+천/NR
종류가	종류/NNG+가/JKS
넘는다지?	넘/VV+는다지/EF+?/SF


# id : NWRW1800000052.58.12.6
얼마 전엔 반지, 목걸이, 귀고리 같은 액세서리가 나오는 ‘프렌즈 쥬얼스’ 라인까지 출시됐어.

얼마	얼마/NNG
전엔	전/NNG+에/JKB+ㄴ/JX
반지,	반지/NNG+,/SP
목걸이,	목걸이/NNG+,/SP
귀고리	귀고리/NNG
같은	같/VA+은/ETM
액세서리가	액세서리/NNG+가/JKS
나오는	나오/VV+는/ETM
‘프렌즈	‘/SS+프렌즈/NNG
쥬얼스’	쥬얼스/NNG+’/SS
라인까지	라인/NNG+까지/JX
출시됐어.	출시/NNG+되/XSV+었/EP+어/EF+./SF


# id : NWRW1800000052.58.12.7
명실공히 ‘생활밀착형 브랜드’, ‘라이프스타일 브랜드’가 됐다고 할 수 있지.

명실공히	명실공히/MAG
‘생활밀착형	‘/SS+생활/NNG+밀착/NNG+형/XSN
브랜드’,	브랜드/NNG+’/SS+,/SP
‘라이프스타일	‘/SS+라이프스타일/NNG
브랜드’가	브랜드/NNG+’/SS+가/JKC
됐다고	되/VV+었/EP+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있지.	있/VA+지/EF+./SF


# id : NWRW1800000052.58.13.1
브라운: 후훗.

브라운:	브라운/NNP+:/SP
후훗.	후훗/IC+./SF


# id : NWRW1800000052.58.13.2
그 정도 갖고 뭘.

그	그/MMD
정도	정도/NNG
갖고	갖/VV+고/EC
뭘.	뭘/IC+./SF


# id : NWRW1800000052.58.13.3
화장품 ‘미샤’를 비롯해 우리 얼굴 붙어 나온 상품은 5천 종류 이상이야.

화장품	화장품/NNG
‘미샤’를	‘/SS+미샤/NNP+’/SS+를/JKO
비롯해	비롯하/VV+아/EC
우리	우리/NP
얼굴	얼굴/NNG
붙어	붙/VV+어/EC
나온	나오/VV+ㄴ/ETM
상품은	상품/NNG+은/JX
5천	5/SN+천/NR
종류	종류/NNG
이상이야.	이상/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000052.58.13.4
솔직히 국내에선 너네한테 좀 밀리는 것 같지만, 외국 나가 보면 알걸?

솔직히	솔직히/MAG
국내에선	국내/NNG+에서/JKB+ㄴ/JX
너네한테	너/NP+네/XSN+한테/JKB
좀	좀/MAG
밀리는	밀리/VV+는/ETM
것	것/NNB
같지만,	같/VA+지만/EC+,/SP
외국	외국/NNG
나가	나가/VV+아/EC
보면	보/VX+면/EC
알걸?	알/VV+ㄹ걸/EF+?/SF


# id : NWRW1800000052.58.13.5
우리가 얼마나 인기인지.

우리가	우리/NP+가/JKS
얼마나	얼마나/MAG
인기인지.	인기/NNG+이/VCP+ㄴ지/EC+./SF


# id : NWRW1800000052.58.13.6
‘구스타브스베리’라고 들어봤어?

‘구스타브스베리’라고	‘/SS+구스타브스베리/NNP+’/SS+이/VCP+라고/EC
들어봤어?	듣/VV+어/EC+보/VX+았/EP+어/EF+?/SF


# id : NWRW1800000052.58.13.7
스웨덴 왕실에 납품되는 도자기 브랜드인데, 그 브랜드 최초로 협업을 한 데가 우리라고.

스웨덴	스웨덴/NNP
왕실에	왕실/NNG+에/JKB
납품되는	납품/NNG+되/XSV+는/ETM
도자기	도자기/NNG
브랜드인데,	브랜드/NNG+이/VCP+ㄴ데/EC+,/SP
그	그/MMD
브랜드	브랜드/NNG
최초로	최초/NNG+로/JKB
협업을	협업/NNG+을/JKO
한	하/VV+ㄴ/ETM
데가	데/NNB+가/JKS
우리라고.	우리/NP+이/VCP+라고/EF+./SF


# id : NWRW1800000052.58.13.8
너무 내 자랑 같아서 말 안 하려고 했는데, 이 몸은 필기구 마니아들이 좋아하는 독일의 ‘라미’가 처음으로 선택한 협업 캐릭터야.

너무	너무/MAG
내	나/NP+의/JKG
자랑	자랑/NNG
같아서	같/VA+아서/EC
말	말/NNG
안	안/MAG
