# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.311
metadata : {}


# id : NWRW1800000038.311.1.1
[주용중의 터치! 코리아] 내년 지방선거에선 '엄석대('우리들의 일그러진 영웅' 속 등장인물)'를 가려내자

[주용중의	[/SS+주용중/NNP+의/JKG
지난 6년간의 보수 우세가 이어지느냐, 진보가 열세를 극복하느냐가 관건이다.

지난	지나/VV+ㄴ/ETM
6년간의	6/SN+년/NNB+간/XSN+의/JKG
보수	보수/NNG
우세가	우세/NNG+가/JKS
이어지느냐,	이어지/VV+느냐/EF+,/SP
진보가	진보/NNG+가/JKS
열세를	열세/NNG+를/JKO
극복하느냐가	극복/NNG+하/XSV+느냐/EF+가/JKS
관건이다.	관건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.3.3
각 당 지도부와 지역 실세(實勢)들은 출마할 후보들을 이리도 재보고, 저리도 재본 지 벌써 오래됐다.

각	각/MMD
당	당/NNG
지도부와	지도부/NNG+와/JC
지역	지역/NNG
실세(實勢)들은	실세/NNG+(/SS+實勢/SH+)/SS+들/XSN+은/JX
출마할	출마/NNG+하/XSV+ㄹ/ETM
후보들을	후보/NNG+들/XSN+을/JKO
이리도	이리도/MAG
재보고,	재/VV+어/EC+보/VX+고/EC+,/SP
저리도	저리/MAG+도/JX
재본	재/VV+어/EC+보/VX+ㄴ/ETM
지	지/NNB
벌써	벌써/MAG
오래됐다.	오래/MAG+되/XSA+었/EP+다/EF+./SF


# id : NWRW1800000038.311.4.1
하지만 내년 선거는 이런 중앙정치적 관심사보다 더 중요한 의미가 있다.

하지만	하지만/MAJ
내년	내년/NNG
선거는	선거/NNG+는/JX
이런	이런/MMD
중앙정치적	중앙/NNG+정치/NNG+적/XSN
관심사보다	관심사/NNG+보다/JKB
더	더/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.311.4.2
자치단체장 직선제는 1961년 폐지됐다가 1995년 부활했다.

자치단체장	자치/NNG+단체장/NNG
직선제는	직선/NNG+제/XSN+는/JX
1961년	1961/SN+년/NNB
폐지됐다가	폐지/NNG+되/XSV+었/EP+다가/EC
1995년	1995/SN+년/NNB
부활했다.	부활/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.311.4.3
내년이면 지방자치가 사실상 성년식(成年式)을 치르게 되는 셈이다.

내년이면	내년/NNG+이/VCP+면/EC
지방자치가	지방/NNG+자치/NNG+가/JKS
사실상	사실/NNG+상/XSN
성년식(成年式)을	성년식/NNG+(/SS+成年式/SH+)/SS+을/JKO
치르게	치르/VV+게/EC
되는	되/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.4.4
지방자치가 한 단계 더 업그레이드되려면 내년 선거를 그간의 명암(明暗)을 명백히 가리는 기회로 삼아야 한다.

지방자치가	지방/NNG+자치/NNG+가/JKS
한	한/MMN
단계	단계/NNG
더	더/MAG
업그레이드되려면	업그레이드/NNG+되/XSV+려면/EC
내년	내년/NNG
선거를	선거/NNG+를/JKO
그간의	그/NP+간/XSN+의/JKG
명암(明暗)을	명암/NNG+(/SS+明暗/SH+)/SS+을/JKO
명백히	명백히/MAG
가리는	가리/VV+는/ETM
기회로	기회/NNG+로/JKB
삼아야	삼/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.311.5.1
1990년대 초까지만 해도 군수가 부임하면 유생(儒生) 할아버지들이 "나라님 오셨다"며 삿갓 쓰고 가서 절을 했다.

1990년대	1990/SN+년대/NNB
초까지만	초/NNB+까지/JX+만/JX
해도	하/VV+아도/EC
군수가	군수/NNG+가/JKS
부임하면	부임/NNG+하/XSV+면/EC
유생(儒生)	유생/NNG+(/SS+儒生/SH+)/SS
할아버지들이	할아버지/NNG+들/XSN+이/JKS
"나라님	"/SS+나라/NNG+님/XSN
오셨다"며	오/VV+시/EP+었/EP+다/EF+"/SS+며/EC
삿갓	삿갓/NNG
쓰고	쓰/VV+고/EC
가서	가/VV+아서/EC
절을	절/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.311.5.2
구청이나 군청에 민원 때문에 가면 IQ가 20은 낮아진다는 우스갯소리도 나돌았다.

구청이나	구청/NNG+이나/JC
군청에	군청/NNG+에/JKB
민원	민원/NNG
때문에	때문/NNB+에/JKB
가면	가/VV+면/EC
IQ가	IQ/SL+가/JKS
20은	20/SN+은/JX
낮아진다는	낮/VA+아/EC+지/VX+ㄴ다는/ETM
우스갯소리도	우스갯소리/NNG+도/JX
나돌았다.	나돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.311.5.3
관과 마주하면 졸아드는 민(民)의 심정을 빗댄 말이다.

관과	관/NNG+과/JKB
마주하면	마주/MAG+하/XSV+면/EC
졸아드는	졸아들/VV+는/ETM
민(民)의	민/NNG+(/SS+民/SH+)/SS+의/JKG
심정을	심정/NNG+을/JKO
빗댄	빗대/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.6.1
요즘 시청이나 구청 공무원들은 싹싹하다.

요즘	요즘/NNG
시청이나	시청/NNG+이나/JC
구청	구청/NNG
공무원들은	공무원/NNG+들/XSN+은/JX
싹싹하다.	싹싹하/VA+다/EF+./SF


# id : NWRW1800000038.311.6.2
서비스가 은행원 못지않다.

서비스가	서비스/NNG+가/JKS
은행원	은행원/NNG
못지않다.	못지않/VA+다/EF+./SF


# id : NWRW1800000038.311.6.3
주민들의 표를 얻어야 당선되는 단체장들이 바꿔놓은 단면이다.

주민들의	주민/NNG+들/XSN+의/JKG
표를	표/NNG+를/JKO
얻어야	얻/VV+어야/EC
당선되는	당선/NNG+되/XSV+는/ETM
단체장들이	단체장/NNG+들/XSN+이/JKS
바꿔놓은	바꾸/VV+어/EC+놓/VX+은/ETM
단면이다.	단면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.6.4
주민들의 발을 씻겨주는 세족식(洗足式)을 하는 구청장도 있다.

주민들의	주민/NNG+들/XSN+의/JKG
발을	발/NNG+을/JKO
씻겨주는	씻기/VV+어/EC+주/VX+는/ETM
세족식(洗足式)을	세족식/NNG+(/SS+洗足式/SH+)/SS+을/JKO
하는	하/VV+는/ETM
구청장도	구청장/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.311.6.5
주민 참여 예산제, 주민 참여 감사제를 도입한 자치단체도 적지 않다.

주민	주민/NNG
참여	참여/NNG
예산제,	예산/NNG+제/XSN+,/SP
감사제를	감사/NNG+제/XSN+를/JKO
도입한	도입/NNG+하/XSV+ㄴ/ETM
자치단체도	자치/NNG+단체/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.311.6.6
지방자치가 아니었으면 주민이 주인(主人)이라는 인식이 지금처럼 퍼지기는 어려웠을 것이다.

지방자치가	지방/NNG+자치/NNG+가/JKC
아니었으면	아니/VCN+었/EP+으면/EC
주민이	주민/NNG+이/JKS
주인(主人)이라는	주인/NNG+(/SS+主人/SH+)/SS+이/VCP+라는/ETM
인식이	인식/NNG+이/JKS
지금처럼	지금/NNG+처럼/JKB
퍼지기는	퍼지/VV+기/ETN+는/JX
어려웠을	어렵/VA+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.7.1
그러나 이런 변화들은 일부 지역에선 피상적일 뿐이다.

그러나	그러나/MAJ
이런	이런/MMD
변화들은	변화/NNG+들/XSN+은/JX
일부	일부/NNG
지역에선	지역/NNG+에서/JKB+ㄴ/JX
피상적일	피상/NNG+적/XSN+이/VCP+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.7.2
이문열의 소설 '우리들의 일그러진 영웅'에 나오는 엄석대는 급우들 위에 군림하는 학급반장이다.

이문열의	이문열/NNP+의/JKG
소설	소설/NNG
'우리들의	'/SS+우리/NP+들/XSN+의/JKG
일그러진	일그러지/VV+ㄴ/ETM
영웅'에	영웅/NNG+'/SS+에/JKB
나오는	나오/VV+는/ETM
엄석대는	엄석대/NNP+는/JX
급우들	급우/NNG+들/XSN
위에	위/NNG+에/JKB
군림하는	군림/NNG+하/XSV+는/ETM
학급반장이다.	학급/NNG+반장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.7.3
친구 물건을 빼앗고 자신의 시험 답안을 과목별로 제일 우수한 급우들에게 대신 써내게 하지만 겉으로는 전교 1등의 모범생이다.

친구	친구/NNG
물건을	물건/NNG+을/JKO
빼앗고	빼앗/VV+고/EC
자신의	자신/NNG+의/JKG
시험	시험/NNG
답안을	답안/NNG+을/JKO
과목별로	과목/NNG+별/XSN+로/JKB
제일	제일/MAG
우수한	우수/NNG+하/XSA+ㄴ/ETM
급우들에게	급우/NNG+들/XSN+에게/JKB
대신	대신/NNG
써내게	써내/VV+게/EC
하지만	하/VX+지만/EC
겉으로는	겉/NNG+으로/JKB+는/JX
전교	전교/NNG
1등의	1/SN+등/NNB+의/JKG
모범생이다.	모범/NNG+생/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.8.1
이런 '엄석대형' 단체장들이 중앙의 통제가 희미해진 틈을 타서 일부 지역에 생겨났다.

이런	이런/MMD
'엄석대형'	'/SS+엄석대/NNP+형/XSN+'/SS
단체장들이	단체장/NNG+들/XSN+이/JKS
중앙의	중앙/NNG+의/JKG
통제가	통제/NNG+가/JKS
희미해진	희미하/VA+아/EC+지/VX+ㄴ/ETM
틈을	틈/NNG+을/JKO
타서	타/VV+아서/EC
일부	일부/NNG
지역에	지역/NNG+에/JKB
생겨났다.	생겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.311.8.2
특히 '공천=당선'이나 마찬가지인 지역에선 단체장들이 공천권을 갖고 있는 중앙당과 국회의원들에게만 을(乙) 행세를 할 뿐 갑(甲)질에 능란하다.

특히	특히/MAG
'공천=당선'이나	'/SS+공천/NNG+=/SW+당선/NNG+'/SS+이나/JC
마찬가지인	마찬가지/NNG+이/VCP+ㄴ/ETM
지역에선	지역/NNG+에서/JKB+ㄴ/JX
단체장들이	단체장/NNG+들/XSN+이/JKS
공천권을	공천/NNG+권/XSN+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
중앙당과	중앙당/NNG+과/JC
국회의원들에게만	국회/NNG+의원/NNG+들/XSN+에게/JKB+만/JX
을(乙)	을/NNG+(/SS+乙/SH+)/SS
행세를	행세/NNG+를/JKO
할	하/VV+ㄹ/ETM
뿐	뿐/NNB
갑(甲)질에	갑/NNG+(/SS+甲/SH+)/SS+질/XSN+에/JKB
능란하다.	능란하/VA+다/EF+./SF


# id : NWRW1800000038.311.8.3
예산과 각종 인허가권을 쥔 단체장을 지방의회가 견제하기엔 역부족이다.

예산과	예산/NNG+과/JC
각종	각종/NNG
인허가권을	인허가/NNG+권/XSN+을/JKO
쥔	쥐/VV+ㄴ/ETM
단체장을	단체장/NNG+을/JKO
지방의회가	지방/NNG+의회/NNG+가/JKS
견제하기엔	견제/NNG+하/XSV+기/ETN+에/JKB+ㄴ/JX
역부족이다.	역부족/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.8.4
어떤 시(市)의회는 지난 3년간 시장이 제출한 안건을 단 한 번 부결시켰다.

어떤	어떤/MMD
시(市)의회는	시/NNG+(/SS+市/SH+)/SS+의회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3년간	3/SN+년/NNB+간/XSN
시장이	시장/NNG+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
안건을	안건/NNG+을/JKO
단	단/MMA
한	한/MMN
번	번/NNB
부결시켰다.	부결/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.311.8.5
지방정부 광고가 수입의 상당 부분을 차지하는 일부 지역 언론들도 단체장들에겐 을이다.

지방정부	지방/NNG+정부/NNG
광고가	광고/NNG+가/JKS
수입의	수입/NNG+의/JKG
상당	상당/NNG
부분을	부분/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
일부	일부/NNG
지역	지역/NNG
언론들도	언론/NNG+들/XSN+도/JX
단체장들에겐	단체장/NNG+들/XSN+에게/JKB+ㄴ/JX
을이다.	을/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.9.1
의회와 언론이 두렵지 않은 단체장은 무소불위(無所不爲)가 된다.

의회와	의회/NNG+와/JC
언론이	언론/NNG+이/JKS
두렵지	두렵/VA+지/EC
않은	않/VX+은/ETM
단체장은	단체장/NNG+은/JX
무소불위(無所不爲)가	무소불위/NNG+(/SS+無所不爲/SH+)/SS+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.311.9.2
3선(選) 제한이 없었다면 죽을 때까지 자리를 지키려는 단체장들이 적지 않을 것이다.

3선(選)	3/SN+선/NNB+(/SS+選/SH+)/SS
제한이	제한/NNG+이/JKS
없었다면	없/VA+었/EP+다면/EC
죽을	죽/VV+을/ETM
때까지	때/NNG+까지/JX
자리를	자리/NNG+를/JKO
지키려는	지키/VV+려는/ETM
단체장들이	단체장/NNG+들/XSN+이/JKS
적지	적/VA+지/EC
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.9.3
단체장과 지방의원, 지방공무원, 토호 세력 간에 얽힌 먹이사슬은 그들만의 기득권을 유지하는 강고한 체제다.

단체장과	단체장/NNG+과/JC
지방의원,	지방/NNG+의원/NNG+,/SP
지방공무원,	지방/NNG+공무원/NNG+,/SP
토호	토호/NNG
세력	세력/NNG
간에	간/NNB+에/JKB
얽힌	얽히/VV+ㄴ/ETM
먹이사슬은	먹이/NNG+사슬/NNG+은/JX
그들만의	그/NP+들/XSN+만/JX+의/JKG
기득권을	기득/NNG+권/XSN+을/JKO
유지하는	유지/NNG+하/XSV+는/ETM
강고한	강고하/VA+ㄴ/ETM
체제다.	체제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.9.4
일부 지역에선 공무원이 승진할 때 상납해야 하는 액수가 급수별로 정해져 있다고 한다.

일부	일부/NNG
지역에선	지역/NNG+에서/JKB+ㄴ/JX
공무원이	공무원/NNG+이/JKS
승진할	승진/NNG+하/XSV+ㄹ/ETM
때	때/NNG
상납해야	상납/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
액수가	액수/NNG+가/JKS
급수별로	급수/NNG+별/XSN+로/JKB
정해져	정하/VV+아/EC+지/VX+어/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.311.9.5
하지만 누구도 폭로하지 못한다.

하지만	하지만/MAJ
누구도	누구/NP+도/JX
폭로하지	폭로/NNG+하/XSV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.311.9.6
폭로하는 순간 '매장'을 당하기 때문이다.

폭로하는	폭로/NNG+하/XSV+는/ETM
순간	순간/NNG
'매장'을	'/SS+매장/NNG+'/SS+을/JKO
당하기	당하/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.9.7
마치 엄석대의 급우들이 엄석대의 비행을 눈감아주는 대신 그 그늘에서 편하게 지내는 것과 비슷하다.

마치	마치/MAG
엄석대의	엄석대/NNP+의/JKG
급우들이	급우/NNG+들/XSN+이/JKS
비행을	비행/NNG+을/JKO
눈감아주는	눈감/VV+아/EC+주/VX+는/ETM
대신	대신/NNG
그	그/MMD
그늘에서	그늘/NNG+에서/JKB
편하게	편하/VA+게/EC
지내는	지내/VV+는/ETM
것과	것/NNB+과/JKB
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000038.311.9.8
이런 먹이사슬은 중앙으로까지 이어져 있다.

이런	이런/MMD
먹이사슬은	먹이/NNG+사슬/NNG+은/JX
중앙으로까지	중앙/NNG+으로/JKB+까지/JX
이어져	이어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.311.9.9
중앙의 거물들은 지역에선 '상왕(上王)', '태상왕(太上王)'으로 불린다.

중앙의	중앙/NNG+의/JKG
거물들은	거물/NNG+들/XSN+은/JX
지역에선	지역/NNG+에서/JKB+ㄴ/JX
'상왕(上王)',	'/SS+상왕/NNG+(/SS+上王/SH+)/SS+'/SS+,/SP
'태상왕(太上王)'으로	'/SS+태상왕/NNG+(/SS+太上王/SH+)/SS+'/SS+으로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.311.9.10
어떤 '상왕'은 지방공무원 인사까지 일일이 개입한다는 얘기도 들린다.

어떤	어떤/MMD
'상왕'은	'/SS+상왕/NNG+'/SS+은/JX
지방공무원	지방/NNG+공무원/NNG
인사까지	인사/NNG+까지/JX
일일이	일일이/MAG
개입한다는	개입/NNG+하/XSV+ㄴ다는/ETM
얘기도	얘기/NNG+도/JX
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.311.10.1
엄석대의 승승장구는 새 담임 선생님이 와서 회초리를 들고 진실을 밝혀내는 것으로 막을 내린다.

엄석대의	엄석대/NNP+의/JKG
승승장구는	승승장구/NNG+는/JX
새	새/MMA
담임	담임/NNG
선생님이	선생/NNG+님/XSN+이/JKS
와서	오/VV+아서/EC
회초리를	회초리/NNG+를/JKO
들고	들/VV+고/EC
진실을	진실/NNG+을/JKO
밝혀내는	밝혀내/VV+는/ETM
것으로	것/NNB+으로/JKB
막을	막/NNG+을/JKO
내린다.	내리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.311.10.2
선거에서 회초리는 유권자 몫이다.

선거에서	선거/NNG+에서/JKB
회초리는	회초리/NNG+는/JX
유권자	유권자/NNG
몫이다.	몫/NNG+이/VCP+다/EF+./SF


