# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.289
metadata : {}


# id : NWRW1800000037.289.1.1
[송평인 칼럼]‘알 권리’ 주의자들의 ‘모를 의무’ 주장

[송평인	[/SS+송평인/NNP
측면에서	측면/NNG+에서/JKB
공공기록물관리법과	공공/NNG+기록물/NNG+관리법/NNG+과/JKB
달리	달리/MAG
심각한	심각하/VA+ㄴ/ETM
문제를	문제/NNG+를/JKO
안고	안/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.289.3.3
NLL 대화록은 공공 기록물로도, 대통령 기록물로도 볼 수 있다.

NLL	NLL/SL
대화록은	대화록/NNG+은/JX
공공	공공/NNG
기록물로도,	기록물/NNG+로/JKB+도/JX+,/SP
대통령	대통령/NNG
기록물로도	기록물/NNG+로/JKB+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.289.3.4
두 가지로 다 볼 여지가 있을 경우 알 권리를 주장하는 사람이라면 공공 기록물로 볼 것이고, 국민이 아는 게 두려운 사람은 대통령 기록물로 볼 것이다.

두	두/MMN
가지로	가지/NNB+로/JKB
다	다/MAG
볼	보/VV+ㄹ/ETM
여지가	여지/NNB+가/JKS
있을	있/VA+을/ETM
경우	경우/NNG
알	알/VV+ㄹ/ETM
권리를	권리/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
사람이라면	사람/NNG+이/VCP+라면/EC
공공	공공/NNG
기록물로	기록물/NNG+로/JKB
것이고,	것/NNB+이/VCP+고/EC+,/SP
국민이	국민/NNG+이/JKS
아는	알/VV+는/ETM
게	거/NNB+이/JKS
두려운	두렵/VA+ㄴ/ETM
사람은	사람/NNG+은/JX
대통령	대통령/NNG
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.289.4.1
대통령기록물관리법은 한번 어떤 자료를 비공개로 지정하면 이를 열람하는 것이 사실상 불가능하도록 만들어놓았다.

대통령기록물관리법은	대통령/NNG+기록물/NNG+관리법/NNG+은/JX
한번	한번/MAG
어떤	어떤/MMD
자료를	자료/NNG+를/JKO
비공개로	비/XPN+공개/NNG+로/JKB
지정하면	지정/NNG+하/XSV+면/EC
이를	이/NP+를/JKO
열람하는	열람/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
사실상	사실/NNG+상/XSN
불가능하도록	불/XPN+가능/NNG+하/XSA+도록/EC
만들어놓았다.	만들/VV+어/EC+놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.289.4.2
미국의 대통령기록물법(Presidential Records Act)은 비공개로 지정되더라도 의회나 현직 대통령이 요구할 경우 달리 그 내용을 알 방법이 없다면 관리책임자가 이를 볼 수 있도록 허용한다.

미국의	미국/NNP+의/JKG
대통령기록물법(Presidential	대통령/NNG+기록물/NNG+법/NNG+(/SS+Presidential/SL
Records	Records/SL
Act)은	Act/SL+)/SS+은/JX
비공개로	비/XPN+공개/NNG+로/JKB
지정되더라도	지정/NNG+되/XSV+더라도/EC
의회나	의회/NNG+나/JC
현직	현직/NNG
대통령이	대통령/NNG+이/JKS
요구할	요구/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
달리	달리/MAG
그	그/MMD
내용을	내용/NNG+을/JKO
알	알/VV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없다면	없/VA+다면/EC
관리책임자가	관리/NNG+책임자/NNG+가/JKS
이를	이/NP+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허용한다.	허용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.289.4.3
그러나 우리나라 법은 현직 대통령이 참고하려고 해도 아예 볼 수 없게 해놓고, 국회도 3분의 2의 정족수로 의결해야 볼 수 있게 해놓았다.

그러나	그러나/MAJ
우리나라	우리나라/NNG
법은	법/NNG+은/JX
현직	현직/NNG
대통령이	대통령/NNG+이/JKS
참고하려고	참고/NNG+하/XSV+려고/EC
해도	하/VX+아도/EC
아예	아예/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
해놓고,	하/VX+아/EC+놓/VX+고/EC+,/SP
국회도	국회/NNG+도/JX
3분의	3/SN+분/XSN+의/JKG
2의	2/SN+의/JKG
정족수로	정족수/NNG+로/JKB
의결해야	의결/NNG+하/XSV+아야/EC
있게	있/VA+게/EC
해놓았다.	하/VX+아/EC+놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.289.4.4
공개는 고사하고 열람하는 데만 헌법 개정 정족수가 필요하니 볼 생각조차 말라는 것이나 다름없다.

공개는	공개/NNG+는/JX
고사하고	고사하/VV+고/EC
열람하는	열람/NNG+하/XSV+는/ETM
데만	데/NNB+만/JX
헌법	헌법/NNG
개정	개정/NNG
정족수가	정족수/NNG+가/JKS
필요하니	필요/NNG+하/XSA+니/EC
볼	보/VV+ㄹ/ETM
생각조차	생각/NNG+조차/JX
말라는	말/VV+라는/ETM
것이나	것/NNB+이나/JX
다름없다.	다름없/VA+다/EF+./SF


# id : NWRW1800000037.289.5.1
노무현 전 대통령은 김정일에게 “NLL이라는 것이 이상하게 생겨 가지고 무슨 괴물처럼 함부로 못 건드리는 물건이 돼 있다”는 말을 했다.

노무현	노무현/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
김정일에게	김정일/NNP+에게/JKB
“NLL이라는	“/SS+NLL/SL+이/VCP+라는/ETM
것이	것/NNB+이/JKS
이상하게	이상/NNG+하/XSA+게/EC
생겨	생기/VV+어/EC
가지고	가지/VX+고/EC
무슨	무슨/MMD
괴물처럼	괴물/NNG+처럼/JKB
함부로	함부로/MAG
못	못/MAG
건드리는	건드리/VV+는/ETM
물건이	물건/NNG+이/JKC
돼	되/VV+어/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
말을	말/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.289.5.2
표절 좀 하자면 대통령 지정 기록물이라는 것이 이상하게 생겨 가지고 무슨 괴물처럼 함부로 못 건드리는 물건이 돼 있다.

표절	표절/NNG
좀	좀/MAG
하자면	하/VV+자면/EC
대통령	대통령/NNG
지정	지정/NNG
기록물이라는	기록물/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
이상하게	이상/NNG+하/XSA+게/EC
생겨	생기/VV+어/EC
가지고	가지/VX+고/EC
무슨	무슨/MMD
괴물처럼	괴물/NNG+처럼/JKB
함부로	함부로/MAG
못	못/MAG
건드리는	건드리/VV+는/ETM
물건이	물건/NNG+이/JKC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.289.5.3
비밀로 지정하는 것은 좋은데 필요할 때는 볼 수 있는 길도 열어 둬야 한다.

비밀로	비밀/NNG+로/JKB
지정하는	지정/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
좋은데	좋/VA+은데/EC
필요할	필요/NNG+하/XSA+ㄹ/ETM
때는	때/NNG+는/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길도	길/NNG+도/JX
열어	열/VV+어/EC
둬야	두/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.289.5.4
그렇지 않으니 대통령기록물관리법은 몹쓸 법인 것이다.

그렇지	그렇/VA+지/EC
않으니	않/VX+으니/EC
대통령기록물관리법은	대통령/NNG+기록물/NNG+관리법/NNG+은/JX
몹쓸	몹쓸/MMA
법인	법/NNG+이/VCP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.289.5.5
노 전 대통령이 살아 있었다면 NLL 대화록 논란에 먼저 ‘까자(공개하자)’고 했을지 모른다.

노	노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
살아	살/VV+아/EC
있었다면	있/VX+었/EP+다면/EC
NLL	NLL/SL
대화록	대화록/NNG
논란에	논란/NNG+에/JKB
먼저	먼저/MAG
‘까자(공개하자)’고	‘/SS+까/VV+자/EF+(/SS+공개/NNG+하/XSV+자/EF+)/SS+’/SS+고/JKQ
했을지	하/VV+았/EP+을지/EF
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.289.5.6
유감스럽게도 전임 대통령 스스로도 열람은 할 수 있지만 공개는 못하는 게 대통령기록물관리법이다.

유감스럽게도	유감/NNG+스럽/XSA+게/EC+도/JX
전임	전임/NNG
대통령	대통령/NNG
스스로도	스스로/NNG+도/JX
열람은	열람/NNG+은/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
공개는	공개/NNG+는/JX
못하는	못하/VX+는/ETM
게	거/NNB+이/JKS
대통령기록물관리법이다.	대통령/NNG+기록물/NNG+관리법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.289.6.1
비밀 물신(物神)주의에서 벗어나야 한다.

비밀	비밀/NNG
물신(物神)주의에서	물신/NNG+(/SS+物神/SH+)/SS+주의/NNG+에서/JKB
벗어나야	벗어나/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.289.6.2
비밀은 사람이 정한다.

비밀은	비밀/NNG+은/JX
사람이	사람/NNG+이/JKS
정한다.	정하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.289.6.3
그런데도 원래부터 비밀이어서 사람은 어떻게 할 수 없는 것처럼 비밀에 종속되는 현상을 물신주의라고 부른다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
원래부터	원래/NNG+부터/JX
비밀이어서	비밀/NNG+이/VCP+어서/EC
사람은	사람/NNG+은/JX
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
것처럼	것/NNB+처럼/JKB
비밀에	비밀/NNG+에/JKB
종속되는	종속/NNG+되/XSV+는/ETM
현상을	현상/NNG+을/JKO
물신주의라고	물신주의/NNG+이/VCP+라고/EC
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.289.6.4
정상회담 회의록이라고 영원한 비밀은 아니다.

정상회담	정상/NNG+회담/NNG
회의록이라고	회의록/NNG+이/VCP+라고/EC
영원한	영원/NNG+하/XSA+ㄴ/ETM
비밀은	비밀/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000037.289.6.5
대통령기록물관리법에 따라도 15년 뒤에는 공개된다.

대통령기록물관리법에	대통령/NNG+기록물/NNG+관리법/NNG+에/JKB
따라도	따르/VV+아도/EC
15년	15/SN+년/NNB
뒤에는	뒤/NNG+에/JKB+는/JX
공개된다.	공개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.289.6.6
물론 2007년 정상회담은 5년여가 지났을 뿐이지만 그 사이 회담 당사자인 노 전 대통령과 김정일이 사망했다.

물론	물론/MAG
2007년	2007/SN+년/NNB
정상회담은	정상/NNG+회담/NNG+은/JX
5년여가	5/SN+년/NNB+여/XSN+가/JKS
지났을	지나/VV+았/EP+을/ETM
뿐이지만	뿐/NNB+이/VCP+지만/EC
그	그/MMD
사이	사이/NNG
회담	회담/NNG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
노	노/NNP
전	전/MMD
대통령과	대통령/NNG+과/JC
김정일이	김정일/NNP+이/JKS
사망했다.	사망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.289.6.7
앞으로 크게 달라질 상황은 없다.

앞으로	앞/NNG+으로/JKB
크게	크/VA+게/EC
달라질	달라지/VV+ㄹ/ETM
상황은	상황/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.289.6.8
그렇다면 15년에 집착하지 말고 유연하게 다룰 필요가 있다.

그렇다면	그렇/VA+다면/EC
15년에	15/SN+년/NNB+에/JKB
집착하지	집착/NNG+하/XSV+지/EC
말고	말/VX+고/EC
유연하게	유연하/VA+게/EC
다룰	다루/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.289.7.1
국가정보원은 NLL 대화록을 공공기록물관리법에 따라 비밀에서 해제하고 공개했다.

국가정보원은	국가/NNG+정보원/NNG+은/JX
NLL	NLL/SL
대화록을	대화록/NNG+을/JKO
공공기록물관리법에	공공/NNG+기록물/NNG+관리법/NNG+에/JKB
따라	따르/VV+아/EC
비밀에서	비밀/NNG+에서/JKB
해제하고	해제/NNG+하/XSV+고/EC
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.289.7.2
국정원장은 이를 비밀에서 해제할 정당한 권한을 갖고 있다.

국정원장은	국정원장/NNG+은/JX
이를	이/NP+를/JKO
비밀에서	비밀/NNG+에서/JKB
해제할	해제/NNG+하/XSV+ㄹ/ETM
정당한	정당하/VA+ㄴ/ETM
권한을	권한/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.289.7.3
그러나 정략적 의도도 없지 않다.

그러나	그러나/MAJ
정략적	정략/NNG+적/XSN
의도도	의도/NNG+도/JX
없지	없/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000037.289.7.4
그렇다 하더라도 알 권리의 편에 서는 사람이라면 NLL 대화록의 공개 자체를 비판할 수 없다.

그렇다	그렇/VA+다/EF
하더라도	하/VV+더라도/EC
알	알/VV+ㄹ/ETM
권리의	권리/NNG+의/JKG
편에	편/NNG+에/JKB
서는	서/VV+는/ETM
사람이라면	사람/NNG+이/VCP+라면/EC
NLL	NLL/SL
대화록의	대화록/NNG+의/JKG
공개	공개/NNG
자체를	자체/NNG+를/JKO
비판할	비판/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.289.7.5
대선은 끝났고 국민은 대선 기간에 초관심사였던 NLL 대화록에 대해 되도록 많은 것을 알 권리가 있기 때문이다.

대선은	대선/NNG+은/JX
끝났고	끝나/VV+았/EP+고/EC
국민은	국민/NNG+은/JX
대선	대선/NNG
기간에	기간/NNG+에/JKB
초관심사였던	초/XPN+관심사/NNG+이/VCP+었/EP+던/ETM
NLL	NLL/SL
대화록에	대화록/NNG+에/JKB
대해	대하/VV+아/EC
되도록	되/VV+도록/EC
많은	많/VA+은/ETM
것을	것/NNB+을/JKO
알	알/VV+ㄹ/ETM
권리가	권리/NNG+가/JKS
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.289.8.1
문재인 전 민주당 대선 후보, 이재정 전 통일부 장관, 김만복 전 국정원장 등은 2007년 정상회담에서 NLL 관련 논의는 전혀 없었다고 말했다.

문재인	문재인/NNP
전	전/MMD
민주당	민주당/NNP
대선	대선/NNG
후보,	후보/NNG+,/SP
이재정	이재정/NNP
통일부	통일부/NNG
장관,	장관/NNG+,/SP
김만복	김만복/NNP
국정원장	국정원장/NNG
등은	등/NNB+은/JX
2007년	2007/SN+년/NNB
정상회담에서	정상/NNG+회담/NNG+에서/JKB
NLL	NLL/SL
관련	관련/NNG
논의는	논의/NNG+는/JX
전혀	전혀/MAG
없었다고	없/VA+었/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.289.8.2
공개된 대화록을 보면 그것은 거짓말이다.

공개된	공개/NNG+되/XSV+ㄴ/ETM
대화록을	대화록/NNG+을/JKO
보면	보/VV+면/EC
그것은	그것/NP+은/JX
거짓말이다.	거짓말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.289.8.3
노 전 대통령의 말처럼 NLL이 괴물이 돼서는 안 된다.

노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
말처럼	말/NNG+처럼/JKB
NLL이	NLL/SL+이/JKS
괴물이	괴물/NNG+이/JKC
돼서는	되/VV+어서/EC+는/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.289.8.4
세계 역사에 땅을 주고 평화를 산 경우는 얼마든지 있다.

세계	세계/NNG
역사에	역사/NNG+에/JKB
땅을	땅/NNG+을/JKO
주고	주/VV+고/EC
평화를	평화/NNG+를/JKO
산	사/VV+ㄴ/ETM
경우는	경우/NNG+는/JX
얼마든지	얼마/NNG+든지/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.289.8.5
다만 사실상의 영토선으로 인식되고 있는 NLL을 무력화하려는 주장을 하려면 국민에게 동의를 얻었어야 한다.

다만	다만/MAG
사실상의	사실/NNG+상/XSN+의/JKG
영토선으로	영토/NNG+선/NNG+으로/JKB
인식되고	인식/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
NLL을	NLL/SL+을/JKO
무력화하려는	무력/NNG+화/XSN+하/XSV+려는/ETM
주장을	주장/NNG+을/JKO
하려면	하/VV+려면/EC
국민에게	국민/NNG+에게/JKB
동의를	동의/NNG+를/JKO
얻었어야	얻/VV+었/EP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.289.8.6
솔직히 말해 노 전 대통령의 생각은 대화록이 공개되지 않았어도 그간의 발언과 행적으로 다 미뤄 알고 있던 것이다.

솔직히	솔직히/MAG
말해	말/NNG+하/XSV+아/EC
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
생각은	생각/NNG+은/JX
대화록이	대화록/NNG+이/JKS
공개되지	공개/NNG+되/XSV+지/EC
않았어도	않/VX+았/EP+어도/EC
그간의	그/NP+간/XSN+의/JKG
발언과	발언/NNG+과/JC
행적으로	행적/NNG+으로/JKB
다	다/MAG
미뤄	미루/VV+어/EC
알고	알/VV+고/EC
있던	있/VX+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.289.8.7
그걸 굳이 비밀의 문 뒤에 애써 숨겨야 정치적으로 연명할 수 있는 사람이 적지 않다.

그걸	그거/NP+ㄹ/JKO
굳이	굳이/MAG
비밀의	비밀/NNG+의/JKG
문	문/NNG
뒤에	뒤/NNG+에/JKB
애써	애쓰/VV+어/EC
숨겨야	숨기/VV+어야/EC
정치적으로	정치/NNG+적/XSN+으로/JKB
연명할	연명/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람이	사람/NNG+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


