# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.174
metadata : {}


# id : NWRW1800000049.174.1.1
장기 결석자 찾을 생각도 않는 ‘3無 교육현장’

장기	장기/NNG
직접	직접/MAG
찾아	찾/VV+아/EC
나서지	나서/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.174.6.1
교육계에서는 교사가 학생에게 애정을 쏟고 헌신하는 문화가 급격히 약해지고 있다고 보고 있다.

교육계에서는	교육/NNG+계/XSN+에서/JKB+는/JX
교사가	교사/NNG+가/JKS
학생에게	학생/NNG+에게/JKB
애정을	애정/NNG+을/JKO
쏟고	쏟/VV+고/EC
헌신하는	헌신/NNG+하/XSV+는/ETM
문화가	문화/NNG+가/JKS
급격히	급격히/MAG
약해지고	약하/VA+아/EC+지/VX+고/EC
있다고	있/VX+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.174.6.2
교직을 선택하는 주된 이유가 정년 보장과 연금 등 ‘직업 안정성’에 초점이 맞춰지면서 스승으로서의 사명감이 떨어진다는 지적이 제기된다.

교직을	교직/NNG+을/JKO
선택하는	선택/NNG+하/XSV+는/ETM
주된	주/NNG+되/XSV+ㄴ/ETM
이유가	이유/NNG+가/JKS
정년	정년/NNG
보장과	보장/NNG+과/JC
연금	연금/NNG
등	등/NNB
‘직업	‘/SS+직업/NNG
안정성’에	안정/NNG+성/XSN+’/SS+에/JKB
초점이	초점/NNG+이/JKS
맞춰지면서	맞추/VV+어/EC+지/VX+면서/EC
스승으로서의	스승/NNG+으로서/JKB+의/JKG
사명감이	사명감/NNG+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.174.6.3
2013년 경제협력개발기구(OECD) 회원국의 중학교 교사 10만5000여 명을 분석한 결과 ‘교사가 된 것을 후회한다’는 비율은 한국이 20.1%(평균 9.5%)로 가장 높았다.

2013년	2013/SN+년/NNB
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국의	회원국/NNG+의/JKG
중학교	중학교/NNG
교사	교사/NNG
10만5000여	10/SN+만/NR+5000/SN+여/XSN
명을	명/NNB+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
‘교사가	‘/SS+교사/NNG+가/JKC
된	되/VV+ㄴ/ETM
것을	것/NNB+을/JKO
후회한다’는	후회/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
비율은	비율/NNG+은/JX
한국이	한국/NNP+이/JKS
20.1%(평균	20/SN+./SP+1/SN+%/SW+(/SS+평균/NNG
9.5%)로	9/SN+./SP+5/SN+%/SW+)/SS+로/JKB
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.174.7.1
○ 명분만 강조하는 행정

○	○/SW
명분만	명분/NNG+만/JX
강조하는	강조/NNG+하/XSV+는/ETM
행정	행정/NNG


# id : NWRW1800000049.174.8.1
학생을 보호해야 할 교육행정이 ‘몸 사리기’에 급급하다는 비판도 나온다.

학생을	학생/NNG+을/JKO
보호해야	보호/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
교육행정이	교육/NNG+행정/NNG+이/JKS
‘몸	‘/SS+몸/NNG
사리기’에	사리/VV+기/ETN+’/SS+에/JKB
급급하다는	급급하/VA+다는/ETM
비판도	비판/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.174.8.2
특히 일선 학교에서 가정방문이나 가정환경 조사를 자제하는 분위기도 논란의 대상이 되고 있다.

특히	특히/MAG
일선	일선/NNG
학교에서	학교/NNG+에서/JKB
가정방문이나	가정/NNG+방문/NNG+이나/JC
가정환경	가정/NNG+환경/NNG
조사를	조사/NNG+를/JKO
자제하는	자제/NNG+하/XSV+는/ETM
분위기도	분위기/NNG+도/JX
논란의	논란/NNG+의/JKG
대상이	대상/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.174.8.3
촌지 때문에 1990년대 이후 금지됐던 가정방문은 2008년 부활했지만 교사들 사이에서는 ‘괜히 방문했다가 오해를 받을 수 있다’는 인식이 팽배하다.

촌지	촌지/NNG
때문에	때문/NNB+에/JKB
1990년대	1990/SN+년대/NNB
이후	이후/NNG
금지됐던	금지/NNG+되/XSV+었/EP+던/ETM
가정방문은	가정/NNG+방문/NNG+은/JX
2008년	2008/SN+년/NNB
부활했지만	부활/NNG+하/XSV+았/EP+지만/EC
교사들	교사/NNG+들/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
‘괜히	‘/SS+괜히/MAG
방문했다가	방문/NNG+하/XSV+았/EP+다가/EC
오해를	오해/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
인식이	인식/NNG+이/JKS
팽배하다.	팽배/NNG+하/XSV+다/EF+./SF


# id : NWRW1800000049.174.8.4
개인정보를 침해하고 학생에 대한 선입견을 만들 수 있다는 이유로 가정환경 조사도 안 하는 분위기다.

개인정보를	개인/NNG+정보/NNG+를/JKO
침해하고	침해/NNG+하/XSV+고/EC
학생에	학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
선입견을	선입견/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
이유로	이유/NNG+로/JKB
가정환경	가정/NNG+환경/NNG
조사도	조사/NNG+도/JX
안	안/MAG
하는	하/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.174.8.5
하지만 명분만 앞세우다가 자칫 위험에 처한 학생을 놓치기 쉽다는 것이 문제다.

하지만	하지만/MAJ
명분만	명분/NNG+만/JX
앞세우다가	앞세우/VV+다가/EC
자칫	자칫/MAG
위험에	위험/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
학생을	학생/NNG+을/JKO
놓치기	놓치/VV+기/ETN
쉽다는	쉽/VA+다는/ETM
것이	것/NNB+이/JKS
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.174.8.6
최근 잇달아 발생한 아동학대 사건에서 교사들은 부모의 재혼 사실이나 학생이 현재 누구와 살고 있는지조차 알지 못했다.

최근	최근/NNG
잇달아	잇달/VV+아/EC
발생한	발생/NNG+하/XSV+ㄴ/ETM
아동학대	아동/NNG+학대/NNG
사건에서	사건/NNG+에서/JKB
교사들은	교사/NNG+들/XSN+은/JX
부모의	부모/NNG+의/JKG
재혼	재혼/NNG
사실이나	사실/NNG+이나/JC
학생이	학생/NNG+이/JKS
현재	현재/MAG
누구와	누구/NP+와/JKB
살고	살/VV+고/EC
있는지조차	있/VX+는지/EF+조차/JX
알지	알/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.174.9.1
○ 숫자로만 남는 아이들

○	○/SW
숫자로만	숫자/NNG+로/JKB+만/JX
남는	남/VV+는/ETM
아이들	아이/NNG+들/XSN


# id : NWRW1800000049.174.10.1
교육부는 해마다 전국 시도교육청을 통해 장기결석을 비롯한 학업 중단 학생 현황을 취합하지만 부정확하다.

교육부는	교육부/NNG+는/JX
해마다	해마다/MAG
전국	전국/NNG
시도교육청을	시도/NNG+교육청/NNG+을/JKO
통해	통하/VV+아/EC
장기결석을	장기/NNG+결석/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
학업	학업/NNG
중단	중단/NNG
학생	학생/NNG
현황을	현황/NNG+을/JKO
취합하지만	취합/NNG+하/XSV+지만/EC
부정확하다.	부/XPN+정확/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.174.10.2
지난해 4월 기준으로 교육부 통계의 장기결석 초등생은 105명이지만 올 초 경찰과 교육당국이 전수조사에 나선 결과 3배에 가까운 287명이나 되는 것으로 밝혀졌다.

지난해	지난해/NNG
4월	4/SN+월/NNB
기준으로	기준/NNG+으로/JKB
교육부	교육부/NNG
통계의	통계/NNG+의/JKG
장기결석	장기/NNG+결석/NNG
초등생은	초등/NNG+생/XSN+은/JX
105명이지만	105/SN+명/NNB+이/VCP+지만/EC
올	올/NNG
초	초/NNB
경찰과	경찰/NNG+과/JC
교육당국이	교육/NNG+당국/NNG+이/JKS
전수조사에	전수/NNG+조사/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
결과	결과/NNG
3배에	3/SN+배/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
287명이나	287/SN+명/NNB+이나/JX
되는	되/VV+는/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.174.10.3
중학생 장기결석 통계는 152명이지만 실제로는 훨씬 많은 아이가 학교에서 사라진 것으로 추정된다.

중학생	중학/NNG+생/XSN
장기결석	장기/NNG+결석/NNG
통계는	통계/NNG+는/JX
152명이지만	152/SN+명/NNB+이/VCP+지만/EC
실제로는	실제로/MAG+는/JX
훨씬	훨씬/MAG
많은	많/VA+은/ETM
아이가	아이/NNG+가/JKS
학교에서	학교/NNG+에서/JKB
사라진	사라지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.174.11.1
일선 학교는 6개월 이상 학교에 나오지 않은 학생을 ‘정원 외 관리대상’으로 분류만 한 뒤 사실상 방치한다.

일선	일선/NNG
학교는	학교/NNG+는/JX
6개월	6/SN+개월/NNB
이상	이상/NNG
학교에	학교/NNG+에/JKB
나오지	나오/VV+지/EC
않은	않/VX+은/ETM
학생을	학생/NNG+을/JKO
‘정원	‘/SS+정원/NNG
외	외/NNB
관리대상’으로	관리/NNG+대상/NNG+’/SS+으로/JKB
분류만	분류/NNG+만/JX
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
사실상	사실/NNG+상/XSN
방치한다.	방치/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.174.11.2
이 아이들은 전산망 속의 숫자로 남을 뿐이다.

이	이/MMD
아이들은	아이/NNG+들/XSN+은/JX
전산망	전산망/NNG
속의	속/NNG+의/JKG
숫자로	숫자/NNG+로/JKB
남을	남/VV+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.174.11.3
게다가 고교생 장기결석은 의무교육이 아니라는 이유로 대책조차 없다.

게다가	게다가/MAG
고교생	고교/NNG+생/XSN
장기결석은	장기/NNG+결석/NNG+은/JX
의무교육이	의무/NNG+교육/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
이유로	이유/NNG+로/JKB
대책조차	대책/NNG+조차/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.174.11.4
새누리당 김정훈 정책위의장은 이날 “장기결석 조사 범위를 고교생으로 확대하겠다”고 밝혔다.

새누리당	새누리당/NNP
김정훈	김정훈/NNP
정책위의장은	정책위/NNG+의장/NNG+은/JX
이날	이날/NNG
“장기결석	“/SS+장기/NNG+결석/NNG
조사	조사/NNG
범위를	범위/NNG+를/JKO
고교생으로	고교/NNG+생/XSN+으로/JKB
확대하겠다”고	확대/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


