# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.61
metadata : {}


# id : NWRW1800000044.61.1.1
갤럭시S5, 아이폰5s에 밀려

갤럭시S5,	갤럭시S5/NNP+,/SP
9월께	9/SN+월/NNB+께/XSN
대형화면(4.7~5.5인치)	대형/NNG+화면/NNG+(/SS+4/SN+./SP+7/SN+~/SO+5/SN+./SP+5/SN+인치/NNB+)/SS
스마트폰인	스마트폰/NNG+이/VCP+ㄴ/ETM
아이폰6를	아이폰6/NNP+를/JKO
새로	새로/MAG
출시할	출시/NNG+하/XSV+ㄹ/ETM
예정이라,	예정/NNG+이/VCP+라/EC+,/SP
프리미엄	프리미엄/NNG
제품에	제품/NNG+에/JKB
크게	크/VA+게/EC
기대고	기대/VV+고/EC
있는	있/VX+는/ETM
삼성전자의	삼성전자/NNP+의/JKG
걱정은	걱정/NNG+은/JX
더욱	더욱/MAG
커질	커지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.61.5.5
이에 삼성전자는 올 하반기 출시 예정인 갤럭시 노트4만으로는 애플의 공세를 막기 역부족이라 보고, 최고급 스마트폰인 갤럭시 알파(가칭)를 다음달께 선보이는 방안을 검토하고 있다.

이에	이/NP+에/JKB
삼성전자는	삼성전자/NNP+는/JX
올	올/NNG
하반기	하반기/NNG
출시	출시/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
갤럭시	갤럭시/NNP
노트4만으로는	노트/NNP+4/SN+만/JX+으로/JKB+는/JX
애플의	애플/NNP+의/JKG
공세를	공세/NNG+를/JKO
막기	막/VV+기/ETN
역부족이라	역부족/NNG+이/VCP+라/EC
보고,	보/VV+고/EC+,/SP
최고급	최/XPN+고급/NNG
스마트폰인	스마트폰/NNG+이/VCP+ㄴ/ETM
알파(가칭)를	알파/NNG+(/SS+가칭/NNG+)/SS+를/JKO
다음달께	다음/NNG+달/NNG+께/XSN
선보이는	선보이/VV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.61.6.1
한편, 이번 카운터포인트리서치 조사에서 1위 자리는 놓쳤지만 삼성전자는 10위권 안에 애플보다 더 많은 제품(5개)을 올렸다.

한편,	한편/MAG+,/SP
이번	이번/NNG
카운터포인트리서치	카운터포인트리서치/NNP
조사에서	조사/NNG+에서/JKB
1위	1/SN+위/NNB
자리는	자리/NNG+는/JX
놓쳤지만	놓치/VV+었/EP+지만/EC
삼성전자는	삼성전자/NNP+는/JX
10위권	10/SN+위/NNB+권/XSN
안에	안/NNG+에/JKB
애플보다	애플/NNP+보다/JKB
더	더/MAG
많은	많/VA+은/ETM
제품(5개)을	제품/NNG+(/SS+5/SN+개/NNB+)/SS+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.61.6.2
갤럭시S4와 갤럭시 노트3를 3∼4위를 차지하고, 갤럭시S4 미니와 갤럭시 그랜드2도 8위와 10위를 기록한 것이다.

갤럭시S4와	갤럭시S4/NNP+와/JC
갤럭시	갤럭시/NNP
노트3를	노트/NNP+3/SN+를/JKO
3∼4위를	3/SN+∼/SO+4/SN+위/NNB+를/JKO
차지하고,	차지/NNG+하/XSV+고/EC+,/SP
갤럭시S4	갤럭시S4/NNP
미니와	미니/NNG+와/JC
그랜드2도	그랜드/NNG+2/SN+도/JX
8위와	8/SN+위/NNB+와/JKB
10위를	10/SN+위/NNB+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.61.6.3
애플은 10위권 안에 총 3종(5위 아이폰5c, 6위 아이폰4s 포함)의 제품을 올렸다.

애플은	애플/NNP+은/JX
10위권	10/SN+위/NNB+권/XSN
안에	안/NNG+에/JKB
총	총/MMA
3종(5위	3/SN+종/NNG+(/SS+5/SN+위/NNB
아이폰5c,	아이폰5c/NNP+,/SP
6위	6/SN+위/NNB
아이폰4s	아이폰4s/NNP
포함)의	포함/NNG+)/SS+의/JKG
제품을	제품/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.61.6.4
‘중국의 애플’로 불리며 주목을 모아온 샤오미도 Mi3와 홍미 등 두 제품으로 7위와 9위를 차지했다.

‘중국의	‘/SS+중국/NNP+의/JKG
애플’로	애플/NNP+’/SS+로/JKB
불리며	불리/VV+며/EC
주목을	주목/NNG+을/JKO
모아온	모으/VV+아/EC+오/VX+ㄴ/ETM
샤오미도	샤오미/NNP+도/JX
Mi3와	Mi3/NNP+와/JC
홍미	홍미/NNP
등	등/NNB
두	두/MMN
제품으로	제품/NNG+으로/JKB
7위와	7/SN+위/NNB+와/JKB
9위를	9/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


