# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.361
metadata : {}


# id : NWRW1800000033.361.1.1
朴 “경찰인력 5년간 2만명 늘리겠다”

朴	朴/SH
박 후보는 이날 경찰의 지위와 처우 개선 공약발표회에서 “경찰 기본급을 공안직 수준으로 인상하고 휴일·야간 근무수당 단가를 인상하겠다”며 이같이 약속했다.

박	박/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
경찰의	경찰/NNG+의/JKG
지위와	지위/NNG+와/JC
처우	처우/NNG
개선	개선/NNG
공약발표회에서	공약/NNG+발표회/NNG+에서/JKB
“경찰	“/SS+경찰/NNG
기본급을	기본급/NNG+을/JKO
공안직	공안직/NNG
수준으로	수준/NNG+으로/JKB
인상하고	인상/NNG+하/XSV+고/EC
휴일·야간	휴일/NNG+·/SP+야간/NNG
근무수당	근무/NNG+수당/NNG
단가를	단가/NNG+를/JKO
인상하겠다”며	인상/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.361.3.3
그는 또 “경찰청장의 임기를 반드시 보장하겠다”고 말했다.

그는	그/NP+는/JX
또	또/MAG
“경찰청장의	“/SS+경찰청장/NNG+의/JKG
임기를	임기/NNG+를/JKO
반드시	반드시/MAG
보장하겠다”고	보장/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.361.4.1
하지만 큰 관심이었던 검경 수사권 분리에 대해서는 “효율적이고 책임 있는 수사를 위해 검경 간 견제와 균형의 원리에 따른 합리적 역할분담이 필요하다.

하지만	하지만/MAJ
큰	크/VA+ㄴ/ETM
관심이었던	관심/NNG+이/VCP+었/EP+던/ETM
검경	검경/NNG
수사권	수사/NNG+권/XSN
분리에	분리/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“효율적이고	“/SS+효율/NNG+적/XSN+이/VCP+고/EC
책임	책임/NNG
있는	있/VV+는/ETM
수사를	수사/NNG+를/JKO
위해	위하/VV+아/EC
간	간/NNB
견제와	견제/NNG+와/JC
균형의	균형/NNG+의/JKG
원리에	원리/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
합리적	합리/NNG+적/XSN
역할분담이	역할/NNG+분담/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.361.4.2
검경 협의를 하여 수사권 분점을 통한 합리적 배분을 추진하겠다”며 원론적인 입장만 밝혔다.

검경	검경/NNG
협의를	협의/NNG+를/JKO
하여	하/VV+아/EC
수사권	수사/NNG+권/XSN
분점을	분점/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
합리적	합리/NNG+적/XSN
배분을	배분/NNG+을/JKO
추진하겠다”며	추진/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
원론적인	원론/NNG+적/XSN+이/VCP+ㄴ/ETM
입장만	입장/NNG+만/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.361.5.1
박 후보는 이어 ‘중소기업·소상공인·벤처기업협력단’ 임명장 수여식에서 “미국 대기업은 골목상권에 진출하려고 해도 안티트러스트(반독점권)가 있기 때문에 할 수가 없다.

박	박/NNP
후보는	후보/NNG+는/JX
이어	이어/MAG
‘중소기업·소상공인·벤처기업협력단’	‘/SS+중소기업/NNG+·/SP+소/XPN+상공인/NNG+·/SP+벤처/NNG+기업/NNG+협력단/NNG+’/SS
임명장	임명장/NNG
수여식에서	수여식/NNG+에서/JKB
“미국	“/SS+미국/NNP
대기업은	대/XPN+기업/NNG+은/JX
골목상권에	골목/NNG+상권/NNG+에/JKB
진출하려고	진출/NNG+하/XSV+려고/EC
해도	하/VX+아도/EC
안티트러스트(반독점권)가	안티트러스트/NNG+(/SS+반/XPN+독점/NNG+권/XSN+)/SS+가/JKS
있기	있/VV+기/ETN
때문에	때문/NNB+에/JKB
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.361.5.2
우리도 그런 근본적인 문제를 생각해봐야 한다”며 제도 개선을 시사했다.

우리도	우리/NP+도/JX
그런	그런/MMD
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
문제를	문제/NNG+를/JKO
생각해봐야	생각/NNG+하/XSV+아/EC+보/VX+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
제도	제도/NNG
개선을	개선/NNG+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.361.6.1
한편 박 후보는 21일경 정수장학회에 대한 의견을 밝힐 예정이다.

한편	한편/MAG
박	박/NNP
후보는	후보/NNG+는/JX
21일경	21/SN+일/NNB+경/XSN
정수장학회에	정수장학회/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
밝힐	밝히/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.361.6.2
박 후보는 최필립 이사장의 사퇴를 직간접적으로 요구한 후 최 이사장이 사퇴로 화답하면 “역시 박 후보가 조종했다”는 공격을, 사퇴를 하지 않으면 “효과가 없는 ‘쇼’였다”는 공격을 받을 수 있어 고민하는 것으로 전해졌다.

박	박/NNP
후보는	후보/NNG+는/JX
최필립	최필립/NNP
이사장의	이사장/NNG+의/JKG
사퇴를	사퇴/NNG+를/JKO
직간접적으로	직간접/NNG+적/XSN+으로/JKB
요구한	요구/NNG+하/XSV+ㄴ/ETM
후	후/NNG
최	최/NNP
이사장이	이사장/NNG+이/JKS
사퇴로	사퇴/NNG+로/JKB
화답하면	화답/NNG+하/XSV+면/EC
“역시	“/SS+역시/MAG
후보가	후보/NNG+가/JKS
조종했다”는	조종/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
공격을,	공격/NNG+을/JKO+,/SP
하지	하/VV+지/EC
않으면	않/VX+으면/EC
“효과가	“/SS+효과/NNG+가/JKS
없는	없/VA+는/ETM
‘쇼’였다”는	‘/SS+쇼/NNG+’/SS+이/VCP+었/EP+다/EF+”/SS+는/ETM
공격을	공격/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있어	있/VV+어/EC
고민하는	고민/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.361.7.1
민주통합당 문재인 캠프 진성준 대변인은 “박 후보는 최 이사장 자진사퇴 유도로 마무리해서는 안 된다.

민주통합당	민주통합당/NNP
문재인	문재인/NNP
캠프	캠프/NNG
진성준	진성준/NNP
대변인은	대변인/NNG+은/JX
“박	“/SS+박/NNP
후보는	후보/NNG+는/JX
최	최/NNP
이사장	이사장/NNG
자진사퇴	자진/NNG+사퇴/NNG
유도로	유도/NNG+로/JKB
마무리해서는	마무리/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.361.7.2
정수장학회에 얽힌 과거사를 솔직히 사죄하고 모든 특혜를 반납해야 한다”고 압박했다.

정수장학회에	정수장학회/NNP+에/JKB
얽힌	얽히/VV+ㄴ/ETM
과거사를	과거사/NNG+를/JKO
솔직히	솔직히/MAG
사죄하고	사죄/NNG+하/XSV+고/EC
모든	모든/MMN
특혜를	특혜/NNG+를/JKO
반납해야	반납/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


