# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.366
metadata : {}


# id : NWRW1800000030.366.1.1
[수도권I] 이 봄엔 수원화성서 활기를 충전하세요

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
수원화성을	수원/NNP+화성/NNP+을/JKO
정부가	정부/NNG+가/JKS
내·외국인	내·외국인/NNG
관광객에게	관광객/NNG+에게/JKB
추천할	추천/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
국내대표명소로	국내/NNG+대표/NNG+명소/NNG+로/JKB
인정한	인정/NNG+하/XSV+ㄴ/ETM
점은	점/NNG+은/JX
그	그/MMD
의미가	의미/NNG+가/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000030.366.3.6
수원화성에서 펼쳐지는 다양한 문화공연과 체험행사 등은 겨울이 지나고 봄이 오는 3월부터 매년 시작된다.

수원화성에서	수원/NNP+화성/NNP+에서/JKB
펼쳐지는	펼쳐지/VV+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
문화공연과	문화/NNG+공연/NNG+과/JC
체험행사	체험/NNG+행사/NNG
등은	등/NNB+은/JX
겨울이	겨울/NNG+이/JKS
지나고	지나/VV+고/EC
봄이	봄/NNG+이/JKS
오는	오/VV+는/ETM
3월부터	3/SN+월/NNB+부터/JX
매년	매년/MAG
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.3.7
이달 중순부터 정조때 체계적으로 정리된 민족전통 무예인 '무예24기'공연을 비롯해 정조의 친위부대인 장용영(壯勇營) 수위의식, 토요상설공연 등 공연프로그램이 차례로 시작된다.

이달	이달/NNG
중순부터	중순/NNG+부터/JX
정조때	정조/NNP+때/NNG
체계적으로	체계/NNG+적/XSN+으로/JKB
정리된	정리/NNG+되/XSV+ㄴ/ETM
민족전통	민족/NNG+전통/NNG
무예인	무예/NNG+이/VCP+ㄴ/ETM
'무예24기'공연을	'/SS+무예/NNG+24/SN+기/NNG+'/SS+공연/NNG+을/JKO
비롯해	비롯하/VV+아/EC
정조의	정조/NNP+의/JKG
친위부대인	친위/NNG+부대/NNG+이/VCP+ㄴ/ETM
장용영(壯勇營)	장용영/NNG+(/SS+壯勇營/SH+)/SS
수위의식,	수위/NNG+의식/NNG+,/SP
토요상설공연	토요/NNG+상설/NNG+공연/NNG
등	등/NNB
공연프로그램이	공연/NNG+프로그램/NNG+이/JKS
차례로	차례/NNG+로/JKB
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.3.8
또 화성열차와 국궁체험, 효원의종 타종 체험 등 상시체험행사들도 수원화성으로 봄 나들이 온 관람객들을 맞게 된다.

또	또/MAG
화성열차와	화성/NNP+열차/NNG+와/JC
국궁체험,	국궁/NNG+체험/NNG+,/SP
효원의종	효원의종/NNP
타종	타종/NNG
체험	체험/NNG
등	등/NNB
상시체험행사들도	상시/NNG+체험/NNG+행사/NNG+들/XSN+도/JX
수원화성으로	수원/NNP+화성/NNP+으로/JKB
봄	봄/NNG
나들이	나들이/NNG
온	오/VV+ㄴ/ETM
관람객들을	관람객/NNG+들/XSN+을/JKO
맞게	맞/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.4.1
◆무예24기와 장용영 수위의식 등 공연 프로그램

◆무예24기와	◆/SW+무예24기/NNP+와/JC
장용영	장용영/NNP
수위의식	수위/NNG+의식/NNG
등	등/NNB
공연	공연/NNG
프로그램	프로그램/NNG


# id : NWRW1800000030.366.5.1
'무예24기'는 정조의 명을 받은 실학자 이덕무, 박제가 등과 무예의 달인 백동수가 1790년에 편찬한 '무예도보통지'의 24가지 무예를 말한다.

'무예24기'는	'/SS+무예24기/NNP+'/SS+는/JX
정조의	정조/NNP+의/JKG
명을	명/NNG+을/JKO
받은	받/VV+은/ETM
실학자	실학자/NNG
이덕무,	이덕무/NNP+,/SP
박제가	박제가/NNP
등과	등/NNB+과/JKB
무예의	무예/NNG+의/JKG
달인	달인/NNG
백동수가	백동수/NNP+가/JKS
1790년에	1790/SN+년/NNB+에/JKB
편찬한	편찬/NNG+하/XSV+ㄴ/ETM
'무예도보통지'의	'/SS+무예도보통지/NNP+'/SS+의/JKG
24가지	24/SN+가지/NNB
무예를	무예/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.5.2
무예24기는 수원화성에 주둔했던 조선 최정예부대 장용영 외영 군사들이 익혔던 무예로 역사적 가치는 물론 예술적, 체육적 가치 역시 높은 무형(無形) 문화유산이다.

무예24기는	무예24기/NNP+는/JX
수원화성에	수원/NNP+화성/NNP+에/JKB
주둔했던	주둔/NNG+하/XSV+았/EP+던/ETM
조선	조선/NNP
최정예부대	최/XPN+정예/NNG+부대/NNG
장용영	장용영/NNP
외영	외영/NNG
군사들이	군사/NNG+들/XSN+이/JKS
익혔던	익히/VV+었/EP+던/ETM
무예로	무예/NNG+로/JKB
역사적	역사/NNG+적/XSN
가치는	가치/NNG+는/JX
물론	물론/MAG
예술적,	예술/NNG+적/XSN+,/SP
체육적	체육/NNG+적/XSN
가치	가치/NNG
역시	역시/MAG
높은	높/VA+은/ETM
무형(無形)	무형/NNG+(/SS+無形/SH+)/SS
문화유산이다.	문화유산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.366.5.3
무예24기 공연은 오는 15일부터 시작돼 연말까지 월요일을 제외하고 매일 오전 11시에 화성행궁의 정문인 신풍루(新豊樓) 앞 광장에서 만나볼 수 있다.

무예24기	무예24기/NNP
공연은	공연/NNG+은/JX
오는	오/VV+는/ETM
15일부터	15/SN+일/NNB+부터/JX
시작돼	시작/NNG+되/XSV+어/EC
연말까지	연말/NNG+까지/JX
월요일을	월요일/NNG+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
매일	매일/MAG
오전	오전/NNG
11시에	11/SN+시/NNB+에/JKB
화성행궁의	화성행궁/NNP+의/JKG
정문인	정문/NNG+이/VCP+ㄴ/ETM
신풍루(新豊樓)	신풍루/NNP+(/SS+新豊樓/SH+)/SS
앞	앞/NNG
광장에서	광장/NNG+에서/JKB
만나볼	만나/VV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.366.5.4
(사)무예24기 보존회에서 주관하는 이 공연은 '무예도보통지'에 수록된 실전무예 24가지를 시연하게 된다.

(사)무예24기	(/SS+사/NNG+)/SS+무예24기/NNP
보존회에서	보존회/NNG+에서/JKB
주관하는	주관/NNG+하/XSV+는/ETM
이	이/MMD
공연은	공연/NNG+은/JX
'무예도보통지'에	'/SS+무예도보통지/NNP+'/SS+에/JKB
수록된	수록/NNG+되/XSV+ㄴ/ETM
실전무예	실전/NNG+무예/NNG
24가지를	24/SN+가지/NNB+를/JKO
시연하게	시연/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.6.1
'장용영 수위(守衛)의식'은 정조대왕 친위부대의 군례(軍禮)를 볼 수 있는 행사다.

'장용영	'/SS+장용영/NNP
수위(守衛)의식'은	수위/NNG+(/SS+守衛/SH+)/SS+의식/NNG+'/SS+은/JX
정조대왕	정조/NNP+대왕/NNG
친위부대의	친위/NNG+부대/NNG+의/JKG
군례(軍禮)를	군례/NNG+(/SS+軍禮/SH+)/SS+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
행사다.	행사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.366.6.2
장용영은 정조9년(1785)에 국왕 호위 전담부대로 설치된 장용위(壯勇衛)가 정조17년(1793)에 규모를 확대, 하나의 군영(軍營)으로 발전시킨 금위조직(禁衛組織)이다.

장용영은	장용영/NNP+은/JX
정조9년(1785)에	정조/NNP+9/SN+년/NNB+(/SS+1785/SN+)/SS+에/JKB
국왕	국왕/NNG
호위	호위/NNG
전담부대로	전담/NNG+부대/NNG+로/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
장용위(壯勇衛)가	장용위/NNP+(/SS+壯勇衛/SH+)/SS+가/JKS
정조17년(1793)에	정조/NNP+17/SN+년/NNB+(/SS+1793/SN+)/SS+에/JKB
규모를	규모/NNG+를/JKO
확대,	확대/NNG+,/SP
하나의	하나/NR+의/JKG
군영(軍營)으로	군영/NNG+(/SS+軍營/SH+)/SS+으로/JKB
발전시킨	발전/NNG+시키/XSV+ㄴ/ETM
금위조직(禁衛組織)이다.	금위/NNG+조직/NNG+(/SS+禁衛組織/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.366.6.3
그 규모가 1만2000여명(화성에 5000명 주둔)에 이르렀다.

그	그/MMD
규모가	규모/NNG+가/JKS
1만2000여명(화성에	1/SN+만/NR+2000/SN+여/XSN+명/NNB+(/SS+화성/NNP+에/JKB
5000명	5000/SN+명/NNB
주둔)에	주둔/NNG+)/SS+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.366.6.4
오는 27일부터 매주 일요일 오후 2시부터 1시간동안 신풍루 앞 광장에서 열리는 수위의식에는 모두 71명이 출연해 정조대왕 화성행차가 기록된 원행을묘정리의궤(園幸乙卯整理儀軌) 및 관련 문헌을 바탕으로 제작된 조선시대 각종 옷과 무기를 선보이게 된다.

오는	오/VV+는/ETM
27일부터	27/SN+일/NNB+부터/JX
매주	매주/MAG
일요일	일요일/NNG
오후	오후/NNG
2시부터	2/SN+시/NNB+부터/JX
1시간동안	1/SN+시간/NNB+동안/NNG
신풍루	신풍루/NNP
앞	앞/NNG
광장에서	광장/NNG+에서/JKB
열리는	열리/VV+는/ETM
수위의식에는	수위/NNG+의식/NNG+에/JKB+는/JX
모두	모두/MAG
71명이	71/SN+명/NNB+이/JKS
출연해	출연/NNG+하/XSV+아/EC
정조대왕	정조/NNP+대왕/NNG
화성행차가	화성/NNP+행차/NNG+가/JKS
기록된	기록/NNG+되/XSV+ㄴ/ETM
원행을묘정리의궤(園幸乙卯整理儀軌)	원행을묘정리의궤/NNG+(/SS+園幸乙卯整理儀軌/SH+)/SS
및	및/MAG
관련	관련/NNG
문헌을	문헌/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
제작된	제작/NNG+되/XSV+ㄴ/ETM
조선시대	조선시대/NNG
각종	각종/NNG
옷과	옷/NNG+과/JC
무기를	무기/NNG+를/JKO
선보이게	선보이/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.6.5
관람객들을 위해 수위의식 시작을 알리는 북을 치는 행사인 개식타고(開式打鼓) 체험과 조총 사격 체험 등도 준비된다.

관람객들을	관람객/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
수위의식	수위/NNG+의식/NNG
시작을	시작/NNG+을/JKO
알리는	알리/VV+는/ETM
북을	북/NNG+을/JKO
치는	치/VV+는/ETM
행사인	행사/NNG+이/VCP+ㄴ/ETM
개식타고(開式打鼓)	개식/NNG+타고/NNG+(/SS+開式打鼓/SH+)/SS
체험과	체험/NNG+과/JC
조총	조총/NNG
사격	사격/NNG
체험	체험/NNG
등도	등/NNB+도/JX
준비된다.	준비/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.6.6
이 밖에도 화성행궁에서는 이달말부터 매주 토요상설공연이 오후 2시 신풍루 앞 광장에서 열린다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
화성행궁에서는	화성행궁/NNP+에서/JKB+는/JX
이달말부터	이달/NNG+말/NNB+부터/JX
매주	매주/MAG
토요상설공연이	토요/NNG+상설/NNG+공연/NNG+이/JKS
오후	오후/NNG
2시	2/SN+시/NNB
신풍루	신풍루/NNP
앞	앞/NNG
광장에서	광장/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.6.7
상설공연에는 오카리나 공연과 전통무용, 무동놀이(농악에서 판굿을 할때 목말을 태우고 춤추는 놀이), 전통줄타기 등이 펼쳐지게 된다.

상설공연에는	상설/NNG+공연/NNG+에/JKB+는/JX
오카리나	오카리나/NNG
공연과	공연/NNG+과/JC
전통무용,	전통/NNG+무용/NNG+,/SP
무동놀이(농악에서	무동놀이/NNG+(/SS+농악/NNG+에서/JKB
판굿을	판굿/NNG+을/JKO
할때	하/VV+ㄹ/ETM+때/NNG
목말을	목말/NNG+을/JKO
태우고	태우/VV+고/EC
춤추는	춤추/VV+는/ETM
놀이),	놀이/NNG+)/SS+,/SP
전통줄타기	전통/NNG+줄타기/NNG
등이	등/NNB+이/JKS
펼쳐지게	펼쳐지/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.6.8
☎(031)251-4435

☎(031)251-4435	☎/SW+(/SS+031/SN+)/SS+251/SN+-/SO+4435/SN


# id : NWRW1800000030.366.7.1
◆화성열차·국궁·효원의 종 타종 등 체험 프로그램

◆화성열차·국궁·효원의	◆/SW+화성/NNP+열차/NNG+·/SP+국궁/NNG+·/SP+효원/NNP+의/JKG
종	종/NNG
타종	타종/NNG
등	등/NNB
체험	체험/NNG
프로그램	프로그램/NNG


# id : NWRW1800000030.366.8.1
수원화성에서는 상시체험 프로그램도 마련돼 있다.

수원화성에서는	수원/NNP+화성/NNP+에서/JKB+는/JX
상시체험	상시/NNG+체험/NNG
프로그램도	프로그램/NNG+도/JX
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.366.8.2
먼저 화성관광열차는 동력차와 관광객 탑승차량 3량으로 구성돼 앞부분은 임금을 상징하는 용머리 모양을 하고 있다.

먼저	먼저/MAG
화성관광열차는	화성/NNP+관광/NNG+열차/NNG+는/JX
동력차와	동력차/NNG+와/JC
관광객	관광객/NNG
탑승차량	탑승/NNG+차량/NNG
3량으로	3/SN+량/NNB+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
앞부분은	앞부분/NNG+은/JX
임금을	임금/NNG+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
용머리	용머리/NNG
모양을	모양/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.366.8.3
또 관광객들이 앉는 객차부분은 임금이 타던 가마를 형상화한 것이다.

또	또/MAG
관광객들이	관광객/NNG+들/XSN+이/JKS
앉는	앉/VV+는/ETM
객차부분은	객차/NNG+부분/NNG+은/JX
임금이	임금/NNG+이/JKS
타던	타/VV+던/ETM
가마를	가마/NNG+를/JKO
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.366.8.4
화성열차는 모두 4대가 매일 오전 10시부터 오후 5시 50분까지 운행되며 '팔달산(성신사)~화서문~장안공원~장안문~화홍문~연무대'에 이르는 3.2㎞구간을 30분정도에 오가게 된다.

화성열차는	화성/NNP+열차/NNG+는/JX
모두	모두/MAG
4대가	4/SN+대/NNB+가/JKS
매일	매일/MAG
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
오후	오후/NNG
5시	5/SN+시/NNB
50분까지	50/SN+분/NNB+까지/JX
운행되며	운행/NNG+되/XSV+며/EC
'팔달산(성신사)~화서문~장안공원~장안문~화홍문~연무대'에	'/SS+팔달산/NNP+(/SS+성신사/NNP+)/SS+~/SO+화서문/NNP+~/SO+장안공원/NNP+~/SO+장안문/NNP+~/SO+화홍문/NNP+~/SO+연무대/NNP+'/SS+에/JKB
이르는	이르/VV+는/ETM
3.2㎞구간을	3/SN+./SP+2/SN+㎞/SW+구간/NNG+을/JKO
30분정도에	30/SN+분/NNB+정도/NNG+에/JKB
오가게	오가/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.8.5
요금은 일반 1500원, 청소년 1100원, 어린이 700원이다.

요금은	요금/NNG+은/JX
일반	일반/NNG
1500원,	1500/SN+원/NNB+,/SP
청소년	청소년/NNG
1100원,	1100/SN+원/NNB+,/SP
어린이	어린이/NNG
700원이다.	700/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.366.8.6
☎(031)228-4683·4686

☎(031)228-4683·4686	☎/SW+(/SS+031/SN+)/SS+228/SN+-/SO+4683/SN+·/SP+4686/SN


# id : NWRW1800000030.366.9.1
수원화성 동장대(東將臺) 앞에 있는 국궁(國弓)장에서는 국궁에 대한 설명과 함께 직접 활을 쏴 볼 수 있다.

수원화성	수원/NNP+화성/NNP
동장대(東將臺)	동장대/NNG+(/SS+東將臺/SH+)/SS
앞에	앞/NNG+에/JKB
있는	있/VA+는/ETM
국궁(國弓)장에서는	국궁/NNG+(/SS+國弓/SH+)/SS+장/NA+에서/JKB+는/JX
국궁에	국궁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명과	설명/NNG+과/JKB
함께	함께/MAG
직접	직접/MAG
활을	활/NNG+을/JKO
쏴	쏘/VV+아/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.366.9.2
이달부터 오는 10월까지는 매일 오전 9시 30분부터 오후 5시 30분까지 매시 30분(12시 30분 제외)에 국궁 체험을 할 수 있다.

이달부터	이달/NNG+부터/JX
오는	오/VV+는/ETM
10월까지는	10/SN+월/NNB+까지/JX+는/JX
매일	매일/MAG
오전	오전/NNG
9시	9/SN+시/NNB
30분부터	30/SN+분/NNB+부터/JX
오후	오후/NNG
5시	5/SN+시/NNB
30분까지	30/SN+분/NNB+까지/JX
매시	매시/NNG
30분(12시	30/SN+분/NNB+(/SS+12/SN+시/NNB
30분	30/SN+분/NNB
제외)에	제외/NNG+)/SS+에/JKB
국궁	국궁/NNG
체험을	체험/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.366.9.3
1회당 참가인원은 최대 25명까지며 국궁에 대한 설명과 기본자세, 국궁쏘기(기본 10발) 등의 순서로 체험이 이뤄진다.

1회당	1/SN+회/NNB+당/XSN
참가인원은	참가/NNG+인원/NNG+은/JX
최대	최대/NNG
25명까지며	25/SN+명/NNB+까지/JX+이/VCP+며/EC
국궁에	국궁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명과	설명/NNG+과/JC
기본자세,	기본자세/NNG+,/SP
국궁쏘기(기본	국궁/NNG+쏘/VV+기/ETN+(/SS+기본/NNG
10발)	10/SN+발/NNB+)/SS
등의	등/NNB+의/JKG
순서로	순서/NNG+로/JKB
체험이	체험/NNG+이/JKS
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.9.4
10발 기준으로 2000원정도의 비용만 내면 된다.

10발	10/SN+발/NNB
기준으로	기준/NNG+으로/JKB
2000원정도의	2000/SN+원/NNB+정도/NNG+의/JKG
비용만	비용/NNG+만/JX
내면	내/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.9.5
마지막으로 '효원(孝園)의 종' 타종 체험은 팔달산 정상에 있는 '효원의 종'을 치며 부모님과 가족, 자신의 발전 등을 기원하는 프로그램이다.

마지막으로	마지막/NNG+으로/JKB
'효원(孝園)의	'/SS+효원/NNP+(/SS+孝園/SH+)/SS+의/JKG
종'	종/NNG+'/SS
타종	타종/NNG
체험은	체험/NNG+은/JX
팔달산	팔달산/NNP
정상에	정상/NNG+에/JKB
있는	있/VA+는/ETM
'효원의	'/SS+효원/NNP+의/JKG
종'을	종/NNG+'/SS+을/JKO
치며	치/VV+며/EC
부모님과	부모/NNG+님/XSN+과/JKB
가족,	가족/NNG+,/SP
자신의	자신/NNG+의/JKG
발전	발전/NNG
등을	등/NNB+을/JKO
기원하는	기원/NNG+하/XSV+는/ETM
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.366.9.6
매일 오전 9시부터 오후 6시까지(3월~10월 기준) 운영되며 1회 3타를 기준으로 1000~2000원 정도를 내면 된다.

매일	매일/MAG
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
오후	오후/NNG
6시까지(3월~10월	6/SN+시/NNB+까지/JX+(/SS+3/SN+월/NNB+~/SO+10/SN+월/NNB
기준)	기준/NNG+)/SS
운영되며	운영/NNG+되/XSV+며/EC
1회	1/SN+회/NNB
3타를	3/SN+타/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
1000~2000원	1000/SN+~/SO+2000/SN+원/NNB
정도를	정도/NNG+를/JKO
내면	내/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.366.9.7
☎(031)251-4435

☎(031)251-4435	☎/SW+(/SS+031/SN+)/SS+251/SN+-/SO+4435/SN


