# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.60
metadata : {}


# id : NWRW1800000036.60.1.1
발끝까지 따뜻해야 겨울준비 완성!

발끝까지	발끝/NNG+까지/JX
자체	자체/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
크로슬라이트	크로슬라이트/NNG
소재로	소재/NNG+로/JKB
만들어	만들/VV+어/EC
620g의	620/SN+g/SW+의/JKG
초경량에	초/XPN+경량/NNG+에/JKB
쿠션감을	쿠션감/NNG+을/JKO
갖췄고,	갖추/VV+었/EP+고/EC+,/SP
우수한	우수/NNG+하/XSA+ㄴ/ETM
정지마찰력으로	정지/NNG+마찰력/NNG+으로/JKB
미끄러운	미끄럽/VA+ㄴ/ETM
눈길에서도	눈길/NNG+에서/JKB+도/JX
안정감을	안정감/NNG+을/JKO
주는	주/VV+는/ETM
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.60.6.1
최근 몇 해 동안은 어그부츠가 겨울철 여성 필수 아이템이었다.

최근	최근/MAG
몇	몇/NR
해	해/NNB
동안은	동안/NNG+은/JX
어그부츠가	어그부츠/NNG+가/JKS
겨울철	겨울철/NNG
여성	여성/NNG
필수	필수/NNG
아이템이었다.	아이템/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.60.6.2
다만 습기에 약하고 튼튼하지 못한 문제점이 있었는데, 올해엔 어그부츠의 이런 단점을 극복한 패딩부츠가 잇따라 출시되고 있다.

다만	다만/MAG
습기에	습기/NNG+에/JKB
약하고	약하/VA+고/EC
튼튼하지	튼튼하/VA+지/EC
못한	못하/VX+ㄴ/ETM
문제점이	문제점/NNG+이/JKS
있었는데,	있/VA+었/EP+는데/EC+,/SP
올해엔	올해/NNG+에/JKB+ㄴ/JX
어그부츠의	어그부츠/NNG+의/JKG
이런	이런/MMD
단점을	단점/NNG+을/JKO
극복한	극복/NNG+하/XSV+ㄴ/ETM
패딩부츠가	패딩부츠/NNG+가/JKS
잇따라	잇따르/VV+아/EC
출시되고	출시/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.60.7.1
밀레는 75년 전통의 수제 부츠 전문 브랜드인 르샤모의 패딩부츠 ‘자야 미드’를 내놓았다.

밀레는	밀레/NNP+는/JX
75년	75/SN+년/NNB
전통의	전통/NNG+의/JKG
수제	수제/NNG
부츠	부츠/NNG
전문	전문/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
르샤모의	르샤모/NNP+의/JKG
패딩부츠	패딩부츠/NNG
‘자야	‘/SS+자야/NNP
미드’를	미드/NNP+’/SS+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.60.7.2
이 제품은 방수 소재를 사용해 외부로부터 습기가 들어오는 것을 막아주고, 안감으로는 보온 효과가 높은 서멀 소재를 활용한 게 특징이다.

이	이/MMD
제품은	제품/NNG+은/JX
방수	방수/NNG
소재를	소재/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
외부로부터	외부/NNG+로부터/JKB
습기가	습기/NNG+가/JKS
들어오는	들어오/VV+는/ETM
것을	것/NNB+을/JKO
막아주고,	막/VV+아/EC+주/VX+고/EC+,/SP
안감으로는	안감/NNG+으로/JKB+는/JX
보온	보온/NNG
효과가	효과/NNG+가/JKS
높은	높/VA+은/ETM
서멀	서멀/NNG
활용한	활용/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.60.7.3
북유럽 신발 브랜드인 스코노는 패딩과 털 소재로 보온성을 높인 ‘노아 크리스티’를 선보였다.

북유럽	북유럽/NNP
신발	신발/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
스코노는	스코노/NNP+는/JX
패딩과	패딩/NNG+과/JC
털	털/NNG
소재로	소재/NNG+로/JKB
보온성을	보온/NNG+성/XSN+을/JKO
높인	높이/VV+ㄴ/ETM
‘노아	‘/SS+노아/NNP
크리스티’를	크리스티/NNP+’/SS+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.60.7.4
이 제품은 기존 패딩부츠의 단점인 뭉툭하고 발목이 두꺼워 보이는 투박한 디자인에서 벗어나, 날렵한 라인과 스타일리시한 디자인으로 여성미를 살렸다.

이	이/MMD
제품은	제품/NNG+은/JX
기존	기존/NNG
패딩부츠의	패딩부츠/NNG+의/JKG
단점인	단점/NNG+이/VCP+ㄴ/ETM
뭉툭하고	뭉툭/MAG+하/XSA+고/EC
발목이	발목/NNG+이/JKS
두꺼워	두껍/VA+어/EC
보이는	보이/VV+는/ETM
투박한	투박하/VA+ㄴ/ETM
디자인에서	디자인/NNG+에서/JKB
벗어나,	벗어나/VV+아/EC+,/SP
날렵한	날렵하/VA+ㄴ/ETM
라인과	라인/NNG+과/JC
스타일리시한	스타일리시/NNG+하/XSA+ㄴ/ETM
디자인으로	디자인/NNG+으로/JKB
여성미를	여성미/NNG+를/JKO
살렸다.	살리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.60.7.5
또 기능성 소재인 바이오 포렉스를 사용해 눈길을 걸어도 물이 흡수되지 않고, 개개인의 발 모양에 따라 유연하게 형태가 변형돼 오랜 시간 편하게 신을 수 있다.

또	또/MAG
기능성	기능/NNG+성/XSN
소재인	소재/NNG+이/VCP+ㄴ/ETM
바이오	바이오/NNG
포렉스를	포렉스/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
눈길을	눈길/NNG+을/JKO
걸어도	걷/VV+어도/EC
물이	물/NNG+이/JKS
흡수되지	흡수/NNG+되/XSV+지/EC
않고,	않/VX+고/EC+,/SP
개개인의	개개인/NNG+의/JKG
발	발/NNG
모양에	모양/NNG+에/JKB
따라	따르/VV+아/EC
유연하게	유연하/VA+게/EC
형태가	형태/NNG+가/JKS
변형돼	변형/NNG+되/XSV+어/EC
오랜	오랜/MMA
시간	시간/NNG
편하게	편하/VA+게/EC
신을	신/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.60.8.1
코오롱인더스트리의 스포츠 브랜드 헤드가 출시한 ‘베어풋 트래블 롱 패딩부츠’는 내부를 인조 양털로 처리해 보온성과 함께 푹신한 착화감이 돋보인다.

코오롱인더스트리의	코오롱인더스트리/NNP+의/JKG
스포츠	스포츠/NNG
브랜드	브랜드/NNG
헤드가	헤드/NNP+가/JKS
출시한	출시/NNG+하/XSV+ㄴ/ETM
‘베어풋	‘/SS+베어풋/NNP
트래블	트래블/NNP
롱	롱/NNP
패딩부츠’는	패딩부츠/NNP+’/SS+는/JX
내부를	내부/NNG+를/JKO
인조	인조/NNG
양털로	양털/NNG+로/JKB
처리해	처리/NNG+하/XSV+아/EC
보온성과	보온/NNG+성/XSN+과/JKB
함께	함께/MAG
푹신한	푹신/MAG+하/XSA+ㄴ/ETM
착화감이	착화감/NNG+이/JKS
돋보인다.	돋보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.60.8.2
또 육각형의 셀 조각들이 수막현상을 감소시키는 ‘하이드로그립 솔’을 적용해 눈이나 얼음 위에서도 미끄럼방지 효과가 뛰어나다.

또	또/MAG
육각형의	육각/NNG+형/XSN+의/JKG
셀	셀/NNG
조각들이	조각/NNG+들/XSN+이/JKS
수막현상을	수막/NNG+현상/NNG+을/JKO
감소시키는	감소/NNG+시키/XSV+는/ETM
‘하이드로그립	‘/SS+하이드로그립/NNG
솔’을	솔/NNG+’/SS+을/JKO
적용해	적용/NNG+하/XSV+아/EC
눈이나	눈/NNG+이나/JC
얼음	얼음/NNG
위에서도	위/NNG+에서/JKB+도/JX
미끄럼방지	미끄럼/NNG+방지/NNG
효과가	효과/NNG+가/JKS
뛰어나다.	뛰어나/VA+다/EF+./SF


# id : NWRW1800000036.60.9.1
러닝화와 워킹화도 방한 기능을 갖춘 제품들이 출시돼 눈길을 끈다.

러닝화와	러닝화/NNG+와/JC
워킹화도	워킹화/NNG+도/JX
방한	방한/NNG
기능을	기능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
제품들이	제품/NNG+들/XSN+이/JKS
출시돼	출시/NNG+되/XSV+어/EC
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.60.9.2
아디다스가 선보인 겨울 러닝화 ‘클라이마웜 레볼루션’과 ‘클라이마웜 오실레이트’는 보온 소재의 안감을 사용했고, 내부의 땀이나 수분을 빠르게 밖으로 배출하는 기능을 갖춰 추운 날씨에도 따뜻하고 안전하게 운동할 수 있도록 도와주는 제품이다.

아디다스가	아디다스/NNP+가/JKS
선보인	선보이/VV+ㄴ/ETM
겨울	겨울/NNG
러닝화	러닝화/NNG
‘클라이마웜	‘/SS+클라이마웜/NNP
레볼루션’과	레볼루션/NNP+’/SS+과/JC
오실레이트’는	오실레이트/NNP+’/SS+는/JX
보온	보온/NNG
소재의	소재/NNG+의/JKG
안감을	안감/NNG+을/JKO
사용했고,	사용/NNG+하/XSV+았/EP+고/EC+,/SP
내부의	내부/NNG+의/JKG
땀이나	땀/NNG+이나/JC
수분을	수분/NNG+을/JKO
빠르게	빠르/VA+게/EC
밖으로	밖/NNG+으로/JKB
배출하는	배출/NNG+하/XSV+는/ETM
기능을	기능/NNG+을/JKO
갖춰	갖추/VV+어/EC
추운	춥/VA+ㄴ/ETM
날씨에도	날씨/NNG+에/JKB+도/JX
따뜻하고	따뜻하/VA+고/EC
안전하게	안전/NNG+하/XSA+게/EC
운동할	운동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와주는	도와주/VV+는/ETM
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.60.9.3
프로스펙스는 올 상반기 히트 상품인 ‘연아 워킹화’(W COOL)의 디자인에 보온기능을 추가한 겨울 워킹화(W COOL N)와 안감에 털 소재를 사용해 방한 효과를 높인 패션 워킹화(W Slim Furry)를 내놓았다.

프로스펙스는	프로스펙스/NNP+는/JX
올	올/NNG
상반기	상반기/NNG
히트	히트/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
‘연아	‘/SS+연아/NNP
워킹화’(W	워킹화/NNG+’/SS+(/SS+W/SL
COOL)의	COOL/SL+)/SS+의/JKG
디자인에	디자인/NNG+에/JKB
보온기능을	보온/NNG+기능/NNG+을/JKO
추가한	추가/NNG+하/XSV+ㄴ/ETM
겨울	겨울/NNG
워킹화(W	워킹화/NNG+(/SS+W/SL
COOL	COOL/SL
N)와	N/SL+)/SS+와/JC
안감에	안감/NNG+에/JKB
털	털/NNG
소재를	소재/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
방한	방한/NNG
효과를	효과/NNG+를/JKO
높인	높이/VV+ㄴ/ETM
패션	패션/NNG
Slim	Slim/SL
Furry)를	Furry/SL+)/SS+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


