# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.109
metadata : {}


# id : NWRW1800000049.109.1.1
“아가씨의 에로틱 스릴러” vs “때론 놀랍지만 지루”

“아가씨의	“/SS+아가씨/NNG+의/JKG
사랑이라는	사랑/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
통속극에	통속극/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000049.109.7.3
이미 레즈비언 로맨스 ‘캐롤’(2015년)과 파격적인 성애 묘사로 화제를 모으며 2013년 칸영화제에서 황금종려상을 수상한 ‘가장 따뜻한 색, 블루’가 나온 상황에서 ‘아가씨’가 얼마나 새롭게 받아들여질지는 의문이다.

이미	이미/MAG
레즈비언	레즈비언/NNG
로맨스	로맨스/NNG
‘캐롤’(2015년)과	‘/SS+캐롤/NNP+’/SS+(/SS+2015/SN+년/NNB+)/SS+과/JC
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
성애	성애/NNG
묘사로	묘사/NNG+로/JKB
화제를	화제/NNG+를/JKO
모으며	모으/VV+며/EC
2013년	2013/SN+년/NNB
칸영화제에서	칸/NNP+영화제/NNG+에서/JKB
황금종려상을	황금/NNG+종려/NNG+상/NNG+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
‘가장	‘/SS+가장/MAG
따뜻한	따뜻하/VA+ㄴ/ETM
색,	색/NNG+,/SP
블루’가	블루/NNG+’/SS+가/JKS
나온	나오/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
‘아가씨’가	‘/SS+아가씨/NNP+’/SS+가/JKS
얼마나	얼마나/MAG
새롭게	새롭/VA+게/EC
받아들여질지는	받아들이/VV+어/EC+지/VX+ㄹ지/EF+는/JX
의문이다.	의문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.109.7.4
박 감독은 “‘가장 따뜻한 색, 블루’를 봤지만 ‘아가씨’의 베드신은 격정적이기보다는 부드럽고 대화에 가까운 베드신”이라며 “스릴러 영화의 기본 구조에 범죄와 음모를 다룬다는 점에서 차별화된다”고 말했다.

박	박/NNP
감독은	감독/NNG+은/JX
“‘가장	“/SS+‘/SS+가장/MAG
따뜻한	따뜻하/VA+ㄴ/ETM
색,	색/NNG+,/SP
블루’를	블루/NNG+’/SS+를/JKO
봤지만	보/VV+았/EP+지만/EC
‘아가씨’의	‘/SS+아가씨/NNP+’/SS+의/JKG
베드신은	베드신/NNG+은/JX
격정적이기보다는	격정/NNG+적/XSN+이/VCP+기/ETN+보다/JKB+는/JX
부드럽고	부드럽/VA+고/EC
대화에	대화/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
베드신”이라며	베드신/NNG+”/SS+이/VCP+라며/EC
“스릴러	“/SS+스릴러/NNG
영화의	영화/NNG+의/JKG
기본	기본/NNG
구조에	구조/NNG+에/JKB
범죄와	범죄/NNG+와/JC
음모를	음모/NNG+를/JKO
다룬다는	다루/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
차별화된다”고	차별/NNG+화/XSN+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.109.8.1
현지 반응은 엇갈리고 있다.

현지	현지/NNG
반응은	반응/NNG+은/JX
엇갈리고	엇갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.109.8.2
공식 상영에서 약 3000석의 객석을 가득 메운 관객들은 영화 시작 전 박 감독과 하정우, 김민희, 김태리, 조진웅 등 출연 배우들이 등장하자 환호와 박수를 아끼지 않았다.

공식	공식/NNG
상영에서	상영/NNG+에서/JKB
약	약/MMA
3000석의	3000/SN+석/NNB+의/JKG
객석을	객석/NNG+을/JKO
가득	가득/MAG
메운	메우/VV+ㄴ/ETM
관객들은	관객/NNG+들/XSN+은/JX
영화	영화/NNG
시작	시작/NNG
전	전/NNG
박	박/NNP
감독과	감독/NNG+과/JC
하정우,	하정우/NNP+,/SP
김민희,	김민희/NNP+,/SP
김태리,	김태리/NNP+,/SP
조진웅	조진웅/NNP
등	등/NNB
출연	출연/NNG
배우들이	배우/NNG+들/XSN+이/JKS
등장하자	등장/NNG+하/XSV+자/EC
환호와	환호/NNG+와/JC
박수를	박수/NNG+를/JKO
아끼지	아끼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.109.8.3
하지만 영화가 끝난 뒤에는 엔딩크레디트가 미처 다 올라가기도 전에 관객 일부가 빠져나갔고, 기립박수도 5분을 채 넘기지 못했다.

하지만	하지만/MAJ
영화가	영화/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
엔딩크레디트가	엔딩크레디트/NNG+가/JKS
미처	미처/MAG
다	다/MAG
올라가기도	올라가/VV+기/ETN+도/JX
전에	전/NNG+에/JKB
관객	관객/NNG
일부가	일부/NNG+가/JKS
빠져나갔고,	빠져나가/VV+았/EP+고/EC+,/SP
기립박수도	기립/NNG+박수/NNG+도/JX
5분을	5/SN+분/NNB+을/JKO
채	채/MAG
넘기지	넘기/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.109.8.4
이날 오전 기자 시사 뒤에 열린 기자회견 역시 비경쟁 부문에 초청된 스티븐 스필버그 감독의 신작 ‘빅 프렌들리 자이언트’ 시사와 시간이 겹치면서 빈자리가 여럿 눈에 띄는 등 다소 썰렁한 분위기였다.

이날	이날/NNG
오전	오전/NNG
기자	기자/NNG
시사	시사/NNG
뒤에	뒤/NNG+에/JKB
열린	열리/VV+ㄴ/ETM
기자회견	기자/NNG+회견/NNG
역시	역시/MAG
비경쟁	비/XPN+경쟁/NNG
부문에	부문/NNG+에/JKB
초청된	초청/NNG+되/XSV+ㄴ/ETM
스티븐	스티븐/NNP
스필버그	스필버그/NNP
감독의	감독/NNG+의/JKG
신작	신작/NNG
‘빅	‘/SS+빅/NNP
프렌들리	프렌들리/NNP
자이언트’	자이언트/NNP+’/SS
시사와	시사/NNG+와/JKB
시간이	시간/NNG+이/JKS
겹치면서	겹치/VV+면서/EC
빈자리가	빈자리/NNG+가/JKS
여럿	여럿/NNG
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
등	등/NNB
다소	다소/MAG
썰렁한	썰렁하/VA+ㄴ/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.109.9.1
전 세계 주요 매체 평론가들의 평점을 종합하는 스크린 인터내셔널 데일리의 평균 평점은 2.2점으로 현재까지 상영된 경쟁작 중 중위권에 머물렀다.

전	전/MMN
세계	세계/NNG
주요	주요/NNG
매체	매체/NNG
평론가들의	평론가/NNG+들/XSN+의/JKG
평점을	평점/NNG+을/JKO
종합하는	종합/NNG+하/XSV+는/ETM
스크린	스크린/NNG
인터내셔널	인터내셔널/NNP
데일리의	데일리/NNP+의/JKG
평균	평균/NNG
평점은	평점/NNG+은/JX
2.2점으로	2/SN+./SP+2/SN+점/NNB+으로/JKB
현재까지	현재/NNG+까지/JX
상영된	상영/NNG+되/XSV+ㄴ/ETM
경쟁작	경쟁작/NNG
중	중/NNB
중위권에	중위/NNG+권/XSN+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.109.9.2
프랑스 영화 매체 평점을 종합한 ‘르 필름 프랑세즈’의 평균 평점은 1.73점으로 15일 현재까지 최하위에 그쳤다.

프랑스	프랑스/NNP
영화	영화/NNG
매체	매체/NNG
평점을	평점/NNG+을/JKO
종합한	종합/NNG+하/XSV+ㄴ/ETM
‘르	‘/SS+르/NNP
필름	필름/NNP
프랑세즈’의	프랑세즈/NNP+’/SS+의/JKG
평균	평균/NNG
평점은	평점/NNG+은/JX
1.73점으로	1/SN+./SP+73/SN+점/NNB+으로/JKB
15일	15/SN+일/NNB
현재까지	현재/NNG+까지/JX
최하위에	최/XPN+하위/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.109.9.3
외신들은 “아름답고 때론 놀랍지만 그럼에도 점점 지루해진다”(영화 전문 매체 ‘더 랩’) “변태적이고 에로틱한 스릴러이자 사랑 이야기로 기대를 충분히 충족시킨다”(영화 전문 매체 ‘할리우드리포터’) 등 서로 다른 평을 내놓고 있다.

외신들은	외신/NNG+들/XSN+은/JX
“아름답고	“/SS+아름답/VA+고/EC
때론	때로/MAG+ㄴ/JX
놀랍지만	놀랍/VA+지만/EC
그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
점점	점점/MAG
지루해진다”(영화	지루하/VA+아/EC+지/VX+ㄴ다/EF+”/SS+(/SS+영화/NNG
전문	전문/NNG
매체	매체/NNG
‘더	‘/SS+더/NNP
랩’)	랩/NNP+’/SS+)/SS
“변태적이고	“/SS+변태/NNG+적/XSN+이/VCP+고/EC
에로틱한	에로틱/NNG+하/XSA+ㄴ/ETM
스릴러이자	스릴러/NNG+이/VCP+자/EC
사랑	사랑/NNG
이야기로	이야기/NNG+로/JKB
기대를	기대/NNG+를/JKO
충분히	충분히/MAG
충족시킨다”(영화	충족/NNG+시키/XSV+ㄴ다/EF+”/SS+(/SS+영화/NNG
‘할리우드리포터’)	‘/SS+할리우드리포터/NNP+’/SS+)/SS
등	등/NNB
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
평을	평/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


