# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.181
metadata : {}


# id : NWRW1800000046.181.1.1
현대車 '역사 에세이' 한국근현대史서 첫 출제

현대車	현대/NNP+車/SH
등이	등/NNB+이/JKS
출제됐다.	출제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.181.6.3
역사 에세이 시험은 지원자의 역사관과 인문학적 깊이를 살펴 그룹에 필요한 인재를 찾도록 해준다는 것이 현대차 측의 설명이다.

역사	역사/NNG
에세이	에세이/NNG
시험은	시험/NNG+은/JX
지원자의	지원자/NNG+의/JKG
역사관과	역사관/NNG+과/JC
인문학적	인문학/NNG+적/XSN
깊이를	깊이/NNG+를/JKO
살펴	살피/VV+어/EC
그룹에	그룹/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
인재를	인재/NNG+를/JKO
찾도록	찾/VV+도록/EC
해준다는	하/VX+아/EC+주/VX+ㄴ다는/ETM
것이	것/NNB+이/JKS
현대차	현대차/NNP
측의	측/NNB+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.181.7.1
응시자 이모(26)씨는 "단순 역사 문제가 아니라 나의 가치관을 묻는 듯해서 고민됐다"며 "신문 사설(社說) 등을 꾸준히 정독하며 평소 준비해야만 쓸 수 있는 내용"이라고 말했다.

응시자	응시자/NNG
이모(26)씨는	이/NNP+모/NP+(/SS+26/SN+)/SS+씨/NNB+는/JX
"단순	"/SS+단순/NNG
역사	역사/NNG
문제가	문제/NNG+가/JKS
아니라	아니/VCN+라/EC
나의	나/NP+의/JKG
가치관을	가치관/NNG+을/JKO
묻는	묻/VV+는/ETM
듯해서	듯/NNB+하/XSA+아서/EC
고민됐다"며	고민/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"신문	"/SS+신문/NNG
사설(社說)	사설/NNG+(/SS+社說/SH+)/SS
등을	등/NNB+을/JKO
꾸준히	꾸준히/MAG
정독하며	정독/NNG+하/XSV+며/EC
평소	평소/NNG
준비해야만	준비/NNG+하/XSV+아야/EC+만/JX
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
내용"이라고	내용/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.181.7.2
한편 응시자들 사이에선 도식적 추리 영역이 어려웠다는 반응도 많았다.

한편	한편/MAG
응시자들	응시자/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
도식적	도식/NNG+적/XSN
추리	추리/NNG
영역이	영역/NNG+이/JKS
어려웠다는	어렵/VA+었/EP+다는/ETM
반응도	반응/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.181.7.3
김모(27)씨는 "문제집에 나오지 않는 새로운 유형이어서 애를 먹었다"고 말했다.

김모(27)씨는	김/NNP+모/NP+(/SS+27/SN+)/SS+씨/NNB+는/JX
"문제집에	"/SS+문제집/NNG+에/JKB
나오지	나오/VV+지/EC
않는	않/VX+는/ETM
새로운	새롭/VA+ㄴ/ETM
유형이어서	유형/NNG+이/VCP+어서/EC
애를	애/NNG+를/JKO
먹었다"고	먹/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


