# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.377
metadata : {}


# id : NWRW1800000032.377.1.1
‘6·15 정상회담 주역’ 임동원 전 장관 인터뷰 “핵심은 적대적 대북정책…대표단 잘못 따질 일 아니다”

‘6·15	‘/SS+6/SN+·/SP+15/SN
천안함	천안함/NNP
사건은	사건/NNG+은/JX
북이	북/NNP+이/JKS
‘우리가	‘/SS+우리/NP+가/JKS
한	하/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니다’라고	아니/VCN+다/EF+’/SS+라고/JKQ
말하고	말/NNG+하/XSV+고/EC
있어서	있/VX+어서/EC
어떻게	어떻/VA+게/EC
하기	하/VV+기/ETN
어렵지만,	어렵/VA+지만/EC+,/SP
연평도	연평도/NNP
북한도	북한/NNP+도/JX
민간인	민간인/NNG
피격에	피격/NNG+에/JKB
대해	대하/VV+아/EC
유감을	유감/NNG+을/JKO
밝히지	밝히/VV+지/EC
않았느냐.	않/VX+았/EP+느냐/EF+./SF


# id : NWRW1800000032.377.10.6
서로 조처를 취해가면서 입장을 좁혀갈 여지가 있다.”

서로	서로/MAG
조처를	조처/NNG+를/JKO
취해가면서	취하/VV+아/EC+가/VX+면서/EC
입장을	입장/NNG+을/JKO
좁혀갈	좁히/VV+어/EC+가/VX+ㄹ/ETM
여지가	여지/NNB+가/JKS
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000032.377.11.1
-그래도 금강산 관광객 피격사건, 천안함·연평도 사건은 걸림돌인데.

-그래도	-/SO+그래도/MAJ
금강산	금강산/NNP
관광객	관광객/NNG
피격사건,	피격/NNG+사건/NNG+,/SP
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건은	사건/NNG+은/JX
걸림돌인데.	걸림돌/NNG+이/VCP+ㄴ데/EF+./SF


# id : NWRW1800000032.377.12.1
“이들 사건 때문에 남북관계가 나빠진 게 아니다.

“이들	“/SS+이/NP+들/XSN
사건	사건/NNG
때문에	때문/NNB+에/JKB
남북관계가	남북/NNP+관계/NNG+가/JKS
나빠진	나빠지/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000032.377.12.2
정권 초기부터 6·15 선언, 10·4 선언 다 무시했다.

정권	정권/NNG
초기부터	초기/NNG+부터/JX
6·15	6/SN+·/SP+15/SN
선언,	선언/NNG+,/SP
10·4	10/SN+·/SP+4/SN
선언	선언/NNG
다	다/MAG
무시했다.	무시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.377.12.3
남북기본합의서까지 무시했다.

남북기본합의서까지	남북/NNP+기본/NNG+합의서/NNG+까지/JX
무시했다.	무시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.377.12.4
그러곤 북한을 붕괴시키겠다는 적대정책을 내놓았다.

그러곤	그러/VV+고/EC+ㄴ/JX
북한을	북한/NNP+을/JKO
붕괴시키겠다는	붕괴/NNG+시키/XSV+겠/EP+다는/ETM
적대정책을	적대/NNG+정책/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.377.12.5
금강산, 천안함·연평도 사건은 그 과정에서 나온 것이다.

금강산,	금강산/NNP+,/SP
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건은	사건/NNG+은/JX
그	그/MMD
과정에서	과정/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.377.12.6
그러니까 대북정책 변화에서 실마리를 찾아야 한다.”

그러니까	그러니까/MAJ
대북정책	대북/NNG+정책/NNG
변화에서	변화/NNG+에서/JKB
실마리를	실마리/NNG+를/JKO
찾아야	찾/VV+아야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000032.377.13.1
-이번 비밀접촉에서 잘못된 점이 있다면?

-이번	-/SO+이번/NNG
비밀접촉에서	비밀/NNG+접촉/NNG+에서/JKB
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
있다면?	있/VA+다면/EC+?/SF


# id : NWRW1800000032.377.14.1
“문제의 핵심은 비밀접촉에서 실무적으로 뭘 실수하고 그런 문제가 아니다.

“문제의	“/SS+문제/NNG+의/JKG
핵심은	핵심/NNG+은/JX
비밀접촉에서	비밀/NNG+접촉/NNG+에서/JKB
실무적으로	실무/NNG+적/XSN+으로/JKB
뭘	뭐/NP+ㄹ/JKO
실수하고	실수/NNG+하/XSV+고/EC
그런	그런/MMD
문제가	문제/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000032.377.14.2
절차, 형식이 잘못돼 벌어진 일이 아니다.

절차,	절차/NNG+,/SP
형식이	형식/NNG+이/JKS
잘못돼	잘못/MAG+되/XSV+어/EC
벌어진	벌어지/VV+ㄴ/ETM
일이	일/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000032.377.14.3
본질적으로 남쪽의 대북 적대정책에서 비롯한 것이다.

본질적으로	본질/NNG+적/XSN+으로/JKB
남쪽의	남쪽/NNG+의/JKG
대북	대북/NNG
적대정책에서	적대/NNG+정책/NNG+에서/JKB
비롯한	비롯하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.377.14.4
정책 문제이지, 대표단의 잘잘못을 따질 일이 아니다.

정책	정책/NNG
문제이지,	문제/NNG+이/VCP+지/EC+,/SP
대표단의	대표단/NNG+의/JKG
잘잘못을	잘잘못/NNG+을/JKO
따질	따지/VV+ㄹ/ETM
일이	일/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000032.377.14.5
이번에 북도 대화로 뭔가 풀리지 않을까 기대했을 것이다.

이번에	이번/NNG+에/JKB
북도	북/NNP+도/JX
대화로	대화/NNG+로/JKB
뭔가	뭐/NP+이/VCP+ㄴ가/EF
풀리지	풀리/VV+지/EC
않을까	않/VX+을까/EF
기대했을	기대/NNG+하/XSV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.377.14.6
그런데 예비군 훈련장에서 사격 표적지에 김일성, 김정일, 김정은 3부자 사진을 걸어놓고 사격하는 것을 보면서 남쪽의 적대정책이 변한 게 없구나 하고 판단한 것 같다.

그런데	그런데/MAJ
예비군	예비군/NNG
훈련장에서	훈련장/NNG+에서/JKB
사격	사격/NNG
표적지에	표적지/NNG+에/JKB
김일성,	김일성/NNP+,/SP
김정일,	김정일/NNP+,/SP
김정은	김정은/NNP
3부자	3/SN+부자/NNG
사진을	사진/NNG+을/JKO
걸어놓고	걸/VV+어/EC+놓/VX+고/EC
사격하는	사격/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
보면서	보/VV+면서/EC
남쪽의	남쪽/NNG+의/JKG
적대정책이	적대/NNG+정책/NNG+이/JKS
변한	변하/VV+ㄴ/ETM
게	거/NNB+이/JKS
없구나	없/VA+구나/EF
하고	하/VV+고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000032.377.14.7
이 일을 우리는 별게 아니라고 생각할 수 있다.

이	이/MMD
일을	일/NNG+을/JKO
우리는	우리/NP+는/JX
별게	별거/NNG+이/JKC
아니라고	아니/VCN+라고/EC
생각할	생각/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


