# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.396
metadata : {}


# id : NWRW1800000037.396.1.1
[수도권]화동고갯길 공사장서 유물 발견

[수도권]화동고갯길	[/SS+수도/NNG+권/XSN+]/SS+화동고갯길/NNP
전면적인	전면/NNG+적/XSN+이/VCP+ㄴ/ETM
발굴	발굴/NNG
조사에	조사/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.396.4.1
공사 현장은 서울시 문화유적지도 상에 ‘김옥균 집터’ ‘서재필·박제순 집터’로 표시된 지역 안에 있고, 등록문화재 2호인 구 경기고교 건물(현 교육사료관 건물)과 인접한 곳이어서 결과가 주목된다.

공사	공사/NNG
현장은	현장/NNG+은/JX
서울시	서울시/NNP
문화유적지도	문화/NNG+유적/NNG+지도/NNG
상에	상/XSN+에/JKB
‘김옥균	‘/SS+김옥균/NNP
집터’	집터/NNG+’/SS
‘서재필·박제순	‘/SS+서재필/NNP+·/SP+박제순/NNP
집터’로	집터/NNG+’/SS+로/JKB
표시된	표시/NNG+되/XSV+ㄴ/ETM
지역	지역/NNG
안에	안/NNG+에/JKB
있고,	있/VA+고/EC+,/SP
등록문화재	등록/NNG+문화재/NNG
2호인	2/SN+호/NNB+이/VCP+ㄴ/ETM
구	구/NNG
경기고교	경기고교/NNP
건물(현	건물/NNG+(/SS+현/MMD
교육사료관	교육/NNG+사료관/NNG
건물)과	건물/NNG+)/SS+과/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
곳이어서	곳/NNG+이/VCP+어서/EC
결과가	결과/NNG+가/JKS
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.396.5.1
11일 종로구에 따르면 9일 재동초교와 정독도서관 사이의 가파른 언덕인 화동고개 시굴조사 중 생활자기 파편 10여 개 조각과 집터를 발견했다.

11일	11/SN+일/NNB
종로구에	종로구/NNP+에/JKB
따르면	따르/VV+면/EC
9일	9/SN+일/NNB
재동초교와	재동초교/NNP+와/JC
정독도서관	정독도서관/NNP
사이의	사이/NNG+의/JKG
가파른	가파르/VA+ㄴ/ETM
언덕인	언덕/NNG+이/VCP+ㄴ/ETM
화동고개	화동고개/NNP
시굴조사	시굴/NNG+조사/NNG
중	중/NNB
생활자기	생활/NNG+자기/NNG
파편	파편/NNG
10여	10/SN+여/XSN
개	개/NNB
조각과	조각/NNG+과/JC
집터를	집터/NNG+를/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.396.5.2
시굴조사는 지표면에서 30∼40cm 파 내려가면서 전체적인 유물 분포를 파악하는 작업이다.

시굴조사는	시굴/NNG+조사/NNG+는/JX
지표면에서	지표면/NNG+에서/JKB
30∼40cm	30/SN+∼/SO+40/SN+cm/SW
파	파/VV+아/EC
내려가면서	내려가/VV+면서/EC
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
유물	유물/NNG
분포를	분포/NNG+를/JKO
파악하는	파악/NNG+하/XSV+는/ETM
작업이다.	작업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.396.6.1
종로구는 외국인 관광객 편의 등을 명분으로 10억 원을 들여 화동고개에 297m² 규모의 단층 건물을 짓고 있었다.

종로구는	종로구/NNP+는/JX
외국인	외국인/NNG
관광객	관광객/NNG
편의	편의/NNG
등을	등/NNB+을/JKO
명분으로	명분/NNG+으로/JKB
10억	10/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
화동고개에	화동고개/NNP+에/JKB
297m²	297/SN+m²/SW
규모의	규모/NNG+의/JKG
단층	단층/NNG
건물을	건물/NNG+을/JKO
짓고	짓/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.396.6.2
이 건물에는 대형화장실(99m²)과 갤러리, 관광안내소, 주민쉼터 등이 들어선다.

이	이/MMD
건물에는	건물/NNG+에/JKB+는/JX
대형화장실(99m²)과	대형/NNG+화장실/NNG+(/SS+99/SN+m²/SW+)/SS+과/JC
갤러리,	갤러리/NNG+,/SP
관광안내소,	관광/NNG+안내소/NNG+,/SP
주민쉼터	주민/NNG+쉼터/NNG
등이	등/NNB+이/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.396.7.1
종로구는 문화재청이 시굴조사 결과를 통보하면 즉시 전면 발굴허가를 신청할 계획이다.

종로구는	종로구/NNP+는/JX
문화재청이	문화재청/NNG+이/JKS
시굴조사	시굴/NNG+조사/NNG
결과를	결과/NNG+를/JKO
통보하면	통보/NNG+하/XSV+면/EC
즉시	즉시/NNG
전면	전면/NNG
발굴허가를	발굴/NNG+허가/NNG+를/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.396.7.2
발굴조사의 경우 통상 두 달 이상이 걸리며 비용도 1억 원이 넘을 것으로 전해졌다.

발굴조사의	발굴/NNG+조사/NNG+의/JKG
경우	경우/NNG
통상	통상/MAG
두	두/MMN
달	달/NNB
이상이	이상/NNG+이/JKS
걸리며	걸리/VV+며/EC
비용도	비용/NNG+도/JX
1억	1/SN+억/NR
원이	원/NNB+이/JKS
넘을	넘/VV+을/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.396.8.1
북촌주민모임인 ‘북촌을 아끼는 사람들’의 장계현 대표는 “굳이 화장실이 필요하다면 정독도서관 후문 개방, 나눔 화장실 확대, 동 주민센터와 헌법재판소 등 공공기관 화장실 개방 등으로 해결할 수 있다”며 공사 취소를 요구했다.

북촌주민모임인	북촌/NNP+주민/NNG+모임/NNG+이/VCP+ㄴ/ETM
‘북촌을	‘/SS+북촌/NNP+을/JKO
아끼는	아끼/VV+는/ETM
사람들’의	사람/NNG+들/XSN+’/SS+의/JKG
장계현	장계현/NNP
대표는	대표/NNG+는/JX
“굳이	“/SS+굳이/MAG
화장실이	화장실/NNG+이/JKS
필요하다면	필요/NNG+하/XSA+다면/EC
정독도서관	정독도서관/NNP
후문	후문/NNG
개방,	개방/NNG+,/SP
나눔	나누/VV+ㅁ/ETN
화장실	화장실/NNG
확대,	확대/NNG+,/SP
동	동/NNG
주민센터와	주민/NNG+센터/NNG+와/JC
헌법재판소	헌법/NNG+재판소/NNG
등	등/NNB
공공기관	공공/NNG+기관/NNG
개방	개방/NNG
등으로	등/NNB+으로/JKB
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
공사	공사/NNG
취소를	취소/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


