# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.262
metadata : {}


# id : NWRW1800000029.262.1.1
맨유, 선수 관리시스템 철저 “산소탱크 3,4년은 건재할 것”

맨유,	맨유/NNP+,/SP
결과였던	결과/NNG+이/VCP+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.262.4.1
맨유는 장기적으로 보고 절대 무리를 시키지 않는다.

맨유는	맨유/NNP+는/JX
장기적으로	장기/NNG+적/XSN+으로/JKB
보고	보/VV+고/EC
절대	절대/MAG
무리를	무리/NNG+를/JKO
시키지	시키/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000029.262.4.2
박지성의 대표팀 차출은 선수 생명을 단축시켜 구단에 손해가 된다고 판단했다.

박지성의	박지성/NNP+의/JKG
대표팀	대표/NNG+팀/NNG
차출은	차출/NNG+은/JX
선수	선수/NNG
생명을	생명/NNG+을/JKO
단축시켜	단축/NNG+시키/XSV+어/EC
구단에	구단/NNG+에/JKB
손해가	손해/NNG+가/JKC
된다고	되/VV+ㄴ다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.262.4.3
박지성의 대표팀 은퇴에는 이런 점도 작용했다.

박지성의	박지성/NNP+의/JKG
대표팀	대표/NNG+팀/NNG
은퇴에는	은퇴/NNG+에/JKB+는/JX
이런	이런/MMD
점도	점/NNG+도/JX
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.262.5.1
그렇다면 박지성은 프로에서 몇 년을 더 뛸 수 있을까.

그렇다면	그렇/VA+다면/EC
박지성은	박지성/NNP+은/JX
프로에서	프로/NNG+에서/JKB
몇	몇/NR
년을	년/NNB+을/JKO
더	더/MAG
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000029.262.5.2
전문가들은 박지성이 맨유에만 집중할 경우 최소 3년은 뛸 수 있을 것으로 보고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
박지성이	박지성/NNP+이/JKS
맨유에만	맨유/NNP+에/JKB+만/JX
집중할	집중/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
최소	최소/NNG
3년은	3/SN+년/NNB+은/JX
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.262.5.3
미드필더들이 평균적으로 30대 초반에 은퇴하는 점을 감안하면 그 이상을 뛸 수도 있다.

미드필더들이	미드필더/NNG+들/XSN+이/JKS
평균적으로	평균/NNG+적/XSN+으로/JKB
30대	30/SN+대/NNB
초반에	초반/NNG+에/JKB
은퇴하는	은퇴/NNG+하/XSV+는/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
그	그/MMD
이상을	이상/NNG+을/JKO
뛸	뛰/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.262.5.4
박지성도 “3, 4년 더 뛸 수 있을 것”으로 본다.

박지성도	박지성/NNP+도/JX
“3,	“/SS+3/SN+,/SP
4년	4/SN+년/NNB
더	더/MAG
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”으로	것/NNB+”/SS+으로/JKB
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.262.5.5
하지만 맨유의 철저한 선수 관리 시스템에 따르면 5년 이상 뛸 수 있다는 게 송 원장의 분석이다.

하지만	하지만/MAJ
맨유의	맨유/NNP+의/JKG
철저한	철저/NNG+하/XSA+ㄴ/ETM
선수	선수/NNG
관리	관리/NNG
시스템에	시스템/NNG+에/JKB
따르면	따르/VV+면/EC
5년	5/SN+년/NNB
이상	이상/NNG
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
송	송/NNP
원장의	원장/NNG+의/JKG
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.262.5.6
‘영원한 맨유맨’ 라이언 긱스(38)와 폴 스콜스(37) 등 노장 미드필더는 30대 후반에도 건재하다.

‘영원한	‘/SS+영원/NNG+하/XSA+ㄴ/ETM
맨유맨’	맨유맨/NNG+’/SS
라이언	라이언/NNP
긱스(38)와	긱스/NNP+(/SS+38/SN+)/SS+와/JC
폴	폴/NNP
스콜스(37)	스콜스/NNP+(/SS+37/SN+)/SS
등	등/NNB
노장	노장/NNG
미드필더는	미드필더/NNG+는/JX
30대	30/SN+대/NNB
후반에도	후반/NNG+에/JKB+도/JX
건재하다.	건재/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.262.5.7
모두 맨유의 체계적인 관리 덕분이다.

모두	모두/MAG
맨유의	맨유/NNP+의/JKG
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
관리	관리/NNG
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.262.6.1
결국 무릎이 관건이다.

결국	결국/MAG
무릎이	무릎/NNG+이/JKS
관건이다.	관건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.262.6.2
박지성은 31일 기자회견에서 “만약 무릎 부상이 없었다면 체력적으로 힘들어도 대표선수 생활을 계속할 수 있었을 것이다”라고 말했다.

박지성은	박지성/NNP+은/JX
31일	31/SN+일/NNB
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“만약	“/SS+만약/MAG
무릎	무릎/NNG
부상이	부상/NNG+이/JKS
없었다면	없/VA+었/EP+다면/EC
체력적으로	체력/NNG+적/XSN+으로/JKB
힘들어도	힘들/VA+어도/EC
대표선수	대표/NNG+선수/NNG
생활을	생활/NNG+을/JKO
계속할	계속/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었을	있/VA+었/EP+을/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.262.6.3
박지성은 2003년 PSV 에인트호번 시절 오른 무릎의 반월형 연골판 제거 수술을 받았다.

박지성은	박지성/NNP+은/JX
2003년	2003/SN+년/NNB
PSV	PSV/SL
에인트호번	에인트호번/NNP
시절	시절/NNG
오른	오른/MMD
무릎의	무릎/NNG+의/JKG
반월형	반월/NNG+형/XSN
연골판	연골판/NNG
제거	제거/NNG
수술을	수술/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.262.6.4
2007년에는 오른쪽 무릎 연골 재생 수술을 받고 9개월간 재활훈련을 했다.

2007년에는	2007/SN+년/NNB+에/JKB+는/JX
오른쪽	오른쪽/NNG
무릎	무릎/NNG
연골	연골/NNG
재생	재생/NNG
수술을	수술/NNG+을/JKO
받고	받/VV+고/EC
9개월간	9/SN+개월/NNB+간/XSN
재활훈련을	재활/NNG+훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.262.6.5
하지만 무릎은 계속 말썽을 부렸다.

하지만	하지만/MAJ
무릎은	무릎/NNG+은/JX
계속	계속/MAG
말썽을	말썽/NNG+을/JKO
부렸다.	부리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.262.6.6
2009년 10월 세네갈과의 평가전을 마치고 소속팀에 복귀하고 나서 오른 무릎이 부어올라 9경기 연속 벤치를 지켰다.

2009년	2009/SN+년/NNB
10월	10/SN+월/NNB
세네갈과의	세네갈/NNP+과/JKB+의/JKG
평가전을	평가전/NNG+을/JKO
마치고	마치/VV+고/EC
소속팀에	소속/NNG+팀/NNG+에/JKB
복귀하고	복귀/NNG+하/XSV+고/EC
나서	나/VX+아서/EC
오른	오른/MMD
무릎이	무릎/NNG+이/JKS
부어올라	부어오르/VV+아/EC
9경기	9/SN+경기/NNG
연속	연속/NNG
벤치를	벤치/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.262.6.7
지난해 10월 무릎 통증으로 한일전에 출전하지 못했고 아시안컵 3, 4위전 때도 무릎에 물이 차 결장했다.

지난해	지난해/NNG
10월	10/SN+월/NNB
무릎	무릎/NNG
통증으로	통증/NNG+으로/JKB
한일전에	한일전/NNG+에/JKB
출전하지	출전/NNG+하/XSV+지/EC
못했고	못하/VX+았/EP+고/EC
아시안컵	아시안/NNP+컵/NNG
3,	3/SN+,/SP
4위전	4/SN+위전/NNB
때도	때/NNG+도/JX
무릎에	무릎/NNG+에/JKB
물이	물/NNG+이/JKS
차	차/VV+아/EC
결장했다.	결장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.262.7.1
박지성의 체력은 지금도 수준급이다.

박지성의	박지성/NNP+의/JKG
체력은	체력/NNG+은/JX
지금도	지금/NNG+도/JX
수준급이다.	수준급/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.262.7.2
이제 대표팀을 떠났으니 무릎을 잘 관리해 맨유에서 가급적 오랫동안 그라운드를 누비길 기대해본다.

이제	이제/MAG
대표팀을	대표/NNG+팀/NNG+을/JKO
떠났으니	떠나/VV+았/EP+으니/EC
무릎을	무릎/NNG+을/JKO
잘	잘/MAG
관리해	관리/NNG+하/XSV+아/EC
맨유에서	맨유/NNP+에서/JKB
가급적	가급적/MAG
오랫동안	오랫동안/NNG
그라운드를	그라운드/NNG+를/JKO
누비길	누비/VV+기/ETN+ㄹ/JKO
기대해본다.	기대/NNG+하/XSV+아/EC+보/VX+ㄴ다/EF+./SF


