# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.360
metadata : {}


# id : NWRW1800000029.360.1.1
“영관급 장교 4명 北-中국경서 1999년 북한에 체포-납치됐다”

“영관급	“/SS+영관급/NNG
있느냐”는	있/VX+느냐/EF+”/SS+는/ETM
변호인의	변호인/NNG+의/JKG
질문에	질문/NNG+에/JKB
“그렇다”고	“/SS+그렇/VA+다/EF+”/SS+고/JKQ
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.360.5.1
▼ “北, 납치 장교들 통해 작계 5027 정보 입수” ▼

▼	▼/SW
“北,	“/SS+北/SH+,/SP
납치	납치/NNG
장교들	장교/NNG+들/XSN
통해	통하/VV+아/EC
작계	작계/NNG
5027	5027/SN
정보	정보/NNG
입수”	입수/NNG+”/SS


# id : NWRW1800000029.360.6.1
박 씨 측은 정 씨 진술을 근거로 공판에서 납치된 장교들을 통해 북한이 2000년대 초 이미 ‘작전계획 5027’을 입수했다고 주장했다.

박	박/NNP
씨	씨/NNB
측은	측/NNB+은/JX
정	정/NNP
진술을	진술/NNG+을/JKO
근거로	근거/NNG+로/JKB
공판에서	공판/NNG+에서/JKB
납치된	납치/NNG+되/XSV+ㄴ/ETM
장교들을	장교/NNG+들/XSN+을/JKO
통해	통하/VV+아/EC
북한이	북한/NNP+이/JKS
2000년대	2000/SN+년대/NNB
초	초/NNB
이미	이미/MAG
‘작전계획	‘/SS+작전/NNG+계획/NNG
5027’을	5027/SN+’/SS+을/JKO
입수했다고	입수/NNG+하/XSV+았/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.360.6.2
또 북한이 2004년 이런 사실을 공개했다고 덧붙였다.

또	또/MAG
북한이	북한/NNP+이/JKS
2004년	2004/SN+년/NNB
이런	이런/MMD
사실을	사실/NNG+을/JKO
공개했다고	공개/NNG+하/XSV+았/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.360.7.1
○ 불분명한 사건 실체

○	○/SW
불분명한	불분명하/VA+ㄴ/ETM
사건	사건/NNG
실체	실체/NNG


# id : NWRW1800000029.360.8.1
정 씨는 동아일보 기자와의 통화에서 “증언 내용은 대부분 변호인이 얘기한 것”이라며 “나는 당시 그런 말을 들었을 뿐 그것이 사실인지에 대해서는 알지 못한다”고 선을 그었다.

정	정/NNP
씨는	씨/NNB+는/JX
동아일보	동아일보/NNP
기자와의	기자/NNG+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“증언	“/SS+증언/NNG
내용은	내용/NNG+은/JX
대부분	대/XPN+부분/NNG
변호인이	변호인/NNG+이/JKS
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“나는	“/SS+나/NP+는/JX
당시	당시/NNG
그런	그런/MMD
말을	말/NNG+을/JKO
들었을	듣/VV+었/EP+을/ETM
뿐	뿐/NNB
그것이	그것/NP+이/JKS
사실인지에	사실/NNG+이/VCP+ㄴ지/EF+에/JKB
대해서는	대하/VV+아서/EC+는/JX
알지	알/VV+지/EC
못한다”고	못하/VX+ㄴ다/EF+”/SS+고/JKQ
선을	선/NNG+을/JKO
그었다.	긋/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.360.8.2
이어 “밝힐 수 없는 취재원으로부터 그런 말을 들었지만 내가 취재해도 알 수 없는 내용이라고 판단해 사실관계에 대해 자세히 알아보지 않았다”고 덧붙였다.

이어	이어/MAG
“밝힐	“/SS+밝히/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
취재원으로부터	취재원/NNG+으로부터/JKB
그런	그런/MMD
말을	말/NNG+을/JKO
들었지만	듣/VV+었/EP+지만/EC
내가	내/NP+가/JKS
취재해도	취재/NNG+하/XSV+아도/EC
알	알/VV+ㄹ/ETM
내용이라고	내용/NNG+이/VCP+라고/EC
판단해	판단/NNG+하/XSV+아/EC
사실관계에	사실/NNG+관계/NNG+에/JKB
대해	대하/VV+아/EC
자세히	자세히/MAG
알아보지	알아보/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.360.9.1
박 씨를 조사했던 검찰 측은 “박 씨가 조사 과정에서 ‘작계 5027’을 자기가 준 건 아니고 다른 사람들이 넘겨준 걸로 알고 있다는 말을 했다”고 밝혔다.

박	박/NNP
씨를	씨/NNB+를/JKO
조사했던	조사/NNG+하/XSV+았/EP+던/ETM
검찰	검찰/NNG
측은	측/NNB+은/JX
“박	“/SS+박/NNP
씨가	씨/NNB+가/JKS
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
‘작계	‘/SS+작계/NNG
5027’을	5027/SN+’/SS+을/JKO
자기가	자기/NP+가/JKS
준	주/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
아니고	아니/VCN+고/EC
다른	다른/MMD
사람들이	사람/NNG+들/XSN+이/JKS
넘겨준	넘겨주/VV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
알고	알/VV+고/EC
있다는	있/VX+다는/ETM
말을	말/NNG+을/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.360.9.2
국방부는 “4명이 납북됐다는 것과 대령급 장교가 포함됐다는 것은 사실이 아니다”라고 부인했다.

국방부는	국방부/NNG+는/JX
“4명이	“/SS+4/SN+명/NNB+이/JKS
납북됐다는	납북/NNG+되/XSV+었/EP+다는/ETM
것과	것/NNB+과/JC
대령급	대령급/NNG
장교가	장교/NNG+가/JKS
포함됐다는	포함/NNG+되/XSV+었/EP+다는/ETM
것은	것/NNB+은/JX
사실이	사실/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.360.9.3
그러나 ‘당시 한국군 장교가 한두 명이라도 납북되지 않았느냐’는 질문에는 “확인해줄 수 없다.

그러나	그러나/MAJ
‘당시	‘/SS+당시/NNG
한국군	한국군/NNG
장교가	장교/NNG+가/JKS
한두	한두/MMN
명이라도	명/NNB+이/VCP+라도/EC
납북되지	납북/NNG+되/XSV+지/EC
않았느냐’는	않/VX+았/EP+느냐/EF+’/SS+는/ETM
질문에는	질문/NNG+에/JKB+는/JX
“확인해줄	“/SS+확인/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.360.9.4
양해해 달라”고 말해 여운을 남겼다.

양해해	양해/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
여운을	여운/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.360.10.1
○ 흑금성 사건은

○	○/SW
흑금성	흑금성/NNP
사건은	사건/NNG+은/JX


# id : NWRW1800000029.360.11.1
육군 3사관학교 출신인 박 씨는 군 정보기관에서 근무하다 1994년 국가안전기획부(안기부·현 국가정보원)에 들어가 ‘흑금성’이라는 공작명으로 대북 공작원 활동을 했다.

육군	육군/NNG
3사관학교	3사관학교/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
박	박/NNP
씨는	씨/NNB+는/JX
군	군/NNG
정보기관에서	정보기관/NNG+에서/JKB
근무하다	근무/NNG+하/XSV+다/EC
1994년	1994/SN+년/NNB
국가안전기획부(안기부·현	국가/NNG+안전/NNG+기획부/NNG+(/SS+안기부/NNG+·/SP+현/MMD
국가정보원)에	국가/NNG+정보원/NNG+)/SS+에/JKB
들어가	들어가/VV+아/EC
‘흑금성’이라는	‘/SS+흑금성/NNP+’/SS+이/VCP+라는/ETM
공작명으로	공작/NNG+명/NNG+으로/JKB
대북	대북/NNG
공작원	공작원/NNG
활동을	활동/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.360.11.2
박 씨는 대북사업을 성사시키는 과정에서 북한 고위층을 만나 기밀정보를 수집하고 안기부에 보고했다.

박	박/NNP
씨는	씨/NNB+는/JX
대북사업을	대북/NNG+사업/NNG+을/JKO
성사시키는	성사/NNG+시키/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
북한	북한/NNP
고위층을	고위/NNG+층/XSN+을/JKO
만나	만나/VV+아/EC
기밀정보를	기밀/NNG+정보/NNG+를/JKO
수집하고	수집/NNG+하/XSV+고/EC
안기부에	안기부/NNG+에/JKB
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.360.12.1
박 씨는 1997년 12월 15대 대통령선거를 앞두고 당시 김대중 새정치국민회의 후보를 낙선시키기 위해 안기부가 주도한 이른바 ‘북풍(北風) 공작’의 주인공이 되면서 신분이 노출돼 해고됐다.

박	박/NNP
씨는	씨/NNB+는/JX
1997년	1997/SN+년/NNB
12월	12/SN+월/NNB
15대	15/SN+대/NNB
대통령선거를	대통령/NNG+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
당시	당시/NNG
김대중	김대중/NNP
새정치국민회의	새정치국민회의/NNP
후보를	후보/NNG+를/JKO
낙선시키기	낙선/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
안기부가	안기부/NNG+가/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
이른바	이른바/MAG
‘북풍(北風)	‘/SS+북풍/NNG+(/SS+北風/SH+)/SS
공작’의	공작/NNG+’/SS+의/JKG
주인공이	주인공/NNG+이/JKC
되면서	되/VV+면서/EC
신분이	신분/NNG+이/JKS
노출돼	노출/NNG+되/XSV+어/EC
해고됐다.	해고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.360.12.2
이후 공작활동 과정에서 알게 된 북한 작전부(현 정찰총국) 공작원 A 씨에게 2003년부터 2005년 8월까지 군사기밀에 해당하는 ‘작계 5027’과 군사교범 등을 입수해 넘겨준 혐의(국가보안법 위반)로 지난해 7월 구속 기소됐다.

이후	이후/NNG
공작활동	공작/NNG+활동/NNG
과정에서	과정/NNG+에서/JKB
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
북한	북한/NNP
작전부(현	작전부/NNG+(/SS+현/MMD
정찰총국)	정찰/NNG+총국/NNG+)/SS
공작원	공작원/NNG
A	A/SL
씨에게	씨/NNB+에게/JKB
2003년부터	2003/SN+년/NNB+부터/JX
2005년	2005/SN+년/NNB
8월까지	8/SN+월/NNB+까지/JX
군사기밀에	군사/NNG+기밀/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
‘작계	‘/SS+작계/NNG
5027’과	5027/SN+’/SS+과/JC
군사교범	군사/NNG+교범/NNG
등을	등/NNB+을/JKO
입수해	입수/NNG+하/XSV+아/EC
넘겨준	넘겨주/VV+ㄴ/ETM
혐의(국가보안법	혐의/NNG+(/SS+국가/NNG+보안법/NNG
위반)로	위반/NNG+)/SS+로/JKB
지난해	지난해/NNG
7월	7/SN+월/NNB
구속	구속/NNG
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.360.12.3
1심 재판부는 박 씨의 혐의를 인정해 징역 7년에 자격정지 7년을 선고했다.

1심	1심/NNG
재판부는	재판부/NNG+는/JX
박	박/NNP
씨의	씨/NNB+의/JKG
혐의를	혐의/NNG+를/JKO
인정해	인정/NNG+하/XSV+아/EC
징역	징역/NNG
7년에	7/SN+년/NNB+에/JKB
자격정지	자격/NNG+정지/NNG
7년을	7/SN+년/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


