# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.203
metadata : {}


# id : NWRW1800000049.203.1.1
“수시적성검사 강화, 운전 부적격자 걸러내야”

“수시적성검사	“/SS+수시/NNG+적성/NNG+검사/NNG
경찰에	경찰/NNG+에/JKB
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.203.5.1
김 씨는 10년 전부터 당뇨병도 앓았던 것으로 조사돼 사고 전 저혈당 쇼크를 일으켜 정신을 잃었을 우려도 제기된다.

김	김/NNP
씨는	씨/NNB+는/JX
10년	10/SN+년/NNB
전부터	전/NNG+부터/JX
당뇨병도	당뇨병/NNG+도/JX
앓았던	앓/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
조사돼	조사/NNG+되/XSV+어/EC
사고	사고/NNG
전	전/NNG
저혈당	저/XPN+혈당/NNG
쇼크를	쇼크/NNG+를/JKO
일으켜	일으키/VV+어/EC
정신을	정신/NNG+을/JKO
잃었을	잃/VV+었/EP+을/ETM
우려도	우려/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.203.5.2
경찰은 김 씨가 치료를 받고 있는 병원으로부터 관련 기록을 넘겨받아 정확한 사고 원인을 조사하는 한편 사안의 중대성을 감안해 김 씨에 대해 사전 구속영장을 신청할 방침이다.

경찰은	경찰/NNG+은/JX
김	김/NNP
씨가	씨/NNB+가/JKS
치료를	치료/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
병원으로부터	병원/NNG+으로부터/JKB
관련	관련/NNG
기록을	기록/NNG+을/JKO
넘겨받아	넘겨받/VV+아/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
사고	사고/NNG
원인을	원인/NNG+을/JKO
조사하는	조사/NNG+하/XSV+는/ETM
한편	한편/NNG
사안의	사안/NNG+의/JKG
중대성을	중대/NNG+성/XSN+을/JKO
감안해	감안/NNG+하/XSV+아/EC
씨에	씨/NNB+에/JKB
대해	대하/VV+아/EC
사전	사전/NNG
구속영장을	구속/NNG+영장/NNG+을/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.203.6.1
김 씨가 교통안전에 심각한 위협을 초래할 수 있는 뇌질환 환자임에도 불구하고 계속 운전할 수 있었던 건 현행 운전면허 관리 체계의 허점 탓이다.

김	김/NNP
씨가	씨/NNB+가/JKS
교통안전에	교통안전/NNG+에/JKB
심각한	심각하/VA+ㄴ/ETM
위협을	위협/NNG+을/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
뇌질환	뇌/NNG+질환/NNG
환자임에도	환자/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
계속	계속/MAG
운전할	운전/NNG+하/XSV+ㄹ/ETM
있었던	있/VA+었/EP+던/ETM
건	거/NNB+ㄴ/JX
현행	현행/NNG
운전면허	운전면허/NNG
관리	관리/NNG
체계의	체계/NNG+의/JKG
허점	허점/NNG
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.203.6.2
도로교통법상 뇌전증이나 정신질환이 있다고 해도 운전면허 신규 취득이나 갱신을 무조건 막을 수 없다.

도로교통법상	도로/NNG+교통법/NNG+상/XSN
뇌전증이나	뇌전증/NNG+이나/JC
정신질환이	정신/NNG+질환/NNG+이/JKS
있다고	있/VA+다고/EC
해도	하/VV+아도/EC
운전면허	운전면허/NNG
신규	신규/NNG
취득이나	취득/NNG+이나/JC
갱신을	갱신/NNG+을/JKO
무조건	무/XPN+조건/NNG
막을	막/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.203.6.3
다만 6개월 이상 입원해 치료한 전력이 있는 경우에 수시적성검사 대상자로 분류돼 운전적성판정위원회의 심사를 거쳐야 한다.

다만	다만/MAG
6개월	6/SN+개월/NNB
이상	이상/NNG
입원해	입원/NNG+하/XSV+아/EC
치료한	치료/NNG+하/XSV+ㄴ/ETM
전력이	전력/NNG+이/JKS
있는	있/VA+는/ETM
경우에	경우/NNG+에/JKB
수시적성검사	수시/NNG+적성/NNG+검사/NNG
대상자로	대상자/NNG+로/JKB
분류돼	분류/NNG+되/XSV+어/EC
운전적성판정위원회의	운전/NNG+적성/NNG+판정/NNG+위원회/NNG+의/JKG
심사를	심사/NNG+를/JKO
거쳐야	거치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.203.6.4
해당 의료기관이 지역 보건소에 통보하면 보건소는 경찰청 전산시스템에 정보를 입력하고 관련 정보는 해당 면허시험장으로 통보되는 방식이다.

해당	해당/NNG
의료기관이	의료/NNG+기관/NNG+이/JKS
지역	지역/NNG
보건소에	보건소/NNG+에/JKB
통보하면	통보/NNG+하/XSV+면/EC
보건소는	보건소/NNG+는/JX
경찰청	경찰청/NNG
전산시스템에	전산/NNG+시스템/NNG+에/JKB
정보를	정보/NNG+를/JKO
입력하고	입력/NNG+하/XSV+고/EC
관련	관련/NNG
정보는	정보/NNG+는/JX
면허시험장으로	면허/NNG+시험장/NNG+으로/JKB
통보되는	통보/NNG+되/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.203.7.1
하지만 김 씨처럼 입원하지 않은 채 통원치료를 하면서 약만 복용하는 경우는 해당되지 않기 때문에 운전면허 갱신은 물론 신규 취득도 가능하다.

하지만	하지만/MAJ
김	김/NNP
씨처럼	씨/NNB+처럼/JKB
입원하지	입원/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
통원치료를	통원/NNG+치료/NNG+를/JKO
하면서	하/VV+면서/EC
약만	약/NNG+만/JX
복용하는	복용/NNG+하/XSV+는/ETM
경우는	경우/NNG+는/JX
해당되지	해당/NNG+되/XSV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
운전면허	운전면허/NNG
갱신은	갱신/NNG+은/JX
물론	물론/MAG
신규	신규/NNG
취득도	취득/NNG+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.203.7.2
물론 면허 갱신 때 정기적성검사를 받지만 시력 청력 등 간단한 신체능력을 테스트하는 수준이다.

물론	물론/MAG
면허	면허/NNG
갱신	갱신/NNG
때	때/NNG
정기적성검사를	정기/NNG+적성/NNG+검사/NNG+를/JKO
받지만	받/VV+지만/EC
시력	시력/NNG
청력	청력/NNG
등	등/NNB
간단한	간단하/VA+ㄴ/ETM
신체능력을	신체/NNG+능력/NNG+을/JKO
테스트하는	테스트/NNG+하/XSV+는/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.203.7.3
운전자 자신이 질병 유무를 밝히지 않으면 정기적성검사에서는 확인이 불가능하다.

운전자	운전자/NNG
자신이	자신/NNG+이/JKS
질병	질병/NNG
유무를	유무/NNG+를/JKO
밝히지	밝히/VV+지/EC
않으면	않/VX+으면/EC
정기적성검사에서는	정기/NNG+적성/NNG+검사/NNG+에서/JKB+는/JX
확인이	확인/NNG+이/JKS
불가능하다.	불/XPN+가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.203.7.4
실제로 김 씨도 지난달 정기적성검사를 받았지만 아무 문제없이 통과했다.

실제로	실제로/MAG
김	김/NNP
씨도	씨/NNB+도/JX
지난달	지난달/NNG
정기적성검사를	정기/NNG+적성/NNG+검사/NNG+를/JKO
받았지만	받/VV+았/EP+지만/EC
아무	아무/MMD
문제없이	문제/NNG+없이/MAG
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.203.8.1
수시적성검사 대상자로 분류돼 운전적성판정위원회가 열려도 ‘위험 운전자’를 모두 걸러내기는 쉽지 않다.

수시적성검사	수시/NNG+적성/NNG+검사/NNG
대상자로	대상자/NNG+로/JKB
분류돼	분류/NNG+되/XSV+어/EC
운전적성판정위원회가	운전/NNG+적성/NNG+판정/NNG+위원회/NNG+가/JKS
열려도	열리/VV+어도/EC
‘위험	‘/SS+위험/NNG
운전자’를	운전자/NNG+’/SS+를/JKO
모두	모두/MAG
걸러내기는	거르/VV+어/EC+내/VX+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.203.8.2
실제로 국내 수시적성검사의 면허 유지 판정 비율은 교통 선진국에 비해 매우 높다.

실제로	실제로/MAG
국내	국내/NNG
수시적성검사의	수시/NNG+적성/NNG+검사/NNG+의/JKG
면허	면허/NNG
유지	유지/NNG
판정	판정/NNG
비율은	비율/NNG+은/JX
교통	교통/NNG
선진국에	선진국/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
매우	매우/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.203.8.3
최근 5년간 면허 유지 판정이 내려진 비율은 평균 77.2%.

최근	최근/NNG
5년간	5/SN+년/NNB+간/XSN
면허	면허/NNG
유지	유지/NNG
판정이	판정/NNG+이/JKS
내려진	내려지/VV+ㄴ/ETM
비율은	비율/NNG+은/JX
평균	평균/NNG
77.2%.	77/SN+./SP+2/SN+%/SW+./SF


# id : NWRW1800000049.203.8.4
독일의 경우 이 비율이 30∼40%에 그치고 있다.

독일의	독일/NNP+의/JKG
경우	경우/NNG
이	이/MMD
비율이	비율/NNG+이/JKS
30∼40%에	30/SN+∼/SO+40/SN+%/SW+에/JKB
그치고	그치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.203.8.5
운전적성판정위원회는 도로교통공단 관계자, 교통 전문가, 의사 등으로 구성되며 대상 질환은 뇌전증 외에 치매, 조현병(정신분열), 마약 장애(담배 제외), 알코올 장애 등이다.

운전적성판정위원회는	운전/NNG+적성/NNG+판정/NNG+위원회/NNG+는/JX
도로교통공단	도로교통공단/NNP
관계자,	관계자/NNG+,/SP
교통	교통/NNG
전문가,	전문가/NNG+,/SP
의사	의사/NNG
등으로	등/NNB+으로/JKB
구성되며	구성/NNG+되/XSV+며/EC
대상	대상/NNG
질환은	질환/NNG+은/JX
뇌전증	뇌전증/NNG
외에	외/NNB+에/JKB
치매,	치매/NNG+,/SP
조현병(정신분열),	조현병/NNG+(/SS+정신/NNG+분열/NNG+)/SS+,/SP
마약	마약/NNG
장애(담배	장애/NNG+(/SS+담배/NNG
제외),	제외/NNG+)/SS+,/SP
알코올	알코올/NNG
장애	장애/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.203.9.1
김인석 삼성교통안전문화연구소 부장은 “전문가 협의를 통해 수시적성검사 대상 질환의 확대 가이드라인을 만드는 것이 시급하다”라며 “단계적으로 수시적성검사를 요청할 수 있는 주체도 늘리고 판정위원회에 다양한 심사위원을 추가해 전문성을 강화해야 한다”라고 말했다.

김인석	김인석/NNP
삼성교통안전문화연구소	삼성교통안전문화연구소/NNP
부장은	부장/NNG+은/JX
“전문가	“/SS+전문가/NNG
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
수시적성검사	수시/NNG+적성/NNG+검사/NNG
대상	대상/NNG
질환의	질환/NNG+의/JKG
확대	확대/NNG
가이드라인을	가이드라인/NNG+을/JKO
만드는	만들/VV+는/ETM
것이	것/NNB+이/JKS
시급하다”라며	시급하/VA+다/EF+”/SS+라며/EC
“단계적으로	“/SS+단계/NNG+적/XSN+으로/JKB
수시적성검사를	수시/NNG+적성/NNG+검사/NNG+를/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
주체도	주체/NNG+도/JX
늘리고	늘리/VV+고/EC
판정위원회에	판정/NNG+위원회/NNG+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
심사위원을	심사/NNG+위원/NNG+을/JKO
추가해	추가/NNG+하/XSV+아/EC
전문성을	전문/NNG+성/XSN+을/JKO
강화해야	강화/NNG+하/XSV+아야/EC
한다”라고	하/VX+ㄴ다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


