# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.123
metadata : {}


# id : NWRW1800000038.123.1.1
"한국, 연구 결과를 상업화하는 데 아주 능숙한 나라"

"한국,	"/SS+한국/NNP+,/SP
만인	만/NNB+이/VCP+ㄴ/ETM
지난해	지난해/NNG
유타대	유타대/NNP
15대	15/SN+대/NNB
총장직에	총장직/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.123.6.2
90년대 초반 공대 학장 시절 이후 처음으로 한국을 찾았다는 퍼싱 총장은 "20여년 전 서울은 막 경제가 부흥하기 시작하는 도시였는데, 이제는 모두 최신 스마트폰을 들고 다니는 첨단 도시가 됐다"며 "놀라운 발전을 이룬 한국에 경의를 표한다"고 했다.

90년대	90/SN+년대/NNB
초반	초반/NNG
공대	공대/NNG
학장	학장/NNG
시절	시절/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
한국을	한국/NNP+을/JKO
찾았다는	찾/VV+았/EP+다는/ETM
퍼싱	퍼싱/NNP
총장은	총장/NNG+은/JX
"20여년	"/SS+20/SN+여/XSN+년/NNB
전	전/NNG
서울은	서울/NNP+은/JX
막	막/MAG
경제가	경제/NNG+가/JKS
부흥하기	부흥/NNG+하/XSV+기/ETN
시작하는	시작/NNG+하/XSV+는/ETM
도시였는데,	도시/NNG+이/VCP+었/EP+는데/EC+,/SP
이제는	이제/NNG+는/JX
모두	모두/MAG
최신	최신/NNG
스마트폰을	스마트폰/NNG+을/JKO
들고	들/VV+고/EC
다니는	다니/VV+는/ETM
첨단	첨단/NNG
도시가	도시/NNG+가/JKC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"놀라운	"/SS+놀랍/VA+ㄴ/ETM
발전을	발전/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
한국에	한국/NNP+에/JKB
경의를	경의/NNG+를/JKO
표한다"고	표/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.123.7.1
"한국은 IT와 첨단 기술에서 가장 앞서가는 나라 중 하나입니다.

"한국은	"/SS+한국/NNP+은/JX
IT와	IT/SL+와/JC
첨단	첨단/NNG
기술에서	기술/NNG+에서/JKB
가장	가장/MAG
앞서가는	앞서가/VV+는/ETM
나라	나라/NNG
중	중/NNB
하나입니다.	하나/NR+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000038.123.7.2
그래서 이번 송도캠퍼스에 거는 기대가 더욱 크지요." 퍼싱 총장은 "삼성 갤럭시 폰을 보라"며 "한국은 연구 결과를 상업화하는 것이 아주 익숙한 나라"라고 했다.

그래서	그래서/MAJ
이번	이번/NNG
송도캠퍼스에	송도캠퍼스/NNP+에/JKB
거는	걸/VV+는/ETM
기대가	기대/NNG+가/JKS
더욱	더욱/MAG
크지요."	크/VA+지요/EF+./SF+"/SS
퍼싱	퍼싱/NNP
총장은	총장/NNG+은/JX
"삼성	"/SS+삼성/NNP
갤럭시	갤럭시/NNP
폰을	폰/NNG+을/JKO
보라"며	보/VV+라/EF+"/SS+며/EC
"한국은	"/SS+한국/NNP+은/JX
연구	연구/NNG
결과를	결과/NNG+를/JKO
상업화하는	상업/NNG+화/XSN+하/XSV+는/ETM
것이	것/NNB+이/JKS
아주	아주/MAG
익숙한	익숙하/VA+ㄴ/ETM
나라"라고	나라/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.123.7.3
"한국 학생들은 특히 수학, 공학에 뛰어난 재능을 타고났습니다.

"한국	"/SS+한국/NNP
학생들은	학생/NNG+들/XSN+은/JX
특히	특히/MAG
수학,	수학/NNG+,/SP
공학에	공학/NNG+에/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
재능을	재능/NNG+을/JKO
타고났습니다.	타고나/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000038.123.7.4
공중보건학이나 생명공학 등에서 훌륭한 결과를 만들어내리라 믿습니다."

공중보건학이나	공중/NNG+보건학/NNG+이나/JC
생명공학	생명/NNG+공학/NNG
등에서	등/NNB+에서/JKB
훌륭한	훌륭하/VA+ㄴ/ETM
결과를	결과/NNG+를/JKO
만들어내리라	만들/VV+어/EC+내/VX+리라/EF
믿습니다."	믿/VV+습니다/EF+./SF+"/SS


# id : NWRW1800000038.123.7.5
유타대 출신 한국인으로는 이용태 삼보컴퓨터 창업자, 한비야 UN 중앙긴급대응기금 자문위원 등이 있다.

유타대	유타대/NNP
출신	출신/NNG
한국인으로는	한국인/NNG+으로/JKB+는/JX
이용태	이용태/NNP
삼보컴퓨터	삼보컴퓨터/NNP
창업자,	창업자/NNG+,/SP
한비야	한비야/NNP
UN	UN/SL
중앙긴급대응기금	중앙/NNG+긴급/NNG+대응/NNG+기금/NNG
자문위원	자문/NNG+위원/NNG
등이	등/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.123.8.1
유타대는 앞으로 유럽과 남미에도 글로벌캠퍼스를 세울 계획이다.

유타대는	유타대/NNP+는/JX
앞으로	앞/NNG+으로/JKB
유럽과	유럽/NNP+과/JC
남미에도	남미/NNP+에/JKB+도/JX
글로벌캠퍼스를	글로벌캠퍼스/NNG+를/JKO
세울	세우/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.123.8.2
"우리 대학 최대의 목표는 국제화입니다.

"우리	"/SS+우리/NP
대학	대학/NNG
최대의	최대/NNG+의/JKG
목표는	목표/NNG+는/JX
국제화입니다.	국제/NNG+화/XSN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000038.123.8.3
인류에 이바지할 인재가 되려면, 세계 다양한 곳을 직접 겪어봐야지요."

인류에	인류/NNG+에/JKB
이바지할	이바지/NNG+하/XSV+ㄹ/ETM
인재가	인재/NNG+가/JKS
되려면,	되/VV+려면/EC+,/SP
세계	세계/NNG
다양한	다양/NNG+하/XSA+ㄴ/ETM
곳을	곳/NNG+을/JKO
직접	직접/MAG
겪어봐야지요."	겪/VV+어/EC+보/VX+아야/EC+지요/EF+./SF+"/SS


