# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.86
metadata : {}


# id : NWRW1800000044.86.1.1
“북한 오판 대비해 미·중 긴밀 소통 필요”

“북한	“/SS+북한/NNP
합동작전을	합동/NNG+작전/NNG+을/JKO
수행하기	수행/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
육·해·공군의	육·해·공군/NNG+의/JKG
파병을	파병/NNG+을/JKO
필요로	필요/NNG+로/JKB
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.86.9.1
패널은 한반도 비상사태와 관련한 군사작전 측면에서의 함의를 네 가지로 제시했다.

패널은	패널/NNG+은/JX
한반도	한반도/NNP
비상사태와	비상사태/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
군사작전	군사/NNG+작전/NNG
측면에서의	측면/NNG+에서/JKB+의/JKG
함의를	함의/NNG+를/JKO
네	네/MMN
가지로	가지/NNB+로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.86.9.2
첫째는 주한미군과 한국군을 보강하기 위해 아시아 및 미국 본토에 주둔한 미 지상군의 신속한 한반도 전개를 계획할 필요가 있다.

첫째는	첫째/NR+는/JX
주한미군과	주한/NNG+미군/NNG+과/JC
한국군을	한국군/NNG+을/JKO
보강하기	보강/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
아시아	아시아/NNP
및	및/MAG
미국	미국/NNP
본토에	본토/NNG+에/JKB
주둔한	주둔/NNG+하/XSV+ㄴ/ETM
미	미/NNP
지상군의	지상군/NNG+의/JKG
신속한	신속/NNG+하/XSA+ㄴ/ETM
한반도	한반도/NNP
전개를	전개/NNG+를/JKO
계획할	계획/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.86.9.3
두번째는 작전 환경과 관련해 공유된 구상을 확실하게 만들고 오판의 위험을 줄이기 위해 중국의 정치·군사 지도부와 긴밀한 의사소통이 필요하다.

두번째는	두/MMN+번/NNB+째/XSN+는/JX
작전	작전/NNG
환경과	환경/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
공유된	공유/NNG+되/XSV+ㄴ/ETM
구상을	구상/NNG+을/JKO
확실하게	확실하/VA+게/EC
만들고	만들/VV+고/EC
오판의	오판/NNG+의/JKG
위험을	위험/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
중국의	중국/NNP+의/JKG
정치·군사	정치/NNG+·/SP+군사/NNG
지도부와	지도부/NNG+와/JKB
긴밀한	긴밀하/VA+ㄴ/ETM
의사소통이	의사소통/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000044.86.9.4
셋째는 목적을 달성하고 민간 희생자를 최소화하며 핵 확전 가능성을 줄이기 위해 북한 내 핵심 목표들을 겨냥한 정밀무기들을 신속히 배치하는 계획을 미리 세워야 한다.

셋째는	셋째/NR+는/JX
목적을	목적/NNG+을/JKO
달성하고	달성/NNG+하/XSV+고/EC
민간	민간/NNG
희생자를	희생자/NNG+를/JKO
최소화하며	최소/NNG+화/XSN+하/XSV+며/EC
핵	핵/NNG
확전	확전/NNG
가능성을	가능/NNG+성/XSN+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
북한	북한/NNP
내	내/NNB
핵심	핵심/NNG
목표들을	목표/NNG+들/XSN+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
정밀무기들을	정밀/NNG+무기/NNG+들/XSN+을/JKO
신속히	신속히/MAG
배치하는	배치/NNG+하/XSV+는/ETM
계획을	계획/NNG+을/JKO
미리	미리/MAG
세워야	세우/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.86.9.5
넷째는 북한 내 핵·생화학 무기 및 시설이 테러리스트들과 적대국들의 수중에 넘어가는 것을 막기 위해 이를 확보하는 계획을 세워야 한다고 패널은 주장했다.

넷째는	넷째/NR+는/JX
북한	북한/NNP
내	내/NNB
핵·생화학	핵/NNG+·/SP+생화학/NNG
무기	무기/NNG
및	및/MAG
시설이	시설/NNG+이/JKS
테러리스트들과	테러리스트/NNG+들/XSN+과/JC
적대국들의	적대국/NNG+들/XSN+의/JKG
수중에	수중/NNG+에/JKB
넘어가는	넘어가/VV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
이를	이/NP+를/JKO
확보하는	확보/NNG+하/XSV+는/ETM
계획을	계획/NNG+을/JKO
세워야	세우/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
패널은	패널/NNG+은/JX
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.86.10.1
패널은 또 “오바마 행정부가 올 3월 발표한 4개년 국방전략 검토보고서에서 필요하다고 제시한 미국의 군사역량은 국방부가 확보할 수 있는 예산을 초과한다”고 지적했다.

패널은	패널/NNG+은/JX
또	또/MAG
“오바마	“/SS+오바마/NNP
행정부가	행정부/NNG+가/JKS
올	올/NNG
3월	3/SN+월/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
4개년	4/SN+개년/NNB
국방전략	국방/NNG+전략/NNG
검토보고서에서	검토/NNG+보고서/NNG+에서/JKB
필요하다고	필요/NNG+하/XSA+다고/EC
제시한	제시/NNG+하/XSV+ㄴ/ETM
미국의	미국/NNP+의/JKG
군사역량은	군사/NNG+역량/NNG+은/JX
국방부가	국방부/NNG+가/JKS
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
예산을	예산/NNG+을/JKO
초과한다”고	초과/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.86.10.2
패널은 중국·러시아의 최근 대외정책과 북한·이란의 핵 정책, 이라크·시리아 사태, 중동·아프리카 상황 등을 적시하면서 “이런 격차는 위험한 수준은 아니지만 불안감을 준다”고 평가했다.

패널은	패널/NNG+은/JX
중국·러시아의	중국/NNP+·/SP+러시아/NNP+의/JKG
최근	최근/MAG
대외정책과	대외/NNG+정책/NNG+과/JC
북한·이란의	북한/NNP+·/SP+이란/NNP+의/JKG
핵	핵/NNG
정책,	정책/NNG+,/SP
이라크·시리아	이라크/NNP+·/SP+시리아/NNP
사태,	사태/NNG+,/SP
중동·아프리카	중동/NNP+·/SP+아프리카/NNP
상황	상황/NNG
등을	등/NNB+을/JKO
적시하면서	적시/NNG+하/XSV+면서/EC
“이런	“/SS+이런/MMD
격차는	격차/NNG+는/JX
위험한	위험/NNG+하/XSA+ㄴ/ETM
수준은	수준/NNG+은/JX
아니지만	아니/VCN+지만/EC
불안감을	불안감/NNG+을/JKO
준다”고	주/VV+ㄴ다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


