# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.381
metadata : {}


# id : NWRW1800000056.381.1.1
하성용 전 사장 구속기소…KAI 수사 일단락

하성용	하성용/NNP
조작된	조작/NNG+되/XSV+ㄴ/ETM
재무제표를	재무제표/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
금융권에서	금융/NNG+권/XSN+에서/JKB
6500억원에	6500/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
대출을	대출/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
2조5000억원대의	2/SN+조/NR+5000/SN+억/NR+원/NNB+대/XSN+의/JKG
회사채와	회사채/NNG+와/JC
기업어음도	기업/NNG+어음/NNG+도/JX
불법	불법/NNG
발행한	발행/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.381.6.4
또 조작된 경영 실적을 바탕으로 하 전 대표와 임직원 등이 73억원에 이르는 상여금을 추가로 받은 사실도 확인됐다.

또	또/MAG
조작된	조작/NNG+되/XSV+ㄴ/ETM
경영	경영/NNG
실적을	실적/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
하	하/NNP
전	전/MMD
대표와	대표/NNG+와/JC
임직원	임직원/NNG
등이	등/NNB+이/JKS
73억원에	73/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
상여금을	상여금/NNG+을/JKO
추가로	추가/NNG+로/JKB
받은	받/VV+은/ETM
사실도	사실/NNG+도/JX
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.381.7.1
검찰은 또 하 전 대표가 카이 경영지원본부장 등으로 근무하던 2007~8년 회사가 보유한 외화를 매각하면서 환율을 조작하거나, 노사활성화비 예산을 ‘카드깡’으로 현금화하는 방식 등으로 20억원가량을 빼돌려 쓴 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
또	또/MAG
하	하/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
카이	카이/NNP
경영지원본부장	경영/NNG+지원/NNG+본부장/NNG
등으로	등/NNB+으로/JKB
근무하던	근무/NNG+하/XSV+던/ETM
2007~8년	2007/SN+~/SO+8/SN+년/NNB
회사가	회사/NNG+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
외화를	외화/NNG+를/JKO
매각하면서	매각/NNG+하/XSV+면서/EC
환율을	환율/NNG+을/JKO
조작하거나,	조작/NNG+하/XSV+거나/EC+,/SP
노사활성화비	노사/NNG+활성화비/NNG
예산을	예산/NNG+을/JKO
‘카드깡’으로	‘/SS+카드깡/NNG+’/SS+으로/JKB
현금화하는	현금/NNG+화/XSN+하/XSV+는/ETM
방식	방식/NNG
20억원가량을	20/SN+억/NR+원/NNB+가량/XSN+을/JKO
빼돌려	빼돌리/VV+어/EC
쓴	쓰/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.381.7.2
하 전 대표는 인사 청탁을 받고 특정 인물을 부정 취업시키거나, 협력업체 돈을 이용해 위장회사를 소유한 혐의도 받고 있다.

하	하/NNP
전	전/MMD
대표는	대표/NNG+는/JX
인사	인사/NNG
청탁을	청탁/NNG+을/JKO
받고	받/VV+고/EC
특정	특정/NNG
인물을	인물/NNG+을/JKO
부정	부정/NNG
취업시키거나,	취업/NNG+시키/XSV+거나/EC+,/SP
협력업체	협력/NNG+업체/NNG
돈을	돈/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
위장회사를	위장/NNG+회사/NNG+를/JKO
소유한	소유/NNG+하/XSV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.381.8.1
검찰은 하 전 대표를 도와 회계 분식과 사기대출 등에 개입한 혐의로 심아무개 재경본부장, 이아무개 국내사업본부장 등 전·현직 경영진 6명과 카이에 취업을 청탁한 경남 사천시 박아무개 국장 등 7명도 불구속 기소했다.

검찰은	검찰/NNG+은/JX
하	하/NNP
전	전/MMD
대표를	대표/NNG+를/JKO
도와	돕/VV+아/EC
회계	회계/NNG
분식과	분식/NNG+과/JC
사기대출	사기/NNG+대출/NNG
등에	등/NNB+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
심아무개	심/NNP+아무개/NP
재경본부장,	재경/NNG+본부장/NNG+,/SP
이아무개	이/NNP+아무개/NP
국내사업본부장	국내/NNG+사업/NNG+본부장/NNG
등	등/NNB
전·현직	전·현직/NNG
경영진	경영진/NNG
6명과	6/SN+명/NNB+과/JC
카이에	카이/NNP+에/JKB
취업을	취업/NNG+을/JKO
청탁한	청탁/NNG+하/XSV+ㄴ/ETM
경남	경남/NNP
사천시	사천시/NNP
박아무개	박/NNP+아무개/NP
국장	국장/NNG
7명도	7/SN+명/NNB+도/JX
불구속	불/XPN+구속/NNG
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.381.8.2
앞서 구속기소된 공아무개 구매본부장 등 4명을 포함해 이번 사건으로 재판에 넘겨진 인물은 모두 12명(구속기소 3명)이다.

앞서	앞서/MAG
구속기소된	구속/NNG+기소/NNG+되/XSV+ㄴ/ETM
공아무개	공/NNP+아무개/NP
구매본부장	구매/NNG+본부장/NNG
등	등/NNB
4명을	4/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
이번	이번/NNG
사건으로	사건/NNG+으로/JKB
재판에	재판/NNG+에/JKB
넘겨진	넘기/VV+어/EC+지/VX+ㄴ/ETM
인물은	인물/NNG+은/JX
모두	모두/MAG
12명(구속기소	12/SN+명/NNB+(/SS+구속/NNG+기소/NNG
3명)이다.	3/SN+명/NNB+)/SS+이/VCP+다/EF+./SF


