# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.202
metadata : {}


# id : NWRW1800000054.202.1.1
'사교육걱정없는세상' 간부, 자녀 대치동학원·영재고 보내

'사교육걱정없는세상'	'/SS+사교육걱정없는세상/NNP+'/SS
하지	하/VV+지/EC
말라	말/VX+라/EC
해놓고는	하/VV+아/EC+놓/VX+고/EC+는/JX
자기	자기/NNG
아이는	아이/NNG+는/JX
대치동까지	대치동/NNP+까지/JX
라이드(ride·학원	라이드/NNG+(/SS+ride/SL+·/SP+학원/NNG
실어	싣/VV+어/EC
나르기)하며	나르/VV+기/ETN+)/SS+하/VV+며/EC
사교육의	사교육/NNG+의/JKG
하이라이트인	하이라이트/NNG+이/VCP+ㄴ/ETM
영재고를	영재/NNG+고/NNG+를/JKO
보냈다"	보내/VV+었/EP+다/EF+"/SS
"결국	"/SS+결국/MAG
내가	내/NP+가/JKS
하면	하/VV+면/EC
로맨스고	로맨스/NNG+이/VCP+고/EC
남이	남/NNG+이/JKS
불륜인	불륜/NNG+이/VCP+ㄴ/ETM
건가"	거/NNB+이/VCP+ㄴ가/EF+"/SS
"자기	"/SS+자기/NNG
아이에게	아이/NNG+에게/JKB
실천하지	실천/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
내용을	내용/NNG+을/JKO
다른	다른/MMD
사람에게	사람/NNG+에게/JKB
강의한다는	강의/NNG+하/XSV+ㄴ다는/ETM
건	거/NNB+ㄴ/JX
모순"	모순/NNG+"/SS
같은	같/VA+은/ETM
글이	글/NNG+이/JKS
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.202.7.2
파문이 확산되자 A씨는 1일 사걱세 이사직에서 물러났다.

파문이	파문/NNG+이/JKS
확산되자	확산/NNG+되/XSV+자/EC
A씨는	A/SL+씨/NNB+는/JX
1일	1/SN+일/NNB
사걱세	사걱세/NNP
이사직에서	이사직/NNG+에서/JKB
물러났다.	물러나/VV+았/EP+다/EF+./SF


