# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.367
metadata : {}


# id : NWRW1800000054.367.1.1
[대선 팩트 체크] (2) MB·朴정부가 北지원 더 많이 했다는데…

[대선	[/SS+대선/NNG
# id : NWRW1800000054.367.6.2
당시 통일부가 국회 외교통일위원회에 제출한 자료에는 김대중·노무현 정부의 대북 송금액이 각각 13억4500만달러, 14억1000만달러로 돼 있다.

당시	당시/NNG
통일부가	통일부/NNG+가/JKS
국회	국회/NNG
외교통일위원회에	외교/NNG+통일/NNG+위원회/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
자료에는	자료/NNG+에/JKB+는/JX
김대중·노무현	김대중/NNP+·/SP+노무현/NNP
정부의	정부/NNG+의/JKG
대북	대북/NNG
송금액이	송금액/NNG+이/JKS
각각	각각/MAG
13억4500만달러,	13/SN+억/NR+4500/SN+만/NR+달러/NNB+,/SP
14억1000만달러로	14/SN+억/NR+1000/SN+만/NR+달러/NNB+로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.367.6.3
이를 토대로 지난해 2월 한 주간지는 "이명박 정부의 대북 송금액은 16억8000만달러로, 김대중·노무현 정부보다 대북 지원 규모가 커졌다"고 보도했다.

이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
지난해	지난해/NNG
2월	2/SN+월/NNB
한	한/MMN
주간지는	주간지/NNG+는/JX
"이명박	"/SS+이명박/NNP
정부의	정부/NNG+의/JKG
대북	대북/NNG
송금액은	송금액/NNG+은/JX
16억8000만달러로,	16/SN+억/NR+8000/SN+만/NR+달러/NNB+로/JKB+,/SP
김대중·노무현	김대중/NNP+·/SP+노무현/NNP
정부보다	정부/NNG+보다/JKB
지원	지원/NNG
규모가	규모/NNG+가/JKS
커졌다"고	커지/VV+었/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.367.6.4
"이명박·박근혜 정부가 더 많았다"는 문 후보의 발언은 이런 내용에 근거한 것으로 보인다.

"이명박·박근혜	"/SS+이명박/NNP+·/SP+박근혜/NNP
정부가	정부/NNG+가/JKS
더	더/MAG
많았다"는	많/VA+았/EP+다/EF+"/SS+는/ETM
문	문/NNP
후보의	후보/NNG+의/JKG
발언은	발언/NNG+은/JX
이런	이런/MMD
내용에	내용/NNG+에/JKB
근거한	근거/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.367.6.5
문 후보는 지난달 민주당 경선 토론회에서도 "김대중·노무현 정부에 대해 북한 퍼주기를 비난하는데 실제 대북 송금액은 YS 때 가장 많고 이명박 정부도 많았고, 김대중 정부는 그보다 적었다"고 주장했다.

문	문/NNP
후보는	후보/NNG+는/JX
지난달	지난달/NNG
민주당	민주당/NNP
경선	경선/NNG
토론회에서도	토론회/NNG+에서/JKB+도/JX
"김대중·노무현	"/SS+김대중/NNP+·/SP+노무현/NNP
정부에	정부/NNG+에/JKB
대해	대하/VV+아/EC
북한	북한/NNP
퍼주기를	푸/VV+어/EC+주/VV+기/ETN+를/JKO
비난하는데	비난/NNG+하/XSV+는데/EC
실제	실제/NNG
대북	대북/NNG
송금액은	송금액/NNG+은/JX
YS	YS/SL
때	때/NNG
가장	가장/MAG
많고	많/VA+고/EC
이명박	이명박/NNP
정부도	정부/NNG+도/JX
많았고,	많/VA+았/EP+고/EC+,/SP
김대중	김대중/NNP
정부는	정부/NNG+는/JX
그보다	그/NP+보다/JKB
적었다"고	적/VA+었/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.367.7.1
결국 오해가 빚어진 데는 통일부의 책임이 일정 부분 있는 것으로 보인다.

결국	결국/MAG
오해가	오해/NNG+가/JKS
빚어진	빚어지/VV+ㄴ/ETM
데는	데/NNB+는/JX
통일부의	통일부/NNG+의/JKG
책임이	책임/NNG+이/JKS
일정	일정/NNG
부분	부분/NNG
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.367.7.2
통일부 관계자는 "2010년 계산한 대북 송금액에서 교역·위탁가공 관련 액수 상당 부분이 빠져 있었던 것 같다"며 "요구 받은 계산 범위나 방식이 다르면 공개되는 액수도 다를 수 있다"고 말했다.

통일부	통일부/NNG
관계자는	관계자/NNG+는/JX
"2010년	"/SS+2010/SN+년/NNB
계산한	계산/NNG+하/XSV+ㄴ/ETM
대북	대북/NNG
송금액에서	송금액/NNG+에서/JKB
교역·위탁가공	교역/NNG+·/SP+위탁/NNG+가공/NNG
관련	관련/NNG
액수	액수/NNG
상당	상당/NNG
부분이	부분/NNG+이/JKS
빠져	빠지/VV+어/EC
있었던	있/VX+었/EP+던/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"요구	"/SS+요구/NNG
받은	받/XSV+은/ETM
계산	계산/NNG
범위나	범위/NNG+나/JC
방식이	방식/NNG+이/JKS
다르면	다르/VA+면/EC
공개되는	공개/NNG+되/XSV+는/ETM
액수도	액수/NNG+도/JX
다를	다르/VA+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


