# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.98
metadata : {}


# id : NWRW1800000048.98.1.1
자바 해저에서 에어아시아기 추정 동체 발견

자바	자바/NNP
160㎞	160/SN+㎞/SW
지점이었으며,	지점/NNG+이/VCP+었/EP+으며/EC+,/SP
에어아시아기가	에어아시아기/NNG+가/JKS
자바해에서	자바해/NNP+에서/JKB
실종된	실종/NNG+되/XSV+ㄴ/ETM
28일	28/SN+일/NNB
레이더에	레이더/NNG+에/JKB
마지막으로	마지막/NNG+으로/JKB
포착된	포착/NNG+되/XSV+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
10㎞	10/SN+㎞/SW
정도	정도/NNG
떨어진	떨어지/VV+ㄴ/ETM
지점이다.	지점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.98.8.1
인도네시아가 중심이 된 수색팀은 31일 주검 4구를 추가로 수습했다고 현지 신문 <콤파스> 등이 전했다.

인도네시아가	인도네시아/NNP+가/JKS
중심이	중심/NNG+이/JKC
된	되/VV+ㄴ/ETM
수색팀은	수색/NNG+팀/NNG+은/JX
31일	31/SN+일/NNB
주검	주검/NNG
4구를	4/SN+구/NNB+를/JKO
추가로	추가/NNG+로/JKB
수습했다고	수습/NNG+하/XSV+았/EP+다고/EC
현지	현지/NNG
신문	신문/NNG
<콤파스>	</SS+콤파스/NNP+>/SS
등이	등/NNB+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.98.8.2
헨리 밤방 술리스툐 인도네시아 수색구조청장은 “추가로 수습된 주검 중 1구는 승무원 유니폼을 입은 여성이며, 2구는 남성의 주검”이라고 밝혔다.

헨리	헨리/NNP
밤방	밤방/NNP
술리스툐	술리스툐/NNP
인도네시아	인도네시아/NNP
수색구조청장은	수색구조청장/NNG+은/JX
“추가로	“/SS+추가/NNG+로/JKB
수습된	수습/NNG+되/XSV+ㄴ/ETM
주검	주검/NNG
중	중/NNB
1구는	1/SN+구/NNB+는/JX
승무원	승무원/NNG
유니폼을	유니폼/NNG+을/JKO
입은	입/VV+은/ETM
여성이며,	여성/NNG+이/VCP+며/EC+,/SP
2구는	2/SN+구/NNB+는/JX
남성의	남성/NNG+의/JKG
주검”이라고	주검/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.98.8.3
또한 구명조끼를 입은 주검 1구도 발견했다고 수색구조청은 밝혔다.

또한	또한/MAG
구명조끼를	구명조끼/NNG+를/JKO
입은	입/VV+은/ETM
주검	주검/NNG
1구도	1/SN+구/NNB+도/JX
발견했다고	발견/NNG+하/XSV+았/EP+다고/EC
수색구조청은	수색/NNG+구조청/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.98.8.4
전날 수색팀은 항공기 비상구와 구명조끼, 온전한 모습의 여행가방, 주검 3구 등을 수습했다.

전날	전날/NNG
수색팀은	수색/NNG+팀/NNG+은/JX
항공기	항공기/NNG
비상구와	비상구/NNG+와/JC
구명조끼,	구명조끼/NNG+,/SP
온전한	온전하/VA+ㄴ/ETM
모습의	모습/NNG+의/JKG
여행가방,	여행/NNG+가방/NNG+,/SP
주검	주검/NNG
3구	3/SN+구/NNB
등을	등/NNB+을/JKO
수습했다.	수습/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.98.8.5
수색팀은 31일 주검과 비행기 잔해가 나온 지점을 중심으로 수색작업을 집중하고 잠수부도 배치했다.

수색팀은	수색/NNG+팀/NNG+은/JX
31일	31/SN+일/NNB
주검과	주검/NNG+과/JC
비행기	비행기/NNG
잔해가	잔해/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
지점을	지점/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
수색작업을	수색/NNG+작업/NNG+을/JKO
집중하고	집중/NNG+하/XSV+고/EC
잠수부도	잠수부/NNG+도/JX
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.98.8.6
하지만 31일 수색 지점에 2~6m의 파도가 일고 바람이 강해 잠수부들이 해저 작업을 하기 쉽지 않은 상황이다.

하지만	하지만/MAJ
31일	31/SN+일/NNB
수색	수색/NNG
지점에	지점/NNG+에/JKB
2~6m의	2/SN+~/SO+6/SN+m/SW+의/JKG
파도가	파도/NNG+가/JKS
일고	일/VV+고/EC
바람이	바람/NNG+이/JKS
강해	강하/VA+아/EC
잠수부들이	잠수부/NNG+들/XSN+이/JKS
해저	해저/NNG
작업을	작업/NNG+을/JKO
하기	하/VV+기/ETN
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.98.8.7
토니 페르난데스 에어아시아그룹 회장은 에어아시아기 추락이 확인된 30일 “유가족들이 겪은 일들에 대해 사과드린다.

토니	토니/NNP
페르난데스	페르난데스/NNP
에어아시아그룹	에어아시아그룹/NNP
회장은	회장/NNG+은/JX
에어아시아기	에어아시아기/NNG
추락이	추락/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
30일	30/SN+일/NNB
“유가족들이	“/SS+유가족/NNG+들/XSN+이/JKS
겪은	겪/VV+은/ETM
일들에	일/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
사과드린다.	사과/NNG+드리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.98.8.8
책임지겠다”고 말했다.

책임지겠다”고	책임지/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.98.8.9
그는 유가족들에게 재정적 도움을 제공하겠다고 했으나, 구체적 책임과 지원 범위에 대해서는 밝히지 않았다.

그는	그/NP+는/JX
유가족들에게	유가족/NNG+들/XSN+에게/JKB
재정적	재정/NNG+적/XSN
도움을	도움/NNG+을/JKO
제공하겠다고	제공/NNG+하/XSV+겠/EP+다고/EC
했으나,	하/VV+았/EP+으나/EC+,/SP
구체적	구체/NNG+적/XSN
책임과	책임/NNG+과/JC
지원	지원/NNG
범위에	범위/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.98.9.1
에어아시아기 추락 원인에 대해서는 ‘실속’(失速·날개 표면의 공기 흐름이 속도를 잃고 흐트러져 비행기가 바람을 타지 못하고 추락하는 것)이라는 주장이 많아지고 있다.

에어아시아기	에어아시아기/NNG
추락	추락/NNG
원인에	원인/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
‘실속’(失速·날개	‘/SS+실속/NNG+’/SS+(/SS+失速/SH+·/SP+날개/NNG
표면의	표면/NNG+의/JKG
공기	공기/NNG
흐름이	흐름/NNG+이/JKS
속도를	속도/NNG+를/JKO
잃고	잃/VV+고/EC
흐트러져	흐트러지/VV+어/EC
비행기가	비행기/NNG+가/JKS
바람을	바람/NNG+을/JKO
타지	타/VV+지/EC
못하고	못하/VX+고/EC
추락하는	추락/NNG+하/XSV+는/ETM
것)이라는	것/NNB+)/SS+이/VCP+라는/ETM
주장이	주장/NNG+이/JKS
많아지고	많아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.98.10.1
익명을 요구한 콴타스항공 소속 조종사(조종 경력 25년)는 <로이터>에 “에어아시아기가 마지막으로 레이더에 포착된 지점에서 얼마 떨어지지 않은 곳에서 잔해가 발견됐다는 사실은 비행기가 나쁜 날씨 때문에 실속했을 가능성을 보여준다.

익명을	익명/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
콴타스항공	콴타스항공/NNP
소속	소속/NNG
조종사(조종	조종사/NNG+(/SS+조종/NNG
경력	경력/NNG
25년)는	25/SN+년/NNB+)/SS+는/JX
<로이터>에	</SS+로이터/NNP+>/SS+에/JKB
“에어아시아기가	“/SS+에어아시아기/NNG+가/JKS
마지막으로	마지막/NNG+으로/JKB
레이더에	레이더/NNG+에/JKB
포착된	포착/NNG+되/XSV+ㄴ/ETM
지점에서	지점/NNG+에서/JKB
얼마	얼마/NNG
떨어지지	떨어지/VV+지/EC
않은	않/VX+은/ETM
곳에서	곳/NNG+에서/JKB
잔해가	잔해/NNG+가/JKS
발견됐다는	발견/NNG+되/XSV+었/EP+다는/ETM
사실은	사실/NNG+은/JX
비행기가	비행기/NNG+가/JKS
나쁜	나쁘/VA+ㄴ/ETM
날씨	날씨/NNG
때문에	때문/NNB+에/JKB
실속했을	실속/NNG+하/XSV+았/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.98.10.2
장치 중 일부가 얼어버려 조종사가 비행 상황을 잘못 판단했을 가능성이 크다”고 말했다.

장치	장치/NNG
중	중/NNB
일부가	일부/NNG+가/JKS
얼어버려	얼/VV+어/EC+버리/VX+어/EC
조종사가	조종사/NNG+가/JKS
비행	비행/NNG
상황을	상황/NNG+을/JKO
잘못	잘못/MAG
판단했을	판단/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.98.10.3
2009년 대서양에 추락했던 에어프랑스 AF447편의 사고 원인도 속도측정관이 고장나고 자동항법장치가 해제되면서 실속한 것이었는데, 에어아시아기도 그와 비슷한 상황에 빠졌을 것이라는 판단이다.

2009년	2009/SN+년/NNB
대서양에	대서양/NNP+에/JKB
추락했던	추락/NNG+하/XSV+았/EP+던/ETM
에어프랑스	에어프랑스/NNP
AF447편의	AF/SL+447/SN+편/NNB+의/JKG
사고	사고/NNG
원인도	원인/NNG+도/JX
속도측정관이	속도/NNG+측정관/NNG+이/JKS
고장나고	고장/NNG+나/VV+고/EC
자동항법장치가	자동/NNG+항법/NNG+장치/NNG+가/JKS
해제되면서	해제/NNG+되/XSV+면서/EC
실속한	실속/NNG+하/XSV+ㄴ/ETM
것이었는데,	것/NNB+이/VCP+었/EP+는데/EC+,/SP
에어아시아기도	에어아시아기/NNG+도/JX
그와	그/NP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
상황에	상황/NNG+에/JKB
빠졌을	빠지/VV+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.98.10.4
하지만 정확한 사고 원인은 에어아시아기의 블랙박스를 수거해야 알 수 있다.

하지만	하지만/MAJ
정확한	정확/NNG+하/XSA+ㄴ/ETM
사고	사고/NNG
원인은	원인/NNG+은/JX
에어아시아기의	에어아시아기/NNG+의/JKG
블랙박스를	블랙박스/NNG+를/JKO
수거해야	수거/NNG+하/XSV+아야/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.98.10.5
잔해는 비교적 일찍 발견됐지만 블랙박스 수거작업에는 시간이 꽤 걸릴 수 있다.

잔해는	잔해/NNG+는/JX
비교적	비교/NNG+적/XSN
일찍	일찍/MAG
발견됐지만	발견/NNG+되/XSV+었/EP+지만/EC
블랙박스	블랙박스/NNG
수거작업에는	수거/NNG+작업/NNG+에/JKB+는/JX
시간이	시간/NNG+이/JKS
꽤	꽤/MAG
걸릴	걸리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.98.10.6
대서양에 추락했던 에어프랑스기도 블랙박스 수거에 2년가량이 걸렸다.

대서양에	대서양/NNP+에/JKB
추락했던	추락/NNG+하/XSV+았/EP+던/ETM
에어프랑스기도	에어프랑스기/NNG+도/JX
블랙박스	블랙박스/NNG
수거에	수거/NNG+에/JKB
2년가량이	2/SN+년/NNB+가량/XSN+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.98.11.1
한편, 에어아시아그룹 소속인 에어아시아 제스트 항공기 한대가 30일 159명을 태운 채 필리핀 중부 칼리보공항에 착륙하다가 활주로를 이탈하는 사고를 일으켰다.

한편,	한편/MAG+,/SP
에어아시아그룹	에어아시아그룹/NNP
소속인	소속/NNG+이/VCP+ㄴ/ETM
에어아시아	에어아시아/NNP
제스트	제스트/NNG
항공기	항공기/NNG
한대가	한/MMN+대/NNB+가/JKS
30일	30/SN+일/NNB
159명을	159/SN+명/NNB+을/JKO
태운	태우/VV+ㄴ/ETM
채	채/NNB
필리핀	필리핀/NNP
중부	중부/NNG
칼리보공항에	칼리보공항/NNP+에/JKB
착륙하다가	착륙/NNG+하/XSV+다가/EC
활주로를	활주로/NNG+를/JKO
이탈하는	이탈/NNG+하/XSV+는/ETM
사고를	사고/NNG+를/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.98.11.2
다행히 인명 피해는 없었지만, 비행기 바퀴 3개가 진흙탕에 빠져버렸다고 <에이피>(AP) 통신이 전했다.

다행히	다행히/MAG
인명	인명/NNG
피해는	피해/NNG+는/JX
없었지만,	없/VA+었/EP+지만/EC+,/SP
비행기	비행기/NNG
바퀴	바퀴/NNG
3개가	3/SN+개/NNB+가/JKS
진흙탕에	진흙탕/NNG+에/JKB
빠져버렸다고	빠지/VV+어/EC+버리/VX+었/EP+다고/EC
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신이	통신/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.98.11.3
칼리보공항은 유명 휴양지 보라카이로 들어가기 위해서 많은 사람들이 이용하는 공항이다.

칼리보공항은	칼리보공항/NNP+은/JX
유명	유명/NNG
휴양지	휴양지/NNG
보라카이로	보라카이/NNP+로/JKB
들어가기	들어가/VV+기/ETN
위해서	위하/VV+아서/EC
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
이용하는	이용/NNG+하/XSV+는/ETM
공항이다.	공항/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.98.11.4
말레이시아에 본부를 둔 에어아시아그룹은 아시아 각국에 자회사를 두고 있는데, 자바해에서 추락한 에어아시아기는 인도네시아 자회사 소속이고 활주로 이탈 사고가 난 에어아시아 제스트기는 필리핀 자회사 소속이다.

말레이시아에	말레이시아/NNP+에/JKB
본부를	본부/NNG+를/JKO
둔	두/VV+ㄴ/ETM
에어아시아그룹은	에어아시아그룹/NNP+은/JX
아시아	아시아/NNP
각국에	각국/NNG+에/JKB
자회사를	자회사/NNG+를/JKO
두고	두/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
자바해에서	자바해/NNP+에서/JKB
추락한	추락/NNG+하/XSV+ㄴ/ETM
에어아시아기는	에어아시아기/NNG+는/JX
인도네시아	인도네시아/NNP
자회사	자회사/NNG
소속이고	소속/NNG+이/VCP+고/EC
활주로	활주로/NNG
이탈	이탈/NNG
사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
에어아시아	에어아시아/NNP
제스트기는	제스트기/NNG+는/JX
필리핀	필리핀/NNP
소속이다.	소속/NNG+이/VCP+다/EF+./SF


