# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.4
metadata : {}


# id : NWRW1800000052.4.1.1
CJ대한통운, 아시아 최대 택배 터미널 건설

CJ대한통운,	CJ대한통운/NNP+,/SP
새로	새로/MAG
지어질	짓/VV+어/EC+지/VX+ㄹ/ETM
택배	택배/NNG
터미널이	터미널/NNG+이/JKS
축구장	축구장/NNG
40개	40/SN+개/NNB
크기와	크기/NNG+와/JKB
맞먹는	맞먹/VV+는/ETM
연면적	연면적/NNG
30만㎡(약	30/SN+만/NR+㎡/SW+(/SS+약/MMA
9만평)	9/SN+만/NR+평/NNB+)/SS
규모로,	규모/NNG+로/JKB+,/SP
취급물량	취급/NNG+물량/NNG
기준으로	기준/NNG+으로/JKB
세계	세계/NNG
3위권으로	3/SN+위/NNB+권/XSN+으로/JKB
올라설	올라서/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.4.7.1
새로 건설될 터미널에는 로봇과 사물인터넷 기술이 적용되고, 빅데이터 분석시스템이 도입돼 하루 162만 상자의 화물 분류가 가능해지고 10톤 이상 대형 화물차량 850여대가 동시 상·하차 작업을 할 수 있게 된다.

새로	새로/MAG
건설될	건설/NNG+되/XSV+ㄹ/ETM
터미널에는	터미널/NNG+에/JKB+는/JX
로봇과	로봇/NNG+과/JC
사물인터넷	사물/NNG+인터넷/NNG
기술이	기술/NNG+이/JKS
적용되고,	적용/NNG+되/XSV+고/EC+,/SP
빅데이터	빅데이터/NNG
분석시스템이	분석/NNG+시스템/NNG+이/JKS
도입돼	도입/NNG+되/XSV+어/EC
하루	하루/NNG
162만	162/SN+만/NR
상자의	상자/NNG+의/JKG
화물	화물/NNG
분류가	분류/NNG+가/JKS
가능해지고	가능/NNG+하/XSA+아/EC+지/VX+고/EC
10톤	10/SN+톤/NNB
이상	이상/NNG
대형	대형/NNG
화물차량	화물/NNG+차량/NNG
850여대가	850/SN+여/XSN+대/NNB+가/JKS
동시	동시/NNG
상·하차	상·하차/NNG
작업을	작업/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.4.7.2
이에 따라 현재 익일배송(소비자가 오늘 택배 물량을 맡기면 내일 배송받는 체제)이 표준인 택배업계 패러다임이 하루 2회전 배송(1명의 소비자가 오전에 1번, 오후에 1번 하루 2번 택배물량을 배송받는 체제)으로 바뀌게 된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
현재	현재/MAG
익일배송(소비자가	익일/NNG+배송/NNG+(/SS+소비자/NNG+가/JKS
오늘	오늘/NNG
택배	택배/NNG
물량을	물량/NNG+을/JKO
맡기면	맡기/VV+면/EC
내일	내일/NNG
배송받는	배송/NNG+받/XSV+는/ETM
체제)이	체제/NNG+)/SS+이/JKS
표준인	표준/NNG+이/VCP+ㄴ/ETM
택배업계	택배업/NNG+계/XSN
패러다임이	패러다임/NNG+이/JKS
하루	하루/NNG
2회전	2/SN+회전/NNB
배송(1명의	배송/NNG+(/SS+1/SN+명/NNB+의/JKG
소비자가	소비자/NNG+가/JKS
오전에	오전/NNG+에/JKB
1번,	1/SN+번/NNB+,/SP
오후에	오후/NNG+에/JKB
1번	1/SN+번/NNB
2번	2/SN+번/NNB
택배물량을	택배/NNG+물량/NNG+을/JKO
체제)으로	체제/NNG+)/SS+으로/JKB
바뀌게	바뀌/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.4.8.1
회사 쪽은 2018년 10월 새 터미널이 가동되면 새 일자리 5000개, 경제유발 효과 1조원 창출 등 내수경기를 활성화하는 데 기여할 것으로 기대했다.

회사	회사/NNG
쪽은	쪽/NNB+은/JX
2018년	2018/SN+년/NNB
10월	10/SN+월/NNB
새	새/MMA
터미널이	터미널/NNG+이/JKS
가동되면	가동/NNG+되/XSV+면/EC
일자리	일자리/NNG
5000개,	5000/SN+개/NNB+,/SP
경제유발	경제/NNG+유발/NNG
효과	효과/NNG
1조원	1/SN+조/NR+원/NNB
창출	창출/NNG
등	등/NNB
내수경기를	내수/NNG+경기/NNG+를/JKO
활성화하는	활성/NNG+화/XSN+하/XSV+는/ETM
데	데/NNB
기여할	기여/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.4.9.1
박근태 씨제이대한통운 대표는 “3디(D) 업종으로 인식되던 물류에 첨단 혁신기술을 도입해 스마트 산업으로 변모시켜야 한다는 이재현 회장의 평소 신념에 따라 최대 규모의 택배 허브터미널을 만들기로 했다”고 밝혔다.

박근태	박근태/NNP
씨제이대한통운	씨제이대한통운/NNP
대표는	대표/NNG+는/JX
“3디(D)	“/SS+3/SN+디/NNG+(/SS+D/SL+)/SS
업종으로	업종/NNG+으로/JKB
인식되던	인식/NNG+되/XSV+던/ETM
물류에	물류/NNG+에/JKB
첨단	첨단/NNG
혁신기술을	혁신/NNG+기술/NNG+을/JKO
도입해	도입/NNG+하/XSV+아/EC
스마트	스마트/NNG
산업으로	산업/NNG+으로/JKB
변모시켜야	변모/NNG+시키/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
이재현	이재현/NNP
회장의	회장/NNG+의/JKG
평소	평소/NNG
신념에	신념/NNG+에/JKB
따라	따르/VV+아/EC
최대	최대/NNG
규모의	규모/NNG+의/JKG
택배	택배/NNG
허브터미널을	허브/NNG+터미널/NNG+을/JKO
만들기로	만들/VV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


