# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.297
metadata : {}


# id : NWRW1800000054.297.1.1
[기자의 視角] '준비된 후보'의 부실 공약

[기자의	[/SS+기자/NNG+의/JKG
대학교수가 900명 넘게 참여하면서 출범 단계부터 '줄세우기' 비판을 받아왔던 대규모 싱크탱크였지만 정작 정치인 중심의 선거 캠프가 돌아가기 시작하면서는 2선으로 한발 빠져 있는 모양새다.

대학교수가	대학교수/NNG+가/JKS
900명	900/SN+명/NNB
넘게	넘/VV+게/EC
참여하면서	참여/NNG+하/XSV+면서/EC
출범	출범/NNG
단계부터	단계/NNG+부터/JX
'줄세우기'	'/SS+줄/NNG+세우/VV+기/ETN+'/SS
비판을	비판/NNG+을/JKO
받아왔던	받/VV+아/EC+오/VX+았/EP+던/ETM
대규모	대/XPN+규모/NNG
싱크탱크였지만	싱크탱크/NNG+이/VCP+었/EP+지만/EC
정작	정작/MAG
정치인	정치인/NNG
중심의	중심/NNG+의/JKG
선거	선거/NNG
캠프가	캠프/NNG+가/JKS
돌아가기	돌아가/VV+기/ETN
시작하면서는	시작/NNG+하/XSV+면서/EC+는/JX
2선으로	2/SN+선/NNG+으로/JKB
한발	한발/MAG
빠져	빠지/VV+어/EC
있는	있/VX+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.297.5.1
정규직 전환의 구체적 방안을 묻자 문재인 캠프는 "실무진 착오로 보도 자료가 잘못 작성됐다. 정규직 전환은 공약 내용이 아니다"고 정정했다.

정규직	정규직/NNG
전환의	전환/NNG+의/JKG
구체적	구체/NNG+적/XSN
방안을	방안/NNG+을/JKO
묻자	묻/VV+자/EC
문재인	문재인/NNP
캠프는	캠프/NNG+는/JX
"실무진	"/SS+실무진/NNG
착오로	착오/NNG+로/JKB
보도	보도/NNG
자료가	자료/NNG+가/JKS
잘못	잘못/MAG
작성됐다.	작성/NNG+되/XSV+었/EP+다/EF+./SF
전환은	전환/NNG+은/JX
공약	공약/NNG
내용이	내용/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
정정했다.	정정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.297.5.2
하지만 문 후보 측 홍종학 정책본부장은 또 다른 이야기를 했다.

하지만	하지만/MAJ
문	문/NNP
후보	후보/NNG
측	측/NNB
홍종학	홍종학/NNP
정책본부장은	정책/NNG+본부장/NNG+은/JX
또	또/MAG
다른	다른/MMD
이야기를	이야기/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.297.5.3
그는 "정규직 전환을 추진한다는 것은 사실"이라며 "다만 230만명 전체를 정규직으로 전환하겠다는 것이 아니고 이들을 정규직으로 전환하는 업체에 정부 지원금으로 인센티브를 주겠다는 것"이라고 했다.

그는	그/NP+는/JX
"정규직	"/SS+정규직/NNG
전환을	전환/NNG+을/JKO
추진한다는	추진/NNG+하/XSV+ㄴ다는/ETM
것은	것/NNB+은/JX
사실"이라며	사실/NNG+"/SS+이/VCP+라며/EC
"다만	"/SS+다만/MAG
230만명	230/SN+만/NR+명/NNB
전체를	전체/NNG+를/JKO
정규직으로	정규직/NNG+으로/JKB
전환하겠다는	전환/NNG+하/XSV+겠/EP+다는/ETM
것이	것/NNB+이/JKC
아니고	아니/VCN+고/EC
이들을	이/NP+들/XSN+을/JKO
전환하는	전환/NNG+하/XSV+는/ETM
업체에	업체/NNG+에/JKB
정부	정부/NNG
지원금으로	지원금/NNG+으로/JKB
인센티브를	인센티브/NNG+를/JKO
주겠다는	주/VV+겠/EP+다는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.297.5.4
지원금 액수나 재원 방안 등 자세한 내용은 아직 정해지지 않았다고 했다.

지원금	지원금/NNG
액수나	액수/NNG+나/JC
재원	재원/NNG
방안	방안/NNG
등	등/NNB
자세한	자세하/VA+ㄴ/ETM
내용은	내용/NNG+은/JX
아직	아직/MAG
정해지지	정하/VV+아/EC+지/VX+지/EC
않았다고	않/VX+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.297.5.5
2012년에 이어 대선 재수(再修)에 나선 문 후보는 '준비된 대통령'을 주장하고 있다.

2012년에	2012/SN+년/NNB+에/JKB
이어	잇/VV+어/EC
대선	대선/NNG
재수(再修)에	재수/NNG+(/SS+再修/SH+)/SS+에/JKB
나선	나서/VV+ㄴ/ETM
문	문/NNP
후보는	후보/NNG+는/JX
'준비된	'/SS+준비/NNG+되/XSV+ㄴ/ETM
대통령'을	대통령/NNG+'/SS+을/JKO
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.297.5.6
100여명에 달하는 캠프 실무진 역시 2012년 때부터 '문재인 대통령'을 위해 손발을 맞춰온 인사가 대부분이다.

100여명에	100/SN+여/XSN+명/NNB+에/JKB
달하는	달하/VV+는/ETM
캠프	캠프/NNG
실무진	실무진/NNG
역시	역시/MAG
2012년	2012/SN+년/NNB
때부터	때/NNG+부터/JX
'문재인	'/SS+문재인/NNP
대통령'을	대통령/NNG+'/SS+을/JKO
위해	위하/VV+아/EC
손발을	손발/NNG+을/JKO
맞춰온	맞추/VV+어/EC+오/VX+ㄴ/ETM
인사가	인사/NNG+가/JKS
대부분이다.	대/XPN+부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.297.5.7
하지만 5년 전과 비교해 무엇이 얼마나 준비된 것인지 고개를 갸우뚱하는 사람이 많다.

하지만	하지만/MAJ
5년	5/SN+년/NNB
전과	전/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
무엇이	무엇/NP+이/JKS
얼마나	얼마나/MAG
준비된	준비/NNG+되/XSV+ㄴ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
고개를	고개/NNG+를/JKO
갸우뚱하는	갸우뚱/MAG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.297.5.8
일자리 정책, 재벌·검찰 개혁, 청와대 개방 등 문 후보의 주요 공약은 5년 전과 대동소이하다.

일자리	일자리/NNG
정책,	정책/NNG+,/SP
재벌·검찰	재벌/NNG+·/SP+검찰/NNG
개혁,	개혁/NNG+,/SP
청와대	청와대/NNP
개방	개방/NNG
등	등/NNB
문	문/NNP
후보의	후보/NNG+의/JKG
주요	주요/NNG
공약은	공약/NNG+은/JX
5년	5/SN+년/NNB
전과	전/NNG+과/JKB
대동소이하다.	대동소이/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.297.6.1
그보다 문 후보 측에서는 대규모 세(勢) 과시에만 치중하는 모습이다.

그보다	그/NP+보다/JKB
문	문/NNP
후보	후보/NNG
측에서는	측/NNB+에서/JKB+는/JX
대규모	대/XPN+규모/NNG
세(勢)	세/NNG+(/SS+勢/SH+)/SS
과시에만	과시/NNG+에/JKB+만/JX
치중하는	치중/NNG+하/XSV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.297.6.2
각종 '위원회' '포럼' '자문단' 등 수백명이 참여하는 비슷비슷한 이름의 지지 조직을 매일 발족하고 각계 인사를 영입했다며 발표하기에 바쁘다.

각종	각종/NNG
'위원회'	'/SS+위원회/NNG+'/SS
'포럼'	'/SS+포럼/NNG+'/SS
'자문단'	'/SS+자문단/NNG+'/SS
등	등/NNB
수백명이	수백/NR+명/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
비슷비슷한	비슷비슷/MAG+하/XSA+ㄴ/ETM
이름의	이름/NNG+의/JKG
지지	지지/NNG
조직을	조직/NNG+을/JKO
매일	매일/MAG
발족하고	발족/NNG+하/XSV+고/EC
각계	각계/NNG
인사를	인사/NNG+를/JKO
영입했다며	영입/NNG+하/XSV+았/EP+다며/EC
발표하기에	발표/NNG+하/XSV+기에/EC
바쁘다.	바쁘/VA+다/EF+./SF


# id : NWRW1800000054.297.6.3
그 과정에서 전인범 전 특전사령관이나 정세현 전 통일부 장관처럼 국민 정서와 동떨어진 발언으로 눈살을 찌푸리게 하는 일들도 계속 터져 나오고 있다.

그	그/MMD
과정에서	과정/NNG+에서/JKB
전인범	전인범/NNP
전	전/MMD
특전사령관이나	특전/NNG+사령관/NNG+이나/JC
정세현	정세현/NNP
통일부	통일부/NNG
장관처럼	장관/NNG+처럼/JKB
국민	국민/NNG
정서와	정서/NNG+와/JKB
동떨어진	동떨어지/VA+ㄴ/ETM
발언으로	발언/NNG+으로/JKB
눈살을	눈살/NNG+을/JKO
찌푸리게	찌푸리/VV+게/EC
하는	하/VX+는/ETM
일들도	일/NNG+들/XSN+도/JX
계속	계속/MAG
터져	터지/VV+어/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.297.7.1
문 후보 측은 "1등 주자에 대한 가혹한 비판의 잣대"라고 항변한다.

문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
"1등	"/SS+1/SN+등/NNB
주자에	주자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
가혹한	가혹/NNG+하/XSA+ㄴ/ETM
비판의	비판/NNG+의/JKG
잣대"라고	잣대/NNG+"/SS+라고/JKQ
항변한다.	항변/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.297.7.2
현재 대선 주자 중에 문 후보 정도가 논란 속에서도 꾸준히 정책을 제시하며 평가를 받고 있는 것도 사실이다.

현재	현재/MAG
대선	대선/NNG
주자	주자/NNG
중에	중/NNB+에/JKB
문	문/NNP
후보	후보/NNG
정도가	정도/NNG+가/JKS
논란	논란/NNG
속에서도	속/NNG+에서/JKB+도/JX
꾸준히	꾸준히/MAG
정책을	정책/NNG+을/JKO
제시하며	제시/NNG+하/XSV+며/EC
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.297.7.3
그러나 내실(內實)보다는 겉으로 보이는 모습에만 집착하고 있다는 인상도 지울 수 없다.

그러나	그러나/MAJ
내실(內實)보다는	내실/NNG+(/SS+內實/SH+)/SS+보다/JKB+는/JX
겉으로	겉/NNG+으로/JKB
보이는	보이/VV+는/ETM
모습에만	모습/NNG+에/JKB+만/JX
집착하고	집착/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
인상도	인상/NNG+도/JX
지울	지우/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.297.7.4
'준비된 대통령'이라는 선전 구호보다는 내용으로 이를 인정받는 것이 급선무일 것이다.

'준비된	'/SS+준비/NNG+되/XSV+ㄴ/ETM
대통령'이라는	대통령/NNG+'/SS+이/VCP+라는/ETM
선전	선전/NNG
구호보다는	구호/NNG+보다/JKB+는/JX
내용으로	내용/NNG+으로/JKB
이를	이/NP+를/JKO
인정받는	인정/NNG+받/XSV+는/ETM
것이	것/NNB+이/JKS
급선무일	급선무/NNG+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


