# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.9
metadata : {}


# id : NWRW1800000044.9.1.1
한은 기준금리 아홉달째 동결

한은	한은/NNP
지난해 12월 제조업 생산은 전달 대비 3.5% 증가했고 설비 투자도 5.2% 늘었다.

지난해	지난해/NNG
12월	12/SN+월/NNB
제조업	제조업/NNG
생산은	생산/NNG+은/JX
전달	전달/NNG
대비	대비/NNG
3.5%	3/SN+./SP+5/SN+%/SW
증가했고	증가/NNG+하/XSV+았/EP+고/EC
설비	설비/NNG
투자도	투자/NNG+도/JX
5.2%	5/SN+./SP+2/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.9.8.3
같은 기간 소매판매는 1.3%, 건설투자는 7.4% 감소했다.

같은	같/VA+은/ETM
기간	기간/NNG
소매판매는	소매/NNG+판매/NNG+는/JX
1.3%,	1/SN+./SP+3/SN+%/SW+,/SP
건설투자는	건설/NNG+투자/NNG+는/JX
7.4%	7/SN+./SP+4/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.9.8.4
1월 중 수출은 영업일수 감소로 전년 동기 대비 0.2% 줄었으나 유럽연합(EU)을 중심으로 증가세를 이어간 것으로 한은은 평가했다.

1월	1/SN+월/NNB
중	중/NNB
수출은	수출/NNG+은/JX
영업일수	영업일/NNG+수/NNG
감소로	감소/NNG+로/JKB
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
0.2%	0/SN+./SP+2/SN+%/SW
줄었으나	줄/VV+었/EP+으나/EC
유럽연합(EU)을	유럽연합/NNP+(/SS+EU/SL+)/SS+을/JKO
중심으로	중심/NNG+으로/JKB
증가세를	증가세/NNG+를/JKO
이어간	잇/VV+어/EC+가/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
한은은	한은/NNP+은/JX
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.9.9.1
국내외 긍정적 요인과 불안 요인이 겹치면서 시장에서는 기준금리 인하와 인상에 대한 전망이 공존하고 있다.

국내외	국내외/NNG
긍정적	긍정/NNG+적/XSN
요인과	요인/NNG+과/JC
불안	불안/NNG
요인이	요인/NNG+이/JKS
겹치면서	겹치/VV+면서/EC
시장에서는	시장/NNG+에서/JKB+는/JX
기준금리	기준/NNG+금리/NNG
인하와	인하/NNG+와/JC
인상에	인상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전망이	전망/NNG+이/JKS
공존하고	공존/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.9.9.2
금리 인하 요구는 경기부양의 불쏘시개 구실을 기대해온 정부·여당에서 수그러들지 않고 있다.

금리	금리/NNG
인하	인하/NNG
요구는	요구/NNG+는/JX
경기부양의	경기/NNG+부양/NNG+의/JKG
불쏘시개	불쏘시개/NNG
구실을	구실/NNG+을/JKO
기대해온	기대/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
정부·여당에서	정부/NNG+·/SP+여당/NNG+에서/JKB
수그러들지	수그러들/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.9.9.3
경기 회복세와 경제 지표 등을 고려할 때 금리 인상을 검토해야 한다는 견해도 적지 않다.

경기	경기/NNG
회복세와	회복세/NNG+와/JC
경제	경제/NNG
지표	지표/NNG
등을	등/NNB+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
금리	금리/NNG
인상을	인상/NNG+을/JKO
검토해야	검토/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
견해도	견해/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000044.9.9.4
기획재정부도 국내 경기의 회복세가 점차 강해지고 있다고 판단하고 있기 때문에 금융시장에선 앞으로 기준금리 인하보다 인상에 무게를 둬야 하는 게 아니냐는 분석이 나온다.

기획재정부도	기획/NNG+재정부/NNG+도/JX
국내	국내/NNG
경기의	경기/NNG+의/JKG
회복세가	회복세/NNG+가/JKS
점차	점차/MAG
강해지고	강하/VA+아/EC+지/VX+고/EC
있다고	있/VX+다고/EC
판단하고	판단/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
금융시장에선	금융/NNG+시장/NNG+에서/JKB+ㄴ/JX
앞으로	앞/NNG+으로/JKB
기준금리	기준/NNG+금리/NNG
인하보다	인하/NNG+보다/JKB
인상에	인상/NNG+에/JKB
무게를	무게/NNG+를/JKO
둬야	두/VV+어야/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


