# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.324
metadata : {}


# id : NWRW1800000054.324.1.1
[萬物相] 소득 주도 성장론

[萬物相]	[/SS+萬物相/SH+]/SS
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.324.2.5
경제 호황 덕이었다.

경제	경제/NNG
호황	호황/NNG
덕이었다.	덕/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.324.2.6
성장하는 미국 경제와 기업들이 비용 증가를 감당할 수 있었다.

성장하는	성장/NNG+하/XSV+는/ETM
미국	미국/NNP
경제와	경제/NNG+와/JC
기업들이	기업/NNG+들/XSN+이/JKS
비용	비용/NNG
증가를	증가/NNG+를/JKO
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.324.2.7
임금 인상 때문에 성장한 게 아니라 성장했기 때문에 임금이 오른 것이었다.

임금	임금/NNG
인상	인상/NNG
때문에	때문/NNB+에/JKB
성장한	성장/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
성장했기	성장/NNG+하/XSV+았/EP+기/ETN
임금이	임금/NNG+이/JKS
오른	오르/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.324.3.1
▶오바마 정책을 한국 진보 진영은 '소득 주도 성장'의 대표 사례로 들고 있다.

▶오바마	▶/SW+오바마/NNP
정책을	정책/NNG+을/JKO
한국	한국/NNP
진보	진보/NNG
진영은	진영/NNG+은/JX
'소득	'/SS+소득/NNG
주도	주도/NNG
성장'의	성장/NNG+'/SS+의/JKG
대표	대표/NNG
사례로	사례/NNG+로/JKB
들고	들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.324.3.2
그러나 오바마는 이런 용어를 쓴 적이 없다.

그러나	그러나/MAJ
오바마는	오바마/NNP+는/JX
이런	이런/MMD
용어를	용어/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.324.3.3
저소득층 분배 정책이었지 성장 촉진 정책은 아니었다.

저소득층	저/XPN+소득/NNG+층/XSN
분배	분배/NNG
정책이었지	정책/NNG+이/VCP+었/EP+지/EC
성장	성장/NNG
촉진	촉진/NNG
정책은	정책/NNG+은/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000054.324.3.4
오바마 역시 혁신과 생산성 향상을 성장의 주력 엔진으로 삼았다.

오바마	오바마/NNP
역시	역시/MAG
혁신과	혁신/NNG+과/JC
생산성	생산/NNG+성/XSN
향상을	향상/NNG+을/JKO
성장의	성장/NNG+의/JKG
주력	주력/NNG
엔진으로	엔진/NNG+으로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.324.3.5
얼마 전 미주리주(州) 주지사가 최저임금을 낮추는 법안에 서명하면서 한 말도 같은 맥락이었다.

얼마	얼마/NNG
전	전/NNG
미주리주(州)	미주리주/NNP+(/SS+州/SH+)/SS
주지사가	주지사/NNG+가/JKS
최저임금을	최저/NNG+임금/NNG+을/JKO
낮추는	낮추/VV+는/ETM
법안에	법안/NNG+에/JKB
서명하면서	서명/NNG+하/XSV+면서/EC
한	하/VV+ㄴ/ETM
말도	말/NNG+도/JX
같은	같/VA+은/ETM
맥락이었다.	맥락/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.324.3.6
"최저임금 인상은 일자리를 죽이고 주머니에서 돈을 빼앗는다."

"최저임금	"/SS+최저/NNG+임금/NNG
인상은	인상/NNG+은/JX
일자리를	일자리/NNG+를/JKO
죽이고	죽이/VV+고/EC
주머니에서	주머니/NNG+에서/JKB
돈을	돈/NNG+을/JKO
빼앗는다."	빼앗/VV+는다/EF+./SF+"/SS


# id : NWRW1800000054.324.4.1
▶경제학에서 비주류 이론이던 소득 주도 성장론이 주목받은 것은 2008년 금융 위기 때다.

▶경제학에서	▶/SW+경제학/NNG+에서/JKB
비주류	비/XPN+주류/NNG
이론이던	이론/NNG+이/VCP+던/ETM
소득	소득/NNG
주도	주도/NNG
성장론이	성장/NNG+론/XSN+이/JKS
주목받은	주목/NNG+받/XSV+은/ETM
것은	것/NNB+은/JX
2008년	2008/SN+년/NNB
금융	금융/NNG
위기	위기/NNG
때다.	때/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.324.4.2
자본주의에 결함이 있다는 반성이 일면서 대안 모델로 부상했다.

자본주의에	자본주의/NNG+에/JKB
결함이	결함/NNG+이/JKS
있다는	있/VA+다는/ETM
반성이	반성/NNG+이/JKS
일면서	일/VV+면서/EC
대안	대안/NNG
모델로	모델/NNG+로/JKB
부상했다.	부상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.324.4.3
2012년 국제노동기구(ILO) 보고서가 기폭제였다.

2012년	2012/SN+년/NNB
국제노동기구(ILO)	국제노동기구/NNP+(/SS+ILO/SL+)/SS
보고서가	보고서/NNG+가/JKS
기폭제였다.	기폭제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.324.4.4
임금 상승→소비 촉진→생산 증가의 선순환을 이루자는 요지다.

임금	임금/NNG
상승→소비	상승/NNG+→/SW+소비/NNG
촉진→생산	촉진/NNG+→/SW+생산/NNG
증가의	증가/NNG+의/JKG
선순환을	선순환/NNG+을/JKO
이루자는	이루/VV+자/EC+는/JX
요지다.	요지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.324.4.5
주류 경제학은 기업 주도 성장이 근로자 소득 증대로 퍼지는 '낙수 효과'를 신봉했다.

주류	주류/NNG
경제학은	경제학/NNG+은/JX
기업	기업/NNG
주도	주도/NNG
성장이	성장/NNG+이/JKS
근로자	근로자/NNG
소득	소득/NNG
증대로	증대/NNG+로/JKB
퍼지는	퍼지/VV+는/ETM
'낙수	'/SS+낙수/NNG
효과'를	효과/NNG+'/SS+를/JKO
신봉했다.	신봉/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.324.4.6
소득 주도 성장론은 거꾸로다.

소득	소득/NNG
주도	주도/NNG
성장론은	성장/NNG+론/XSN+은/JX
거꾸로다.	거꾸로/MAG+이/VCP+다/EF+./SF


# id : NWRW1800000054.324.4.7
소득 증대가 분수처럼 올라가 성장을 이끈다는 '분수론'을 내세운다.

소득	소득/NNG
증대가	증대/NNG+가/JKS
분수처럼	분수/NNG+처럼/JKB
올라가	올라가/VV+아/EC
성장을	성장/NNG+을/JKO
이끈다는	이끌/VV+ㄴ다는/ETM
'분수론'을	'/SS+분수/NNG+론/XSN+'/SS+을/JKO
내세운다.	내세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.324.5.1
▶소득 주도 성장론을 실제로 성공시킨 나라는 없다.

▶소득	▶/SW+소득/NNG
주도	주도/NNG
성장론을	성장/NNG+론/XSN+을/JKO
실제로	실제로/MAG
성공시킨	성공/NNG+시키/XSV+ㄴ/ETM
나라는	나라/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.324.5.2
이 모델에 근접했던 것이 그리스와 남미다.

이	이/MMD
모델에	모델/NNG+에/JKB
근접했던	근접/NNG+하/XSV+았/EP+던/ETM
것이	것/NNB+이/JKS
그리스와	그리스/NNP+와/JC
남미다.	남미/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000054.324.5.3
국민 세금으로 일자리 만들고 현금을 나눠준 이 실험은 국가 파산으로 끝났다.

국민	국민/NNG
세금으로	세금/NNG+으로/JKB
일자리	일자리/NNG
만들고	만들/VV+고/EC
현금을	현금/NNG+을/JKO
나눠준	나누/VV+어/EC+주/VX+ㄴ/ETM
이	이/MMD
실험은	실험/NNG+은/JX
국가	국가/NNG
파산으로	파산/NNG+으로/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.324.5.4
지금 국제기구에서 유행하는 '포용적 성장론'은 성장보다 불평등 해소에 무게중심이 있다.

지금	지금/MAG
국제기구에서	국제기구/NNG+에서/JKB
유행하는	유행/NNG+하/XSV+는/ETM
'포용적	'/SS+포용/NNG+적/XSN
성장론'은	성장/NNG+론/XSN+'/SS+은/JX
성장보다	성장/NNG+보다/JKB
불평등	불/XPN+평등/NNG
해소에	해소/NNG+에/JKB
무게중심이	무게/NNG+중심/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.324.5.5
미·일·유럽 등의 임금 증대 정책 역시 성장 정책이 아니다.

미·일·유럽	미/NNP+·/SP+일/NNP+·/SP+유럽/NNP
등의	등/NNB+의/JKG
임금	임금/NNG
증대	증대/NNG
정책	정책/NNG
역시	역시/MAG
성장	성장/NNG
정책이	정책/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000054.324.5.6
혁신만이 성장을 이룬다는 것은 불변의 법칙이다.

혁신만이	혁신/NNG+만/JX+이/JKS
성장을	성장/NNG+을/JKO
이룬다는	이루/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
불변의	불변/NNG+의/JKG
법칙이다.	법칙/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.324.5.7
그래서 문재인 정부의 소득 주도 성장론은 '실험'에 비유된다.

그래서	그래서/MAJ
문재인	문재인/NNP
정부의	정부/NNG+의/JKG
소득	소득/NNG
주도	주도/NNG
성장론은	성장/NNG+론/XSN+은/JX
'실험'에	'/SS+실험/NNG+'/SS+에/JKB
비유된다.	비유/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.324.6.1
▶최저임금을 16% 인상한 후 문 대통령은 "당장 내년부터 성장률을 높여줄 것"이라고 했다.

▶최저임금을	▶/SW+최저/NNG+임금/NNG+을/JKO
16%	16/SN+%/SW
인상한	인상/NNG+하/XSV+ㄴ/ETM
후	후/NNG
문	문/NNP
대통령은	대통령/NNG+은/JX
"당장	"/SS+당장/NNG
내년부터	내년/NNG+부터/JX
성장률을	성장/NNG+률/XSN+을/JKO
높여줄	높이/VV+어/EC+주/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.324.6.2
그러나 임금 상승은 공짜가 아니다.

그러나	그러나/MAJ
임금	임금/NNG
상승은	상승/NNG+은/JX
공짜가	공짜/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000054.324.6.3
비용이 늘어난 기업은 투자를 줄인다.

비용이	비용/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
기업은	기업/NNG+은/JX
투자를	투자/NNG+를/JKO
줄인다.	줄이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.324.6.4
고용도 줄인다.

고용도	고용/NNG+도/JX
줄인다.	줄이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.324.6.5
세금을 더 내게 된 국민은 소비를 줄인다.

세금을	세금/NNG+을/JKO
더	더/MAG
내게	내/VV+게/EC
된	되/VV+ㄴ/ETM
국민은	국민/NNG+은/JX
소비를	소비/NNG+를/JKO
줄인다.	줄이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.324.6.6
임금이 늘어난 근로자도 이를 다 소비하지 않는다.

임금이	임금/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
근로자도	근로자/NNG+도/JX
이를	이/NP+를/JKO
다	다/MAG
소비하지	소비/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000054.324.6.7
이렇게 되면 소득 주도 성장은 허상이 된다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
소득	소득/NNG
주도	주도/NNG
성장은	성장/NNG+은/JX
허상이	허상/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.324.6.8
최저임금이 1만원이 되면 국민 세금 16조원이 들어가야 한다.

최저임금이	최저/NNG+임금/NNG+이/JKS
1만원이	1/SN+만/NR+원/NNB+이/JKC
되면	되/VV+면/EC
국민	국민/NNG
세금	세금/NNG
16조원이	16/SN+조/NR+원/NNB+이/JKS
들어가야	들어가/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.324.6.9
이때가 되면 소득 주도가 아니라 '세금 주도 성장'이란 말이 나올지 모르겠다.

이때가	이때/NNG+가/JKC
되면	되/VV+면/EC
소득	소득/NNG
주도가	주도/NNG+가/JKC
아니라	아니/VCN+라/EC
'세금	'/SS+세금/NNG
주도	주도/NNG
성장'이란	성장/NNG+'/SS+이/VCP+란/ETM
말이	말/NNG+이/JKS
나올지	나오/VV+ㄹ지/EC
모르겠다.	모르/VV+겠/EP+다/EF+./SF


