# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.31
metadata : {}


# id : NWRW1800000052.31.1.1
7월부터 ‘보험다모아’에서 실제 자동차 보험료 비교 가능

7월부터	7/SN+월/NNB+부터/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.31.6.4
이런 제약 하에 조회를 했더니 보험료가 80여만원으로 계산됐다.

이런	이런/MMD
제약	제약/NNG
하에	하/XSN+에/JKB
조회를	조회/NNG+를/JKO
했더니	하/VV+았/EP+더니/EC
보험료가	보험료/NNG+가/JKS
80여만원으로	80/SN+여/XSN+만/NR+원/NNB+으로/JKB
계산됐다.	계산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.31.6.5
“시스템이 너무 허술해 믿기 어렵다”고 여긴 조씨는 결국 보험 설계사를 통해 견적을 받은 뒤 60만원 가량의 보험료를 내고 오프라인으로 가입을 했다.

“시스템이	“/SS+시스템/NNG+이/JKS
너무	너무/MAG
허술해	허술하/VA+아/EC
믿기	믿/VV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
여긴	여기/VV+ㄴ/ETM
조씨는	조/NNP+씨/NNB+는/JX
결국	결국/MAG
보험	보험/NNG
설계사를	설계사/NNG+를/JKO
통해	통하/VV+아/EC
견적을	견적/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
60만원	60/SN+만/NR+원/NNB
가량의	가량/XSN+의/JKG
보험료를	보험료/NNG+를/JKO
내고	내/VV+고/EC
오프라인으로	오프라인/NNG+으로/JKB
가입을	가입/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.31.7.1
앞으로는 보험다모아 이용자들이 자동차 보험료를 좀 더 정확하게 알아볼 수 있을 것으로 보인다.

앞으로는	앞/NNG+으로/JKB+는/JX
보험다모아	보험다모아/NNP
이용자들이	이용자/NNG+들/XSN+이/JKS
자동차	자동차/NNG
보험료를	보험료/NNG+를/JKO
좀	좀/MAG
더	더/MAG
정확하게	정확/NNG+하/XSA+게/EC
알아볼	알아보/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.31.7.2
금융위원회는 27일 연식·사고 이력·세부 모델 등 가입자 개인의 특성을 반영한 자동차 보험료를 보험사 별로 비교해 볼 수 있도록 온라인 보험슈퍼마켓 보험다모아(e-insmarket.or.kr)를 개편해 다음달 4일에 문을 연다고 밝혔다.

금융위원회는	금융/NNG+위원회/NNG+는/JX
27일	27/SN+일/NNB
연식·사고	연식/NNG+·/SP+사고/NNG
이력·세부	이력/NNG+·/SP+세부/NNG
모델	모델/NNG
등	등/NNB
가입자	가입자/NNG
개인의	개인/NNG+의/JKG
특성을	특성/NNG+을/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
자동차	자동차/NNG
보험료를	보험료/NNG+를/JKO
보험사	보험사/NNG
별로	별/XSN+로/JKB
비교해	비교/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
온라인	온라인/NNG
보험슈퍼마켓	보험/NNG+슈퍼마켓/NNG
보험다모아(e-insmarket.or.kr)를	보험다모아/NNP+(/SS+e/SL+-/SO+insmarket/SL+./SP+or/SL+./SP+kr/SL+)/SS+를/JKO
개편해	개편/NNG+하/XSV+아/EC
다음달	다음/NNG+달/NNG
4일에	4/SN+일/NNB+에/JKB
문을	문/NNG+을/JKO
연다고	열/VV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.31.7.3
보험슈퍼마켓은 소비자가 직접 인터넷에서 보험 상품의 가격정보를 비교한 뒤 선택·가입할 수 있는 온라인 플랫폼으로, 지난해 11월 말부터 운영하고 있다.

보험슈퍼마켓은	보험/NNG+슈퍼마켓/NNG+은/JX
소비자가	소비자/NNG+가/JKS
직접	직접/MAG
인터넷에서	인터넷/NNG+에서/JKB
보험	보험/NNG
상품의	상품/NNG+의/JKG
가격정보를	가격/NNG+정보/NNG+를/JKO
비교한	비교/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
선택·가입할	선택/NNG+·/SP+가입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
온라인	온라인/NNG
플랫폼으로,	플랫폼/NNG+으로/JKB+,/SP
지난해	지난해/NNG
11월	11/SN+월/NNB
말부터	말/NNB+부터/JX
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.31.7.4
그동안 ‘보험다모아’에서는 소·중·대형 등 5개 차종, 6개 가입연령, 3개 연령특약 등 제한된 범위에서만 자동차 보험료를 비교해 볼 수 있었다.

그동안	그동안/NNG
‘보험다모아’에서는	‘/SS+보험다모아/NNP+’/SS+에서/JKB+는/JX
소·중·대형	소/NNG+·/SP+중/NNG+·/SP+대/NNG+형/XSN
등	등/NNB
5개	5/SN+개/NNB
차종,	차종/NNG+,/SP
6개	6/SN+개/NNB
가입연령,	가입/NNG+연령/NNG+,/SP
3개	3/SN+개/NNB
연령특약	연령/NNG+특약/NNG
제한된	제한/NNG+되/XSV+ㄴ/ETM
범위에서만	범위/NNG+에서/JKB+만/JX
자동차	자동차/NNG
보험료를	보험료/NNG+를/JKO
비교해	비교/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.31.7.5
선택 사항이 한정되다보니 검색된 보험료와 실제 보험료의 차이가 커 소비자들의 불만도 많았다.

선택	선택/NNG
사항이	사항/NNG+이/JKS
한정되다보니	한정/NNG+되/XSV+다/EC+보/VX+니/EC
검색된	검색/NNG+되/XSV+ㄴ/ETM
보험료와	보험료/NNG+와/JC
실제	실제/MAG
보험료의	보험료/NNG+의/JKG
차이가	차이/NNG+가/JKS
커	크/VA+어/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
불만도	불만/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000052.31.7.6
그러나 다음달 4일부터는 세부 모델, 차량 가격, 연식, 사고 이력 등 개인별 특성을 반영해 예상 보험료를 꼼꼼히 따져볼 수 있다.

그러나	그러나/MAJ
다음달	다음/NNG+달/NNG
4일부터는	4/SN+일/NNB+부터/JX+는/JX
세부	세부/NNG
모델,	모델/NNG+,/SP
차량	차량/NNG
가격,	가격/NNG+,/SP
연식,	연식/NNG+,/SP
사고	사고/NNG
이력	이력/NNG
등	등/NNB
개인별	개인/NNG+별/XSN
특성을	특성/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
예상	예상/NNG
보험료를	보험료/NNG+를/JKO
꼼꼼히	꼼꼼히/MAG
따져볼	따지/VV+어/EC+보/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.31.7.7
본인 인증을 한 뒤 현재 가입된 자동차 보험 조건을 기본으로 보험료를 비교하면 된다.

본인	본인/NNG
인증을	인증/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
현재	현재/MAG
가입된	가입/NNG+되/XSV+ㄴ/ETM
자동차	자동차/NNG
보험	보험/NNG
조건을	조건/NNG+을/JKO
기본으로	기본/NNG+으로/JKB
보험료를	보험료/NNG+를/JKO
비교하면	비교/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.31.8.1
또 스마트폰으로도 보험 상품을 비교할 수 있게 된다.

또	또/MAG
스마트폰으로도	스마트폰/NNG+으로/JKB+도/JX
보험	보험/NNG
상품을	상품/NNG+을/JKO
비교할	비교/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.31.8.2
6월 현재 보험다모아 이용자의 약 35%는 모바일로 접속하고 있다.

6월	6/SN+월/NNB
현재	현재/MAG
보험다모아	보험다모아/NNP
이용자의	이용자/NNG+의/JKG
약	약/MMA
35%는	35/SN+%/SW+는/JX
모바일로	모바일/NNG+로/JKB
접속하고	접속/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.31.8.3
다만, 엘피지(LPG)차량과 15년 이상된 차량, 외제차 등은 여전히 보험다모아를 통한 보험료 비교가 불가능하다.

다만,	다만/MAG+,/SP
엘피지(LPG)차량과	엘피지/NNG+(/SS+LPG/SL+)/SS+차량/NNG+과/JC
15년	15/SN+년/NNB
이상된	이상/NNG+되/XSA+ㄴ/ETM
차량,	차량/NNG+,/SP
외제차	외제/NNG+차/NNG
등은	등/NNB+은/JX
여전히	여전히/MAG
보험다모아를	보험다모아/NNP+를/JKO
통한	통하/VV+ㄴ/ETM
보험료	보험료/NNG
비교가	비교/NNG+가/JKS
불가능하다.	불/XPN+가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000052.31.8.4
모델별로 차명코드가 표준화 돼 있지 않아서다.

모델별로	모델/NNG+별/XSN+로/JKB
차명코드가	차명/NNG+코드/NNG+가/JKS
표준화	표준/NNG+화/XSN
돼	되/VV+어/EC
있지	있/VX+지/EC
않아서다.	않/VX+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000052.31.8.5
전체 자동차보험 가입자 중 외제차 가입자는 8%, 엘피지 가입자는 10% 안팎이다.

전체	전체/NNG
자동차보험	자동차/NNG+보험/NNG
가입자	가입자/NNG
중	중/NNB
외제차	외제/NNG+차/NNG
가입자는	가입자/NNG+는/JX
8%,	8/SN+%/SW+,/SP
엘피지	엘피지/NNG
10%	10/SN+%/SW
안팎이다.	안팎/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.31.8.6
보험다모아의 가격 비교 정보를 인터넷 포털에 공개하는 서비스도 하반기 이후에 이뤄질 예정이다.

보험다모아의	보험다모아/NNP+의/JKG
가격	가격/NNG
비교	비교/NNG
정보를	정보/NNG+를/JKO
인터넷	인터넷/NNG
포털에	포털/NNG+에/JKB
공개하는	공개/NNG+하/XSV+는/ETM
서비스도	서비스/NNG+도/JX
하반기	하반기/NNG
이후에	이후/NNG+에/JKB
이뤄질	이뤄지/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


