# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.427
metadata : {}


# id : NWRW1800000024.427.1.1
‘해군기지 공유수면안’ 제주도의회 통과

‘해군기지	‘/SS+해군/NNG+기지/NNG
27만2700㎡에	27/SN+만/NR+2700/SN+㎡/SW+에/JKB
대한	대하/VV+ㄴ/ETM
도시관리계획	도시/NNG+관리/NNG+계획/NNG
결정	결정/NNG
변경	변경/NNG
등의	등/NNB+의/JKG
절차를	절차/NNG+를/JKO
거치는	거치/VV+는/ETM
한편	한편/NNG
지역주민들이	지역/NNG+주민/NNG+들/XSN+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
국방·군사시설사업	국방/NNG+·/SP+군사/NNG+시설/NNG+사업/NNG
실시계획	실시/NNG+계획/NNG
승인처분	승인/NNG+처분/NNG
무효	무효/NNG
확인	확인/NNG
행정소송	행정/NNG+소송/NNG
절차가	절차/NNG+가/JKS
선행돼야	선행/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
조건을	조건/NNG+을/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.427.7.1
이 밖에 공유수면매립으로 인한 해양생태계의 피해에 대비해 보전 및 복원계획을 세우고, 환경영향저감대책 및 매립지 내 민원에 대한 구체적인 실천계획을 세울 것을 주문했다.

이	이/NP
밖에	밖/NNG+에/JKB
공유수면매립으로	공유/NNG+수면/NNG+매립/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
해양생태계의	해양/NNG+생태/NNG+계/XSN+의/JKG
피해에	피해/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
보전	보전/NNG
및	및/MAG
복원계획을	복원/NNG+계획/NNG+을/JKO
세우고,	세우/VV+고/EC+,/SP
환경영향저감대책	환경/NNG+영향/NNG+저감/NNG+대책/NNG
매립지	매립지/NNG
내	내/NNB
민원에	민원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
실천계획을	실천/NNG+계획/NNG+을/JKO
세울	세우/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.427.7.2
제주도 관계자는 “의회의 부대조건을 무시하고 공유수면매립 기본계획을 변경할 수 없다”며 “의회의 공식적 의견이어서 집행부 자체적인 의견 검토와 전문가 자문 등이 필요하다”고 말했다.

제주도	제주도/NNP
관계자는	관계자/NNG+는/JX
“의회의	“/SS+의회/NNG+의/JKG
부대조건을	부대조건/NNG+을/JKO
무시하고	무시/NNG+하/XSV+고/EC
공유수면매립	공유/NNG+수면/NNG+매립/NNG
기본계획을	기본/NNG+계획/NNG+을/JKO
변경할	변경/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
공식적	공식/NNG+적/XSN
의견이어서	의견/NNG+이/VCP+어서/EC
집행부	집행부/NNG
자체적인	자체/NNG+적/XSN+이/VCP+ㄴ/ETM
의견	의견/NNG
검토와	검토/NNG+와/JC
전문가	전문가/NNG
자문	자문/NNG
등이	등/NNB+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.427.8.1
도는 앞으로 부대의견이 충족됐다고 판단하면 공무원과 도의원, 교수, 전문가 등으로 구성된 지역연안관리심의위원회의 매립기본계획안 심의를 거쳐 계획안을 고시한 뒤 도의회로부터 절대보전지역 변경 및 환경영향평가 협의 동의 과정을 밟게 된다.

도는	도/NNG+는/JX
앞으로	앞/NNG+으로/JKB
부대의견이	부대/NNG+의견/NNG+이/JKS
충족됐다고	충족/NNG+되/XSV+었/EP+다고/EC
판단하면	판단/NNG+하/XSV+면/EC
공무원과	공무원/NNG+과/JC
도의원,	도/NNG+의원/NNG+,/SP
교수,	교수/NNG+,/SP
전문가	전문가/NNG
등으로	등/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
지역연안관리심의위원회의	지역/NNG+연안/NNG+관리/NNG+심의/NNG+위원회/NNG+의/JKG
매립기본계획안	매립/NNG+기본/NNG+계획안/NNG
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
계획안을	계획안/NNG+을/JKO
고시한	고시/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
도의회로부터	도/NNG+의회/NNG+로부터/JKB
절대보전지역	절대/NNG+보전/NNG+지역/NNG
변경	변경/NNG
및	및/MAG
환경영향평가	환경/NNG+영향/NNG+평가/NNG
협의	협의/NNG
동의	동의/NNG
과정을	과정/NNG+을/JKO
밟게	밟/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.427.9.1
그러나 도의회의 부대조건을 충족하려면 상당한 시일이 걸리고 진통이 뒤따를 것으로 예상되지만 부대조건 자체가 법적 구속력이 없어 제주도가 까다로운 부대조건을 이행할지 미지수다.

그러나	그러나/MAJ
도의회의	도/NNG+의회/NNG+의/JKG
부대조건을	부대조건/NNG+을/JKO
충족하려면	충족/NNG+하/XSV+려면/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
시일이	시일/NNG+이/JKS
걸리고	걸리/VV+고/EC
진통이	진통/NNG+이/JKS
뒤따를	뒤따르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되지만	예상/NNG+되/XSV+지만/EC
부대조건	부대조건/NNG
자체가	자체/NNG+가/JKS
법적	법/NNG+적/XSN
구속력이	구속력/NNG+이/JKS
없어	없/VA+어/EC
제주도가	제주도/NNP+가/JKS
까다로운	까다롭/VA+ㄴ/ETM
이행할지	이행/NNG+하/XSV+ㄹ지/EF
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.427.10.1
한편 도의회 농수축·지식산업위원회는 김태영 국방장관이 도의회를 방문해 해군기지 건설을 협조요청한 지난 14일 공유수면매립 관련 안건을 상정시키기로 결정해 중앙정부의 눈치를 보는 것이 아니냐는 지적을 받고 있다.

한편	한편/MAG
도의회	도/NNG+의회/NNG
농수축·지식산업위원회는	농수축/NNG+·/SP+지식/NNG+산업/NNG+위원회/NNG+는/JX
김태영	김태영/NNP
국방장관이	국방/NNG+장관/NNG+이/JKS
도의회를	도/NNG+의회/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
해군기지	해군/NNG+기지/NNG
건설을	건설/NNG+을/JKO
협조요청한	협조/NNG+요청/NNG+하/XSV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
공유수면매립	공유/NNG+수면/NNG+매립/NNG
관련	관련/NNG
안건을	안건/NNG+을/JKO
상정시키기로	상정/NNG+시키/XSV+기/ETN+로/JKB
결정해	결정/NNG+하/XSV+아/EC
중앙정부의	중앙/NNG+정부/NNG+의/JKG
눈치를	눈치/NNG+를/JKO
보는	보/VV+는/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
지적을	지적/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


