# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.368
metadata : {}


# id : NWRW1800000032.368.1.1
이명박-김정일 만남 전망은 /북, 정상회담 ‘떠보기’식 제안…말로만 끝날 가능성

이명박-김정일	이명박/NNP+-/SO+김정일/NNP
떠난	떠나/VV+ㄴ/ETM
이들을	이/NNB+들/XSN+을/JKO
다시	다시/MAG
불러들인	불러들이/VV+ㄴ/ETM
뒤	뒤/NNG
서한을	서한/NNG+을/JKO
읽어주는	읽/VV+어/EC+주/VX+는/ETM
결례를	결례/NNG+를/JKO
저질러	저지르/VV+어/EC
스스로	스스로/MAG
메시지의	메시지/NNG+의/JKG
격을	격/NNG+을/JKO
떨어뜨렸다는	떨어뜨리/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.368.10.3
유호열 고려대 교수는 “1994년 카터 방북 때는 김일성 주석이 최고 예우를 하고 진지하게 남북정상회담을 제의한 반면에 이번엔 우리 정부가 받기 어렵다는 것을 알면서도 한번 던져본 게 아닌가 싶다”고 말했다.

유호열	유호열/NNP
고려대	고려대/NNP
교수는	교수/NNG+는/JX
“1994년	“/SS+1994/SN+년/NNB
카터	카터/NNP
방북	방북/NNG
때는	때/NNG+는/JX
김일성	김일성/NNP
주석이	주석/NNG+이/JKS
최고	최고/NNG
예우를	예우/NNG+를/JKO
하고	하/VV+고/EC
진지하게	진지하/VA+게/EC
남북정상회담을	남북/NNP+정상/NNG+회담/NNG+을/JKO
제의한	제의/NNG+하/XSV+ㄴ/ETM
반면에	반면/NNG+에/JKB
이번엔	이번/NNG+에/JKB+ㄴ/JX
우리	우리/NP
정부가	정부/NNG+가/JKS
받기	받/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
것을	것/NNB+을/JKO
알면서도	알/VV+면서/EC+도/JX
한번	한번/MAG
던져본	던지/VV+어/EC+보/VX+ㄴ/ETM
게	거/NNB+이/JKC
아닌가	아니/VCN+ㄴ가/EF
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.368.11.1
정부 태도와 북한의 메시지 전달 형식에 비춰, 이번 정상회담 제의가 뒷심을 받아 제 궤도에 올라서긴 어려울 것이라는 전망이 나온다.

정부	정부/NNG
태도와	태도/NNG+와/JC
북한의	북한/NNP+의/JKG
메시지	메시지/NNG
전달	전달/NNG
형식에	형식/NNG+에/JKB
비춰,	비추/VV+어/EC+,/SP
이번	이번/NNG
정상회담	정상/NNG+회담/NNG
제의가	제의/NNG+가/JKS
뒷심을	뒷심/NNG+을/JKO
받아	받/VV+아/EC
제	저/NP+의/JKG
궤도에	궤도/NNG+에/JKB
올라서긴	올라서/VV+기/ETN+ㄴ/JX
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.368.11.2
문정인 연세대 교수는 “남북관계를 풀기 위한 정상회담을 성사시키려는 진지한 의지가 남북 모두에게 필요한데, 안타깝다”고 말했다.

문정인	문정인/NNP
연세대	연세대/NNP
교수는	교수/NNG+는/JX
“남북관계를	“/SS+남북/NNP+관계/NNG+를/JKO
풀기	풀/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정상회담을	정상/NNG+회담/NNG+을/JKO
성사시키려는	성사/NNG+시키/XSV+려는/ETM
진지한	진지하/VA+ㄴ/ETM
의지가	의지/NNG+가/JKS
남북	남북/NNP
모두에게	모두/NNG+에게/JKB
필요한데,	필요/NNG+하/XSA+ㄴ데/EC+,/SP
안타깝다”고	안타깝/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


