# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.295
metadata : {}


# id : NWRW1800000038.295.1.1
[최재천의 자연과 문화] (216) 압구정 벌레

[최재천의	[/SS+최재천/NNP+의/JKG
독자들로부터 종종 색다른 시각으로 문제를 바라보며 참신한 글을 쓴다는 평을 듣곤 하지만 이번만큼은 내가 정말 이렇게 다른가 싶어 황망하다.

독자들로부터	독자/NNG+들/XSN+로부터/JKB
종종	종종/MAG
색다른	색다르/VA+ㄴ/ETM
시각으로	시각/NNG+으로/JKB
문제를	문제/NNG+를/JKO
바라보며	바라보/VV+며/EC
참신한	참신하/VA+ㄴ/ETM
글을	글/NNG+을/JKO
쓴다는	쓰/VV+ㄴ다는/ETM
평을	평/NNG+을/JKO
듣곤	듣/VV+곤/EC
하지만	하/VX+지만/EC
이번만큼은	이번/NNG+만큼/JKB+은/JX
내가	내/NP+가/JKS
정말	정말/MAG
이렇게	이렇/VA+게/EC
다른가	다르/VA+ㄴ가/EF
싶어	싶/VX+어/EC
황망하다.	황망/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.295.3.1
하루살이는 내가 풀잠자리 다음으로 좋아하는 곤충이다.

하루살이는	하루살이/NNG+는/JX
내가	내/NP+가/JKS
풀잠자리	풀잠자리/NNG
다음으로	다음/NNG+으로/JKB
좋아하는	좋아하/VV+는/ETM
곤충이다.	곤충/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.295.3.2
일찍이 '과학자의 서재'에서 밝힌 대로 나는 방황의 심연에서 허우적거리던 대학 시절 마침 한국을 방문하셨던, 당대 세계 최고 하루살이 전문가인 미국 유타대학의 조지 에드먼즈 교수님의 조수 역할을 하며 드디어 인생의 목표를 찾아 오늘에 이르렀다.

일찍이	일찍이/MAG
'과학자의	'/SS+과학자/NNG+의/JKG
서재'에서	서재/NNG+'/SS+에서/JKB
밝힌	밝히/VV+ㄴ/ETM
대로	대로/NNB
나는	나/NP+는/JX
방황의	방황/NNG+의/JKG
심연에서	심연/NNG+에서/JKB
허우적거리던	허우적거리/VV+던/ETM
대학	대학/NNG
시절	시절/NNG
마침	마침/MAG
한국을	한국/NNP+을/JKO
방문하셨던,	방문/NNG+하/XSV+시/EP+었/EP+던/ETM+,/SP
당대	당대/NNG
세계	세계/NNG
최고	최고/NNG
하루살이	하루살이/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
미국	미국/NNP
유타대학의	유타대학/NNP+의/JKG
조지	조지/NNP
에드먼즈	에드먼즈/NNP
교수님의	교수/NNG+님/XSN+의/JKG
조수	조수/NNG
역할을	역할/NNG+을/JKO
하며	하/VV+며/EC
드디어	드디어/MAG
인생의	인생/NNG+의/JKG
목표를	목표/NNG+를/JKO
찾아	찾/VV+아/EC
오늘에	오늘/NNG+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.295.3.3
하루살이는 내게 삶의 길을 밝혀준 '팅커벨'이었다.

하루살이는	하루살이/NNG+는/JX
내게	나/NP+에게/JKB
삶의	삶/NNG+의/JKG
길을	길/NNG+을/JKO
밝혀준	밝히/VV+어/EC+주/VX+ㄴ/ETM
'팅커벨'이었다.	'/SS+팅커벨/NNP+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.295.3.4
조지훈 시인의 표현을 빌리면, 꼬리는 "길어서 하늘은 넓고" 날개는 마치 "돌아설 듯 날아가며 사뿐이 접어 올린 외씨버선" 같이 생긴 우아한 곤충이다.

조지훈	조지훈/NNP
시인의	시인/NNG+의/JKG
표현을	표현/NNG+을/JKO
빌리면,	빌리/VV+면/EC+,/SP
꼬리는	꼬리/NNG+는/JX
"길어서	"/SS+길/VA+어서/EC
하늘은	하늘/NNG+은/JX
넓고"	넓/VA+고/EC+"/SS
날개는	날개/NNG+는/JX
마치	마치/MAG
"돌아설	"/SS+돌아서/VV+ㄹ/ETM
듯	듯/NNB
날아가며	날아가/VV+며/EC
사뿐이	사뿐이/MAG
접어	접/VV+어/EC
올린	올리/VV+ㄴ/ETM
외씨버선"	외씨버선/NNG+"/SS
같이	같이/MAG
생긴	생기/VV+ㄴ/ETM
우아한	우아하/VA+ㄴ/ETM
곤충이다.	곤충/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.295.3.5
내겐 더할 수 없이 아름다운 천사 같은 곤충이 다른 사람들에게는 공포의 대상이라니….

내겐	나/NP+에게/JKB+ㄴ/JX
더할	더/MAG+하/XSV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
아름다운	아름답/VA+ㄴ/ETM
천사	천사/NNG
같은	같/VA+은/ETM
곤충이	곤충/NNG+이/JKS
다른	다른/MMD
사람들에게는	사람/NNG+들/XSN+에게/JKB+는/JX
공포의	공포/NNG+의/JKG
대상이라니….	대상/NNG+이/VCP+라니/EF+…/SE+./SF


# id : NWRW1800000038.295.4.1
오랫동안 물속에서 유충으로 살다가 우화하여 물 밖으로 나오면 그저 며칠밖에 못 사는 하루살이는 입이 퇴화하여 물지도 못한다.

오랫동안	오랫동안/NNG
물속에서	물속/NNG+에서/JKB
유충으로	유충/NNG+으로/JKB
살다가	살/VV+다가/EC
우화하여	우화/NNG+하/XSV+아/EC
물	물/NNG
밖으로	밖/NNG+으로/JKB
나오면	나오/VV+면/EC
그저	그저/MAG
며칠밖에	며칠/NNG+밖에/JX
못	못/MAG
사는	살/VV+는/ETM
하루살이는	하루살이/NNG+는/JX
입이	입/NNG+이/JKS
퇴화하여	퇴화/NNG+하/XSV+아/EC
물지도	물/VV+지/EC+도/JX
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.295.4.2
병균을 옮긴다는 보고는 단 한 번도 없는, 비교적 깨끗한 물에서 살다 나온 깔끔한 곤충이다.

병균을	병균/NNG+을/JKO
옮긴다는	옮기/VV+ㄴ다는/ETM
보고는	보고/NNG+는/JX
단	단/MMA
한	한/MMN
번도	번/NNB+도/JX
없는,	없/VA+는/ETM+,/SP
비교적	비교/NNG+적/XSN
깨끗한	깨끗하/VA+ㄴ/ETM
물에서	물/NNG+에서/JKB
살다	살/VV+다/EC
나온	나오/VV+ㄴ/ETM
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
곤충이다.	곤충/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.295.4.3
다만 최근 들어 한꺼번에 너무 많이 날아들어 징그러운 모양이다.

다만	다만/MAG
최근	최근/MAG
들어	들/VV+어/EC
한꺼번에	한꺼번에/MAG
너무	너무/MAG
많이	많이/MAG
날아들어	날아들/VV+어/EC
징그러운	징그럽/VA+ㄴ/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.295.4.4
고려대 생명과학과 배연재 교수의 연구진에 따르면 동양하루살이는 원래 우리나라에서 1년에 세 차례에 걸쳐 우화했다.

고려대	고려대/NNP
생명과학과	생명/NNG+과학/NNG+과/NNG
배연재	배연재/NNP
교수의	교수/NNG+의/JKG
연구진에	연구진/NNG+에/JKB
따르면	따르/VV+면/EC
동양하루살이는	동양/NNG+하루살이/NNG+는/JX
원래	원래/MAG
우리나라에서	우리나라/NNG+에서/JKB
1년에	1/SN+년/NNB+에/JKB
세	세/MMN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
우화했다.	우화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.295.4.5
4월 말에서 5월에 산란한 무리는 그해 8~10월, 6~7월에 산란한 무리는 이듬해 4~5월경, 그리고 9~10월에 산란한 무리 역시 이듬해 6월쯤 성충이 되었다.

4월	4/SN+월/NNB
말에서	말/NNB+에서/JKB
5월에	5/SN+월/NNB+에/JKB
산란한	산란/NNG+하/XSV+ㄴ/ETM
무리는	무리/NNG+는/JX
그해	그해/NNG
8~10월,	8/SN+~/SO+10/SN+월/NNB+,/SP
6~7월에	6/SN+~/SO+7/SN+월/NNB+에/JKB
이듬해	이듬해/NNG
4~5월경,	4/SN+~/SO+5/SN+월/NNB+경/XSN+,/SP
그리고	그리고/MAJ
9~10월에	9/SN+~/SO+10/SN+월/NNB+에/JKB
무리	무리/NNG
역시	역시/MAG
6월쯤	6/SN+월/NNB+쯤/XSN
성충이	성충/NNG+이/JKC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.295.4.6
그러던 것이 아마도 지구온난화에 따른 수온 상승 때문에 따뜻한 시기에 발생 과정을 거치는 무리가 상대적으로 빨리 발육하면서 결국 우화 시기가 서로 겹치게 된 것이 아닐까 추정된다.

그러던	그러/VV+던/ETM
것이	것/NNB+이/JKC
아마도	아마도/MAG
지구온난화에	지구/NNG+온난/NNG+화/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
수온	수온/NNG
상승	상승/NNG
때문에	때문/NNB+에/JKB
따뜻한	따뜻하/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
발생	발생/NNG
과정을	과정/NNG+을/JKO
거치는	거치/VV+는/ETM
무리가	무리/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
빨리	빨리/MAG
발육하면서	발육/NNG+하/XSV+면서/EC
결국	결국/NNG
우화	우화/NNG
시기가	시기/NNG+가/JKS
서로	서로/MAG
겹치게	겹치/VV+게/EC
된	되/VV+ㄴ/ETM
아닐까	아니/VCN+ㄹ까/EF
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.295.5.1
기후변화의 추세를 되돌릴 수 없다면 이런 일은 앞으로 더욱 자주 벌어질 것이다.

기후변화의	기후/NNG+변화/NNG+의/JKG
추세를	추세/NNG+를/JKO
되돌릴	되돌리/VV+ㄹ/ETM
수	수/NNB
없다면	없/VA+다면/EC
이런	이런/MMD
일은	일/NNG+은/JX
앞으로	앞/NNG+으로/JKB
더욱	더욱/MAG
자주	자주/MAG
벌어질	벌어지/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.295.5.2
약을 뿌려 없애기보다 공존할 방도를 찾았으면 좋겠다.

약을	약/NNG+을/JKO
뿌려	뿌리/VV+어/EC
없애기보다	없애/VV+기/ETN+보다/JKB
공존할	공존/NNG+하/XSV+ㄹ/ETM
방도를	방도/NNG+를/JKO
찾았으면	찾/VV+았/EP+으면/EC
좋겠다.	좋/VA+겠/EP+다/EF+./SF


# id : NWRW1800000038.295.5.3
대한민국 최고의 번화가 로데오 거리의 하루살이 생태 축제를 기획해보고 싶다.

대한민국	대한민국/NNP
최고의	최고/NNG+의/JKG
번화가	번화가/NNG
로데오	로데오/NNG
거리의	거리/NNG+의/JKG
하루살이	하루살이/NNG
생태	생태/NNG
축제를	축제/NNG+를/JKO
기획해보고	기획/NNG+하/XSV+아/EC+보/VX+고/EC
싶다.	싶/VX+다/EF+./SF


