# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.227
metadata : {}


# id : NWRW1800000041.227.1.1
“문희상, 조양호 회장에 2004년 처남 취업 청탁”

“문희상,	“/SS+문희상/NNP+,/SP
부인	부인/NNG
A	A/SL
씨를	씨/NNB+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
12억	12/SN+억/NR
원대	원/NNB+대/XSN
손해배상	손해/NNG+배상/NNG
청구소송에서	청구/NNG+소송/NNG+에서/JKB
“A	“/SS+A/SL
씨는	씨/NNB+는/JX
김	김/NNP
씨에게	씨/NNB+에게/JKB
2억8800만	2/SN+억/NR+8800/SN+만/NR
원을	원/NNB+을/JKO
지급하라”며	지급/NNG+하/XSV+라/EF+”/SS+며/EC
원고	원고/NNG
일부승소	일부/NNG+승소/NNG
판결했다고	판결/NNG+하/XSV+았/EP+다고/EC
16일	16/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.227.5.1
A 씨는 동생 김 씨와 공동 소유하던 건물을 담보로 돈을 빌렸다가 이를 갚지 못하고 2001년 건물 소유권을 채권자에게 넘겼다.

A	A/SL
씨는	씨/NNB+는/JX
동생	동생/NNG
김	김/NNP
씨와	씨/NNB+와/JKB
공동	공동/NNG
소유하던	소유/NNG+하/XSV+던/ETM
건물을	건물/NNG+을/JKO
담보로	담보/NNG+로/JKB
돈을	돈/NNG+을/JKO
빌렸다가	빌리/VV+었/EP+다가/EC
이를	이/NP+를/JKO
갚지	갚/VV+지/EC
못하고	못하/VX+고/EC
2001년	2001/SN+년/NNB
건물	건물/NNG
소유권을	소유/NNG+권/XSN+을/JKO
채권자에게	채권자/NNG+에게/JKB
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.227.5.2
김 씨는 지난해 문 위원장과 A 씨를 상대로 “건물을 넘기면서 발생한 양도소득세 등 12억2700만 원을 배상하라”며 소송을 냈다.

김	김/NNP
씨는	씨/NNB+는/JX
지난해	지난해/NNG
문	문/NNP
위원장과	위원장/NNG+과/JC
A	A/SL
씨를	씨/NNB+를/JKO
상대로	상대/NNG+로/JKB
“건물을	“/SS+건물/NNG+을/JKO
넘기면서	넘기/VV+면서/EC
발생한	발생/NNG+하/XSV+ㄴ/ETM
양도소득세	양도/NNG+소득세/NNG
등	등/NNB
12억2700만	12/SN+억/NR+2700/SN+만/NR
원을	원/NNB+을/JKO
배상하라”며	배상/NNG+하/XSV+라/EF+”/SS+며/EC
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.227.5.3
A 씨는 “소멸시효인 10년이 지났다”고 주장했지만 김 씨는 “문 위원장이 나를 취업시키고 이자 명목으로 보수를 받게 한 8년 동안 소멸시효가 중단됐다”고 맞섰다.

A	A/SL
씨는	씨/NNB+는/JX
“소멸시효인	“/SS+소멸/NNG+시효/NNG+이/VCP+ㄴ/ETM
10년이	10/SN+년/NNB+이/JKS
지났다”고	지나/VV+았/EP+다/EF+”/SS+고/JKQ
주장했지만	주장/NNG+하/XSV+았/EP+지만/EC
김	김/NNP
“문	“/SS+문/NNP
위원장이	위원장/NNG+이/JKS
나를	나/NP+를/JKO
취업시키고	취업/NNG+시키/XSV+고/EC
이자	이자/NNG
명목으로	명목/NNG+으로/JKB
보수를	보수/NNG+를/JKO
받게	받/VV+게/EC
한	하/VX+ㄴ/ETM
8년	8/SN+년/NNB
동안	동안/NNG
소멸시효가	소멸/NNG+시효/NNG+가/JKS
중단됐다”고	중단/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.227.6.1
재판부는 2004년 당시 열린우리당 고문이었던 문 위원장이 서울 경복고 후배인 조 회장을 통해 처남 김 씨의 취업을 알선한 사실을 인정했다.

재판부는	재판부/NNG+는/JX
2004년	2004/SN+년/NNB
당시	당시/NNG
열린우리당	열린우리당/NNP
고문이었던	고문/NNG+이/VCP+었/EP+던/ETM
문	문/NNP
위원장이	위원장/NNG+이/JKS
서울	서울/NNP
경복고	경복고/NNP
후배인	후배/NNG+이/VCP+ㄴ/ETM
조	조/NNP
회장을	회장/NNG+을/JKO
통해	통하/VV+아/EC
처남	처남/NNG
김	김/NNP
씨의	씨/NNB+의/JKG
취업을	취업/NNG+을/JKO
알선한	알선/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.227.6.2
조 회장은 한진그룹이 미국에 설립한 한 컨테이너 항구회사 대표에게 김 씨의 취업을 부탁했고 김 씨는 컨설턴트로 아무 일도 안 하면서 2012년까지 74만7000달러(약 8억 원)를 지급받았다는 것.

조	조/NNP
회장은	회장/NNG+은/JX
한진그룹이	한진그룹/NNP+이/JKS
미국에	미국/NNP+에/JKB
설립한	설립/NNG+하/XSV+ㄴ/ETM
한	한/MMN
컨테이너	컨테이너/NNG
항구회사	항구/NNG+회사/NNG
대표에게	대표/NNG+에게/JKB
김	김/NNP
씨의	씨/NNB+의/JKG
취업을	취업/NNG+을/JKO
부탁했고	부탁/NNG+하/XSV+았/EP+고/EC
씨는	씨/NNB+는/JX
컨설턴트로	컨설턴트/NNG+로/JKB
아무	아무/MMD
일도	일/NNG+도/JX
안	안/MAG
하면서	하/VV+면서/EC
2012년까지	2012/SN+년/NNB+까지/JX
74만7000달러(약	74/SN+만/NR+7000/SN+달러/NNB+(/SS+약/MMA
8억	8/SN+억/NR
원)를	원/NNB+)/SS+를/JKO
지급받았다는	지급/NNG+받/XSV+았/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.227.6.3
다만 “문 위원장이 수입이 없는 처남에게 직업을 알선한 것으로 보이지만 김 씨의 주장대로 이자 지급을 위한 것이라고 볼 수는 없다”고 판단했다.

다만	다만/MAG
“문	“/SS+문/NNP
위원장이	위원장/NNG+이/JKS
수입이	수입/NNG+이/JKS
없는	없/VA+는/ETM
처남에게	처남/NNG+에게/JKB
직업을	직업/NNG+을/JKO
알선한	알선/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보이지만	보이/VV+지만/EC
김	김/NNP
씨의	씨/NNB+의/JKG
주장대로	주장/NNG+대로/JX
이자	이자/NNG
지급을	지급/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.227.7.1
이에 대해 문 위원장은 “(조 회장에게) 사적으로 (처남의 취업을) 부탁한 적이 없다”고 부인했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
문	문/NNP
위원장은	위원장/NNG+은/JX
“(조	“/SS+(/SS+조/NNP
회장에게)	회장/NNG+에게/JKB+)/SS
사적으로	사/NNG+적/XSN+으로/JKB
(처남의	(/SS+처남/NNG+의/JKG
취업을)	취업/NNG+을/JKO+)/SS
부탁한	부탁/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.227.7.2
새정치연합 김성수 대변인은 “2004년 3월경 처남이 문 위원장에게 대한항공에 납품하게 해달라고 부탁했는데 문 위원장은 ‘가능한 일이 아니다’라고 거절했다”며 “그 후 처남이 대한항공의 도움을 받아 취업했고, 돈을 받아온 사실을 (문 위원장이) 이번 송사에서 처음 알았다고 한다”고 해명했다.

새정치연합	새정치연합/NNP
김성수	김성수/NNP
대변인은	대변인/NNG+은/JX
“2004년	“/SS+2004/SN+년/NNB
3월경	3/SN+월/NNB+경/XSN
처남이	처남/NNG+이/JKS
문	문/NNP
위원장에게	위원장/NNG+에게/JKB
대한항공에	대한항공/NNP+에/JKB
납품하게	납품/NNG+하/XSV+게/EC
해달라고	하/VX+아/EC+달/VX+라고/EC
부탁했는데	부탁/NNG+하/XSV+았/EP+는데/EC
위원장은	위원장/NNG+은/JX
‘가능한	‘/SS+가능/NNG+하/XSA+ㄴ/ETM
일이	일/NNG+이/JKC
아니다’라고	아니/VCN+다/EF+’/SS+라고/JKQ
거절했다”며	거절/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“그	“/SS+그/MMD
후	후/NNG
대한항공의	대한항공/NNP+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
취업했고,	취업/NNG+하/XSV+았/EP+고/EC+,/SP
돈을	돈/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
사실을	사실/NNG+을/JKO
(문	(/SS+문/NNP
위원장이)	위원장/NNG+이/JKS+)/SS
이번	이번/NNG
송사에서	송사/NNG+에서/JKB
처음	처음/NNG
알았다고	알/VV+았/EP+다고/EC
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


