# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.51
metadata : {}


# id : NWRW1800000026.51.1.1
[여기는 밴쿠버] 개막리허설 참가 6만명에 "입다물라"… 色의 향연 기대

[여기는	[/SS+여기/NP+는/JX
동계올림픽	동계/NNG+올림픽/NNG
개막식(밴쿠버	개막식/NNG+(/SS+밴쿠버/NNP
BC	BC/SL
플레이스·한국시각	플레이스/NNP+·/SP+한국/NNP+시각/NNG
13일	13/SN+일/NNB
오전	오전/NNG
11시)을	11/SN+시/NNB+)/SS+을/JKO
전	전/MMN
세계	세계/NNG
수십억	수십억/NR
명이	명/NNB+이/JKS
시청할	시청/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.51.2.4
마지막 순간까지 신비감을 지키기 위해 두 번의 리허설에 참가한 6만여명의 사람들로부터 '내용 발설 금지' 약속을 받기도 했다.

마지막	마지막/NNG
순간까지	순간/NNG+까지/JX
신비감을	신비감/NNG+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
두	두/MMN
번의	번/NNB+의/JKG
리허설에	리허설/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
6만여명의	6/SN+만/NR+여/XSN+명/NNB+의/JKG
사람들로부터	사람/NNG+들/XSN+로부터/JKB
'내용	'/SS+내용/NNG
발설	발설/NNG
금지'	금지/NNG+'/SS
약속을	약속/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.51.3.1
■철저 보안에 부친 개막식

■철저	■/SW+철저/NNG
보안에	보안/NNG+에/JKB
부친	부치/VV+ㄴ/ETM
개막식	개막식/NNG


# id : NWRW1800000026.51.4.1
하지만 요즘 같은 디지털 시대에 비밀은 없다.

하지만	하지만/MAJ
요즘	요즘/NNG
같은	같/VA+은/ETM
디지털	디지털/NNG
시대에	시대/NNG+에/JKB
비밀은	비밀/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.51.4.2
로이터 통신은 12일 '리허설 참가자들이 아이폰과 블랙베리, 트위터를 활용한 통신 장비로 개막식 내용을 유출했다'는 내용을 전했다.

로이터	로이터/NNP
통신은	통신/NNG+은/JX
12일	12/SN+일/NNB
'리허설	'/SS+리허설/NNG
참가자들이	참가자/NNG+들/XSN+이/JKS
아이폰과	아이폰/NNP+과/JKB
블랙베리,	블랙베리/NNP+,/SP
트위터를	트위터/NNP+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
통신	통신/NNG
장비로	장비/NNG+로/JKB
개막식	개막식/NNG
내용을	내용/NNG+을/JKO
유출했다'는	유출/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.51.4.3
전날 드레스 리허설(정식 의상까지 갖춰 입고 하는 총 연습)이 끝난 뒤 관련 사진들이 트위터(짧은 메시지나 사진을 집단적으로 주고 받는 네트워크 서비스)에 올라왔다는 것이다.

전날	전날/NNG
드레스	드레스/NNG
리허설(정식	리허설/NNG+(/SS+정식/NNG
의상까지	의상/NNG+까지/JX
갖춰	갖추/VV+어/EC
입고	입/VV+고/EC
하는	하/VV+는/ETM
총	총/MMA
연습)이	연습/NNG+)/SS+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
관련	관련/NNG
사진들이	사진/NNG+들/XSN+이/JKS
트위터(짧은	트위터/NNP+(/SS+짧/VA+은/ETM
메시지나	메시지/NNG+나/JC
사진을	사진/NNG+을/JKO
집단적으로	집단/NNG+적/XSN+으로/JKB
주고	주/VV+고/EC
받는	받/VV+는/ETM
네트워크	네트워크/NNG
서비스)에	서비스/NNG+)/SS+에/JKB
올라왔다는	올라오/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.51.4.4
일부 언론매체가 이 사진들을 실으려다 IOC(국제올림픽위원회)로부터 '취재를 제한할 수 있다' 경고를 받고 발을 빼는 상황이 벌어지기도 했다.

일부	일부/NNG
언론매체가	언론/NNG+매체/NNG+가/JKS
이	이/MMD
사진들을	사진/NNG+들/XSN+을/JKO
실으려다	싣/VV+으려다/EC
IOC(국제올림픽위원회)로부터	IOC/SL+(/SS+국제올림픽위원회/NNP+)/SS+로부터/JKB
'취재를	'/SS+취재/NNG+를/JKO
제한할	제한/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다'	있/VA+다/EF+'/SS
경고를	경고/NNG+를/JKO
받고	받/VV+고/EC
발을	발/NNG+을/JKO
빼는	빼/VV+는/ETM
상황이	상황/NNG+이/JKS
벌어지기도	벌어지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.51.5.1
개막식과 폐막식 행사 연출을 맡은 호주 출신의 데이비드 앳킨스 감독은 "단추 하나만 누르면 전 세계 어디라도 정보를 보낼 수 있는 시대에 비밀을 유지하기는 어렵다"고 털어놨다.

개막식과	개막식/NNG+과/JC
폐막식	폐막식/NNG
행사	행사/NNG
연출을	연출/NNG+을/JKO
맡은	맡/VV+은/ETM
호주	호주/NNP
출신의	출신/NNG+의/JKG
데이비드	데이비드/NNP
앳킨스	앳킨스/NNP
감독은	감독/NNG+은/JX
"단추	"/SS+단추/NNG
하나만	하나/NR+만/JX
누르면	누르/VV+면/EC
전	전/MMN
세계	세계/NNG
어디라도	어디/NP+이/VCP+라도/EC
정보를	정보/NNG+를/JKO
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시대에	시대/NNG+에/JKB
비밀을	비밀/NNG+을/JKO
유지하기는	유지/NNG+하/XSV+기/ETN+는/JX
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.51.6.1
두 시간가량 진행될 이번 개막식은 몇 가지 특징을 가지고 있다.

두	두/MMN
시간가량	시간/NNB+가량/XSN
진행될	진행/NNG+되/XSV+ㄹ/ETM
이번	이번/NNG
개막식은	개막식/NNG+은/JX
몇	몇/NR
가지	가지/NNB
특징을	특징/NNG+을/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.51.6.2
예년 대회 때는 행사의 가장 마지막 순서로 진행되던 축하 공연이 공식 행사 사이사이에 들어 있고, 선수단 입장 순서도 행사 앞부분에 배치됐다.

예년	예년/NNG
대회	대회/NNG
때는	때/NNG+는/JX
행사의	행사/NNG+의/JKG
가장	가장/MAG
마지막	마지막/NNG
순서로	순서/NNG+로/JKB
진행되던	진행/NNG+되/XSV+던/ETM
축하	축하/NNG
공연이	공연/NNG+이/JKS
공식	공식/NNG
행사	행사/NNG
사이사이에	사이사이/NNG+에/JKB
들어	들/VV+어/EC
있고,	있/VX+고/EC+,/SP
선수단	선수단/NNG
입장	입장/NNG
순서도	순서/NNG+도/JX
앞부분에	앞부분/NNG+에/JKB
배치됐다.	배치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.51.6.3
관중과 선수들이 지루해하지 않고 함께 공연을 즐길 수 있는 효과를 노렸다는 것이다.

관중과	관중/NNG+과/JKB
선수들이	선수/NNG+들/XSN+이/JKS
지루해하지	지루하/VA+아/EC+하/VX+지/EC
않고	않/VX+고/EC
함께	함께/MAG
공연을	공연/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
효과를	효과/NNG+를/JKO
노렸다는	노리/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.51.6.4
또 거대하고 화려한 볼거리보다는 관객의 감성에 호소하는 내용이 많은 것으로 알려졌다.

또	또/MAG
거대하고	거대/NNG+하/XSA+고/EC
화려한	화려하/VA+ㄴ/ETM
볼거리보다는	볼거리/NNG+보다/JKB+는/JX
관객의	관객/NNG+의/JKG
감성에	감성/NNG+에/JKB
호소하는	호소/NNG+하/XSV+는/ETM
내용이	내용/NNG+이/JKS
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.51.6.5
캐나다의 광대한 자연과 전통문화, 겨울 스포츠에 대한 국민적인 사랑 등을 상징하는 공연이 펼쳐질 전망이다.

캐나다의	캐나다/NNP+의/JKG
광대한	광대/NNG+하/XSA+ㄴ/ETM
자연과	자연/NNG+과/JC
전통문화,	전통문화/NNG+,/SP
겨울	겨울/NNG
스포츠에	스포츠/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민적인	국민/NNG+적/XSN+이/VCP+ㄴ/ETM
사랑	사랑/NNG
등을	등/NNB+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
공연이	공연/NNG+이/JKS
펼쳐질	펼쳐지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.51.7.1
■성화대가 2개?

■성화대가	■/SW+성화대/NNG+가/JKS
2개?	2/SN+개/NNB+?/SF


# id : NWRW1800000026.51.8.1
실내조명을 최대한 활용한 색채의 향연과 콘서트장을 떠올리게 하는 분위기도 색다른 감흥을 전할 것으로 기대된다.

실내조명을	실내조명/NNG+을/JKO
최대한	최대한/MAG
활용한	활용/NNG+하/XSV+ㄴ/ETM
색채의	색채/NNG+의/JKG
향연과	향연/NNG+과/JC
콘서트장을	콘서트장/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
하는	하/VX+는/ETM
분위기도	분위기/NNG+도/JX
색다른	색다르/VA+ㄴ/ETM
감흥을	감흥/NNG+을/JKO
전할	전하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.51.8.2
세계적 팝 스타들이 아이티 지진 희생자와 이재민을 돕기 위해 리메이크한 노래 '위 아 더 월드(We are the world)' 역시 처음으로 울려 퍼진다.

세계적	세계/NNG+적/XSN
팝	팝/NNG
스타들이	스타/NNG+들/XSN+이/JKS
아이티	아이티/NNP
지진	지진/NNG
희생자와	희생자/NNG+와/JC
이재민을	이재민/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
리메이크한	리메이크/NNG+하/XSV+ㄴ/ETM
노래	노래/NNG
'위	'/SS+위/NNP
아	아/NNP
더	더/NNP
월드(We	월드/NNP+(/SS+We/SL
are	are/SL
the	the/SL
world)'	world/SL+)/SS+'/SS
역시	역시/MAG
처음으로	처음/NNG+으로/JKB
울려	울리/VV+어/EC
퍼진다.	퍼지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.51.9.1
개막식 하이라이트는 역시 성화 최종주자와 점화 방식이다.

개막식	개막식/NNG
하이라이트는	하이라이트/NNG+는/JX
역시	역시/MAG
성화	성화/NNG
최종주자와	최종/NNG+주자/NNG+와/JC
점화	점화/NNG
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.51.9.2
성화 최종 주자로는 캐나다가 낳은 전설적인 아이스하키 선수 웨인 그레츠키 혹은 이름이 많이 알려지지 않은 원주민 출신 선수라는 예상이 나오고 있다.

성화	성화/NNG
최종	최종/NNG
주자로는	주자/NNG+로/JKB+는/JX
캐나다가	캐나다/NNP+가/JKS
낳은	낳/VV+은/ETM
전설적인	전설/NNG+적/XSN+이/VCP+ㄴ/ETM
아이스하키	아이스하키/NNG
선수	선수/NNG
웨인	웨인/NNP
그레츠키	그레츠키/NNP
혹은	혹은/MAG
이름이	이름/NNG+이/JKS
많이	많이/MAG
알려지지	알려지/VV+지/EC
않은	않/VX+은/ETM
원주민	원주민/NNG
출신	출신/NNG
선수라는	선수/NNG+이/VCP+라는/ETM
예상이	예상/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.51.10.1
성화는 두 곳에서 불타오를 가능성이 관측되고 있다.

성화는	성화/NNG+는/JX
두	두/MMN
곳에서	곳/NNG+에서/JKB
불타오를	불타오르/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
관측되고	관측/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.51.10.2
성화대 하나는 BC 플레이스 어딘가에 감춰져 있을 것이다.

성화대	성화대/NNG
하나는	하나/NR+는/JX
BC	BC/SL
플레이스	플레이스/NNP
어딘가에	어디/NP+이/VCP+ㄴ가/EF+에/JKB
감춰져	감추/VV+어/EC+지/VX+어/EC
있을	있/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.51.10.3
그리고 최근 현지 TV 방송사의 헬리콥터가 바다와 접해있는 미디어 센터 주변의 워터 프론트에서 성화대처럼 생긴 물체를 찍었는데, 이것이 제2의 성화대일 가능성이 거론되고 있다.

그리고	그리고/MAJ
최근	최근/NNG
현지	현지/NNG
TV	TV/SL
방송사의	방송사/NNG+의/JKG
헬리콥터가	헬리콥터/NNG+가/JKS
바다와	바다/NNG+와/JKB
접해있는	접하/VV+아/EC+있/VX+는/ETM
미디어	미디어/NNG
센터	센터/NNG
주변의	주변/NNG+의/JKG
워터	워터/NNG
프론트에서	프론트/NNG+에서/JKB
성화대처럼	성화대/NNG+처럼/JKB
생긴	생기/VV+ㄴ/ETM
물체를	물체/NNG+를/JKO
찍었는데,	찍/VV+었/EP+는데/EC+,/SP
이것이	이것/NP+이/JKS
제2의	제/XPN+2/SN+의/JKG
성화대일	성화대/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
거론되고	거론/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.51.10.4
현지 TV의 촬영 소식에 조직위측이 과민반응을 보인 것이 이런 관측을 뒷받침한다.

현지	현지/NNG
TV의	TV/SL+의/JKG
촬영	촬영/NNG
소식에	소식/NNG+에/JKB
조직위측이	조직위/NNG+측/NNB+이/JKS
과민반응을	과민/NNG+반응/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
것이	것/NNB+이/JKS
이런	이런/MMD
관측을	관측/NNG+을/JKO
뒷받침한다.	뒷받침/NNG+하/XSV+ㄴ다/EF+./SF


