# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.358
metadata : {}


# id : NWRW1800000046.358.1.1
朴대통령 만난 반기문 "訪北 다시 추진하겠다"

朴대통령	朴/SH+대통령/NNG
대해서는	대하/VV+아서/EC+는/JX
유례가	유례/NNG+가/JKS
없는	없/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.358.4.2
깊은 유감이다"라고 했다.

깊은	깊/VA+은/ETM
유감이다"라고	유감/NNG+이/VCP+다/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.4.3
박 대통령도 "반 총장의 개성공단 방문을 통해 개성공단의 현 상황을 타개하는 등 남북문제의 진전에 좋은 계기가 됐으면 했는데 유감스럽다"고 했다.

박	박/NNP
대통령도	대통령/NNG+도/JX
"반	"/SS+반/NNP
총장의	총장/NNG+의/JKG
개성공단	개성공단/NNP
방문을	방문/NNG+을/JKO
통해	통하/VV+아/EC
개성공단의	개성공단/NNP+의/JKG
현	현/MMD
상황을	상황/NNG+을/JKO
타개하는	타개/NNG+하/XSV+는/ETM
등	등/NNB
남북문제의	남북문제/NNG+의/JKG
진전에	진전/NNG+에/JKB
좋은	좋/VA+은/ETM
계기가	계기/NNG+가/JKC
됐으면	되/VV+었/EP+으면/EC
했는데	하/VX+았/EP+는데/EC
유감스럽다"고	유감/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.4.4
이에 반 총장은 "북한의 결정 번복 경위를 잘 알 수 없으나, 추후 적절한 계기에 다시 방북을 추진해 볼 생각을 갖고 있다"고 했다.

이에	이/NP+에/JKB
반	반/NNP
총장은	총장/NNG+은/JX
"북한의	"/SS+북한/NNP+의/JKG
결정	결정/NNG
번복	번복/NNG
경위를	경위/NNG+를/JKO
잘	잘/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
없으나,	없/VA+으나/EC+,/SP
추후	추후/NNG
적절한	적절하/VA+ㄴ/ETM
계기에	계기/NNG+에/JKB
다시	다시/MAG
방북을	방북/NNG+을/JKO
추진해	추진/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
생각을	생각/NNG+을/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.5.1
박 대통령은 "한반도 문제 해결에 가장 큰 걸림돌이 되는 북한 핵 문제 해결을 위해 국제사회가 노력을 강화해 나가야 한다"며 "장거리 미사일 발사 등 북한의 추가 도발이 있을 시 유엔 안보리 차원의 강력한 대응 등 국제사회가 단합된 메시지를 전달해야 할 것"이라고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"한반도	"/SS+한반도/NNP
문제	문제/NNG
해결에	해결/NNG+에/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
걸림돌이	걸림돌/NNG+이/JKC
되는	되/VV+는/ETM
북한	북한/NNP
핵	핵/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+아/EC
국제사회가	국제/NNG+사회/NNG+가/JKS
노력을	노력/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
나가야	나가/VX+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"장거리	"/SS+장거리/NNG
미사일	미사일/NNG
발사	발사/NNG
등	등/NNB
북한의	북한/NNP+의/JKG
추가	추가/NNG
도발이	도발/NNG+이/JKS
있을	있/VA+을/ETM
시	시/NNB
유엔	유엔/NNP
안보리	안보리/NNG
차원의	차원/NNG+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
대응	대응/NNG
단합된	단합/NNG+되/XSV+ㄴ/ETM
메시지를	메시지/NNG+를/JKO
전달해야	전달/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.5.2
반 총장도 "북 미사일 발사는 안보리 결의 정신에 위반된다"고 했다.

반	반/NNP
총장도	총장/NNG+도/JX
"북	"/SS+북/NNP
미사일	미사일/NNG
발사는	발사/NNG+는/JX
안보리	안보리/NNG
결의	결의/NNG
정신에	정신/NNG+에/JKB
위반된다"고	위반/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.6.1
박 대통령은 "우리 정부는 북한 개성공단 임금 인상 문제를 남북 당국 간 협의를 통해 해결한다는 원칙을 견지하고 있다"며 "북한의 잠수함 발사 미사일(SLBM) 발사 등 엄중한 정치적 상황에 대처하면서도 민간 차원의 교류는 적극 지원할 계획"이라고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"우리	"/SS+우리/NP
정부는	정부/NNG+는/JX
북한	북한/NNP
개성공단	개성공단/NNP
임금	임금/NNG
인상	인상/NNG
문제를	문제/NNG+를/JKO
남북	남북/NNP
당국	당국/NNG
간	간/NNB
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
해결한다는	해결/NNG+하/XSV+ㄴ다는/ETM
원칙을	원칙/NNG+을/JKO
견지하고	견지/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"북한의	"/SS+북한/NNP+의/JKG
잠수함	잠수함/NNG
발사	발사/NNG
미사일(SLBM)	미사일/NNG+(/SS+SLBM/SL+)/SS
등	등/NNB
엄중한	엄중/NNG+하/XSA+ㄴ/ETM
정치적	정치/NNG+적/XSN
상황에	상황/NNG+에/JKB
대처하면서도	대처/NNG+하/XSV+면서/EC+도/JX
민간	민간/NNG
차원의	차원/NNG+의/JKG
교류는	교류/NNG+는/JX
적극	적극/NNG
지원할	지원/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.6.2
또 "우리 정부는 북한 영유아 등 취약 계층에 대한 인도적 지원, DMZ 세계생태평화공원 구상 등을 지속적으로 추진하고 있다"며 "이를 실현하기 위해 유엔과 지속적이고 긴밀하게 협력할 것을 희망하며 반 총장의 관심과 지원을 부탁한다"고 했다.

또	또/MAG
"우리	"/SS+우리/NP
정부는	정부/NNG+는/JX
북한	북한/NNP
영유아	영유아/NNG
등	등/NNB
취약	취약/NNG
계층에	계층/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인도적	인도/NNG+적/XSN
지원,	지원/NNG+,/SP
DMZ	DMZ/SL
세계생태평화공원	세계생태평화공원/NNP
구상	구상/NNG
등을	등/NNB+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
추진하고	추진/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"이를	"/SS+이/NP+를/JKO
실현하기	실현/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
유엔과	유엔/NNP+과/JKB
지속적이고	지속/NNG+적/XSN+이/VCP+고/EC
긴밀하게	긴밀하/VA+게/EC
협력할	협력/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
희망하며	희망/NNG+하/XSV+며/EC
반	반/NNP
총장의	총장/NNG+의/JKG
관심과	관심/NNG+과/JC
지원을	지원/NNG+을/JKO
부탁한다"고	부탁/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.7.1
이에 반 총장은 "유엔도 DMZ 세계생태평화공원 실현을 위해 계속 지원해 나가겠다"며 "유엔은 북한에 '열린 마음으로 국제사회와 협력하고 주민 생활을 개선하기 위한 노력에 집중해야 한다'는 메시지를 지속적으로 전달해 나갈 예정"이라고 했다.

이에	이/NP+에/JKB
반	반/NNP
총장은	총장/NNG+은/JX
"유엔도	"/SS+유엔/NNP+도/JX
DMZ	DMZ/SL
세계생태평화공원	세계생태평화공원/NNP
실현을	실현/NNG+을/JKO
위해	위하/VV+아/EC
계속	계속/MAG
지원해	지원/NNG+하/XSV+아/EC
나가겠다"며	나가/VX+겠/EP+다/EF+"/SS+며/EC
"유엔은	"/SS+유엔/NNP+은/JX
북한에	북한/NNP+에/JKB
'열린	'/SS+열리/VV+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
국제사회와	국제/NNG+사회/NNG+와/JKB
협력하고	협력/NNG+하/XSV+고/EC
주민	주민/NNG
생활을	생활/NNG+을/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
노력에	노력/NNG+에/JKB
집중해야	집중/NNG+하/XSV+아야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/ETM
메시지를	메시지/NNG+를/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
전달해	전달/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.7.2
박 대통령은 "유엔 창설 70주년이 되는 올해 반 총장의 방한은 유엔과 우리나라의 긴밀한 협력 관계를 강화하는 좋은 계기가 될 것"이라고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"유엔	"/SS+유엔/NNP
창설	창설/NNG
70주년이	70/SN+주년/NNB+이/JKC
되는	되/VV+는/ETM
올해	올해/NNG
반	반/NNP
총장의	총장/NNG+의/JKG
방한은	방한/NNG+은/JX
유엔과	유엔/NNP+과/JC
우리나라의	우리나라/NNG+의/JKG
긴밀한	긴밀하/VA+ㄴ/ETM
협력	협력/NNG
관계를	관계/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
좋은	좋/VA+은/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.8.1
박 대통령은 이 자리에서 유엔의 '포스트2015 개발 의제', '포스트2020 신(新)기후체제'에도 적극 참여해 나갈 것이라고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
유엔의	유엔/NNP+의/JKG
'포스트2015	'/SS+포스트/NNG+2015/SN
개발	개발/NNG
의제',	의제/NNG+'/SS+,/SP
'포스트2020	'/SS+포스트/NNG+2020/SN
신(新)기후체제'에도	신/XPN+(/SS+新/SH+)/SS+기후/NNG+체제/NNG+'/SS+에/JKB+도/JX
적극	적극/NNG
참여해	참여/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.8.2
반 총장은 "한국의 적극적 기여에 사의를 표한다"고 했다.

반	반/NNP
총장은	총장/NNG+은/JX
"한국의	"/SS+한국/NNP+의/JKG
적극적	적극/NNG+적/XSN
기여에	기여/NNG+에/JKB
사의를	사의/NNG+를/JKO
표한다"고	표/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.9.1
이에 앞서 반 총장은 국회를 방문해 정의화 국회의장과 정갑윤·이석현 부의장, 새누리당 유승민·새정치민주연합 이종걸 원내대표, 나경원 외교통일위원장 등과 환담했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
반	반/NNP
총장은	총장/NNG+은/JX
국회를	국회/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
정의화	정의화/NNP
국회의장과	국회/NNG+의장/NNG+과/JC
정갑윤·이석현	정갑윤/NNP+·/SP+이석현/NNP
부의장,	부의장/NNG+,/SP
새누리당	새누리당/NNP
유승민·새정치민주연합	유승민/NNP+·/SP+새정치민주연합/NNP
이종걸	이종걸/NNP
원내대표,	원내/NNG+대표/NNG+,/SP
나경원	나경원/NNP
외교통일위원장	외교/NNG+통일/NNG+위원장/NNG
등과	등/NNB+과/JKB
환담했다.	환담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.9.2
반 총장은 "국회의장님이 리더십을 발휘하셔서 대한민국 행정부의 일을 적극 도와주시면 감사하겠다"고 했다.

반	반/NNP
총장은	총장/NNG+은/JX
"국회의장님이	"/SS+국회/NNG+의장/NNG+님/XSN+이/JKS
리더십을	리더십/NNG+을/JKO
발휘하셔서	발휘/NNG+하/XSV+시/EP+어서/EC
대한민국	대한민국/NNP
행정부의	행정부/NNG+의/JKG
일을	일/NNG+을/JKO
적극	적극/NNG
도와주시면	도와주/VV+시/EP+면/EC
감사하겠다"고	감사/NNG+하/XSA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.9.3
또 "제가 사실은 얼마 전에 미국 공화당의 원내대표와 상원의원들을 만나 오바마 대통령을 도와달라고 부탁했다"며 "박 대통령께서 비전을 갖고 활동해 나가시는 데 있어서 초당적 지지가 중요하다"고 했다.

또	또/MAG
"제가	"/SS+제/NP+가/JKS
사실은	사실/NNG+은/JX
얼마	얼마/NNG
전에	전/NNG+에/JKB
미국	미국/NNP
공화당의	공화당/NNP+의/JKG
원내대표와	원내/NNG+대표/NNG+와/JC
상원의원들을	상원/NNG+의원/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
오바마	오바마/NNP
대통령을	대통령/NNG+을/JKO
도와달라고	돕/VV+아/EC+달/VX+라고/EC
부탁했다"며	부탁/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"박	"/SS+박/NNP
대통령께서	대통령/NNG+께서/JKS
비전을	비전/NNG+을/JKO
갖고	갖/VV+고/EC
활동해	활동/NNG+하/XSV+아/EC
나가시는	나가/VV+시/EP+는/ETM
데	데/NNB
있어서	있/VA+어서/EC
초당적	초당/NNG+적/XSN
지지가	지지/NNG+가/JKS
중요하다"고	중요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.10.1
반 총장은 "바이파티산 서포트(bipartisan support·초당적 지지)는 전 세계 어디를 가도 제가 강조한다"면서 "특히 외교, 국제 개발, 평화, 정의, 이런 면에 있어서는 당이 다를 수가 없고 인류 보편적 가치이기 때문에 의원들께서 협조해 주면 감사하겠다"고 했다.

반	반/NNP
총장은	총장/NNG+은/JX
"바이파티산	"/SS+바이파티산/NNG
서포트(bipartisan	서포트/NNG+(/SS+bipartisan/SL
support·초당적	support/SL+·/SP+초당/NNG+적/XSN
지지)는	지지/NNG+)/SS+는/JX
전	전/MMN
세계	세계/NNG
어디를	어디/NP+를/JKO
가도	가/VV+아도/EC
제가	제/NP+가/JKS
강조한다"면서	강조/NNG+하/XSV+ㄴ다/EF+"/SS+면서/EC
"특히	"/SS+특히/MAG
외교,	외교/NNG+,/SP
국제	국제/NNG
개발,	개발/NNG+,/SP
평화,	평화/NNG+,/SP
정의,	정의/NNG+,/SP
이런	이런/MMD
면에	면/NNG+에/JKB
있어서는	있/VV+어서/EC+는/JX
당이	당/NNG+이/JKS
다를	다르/VA+ㄹ/ETM
수가	수/NNB+가/JKS
없고	없/VA+고/EC
인류	인류/NNG
보편적	보편/NNG+적/XSN
가치이기	가치/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
의원들께서	의원/NNG+들/XSN+께서/JKS
협조해	협조/NNG+하/XSV+아/EC
주면	주/VX+면/EC
감사하겠다"고	감사/NNG+하/XSA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.10.2
이에 정 의장은 테러, 기아, 군비 확산 등을 언급한 뒤 "어떻게 보면 지구촌이 자꾸 좋아지는 게 아니고 몰락하는 게 아닌가"라면서 "이걸 방지하고 (세상을) 나아지게 하려면 유엔 역할이 크다"고 말했다.

이에	이/NP+에/JKB
정	정/NNP
의장은	의장/NNG+은/JX
테러,	테러/NNG+,/SP
기아,	기아/NNG+,/SP
군비	군비/NNG
확산	확산/NNG
등을	등/NNB+을/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
"어떻게	"/SS+어떻/VA+게/EC
보면	보/VV+면/EC
지구촌이	지구촌/NNG+이/JKS
자꾸	자꾸/MAG
좋아지는	좋/VA+아/EC+지/VX+는/ETM
게	거/NNB+이/JKC
아니고	아니/VCN+고/EC
몰락하는	몰락/NNG+하/XSV+는/ETM
아닌가"라면서	아니/VCN+ㄴ가/EF+"/SS+라면서/EC
"이걸	"/SS+이거/NP+ㄹ/JKO
방지하고	방지/NNG+하/XSV+고/EC
(세상을)	(/SS+세상/NNG+을/JKO+)/SS
나아지게	나아지/VV+게/EC
하려면	하/VX+려면/EC
유엔	유엔/NNP
역할이	역할/NNG+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


