# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.153
metadata : {}


# id : NWRW1800000037.153.1.1
[글로벌 북 카페]전 아사히신문 주필의 ‘신문기자 현대사를 기록하다’

[글로벌	[/SS+글로벌/NNG
동영상을	동영상/NNG+을/JKO
찍었을까’라는	찍/VV+었/EP+을까/EF+’/SS+이/VCP+라는/ETM
의문을	의문/NNG+을/JKO
품고	품/VV+고/EC
촬영자들과	촬영자/NNG+들/XSN+과/JKB
인터뷰를	인터뷰/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.153.8.2
지금까지 어떤 언론에서도 소개되지 않은 내용이 책에 담겼다.

지금까지	지금/NNG+까지/JX
어떤	어떤/MMD
언론에서도	언론/NNG+에서/JKB+도/JX
소개되지	소개/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
내용이	내용/NNG+이/JKS
책에	책/NNG+에/JKB
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.153.8.3
88년 전인 1923년 간토대지진 당시 불타는 도쿄의 사진을 들고 도쿄에서 오사카까지 사흘 동안 이동해 세계적 특종을 한 아사히신문 기자의 이야기도 전했다.

88년	88/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
1923년	1923/SN+년/NNB
간토대지진	간토/NNP+대/XPN+지진/NNG
당시	당시/NNG
불타는	불타/VV+는/ETM
도쿄의	도쿄/NNP+의/JKG
사진을	사진/NNG+을/JKO
들고	들/VV+고/EC
도쿄에서	도쿄/NNP+에서/JKB
오사카까지	오사카/NNP+까지/JX
사흘	사흘/NNG
동안	동안/NNG
이동해	이동/NNG+하/XSV+아/EC
세계적	세계/NNG+적/XSN
특종을	특종/NNG+을/JKO
한	하/VV+ㄴ/ETM
아사히신문	아사히신문/NNP
기자의	기자/NNG+의/JKG
이야기도	이야기/NNG+도/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.153.8.4
이런 사례를 통해 그는 신문의 역할, 기자의 생활을 전하고자 했다.

이런	이런/MMD
사례를	사례/NNG+를/JKO
통해	통하/VV+아/EC
그는	그/NP+는/JX
신문의	신문/NNG+의/JKG
역할,	역할/NNG+,/SP
기자의	기자/NNG+의/JKG
생활을	생활/NNG+을/JKO
전하고자	전하/VV+고자/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.153.9.1
서문에서 한국과의 인연을 소개한 데 이어 맺음말도 한국 이야기로 채웠다.

서문에서	서문/NNG+에서/JKB
한국과의	한국/NNP+과/JKB+의/JKG
인연을	인연/NNG+을/JKO
소개한	소개/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
맺음말도	맺음말/NNG+도/JX
한국	한국/NNP
이야기로	이야기/NNG+로/JKB
채웠다.	채우/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.153.9.2
‘서울에서 생각한다’는 소제목 아래 그는 한국어를 배우는 일본 여성, 혐한 시위를 벌이는 극우단체, 꽉 막힌 한일 외교, 일본군의 위안부 강제동원을 인정한 무라야마 담화, 강한 일본을 외치는 아베 신조 총리 등 현재 한일 간에 벌어지고 있는 일련의 사건을 나열했다.

‘서울에서	‘/SS+서울/NNP+에서/JKB
생각한다’는	생각/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
소제목	소/XPN+제목/NNG
아래	아래/NNG
그는	그/NP+는/JX
한국어를	한국어/NNP+를/JKO
배우는	배우/VV+는/ETM
일본	일본/NNP
여성,	여성/NNG+,/SP
혐한	혐한/NNG
시위를	시위/NNG+를/JKO
벌이는	벌이/VV+는/ETM
극우단체,	극우/NNG+단체/NNG+,/SP
꽉	꽉/MAG
막힌	막히/VV+ㄴ/ETM
한일	한일/NNP
외교,	외교/NNG+,/SP
일본군의	일본군/NNG+의/JKG
위안부	위안부/NNG
강제동원을	강제/NNG+동원/NNG+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
무라야마	무라야마/NNP
담화,	담화/NNG+,/SP
강한	강하/VA+ㄴ/ETM
일본을	일본/NNP+을/JKO
외치는	외치/VV+는/ETM
아베	아베/NNP
신조	신조/NNP
총리	총리/NNG
등	등/NNB
현재	현재/MAG
간에	간/NNB+에/JKB
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
일련의	일련/NNG+의/JKG
사건을	사건/NNG+을/JKO
나열했다.	나열/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.153.10.1
지난해 8월 이명박 전 대통령이 독도를 방문한 이후 악화된 한일관계를 반영하듯 대부분 키워드에 부정적 뉘앙스가 가득하다.

지난해	지난해/NNG
8월	8/SN+월/NNB
이명박	이명박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
독도를	독도/NNP+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
악화된	악화/NNG+되/XSV+ㄴ/ETM
한일관계를	한일/NNP+관계/NNG+를/JKO
반영하듯	반영/NNG+하/XSV+듯/EC
대부분	대/XPN+부분/NNG
키워드에	키워드/NNG+에/JKB
부정적	부정/NNG+적/XSN
뉘앙스가	뉘앙스/NNG+가/JKS
가득하다.	가득/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000037.153.10.2
기자를 지망하는 학생, 일본 정치와 사회를 알고 싶은 직장인이라면 한 번 정도 읽어봄 직한 책이다.

기자를	기자/NNG+를/JKO
지망하는	지망/NNG+하/XSV+는/ETM
학생,	학생/NNG+,/SP
일본	일본/NNP
정치와	정치/NNG+와/JC
사회를	사회/NNG+를/JKO
알고	알/VV+고/EC
싶은	싶/VX+은/ETM
직장인이라면	직장인/NNG+이/VCP+라면/EC
한	한/MMN
번	번/NNB
정도	정도/NNG
읽어봄	읽/VV+어/EC+보/VX+ㅁ/ETN
직한	직/NA+하/VA+ㄴ/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


