# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.192
metadata : {}


# id : NWRW1800000044.192.1.1
‘깃털만 건드린’ 길병원 비자금 수사

‘깃털만	‘/SS+깃털/NNG+만/JX
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
10억원에	10/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
돈이	돈/NNG+이/JKS
이길여	이길여/NNP
길병원	길병원/NNP
이사장	이사장/NNG
비서실로	비서실/NNG+로/JKB
흘러들어간	흘러들/VV+어/EC+가/VX+ㄴ/ETM
사실을	사실/NNG+을/JKO
밝혀내고도,	밝혀내/VV+고도/EC+,/SP
이	이/NNP
이사장에	이사장/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
서면조사로	서면/NNG+조사/NNG+로/JKB
사실상	사실/NNG+상/XSN
수사를	수사/NNG+를/JKO
마무리했기	마무리/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.192.6.1
인천지검은 14일 인천 최대 종합병원인 길병원 비리 관련 수사 결과를 발표하고, 경리팀장 이아무개(56)씨 등 길병원 임직원 3명을 횡령 및 배임 혐의로 구속 기소했다고 밝혔다.

인천지검은	인천지검/NNP+은/JX
14일	14/SN+일/NNB
인천	인천/NNP
최대	최대/NNG
종합병원인	종합/NNG+병원/NNG+이/VCP+ㄴ/ETM
길병원	길병원/NNP
비리	비리/NNG
관련	관련/NNG
수사	수사/NNG
결과를	결과/NNG+를/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
경리팀장	경리/NNG+팀장/NNG
이아무개(56)씨	이/NNP+아무개/NP+(/SS+56/SN+)/SS+씨/NNB
등	등/NNB
임직원	임직원/NNG
3명을	3/SN+명/NNB+을/JKO
횡령	횡령/NNG
및	및/MAG
배임	배임/NNG
혐의로	혐의/NNG+로/JKB
구속	구속/NNG
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.192.6.2
비서실장 정아무개(52)씨도 같은 혐의로 불구속 기소했다.

비서실장	비서실장/NNG
정아무개(52)씨도	정/NNP+아무개/NP+(/SS+52/SN+)/SS+씨/NNB+도/JX
같은	같/VA+은/ETM
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.192.7.1
검찰은 이씨가 2003년 1월 병원 청소 및 주차 관리 회사를 설립해 자신의 장인을 대표이사로 등재시킨 뒤 2012년 10월까지 비자금 16억원을 조성해 6억원가량 횡령했으며, 나머지 10억원은 이 이사장 비서실로 흘러들어간 사실을 밝혀냈다.

검찰은	검찰/NNG+은/JX
이씨가	이/NNP+씨/NNB+가/JKS
2003년	2003/SN+년/NNB
1월	1/SN+월/NNB
병원	병원/NNG
청소	청소/NNG
및	및/MAG
주차	주차/NNG
관리	관리/NNG
회사를	회사/NNG+를/JKO
설립해	설립/NNG+하/XSV+아/EC
자신의	자신/NNG+의/JKG
장인을	장인/NNG+을/JKO
대표이사로	대표/NNG+이사/NNG+로/JKB
등재시킨	등재/NNG+시키/XSV+ㄴ/ETM
뒤	뒤/NNG
2012년	2012/SN+년/NNB
10월까지	10/SN+월/NNB+까지/JX
비자금	비자금/NNG
16억원을	16/SN+억/NR+원/NNB+을/JKO
조성해	조성/NNG+하/XSV+아/EC
6억원가량	6/SN+억/NR+원/NNB+가량/XSN
횡령했으며,	횡령/NNG+하/XSV+았/EP+으며/EC+,/SP
나머지	나머지/NNG
10억원은	10/SN+억/NR+원/NNB+은/JX
이	이/NNP
이사장	이사장/NNG
비서실로	비서실/NNG+로/JKB
흘러들어간	흘러들/VV+어/EC+가/VX+ㄴ/ETM
사실을	사실/NNG+을/JKO
밝혀냈다.	밝혀내/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.192.8.1
그러나 검찰은 이 이사장을 소환하지도 않고, 서면조사를 했다.

그러나	그러나/MAJ
검찰은	검찰/NNG+은/JX
이	이/NNP
이사장을	이사장/NNG+을/JKO
소환하지도	소환/NNG+하/XSV+지/EC+도/JX
않고,	않/VX+고/EC+,/SP
서면조사를	서면/NNG+조사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.192.8.2
검찰은 “이 이사장이 개인 재산을 비서실에 맡겨 관리하는 상황이이서 이 돈의 성격을 잘 몰랐던 것 같다.

검찰은	검찰/NNG+은/JX
“이	“/SS+이/NNP
이사장이	이사장/NNG+이/JKS
개인	개인/NNG
재산을	재산/NNG+을/JKO
비서실에	비서실/NNG+에/JKB
맡겨	맡기/VV+어/EC
관리하는	관리/NNG+하/XSV+는/ETM
상황이이서	상황/NNG+이/VCP+이서/EC
이	이/MMD
돈의	돈/NNG+의/JKG
성격을	성격/NNG+을/JKO
잘	잘/MAG
몰랐던	모르/VV+았/EP+던/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000044.192.8.3
관련자들도 이 이사장에게 보고를 하지 않았다고 일관되게 진술하고 있고, 비서실 공용 계좌를 추적해 비자금 용도로 사용했는지도 수사했으나 혐의점을 확인하지 못해 서면조사를 했다”고 말했다.

관련자들도	관련자/NNG+들/XSN+도/JX
이	이/NNP
이사장에게	이사장/NNG+에게/JKB
보고를	보고/NNG+를/JKO
하지	하/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
일관되게	일관/NNG+되/XSV+게/EC
진술하고	진술/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
비서실	비서실/NNG
공용	공용/NNG
계좌를	계좌/NNG+를/JKO
추적해	추적/NNG+하/XSV+아/EC
비자금	비자금/NNG
용도로	용도/NNG+로/JKB
사용했는지도	사용/NNG+하/XSV+았/EP+는지/EC+도/JX
수사했으나	수사/NNG+하/XSV+았/EP+으나/EC
혐의점을	혐의점/NNG+을/JKO
확인하지	확인/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
서면조사를	서면/NNG+조사/NNG+를/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.192.8.4
인천 법조계에서는 “10억원의 돈이 비서실로 흘러들어갔는데 이 이사장이 몰랐다는 것도 이해가 가지 않지만, 서면조사라는 면피성 수사로 수사를 마무리하려는 검찰의 소극적 태도도 이해할 수 없다”는 반응이 나온다.

인천	인천/NNP
법조계에서는	법조/NNG+계/XSN+에서/JKB+는/JX
“10억원의	“/SS+10/SN+억/NR+원/NNB+의/JKG
돈이	돈/NNG+이/JKS
비서실로	비서실/NNG+로/JKB
흘러들어갔는데	흘러들/VV+어/EC+가/VX+았/EP+는데/EC
이	이/NNP
이사장이	이사장/NNG+이/JKS
몰랐다는	모르/VV+았/EP+다는/ETM
것도	것/NNB+도/JX
이해가	이해/NNG+가/JKS
가지	가/VV+지/EC
않지만,	않/VX+지만/EC+,/SP
서면조사라는	서면/NNG+조사/NNG+이/VCP+라는/ETM
면피성	면피/NNG+성/XSN
수사로	수사/NNG+로/JKB
수사를	수사/NNG+를/JKO
마무리하려는	마무리/NNG+하/XSV+려는/ETM
검찰의	검찰/NNG+의/JKG
소극적	소극/NNG+적/XSN
태도도	태도/NNG+도/JX
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
반응이	반응/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.192.9.1
한편, 검찰은 이날 길의료재단이 출자한 바이오리서치단지(BRC)의 시공사인 대우건설 임원 이아무개씨로부터 4600만원을 받은 혐의(뇌물)로 인천시의회 사무처장 조아무개(57)씨를 구속 기소하고, 전 부평구 부구청장 홍아무개(56)씨와 인천장애인아시안게임조직위 전 사무총장 황아무개(60)씨를 불구속 기소했다.

한편,	한편/MAG+,/SP
검찰은	검찰/NNG+은/JX
이날	이날/NNG
길의료재단이	길의료재단/NNP+이/JKS
출자한	출자/NNG+하/XSV+ㄴ/ETM
바이오리서치단지(BRC)의	바이오/NNG+리서치/NNG+단지/NNG+(/SS+BRC/SL+)/SS+의/JKG
시공사인	시공사/NNG+이/VCP+ㄴ/ETM
대우건설	대우건설/NNP
임원	임원/NNG
이아무개씨로부터	이/NNP+아무개/NP+씨/NNB+로부터/JKB
4600만원을	4600/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의(뇌물)로	혐의/NNG+(/SS+뇌물/NNG+)/SS+로/JKB
인천시의회	인천시의회/NNP
사무처장	사무처장/NNG
조아무개(57)씨를	조/NNP+아무개/NP+(/SS+57/SN+)/SS+씨/NNB+를/JKO
구속	구속/NNG
기소하고,	기소/NNG+하/XSV+고/EC+,/SP
전	전/MMD
부평구	부평구/NNP
부구청장	부구청장/NNG
홍아무개(56)씨와	홍/NNP+아무개/NP+(/SS+56/SN+)/SS+씨/NNB+와/JC
인천장애인아시안게임조직위	인천장애인아시안게임조직위/NNP
사무총장	사무총장/NNG
황아무개(60)씨를	황/NNP+아무개/NP+(/SS+60/SN+)/SS+씨/NNB+를/JKO
불구속	불/XPN+구속/NNG
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


