# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.175
metadata : {}


# id : NWRW1800000053.175.1.1
‘특검의 입’ 이규철 前특검보, 신동주 변호

‘특검의	‘/SS+특검/NNG+의/JKG
부탁을	부탁/NNG+을/JKO
받고	받/VV+고/EC
K스포츠재단에	K스포츠재단/NNP+에/JKB
70억	70/SN+억/NR
원을	원/NNB+을/JKO
추가	추가/NNG
출연했다가	출연/NNG+하/XSV+았/EP+다가/EC
돌려받은	돌려받/VV+은/ETM
사건을	사건/NNG+을/JKO
수사하려	수사/NNG+하/XSV+려/EC
했지만	하/VX+았/EP+지만/EC
시간	시간/NNG
부족으로	부족/NNG+으로/JKB
실제	실제/NNG
조사를	조사/NNG+를/JKO
하지는	하/VV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.175.5.3
이 전 특검보의 의뢰인 신동주 회장은 특검이 수사하려던 사건과 직접 관련은 없다.

이	이/NNP
전	전/MMD
특검보의	특검보/NNG+의/JKG
의뢰인	의뢰인/NNG
신동주	신동주/NNP
회장은	회장/NNG+은/JX
특검이	특검/NNG+이/JKS
수사하려던	수사/NNG+하/XSV+려던/ETM
사건과	사건/NNG+과/JKB
직접	직접/MAG
관련은	관련/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.175.5.4
하지만 이 전 특검보가 수사 대상자인 신동빈 회장의 형제 사건을 수임한 것은 특검에 대한 신뢰를 해칠 수 있는 행동이라는 비판이 나온다.

하지만	하지만/MAJ
이	이/NNP
전	전/MMD
특검보가	특검보/NNG+가/JKS
수사	수사/NNG
대상자인	대상자/NNG+이/VCP+ㄴ/ETM
신동빈	신동빈/NNP
회장의	회장/NNG+의/JKG
형제	형제/NNG
사건을	사건/NNG+을/JKO
수임한	수임/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
특검에	특검/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
해칠	해치/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
행동이라는	행동/NNG+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.175.6.1
신동주 회장은 또 신동빈 회장과 롯데그룹의 경영권 문제로 소송 중이다.

신동주	신동주/NNP
회장은	회장/NNG+은/JX
또	또/MAG
신동빈	신동빈/NNP
회장과	회장/NNG+과/JKB
롯데그룹의	롯데그룹/NNP+의/JKG
경영권	경영/NNG+권/XSN
문제로	문제/NNG+로/JKB
소송	소송/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.175.6.2
이 전 특검보가 맡은 사건은 신동주 회장이 한국의 롯데그룹 계열사에서 아무런 일도 하지 않은 채 390억 원가량의 ‘공짜 급여’를 받았다는 내용이다.

이	이/NNP
전	전/MMD
특검보가	특검보/NNG+가/JKS
맡은	맡/VV+은/ETM
사건은	사건/NNG+은/JX
신동주	신동주/NNP
회장이	회장/NNG+이/JKS
한국의	한국/NNP+의/JKG
롯데그룹	롯데그룹/NNP
계열사에서	계열사/NNG+에서/JKB
아무런	아무런/MMD
일도	일/NNG+도/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
390억	390/SN+억/NR
원가량의	원/NNB+가량/XSN+의/JKG
‘공짜	‘/SS+공짜/NNG
급여’를	급여/NNG+’/SS+를/JKO
받았다는	받/VV+았/EP+다는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.175.6.3
이는 신동주, 신동빈 회장의 경영권 분쟁과는 직접 관련이 없다.

이는	이/NP+는/JX
신동주,	신동주/NNP+,/SP
신동빈	신동빈/NNP
회장의	회장/NNG+의/JKG
경영권	경영/NNG+권/XSN
분쟁과는	분쟁/NNG+과/JKB+는/JX
직접	직접/MAG
관련이	관련/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.175.7.1
그러나 이 전 특검보는 검찰 특별수사본부가 특검에 넘긴 사건기록에서 롯데그룹과 신동빈 회장의 ‘약점’을 들여다볼 기회가 있었다.

그러나	그러나/MAJ
이	이/NNP
전	전/MMD
특검보는	특검보/NNG+는/JX
검찰	검찰/NNG
특별수사본부가	특별/NNG+수사본부/NNG+가/JKS
특검에	특검/NNG+에/JKB
넘긴	넘기/VV+ㄴ/ETM
사건기록에서	사건/NNG+기록/NNG+에서/JKB
롯데그룹과	롯데그룹/NNP+과/JC
신동빈	신동빈/NNP
회장의	회장/NNG+의/JKG
‘약점’을	‘/SS+약점/NNG+’/SS+을/JKO
들여다볼	들여다보/VV+ㄹ/ETM
기회가	기회/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.175.7.2
이 전 특검보가 특검에서 취득한 정보로 신동주 회장을 도울 수 있다는 우려가 나오는 이유다.

이	이/NNP
전	전/MMD
특검보가	특검보/NNG+가/JKS
특검에서	특검/NNG+에서/JKB
취득한	취득/NNG+하/XSV+ㄴ/ETM
정보로	정보/NNG+로/JKB
신동주	신동주/NNP
회장을	회장/NNG+을/JKO
도울	돕/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
나오는	나오/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.175.7.3
이 전 특검보 측은 이런 논란에 대해 “롯데 오너 일가 경영비리 사건에서 신동주 회장은 상대적으로 소외돼 있어 (수임에) 문제가 없다고 판단했다”는 자세다.

이	이/NNP
전	전/MMD
특검보	특검보/NNG
측은	측/NNB+은/JX
이런	이런/MMD
논란에	논란/NNG+에/JKB
대해	대하/VV+아/EC
“롯데	“/SS+롯데/NNP
오너	오너/NNG
일가	일가/NNG
경영비리	경영/NNG+비리/NNG
사건에서	사건/NNG+에서/JKB
신동주	신동주/NNP
회장은	회장/NNG+은/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
소외돼	소외/NNG+되/XSV+어/EC
있어	있/VX+어/EC
(수임에)	(/SS+수임/NNG+에/JKB+)/SS
문제가	문제/NNG+가/JKS
없다고	없/VA+다고/EC
판단했다”는	판단/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
자세다.	자세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.175.8.1
판사 출신인 이 전 특검보는 “변호사 업무로 다시 돌아가겠다”며 4월 28일 특검에 사표를 제출하고 원래 근무하던 로펌으로 돌아갔다.

판사	판사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
이	이/NNP
전	전/MMD
특검보는	특검보/NNG+는/JX
“변호사	“/SS+변호사/NNG
업무로	업무/NNG+로/JKB
다시	다시/MAG
돌아가겠다”며	돌아가/VV+겠/EP+다/EF+”/SS+며/EC
4월	4/SN+월/NNB
28일	28/SN+일/NNB
특검에	특검/NNG+에/JKB
사표를	사표/NNG+를/JKO
제출하고	제출/NNG+하/XSV+고/EC
원래	원래/MAG
근무하던	근무/NNG+하/XSV+던/ETM
로펌으로	로펌/NNG+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


