# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.100
metadata : {}


# id : NWRW1800000054.100.1.1
디카의 아버지 4人 '엘리자베스 여왕 공학상'

디카의	디카/NNG+의/JKG
사람은	사람/NNG+은/JX
이	이/MMD
공로로	공로/NNG+로/JKB
2009년	2009/SN+년/NNB
노벨	노벨/NNP
물리학상을	물리학상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.100.5.4
같은 연구소의 마이클 톰셋 박사는 이것을 사진 촬영에 응용해 CCD를 개발했다.

같은	같/VA+은/ETM
연구소의	연구소/NNG+의/JKG
마이클	마이클/NNP
톰셋	톰셋/NNP
박사는	박사/NNG+는/JX
이것을	이것/NP+을/JKO
사진	사진/NNG
촬영에	촬영/NNG+에/JKB
응용해	응용/NNG+하/XSV+아/EC
CCD를	CCD/SL+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.100.5.5
1972년 톰셋 박사의 아내를 찍은 최초의 디지털 사진이 잡지 표지에 등장했다.

1972년	1972/SN+년/NNB
톰셋	톰셋/NNP
박사의	박사/NNG+의/JKG
아내를	아내/NNG+를/JKO
찍은	찍/VV+은/ETM
최초의	최초/NNG+의/JKG
디지털	디지털/NNG
사진이	사진/NNG+이/JKS
잡지	잡지/NNG
표지에	표지/NNG+에/JKB
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.100.6.1
데라니시 교수는 1980년 일본전기주식회사(NEC)에서 CCD보다 선명한 사진을 찍을 수 있는 핀광다이오드(PPD)를 개발했다.

데라니시	데라니시/NNP
교수는	교수/NNG+는/JX
1980년	1980/SN+년/NNB
일본전기주식회사(NEC)에서	일본전기주식회사/NNP+(/SS+NEC/SL+)/SS+에서/JKB
CCD보다	CCD/SL+보다/JKB
선명한	선명/NNG+하/XSA+ㄴ/ETM
사진을	사진/NNG+을/JKO
찍을	찍/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
핀광다이오드(PPD)를	핀/NNG+광/NNG+다이오드/NNG+(/SS+PPD/SL+)/SS+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.100.6.2
포섬 교수는 1990년대 미국항공우주국(NASA) 제트추진연구소에서 우주선에 실을 소형 디지털 카메라를 연구하다가 CMOS(상보성 금속산화막 반도체) 이미지 센서를 개발했다.

포섬	포섬/NNP
교수는	교수/NNG+는/JX
1990년대	1990/SN+년대/NNB
미국항공우주국(NASA)	미국항공우주국/NNP+(/SS+NASA/SL+)/SS
제트추진연구소에서	제트/NNG+추진/NNG+연구소/NNG+에서/JKB
우주선에	우주선/NNG+에/JKB
실을	싣/VV+을/ETM
소형	소형/NNG
디지털	디지털/NNG
카메라를	카메라/NNG+를/JKO
연구하다가	연구/NNG+하/XSV+다가/EC
CMOS(상보성	CMOS/SL+(/SS+상보/NNG+성/XSN
금속산화막	금속/NNG+산화막/NNG
반도체)	반도체/NNG+)/SS
이미지	이미지/NNG
센서를	센서/NNG+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.100.6.3
CMOS는 오늘날 디지털 카메라의 토대가 됐다.

CMOS는	CMOS/SL+는/JX
오늘날	오늘날/NNG
디지털	디지털/NNG
카메라의	카메라/NNG+의/JKG
토대가	토대/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.100.7.1
영국 여왕 엘리자베스 2세의 이름을 딴 퀸 엘리자베스 공학상은 공학 분야의 노벨상을 만들겠다는 취지로 제정됐다.

영국	영국/NNP
여왕	여왕/NNG
엘리자베스	엘리자베스/NNP
2세의	2/SN+세/NNB+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
퀸	퀸/NNG
공학상은	공학/NNG+상/NNG+은/JX
공학	공학/NNG
분야의	분야/NNG+의/JKG
노벨상을	노벨상/NNG+을/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
취지로	취지/NNG+로/JKB
제정됐다.	제정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.100.7.2
수상자 4명은 상금 100만파운드(약 14억5000만원)를 나눠 갖는다.

수상자	수상자/NNG
4명은	4/SN+명/NNB+은/JX
상금	상금/NNG
100만파운드(약	100/SN+만/NR+파운드/NNB+(/SS+약/MMA
14억5000만원)를	14/SN+억/NR+5000/SN+만/NR+원/NNB+)/SS+를/JKO
나눠	나누/VV+어/EC
갖는다.	갖/VV+는다/EF+./SF


