# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.383
metadata : {}


# id : NWRW1800000025.383.1.1
[횡설수설/정성희]국민연금 재테크

[횡설수설/정성희]국민연금	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+국민연금/NNG
전개되는	전개/NNG+되/XSV+는/ETM
이	이/MMD
소설에서	소설/NNG+에서/JKB
아버지는	아버지/NNG+는/JX
국민연금을	국민연금/NNG+을/JKO
정부가	정부/NNG+가/JKS
개인의	개인/NNG+의/JKG
자유와	자유/NNG+와/JC
선택을	선택/NNG+을/JKO
제한하는	제한/NNG+하/XSV+는/ETM
통제장치로	통제/NNG+장치/NNG+로/JKB
인식한다.	인식/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.383.3.2
우리나라에서도 국민연금에 대한 반감이 극심한 시절이 있었다.

우리나라에서도	우리나라/NNG+에서/JKB+도/JX
국민연금에	국민연금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반감이	반감/NNG+이/JKS
극심한	극심하/VA+ㄴ/ETM
시절이	시절/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.383.3.3
2004년 등장했던 ‘국민연금 8대 괴담’은 인터넷을 통해 급속히 퍼져나갔다.

2004년	2004/SN+년/NNB
등장했던	등장/NNG+하/XSV+았/EP+던/ETM
‘국민연금	‘/SS+국민연금/NNG
8대	8/SN+대/NNG
괴담’은	괴담/NNG+’/SS+은/JX
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
급속히	급속히/MAG
퍼져나갔다.	퍼지/VV+어/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.383.3.4
100% 진실은 아니었지만 수급권 제한, 소득월액 상한 규정, 강제 가입, 기금 고갈 우려 등 국민연금에 대한 국민의 불신을 반영했다.

100%	100/SN+%/SW
진실은	진실/NNG+은/JX
아니었지만	아니/VCN+었/EP+지만/EC
수급권	수급/NNG+권/XSN
제한,	제한/NNG+,/SP
소득월액	소득/NNG+월액/NNG
상한	상한/NNG
규정,	규정/NNG+,/SP
강제	강제/NNG
가입,	가입/NNG+,/SP
기금	기금/NNG
고갈	고갈/NNG
우려	우려/NNG
등	등/NNB
국민연금에	국민연금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민의	국민/NNG+의/JKG
불신을	불신/NNG+을/JKO
반영했다.	반영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.383.4.1
▷그로부터 6년의 세월이 흘러 올해 국민연금 가입자가 1925만 명으로 사상 최대를 기록했다.

▷그로부터	▷/SW+그/NP+로부터/JKB
6년의	6/SN+년/NNB+의/JKG
세월이	세월/NNG+이/JKS
흘러	흐르/VV+어/EC
올해	올해/NNG
국민연금	국민연금/NNG
가입자가	가입자/NNG+가/JKS
1925만	1925/SN+만/NR
명으로	명/NNB+으로/JKB
사상	사상/NNG
최대를	최대/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.383.4.2
직장과 지역 가입자가 각각 57만 명 이상씩 증가했다.

직장과	직장/NNG+과/JC
지역	지역/NNG
가입자가	가입자/NNG+가/JKS
각각	각각/MAG
57만	57/SN+만/NR
명	명/NNB
이상씩	이상/NNG+씩/XSN
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.383.4.3
7월 ‘내 연금 갖기-평생월급 국민연금’ 캠페인이 시작된 이후 가입자는 하루 평균 3300명씩 늘었다.

7월	7/SN+월/NNB
‘내	‘/SS+나/NP+의/JKG
연금	연금/NNG
갖기-평생월급	갖/VV+기/ETN+-/SO+평생/NNG+월급/NNG
국민연금’	국민연금/NNG+’/SS
캠페인이	캠페인/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
가입자는	가입자/NNG+는/JX
하루	하루/NNG
평균	평균/NNG
3300명씩	3300/SN+명/NNB+씩/XSN
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.383.4.4
2007년 ‘더 내고 덜 받는’ 국민연금법 개정으로 기금 고갈 시기가 순연돼 재정 고갈에 대한 우려가 덜어졌다.

2007년	2007/SN+년/NNB
‘더	‘/SS+더/MAG
내고	내/VV+고/EC
덜	덜/MAG
받는’	받/VV+는/ETM+’/SS
국민연금법	국민연금법/NNG
개정으로	개정/NNG+으로/JKB
기금	기금/NNG
고갈	고갈/NNG
시기가	시기/NNG+가/JKS
순연돼	순연/NNG+되/XSV+어/EC
재정	재정/NNG
고갈에	고갈/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
덜어졌다.	덜/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.383.4.5
평균수명 연장과 함께 주변에 수급자가 늘면서 ‘국민연금으로도 노후생활이 가능하다’는 믿음이 확산되고 있다.

평균수명	평균/NNG+수명/NNG
연장과	연장/NNG+과/JKB
함께	함께/MAG
주변에	주변/NNG+에/JKB
수급자가	수급자/NNG+가/JKS
늘면서	늘/VV+면서/EC
‘국민연금으로도	‘/SS+국민연금/NNG+으로/JKB+도/JX
노후생활이	노후/NNG+생활/NNG+이/JKS
가능하다’는	가능/NNG+하/XSA+다/EF+’/SS+는/ETM
믿음이	믿음/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.383.4.6
1988년 국민연금 출범 이후 많은 오해와 불신을 뚫고 국민연금이 제자리를 찾아가는 것 같아 다행이다.

1988년	1988/SN+년/NNB
국민연금	국민연금/NNG
출범	출범/NNG
이후	이후/NNG
많은	많/VA+은/ETM
오해와	오해/NNG+와/JC
불신을	불신/NNG+을/JKO
뚫고	뚫/VV+고/EC
국민연금이	국민연금/NNG+이/JKS
제자리를	제자리/NNG+를/JKO
찾아가는	찾아가/VV+는/ETM
것	것/NNB
같아	같/VA+아/EC
다행이다.	다행/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.383.5.1
▷법적 의무가입 대상자가 아닌 주부 학생 등 임의가입자가 급증했다.

▷법적	▷/SW+법/NNG+적/XSN
의무가입	의무/NNG+가입/NNG
대상자가	대상자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
주부	주부/NNG
학생	학생/NNG
등	등/NNB
임의가입자가	임의/NNG+가입자/NNG+가/JKS
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.383.5.2
주로 주부들이 대다수인 임의가입자는 지난해 하루 평균 34명에서 올해 371명으로 11배 늘었다.

주로	주로/MAG
주부들이	주부/NNG+들/XSN+이/JKS
대다수인	대/XPN+다수/NNG+이/VCP+ㄴ/ETM
임의가입자는	임의/NNG+가입자/NNG+는/JX
지난해	지난해/NNG
하루	하루/NNG
평균	평균/NNG
34명에서	34/SN+명/NNB+에서/JKB
올해	올해/NNG
371명으로	371/SN+명/NNB+으로/JKB
11배	11/SN+배/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.383.5.3
기대수명이 높아져 불입 기간에 비해 수령 기간이 훨씬 길다는 계산 때문이다.

기대수명이	기대/NNG+수명/NNG+이/JKS
높아져	높아지/VV+어/EC
불입	불입/NNG
기간에	기간/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
수령	수령/NNG
기간이	기간/NNG+이/JKS
훨씬	훨씬/MAG
길다는	길/VA+다는/ETM
계산	계산/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.383.5.4
서울지역 임의가입자가 강남 송파 서초 양천구 순으로 늘어나 국민연금이 소득 높은 지역의 새로운 재테크 수단이 되고 있음을 시사한다.

서울지역	서울지역/NNP
임의가입자가	임의/NNG+가입자/NNG+가/JKS
강남	강남/NNP
송파	송파/NNP
서초	서초/NNP
양천구	양천구/NNP
순으로	순/NNB+으로/JKB
늘어나	늘어나/VV+아/EC
국민연금이	국민연금/NNG+이/JKS
소득	소득/NNG
높은	높/VA+은/ETM
지역의	지역/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
재테크	재테크/NNG
수단이	수단/NNG+이/JKC
되고	되/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
시사한다.	시사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.383.5.5
2010년 국민연금은 수급자 300만 명을 돌파했고 기금운용 규모가 300조 원에 이른다.

2010년	2010/SN+년/NNB
국민연금은	국민연금/NNG+은/JX
수급자	수급자/NNG
300만	300/SN+만/NR
명을	명/NNB+을/JKO
돌파했고	돌파/NNG+하/XSV+았/EP+고/EC
기금운용	기금/NNG+운용/NNG
규모가	규모/NNG+가/JKS
300조	300/SN+조/NR
원에	원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.383.5.6
아직도 510만 명의 사각지대가 있기는 하지만 국민연금 나무는 무럭무럭 자라고 있다.

아직도	아직/MAG+도/JX
510만	510/SN+만/NR
명의	명/NNB+의/JKG
사각지대가	사각지대/NNG+가/JKS
있기는	있/VA+기/ETN+는/JX
하지만	하/VX+지만/EC
국민연금	국민연금/NNG
나무는	나무/NNG+는/JX
무럭무럭	무럭무럭/MAG
자라고	자라/VV+고/EC
있다.	있/VX+다/EF+./SF


