# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.101
metadata : {}


# id : NWRW1800000054.101.1.1
권총 차고 무슬림 환자 돌보는 간호장교

권총	권총/NNG
파병지에서	파병지/NNG+에서/JKB
비군사	비/XPN+군사/NNG
활동을	활동/NNG+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.101.9.2
평화 유지를 위해선 '총'도 중요하지만 '사랑의 손길'로 주민의 마음을 얻을 필요가 있기 때문이다.

평화	평화/NNG
유지를	유지/NNG+를/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
'총'도	'/SS+총/NNG+'/SS+도/JX
중요하지만	중요/NNG+하/XSA+지만/EC
'사랑의	'/SS+사랑/NNG+의/JKG
손길'로	손길/NNG+'/SS+로/JKB
주민의	주민/NNG+의/JKG
마음을	마음/NNG+을/JKO
얻을	얻/VV+을/ETM
필요가	필요/NNG+가/JKS
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.101.10.1
"일반 간호사가 가지 못하는 곳에 가서, 일반 장교가 하지 못하는 일을 하는 존재가 간호 장교입니다.

"일반	"/SS+일반/NNG
간호사가	간호사/NNG+가/JKS
가지	가/VV+지/EC
못하는	못하/VX+는/ETM
곳에	곳/NNG+에/JKB
가서,	가/VV+아서/EC+,/SP
일반	일반/NNG
장교가	장교/NNG+가/JKS
하지	하/VV+지/EC
일을	일/NNG+을/JKO
하는	하/VV+는/ETM
존재가	존재/NNG+가/JKS
간호	간호/NNG
장교입니다.	장교/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000054.101.10.2
분쟁지인 레바논에 진정한 평화가 오는 데 조금이나마 이바지하자는 각오로 매일 아침 전투복을 입습니다."

분쟁지인	분쟁지/NNG+이/VCP+ㄴ/ETM
레바논에	레바논/NNP+에/JKB
진정한	진정하/VA+ㄴ/ETM
평화가	평화/NNG+가/JKS
오는	오/VV+는/ETM
데	데/NNB
조금이나마	조금/NNG+이나마/JX
이바지하자는	이바지/NNG+하/XSV+자는/ETM
각오로	각오/NNG+로/JKB
매일	매일/MAG
아침	아침/NNG
전투복을	전투복/NNG+을/JKO
입습니다."	입/VV+습니다/EF+./SF+"/SS


# id : NWRW1800000054.101.10.3
그의 전투복 오른쪽 팔엔 유엔기, 왼쪽 팔엔 태극기가 달려 있었다.

그의	그/NP+의/JKG
전투복	전투복/NNG
오른쪽	오른쪽/NNG
팔엔	팔/NNG+에/JKB+ㄴ/JX
유엔기,	유엔기/NNG+,/SP
왼쪽	왼쪽/NNG
태극기가	태극기/NNG+가/JKS
달려	달리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


