# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.227
metadata : {}


# id : NWRW1800000033.227.1.1
“구멍 숭숭 ‘수비’를 어쩌나”… 최강희-홍명보 ‘동병상련’

“구멍	“/SS+구멍/NNG
국가대표팀은 5월 31일 스페인과의 평가전에서 1-4로 패했다.

국가대표팀은	국가/NNG+대표/NNG+팀/NNG+은/JX
5월	5/SN+월/NNB
31일	31/SN+일/NNB
스페인과의	스페인/NNP+과/JKB+의/JKG
평가전에서	평가전/NNG+에서/JKB
1-4로	1/SN+-/SO+4/SN+로/JKB
패했다.	패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.227.4.2
수비 조직력에서 문제를 드러낸 대표팀은 상대 공격수에게 뒤쪽 공간을 내주며 실점을 허용했다.

수비	수비/NNG
조직력에서	조직력/NNG+에서/JKB
문제를	문제/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
상대	상대/NNG
공격수에게	공격수/NNG+에게/JKB
뒤쪽	뒤쪽/NNG
공간을	공간/NNG+을/JKO
내주며	내주/VV+며/EC
실점을	실점/NNG+을/JKO
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.227.4.3
9일 2014년 브라질 월드컵 최종 예선 A조 카타르와의 첫 경기를 치르는 대표팀은 남은 기간 수비에 대한 해결책을 찾는 것이 시급하다.

9일	9/SN+일/NNB
2014년	2014/SN+년/NNB
브라질	브라질/NNP
월드컵	월드컵/NNG
최종	최종/NNG
예선	예선/NNG
A조	A/SL+조/NNG
카타르와의	카타르/NNP+와/JKB+의/JKG
첫	첫/MMN
경기를	경기/NNG+를/JKO
치르는	치르/VV+는/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
남은	남/VV+은/ETM
기간	기간/NNG
수비에	수비/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
해결책을	해결책/NNG+을/JKO
찾는	찾/VV+는/ETM
것이	것/NNB+이/JKS
시급하다.	시급하/VA+다/EF+./SF


# id : NWRW1800000033.227.4.4
한준희 KBS 해설위원은 “동료가 상대 공격수를 막으려고 전진하느라 비운 공간을 다른 수비수가 빠르게 메워주는 것이 필요하다”고 말했다.

한준희	한준희/NNP
KBS	KBS/SL
해설위원은	해설/NNG+위원/NNG+은/JX
“동료가	“/SS+동료/NNG+가/JKS
상대	상대/NNG
공격수를	공격수/NNG+를/JKO
막으려고	막/VV+으려고/EC
전진하느라	전진/NNG+하/XSV+느라/EC
비운	비우/VV+ㄴ/ETM
공간을	공간/NNG+을/JKO
다른	다른/MMD
수비수가	수비수/NNG+가/JKS
빠르게	빠르/VA+게/EC
메워주는	메우/VV+어/EC+주/VX+는/ETM
것이	것/NNB+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.227.4.5
조직력 회복의 관건은 수비수의 간격 조절과 민첩한 커버 플레이에 있다는 것이다.

조직력	조직력/NNG
회복의	회복/NNG+의/JKG
관건은	관건/NNG+은/JX
수비수의	수비수/NNG+의/JKG
간격	간격/NNG
조절과	조절/NNG+과/JC
민첩한	민첩하/VA+ㄴ/ETM
커버	커버/NNG
플레이에	플레이/NNG+에/JKB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.227.4.6
또 미드필더의 적극적인 수비 가담과 수비수로부터 시작되는 패스의 정확도를 높이는 것이 필요하다고 지적했다.

또	또/MAG
미드필더의	미드필더/NNG+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
수비	수비/NNG
가담과	가담/NNG+과/JC
수비수로부터	수비수/NNG+로부터/JKB
시작되는	시작/NNG+되/XSV+는/ETM
패스의	패스/NNG+의/JKG
정확도를	정확도/NNG+를/JKO
높이는	높이/VV+는/ETM
것이	것/NNB+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.227.5.1
2012년 런던 올림픽 본선을 앞둔 올림픽대표팀도 예상치 못한 난관에 봉착했다.

2012년	2012/SN+년/NNB
런던	런던/NNP
올림픽	올림픽/NNG
본선을	본선/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
올림픽대표팀도	올림픽/NNG+대표/NNG+팀/NNG+도/JX
예상치	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
난관에	난관/NNG+에/JKB
봉착했다.	봉착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.227.5.2
중앙 수비수로 활약하던 홍정호(23·제주)가 4월 29일 K리그 경남과의 경기에서 후방 십자인대를 다쳐 올림픽대표팀에 합류할 수 없게 된 것이다.

중앙	중앙/NNG
수비수로	수비수/NNG+로/JKB
활약하던	활약/NNG+하/XSV+던/ETM
홍정호(23·제주)가	홍정호/NNP+(/SS+23/SN+·/SP+제주/NNP+)/SS+가/JKS
4월	4/SN+월/NNB
29일	29/SN+일/NNB
K리그	K/SL+리그/NNG
경남과의	경남/NNP+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
후방	후방/NNG
십자인대를	십자/NNG+인대/NNG+를/JKO
다쳐	다치/VV+어/EC
올림픽대표팀에	올림픽/NNG+대표/NNG+팀/NNG+에/JKB
합류할	합류/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.227.5.3
수비 공백을 해결하기 위해 경험 많은 수비수를 와일드카드로 뽑는 것이 하나의 방법이 될 수 있다.

수비	수비/NNG
공백을	공백/NNG+을/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
경험	경험/NNG
많은	많/VA+은/ETM
수비수를	수비수/NNG+를/JKO
와일드카드로	와일드카드/NNG+로/JKB
뽑는	뽑/VV+는/ETM
것이	것/NNB+이/JKS
하나의	하나/NR+의/JKG
방법이	방법/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.227.5.4
또 기존 선수를 잘 활용하는 것이 중요하다.

또	또/MAG
기존	기존/NNG
선수를	선수/NNG+를/JKO
잘	잘/MAG
활용하는	활용/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.227.6.1
박문성 SBS 해설위원은 “중앙수비를 보고 있는 김영권(22·오미야)과 장현수(21·FC도쿄)를 위주로 전체적인 수비 라인을 맞추는 동시에 공격수와 미드필더의 수비 가담을 높여 팀 전체의 수비를 강화하는 것이 필요하다”고 말했다.

박문성	박문성/NNP
SBS	SBS/SL
해설위원은	해설/NNG+위원/NNG+은/JX
“중앙수비를	“/SS+중앙/NNG+수비/NNG+를/JKO
보고	보/VV+고/EC
있는	있/VX+는/ETM
김영권(22·오미야)과	김영권/NNP+(/SS+22/SN+·/SP+오미야/NNP+)/SS+과/JC
장현수(21·FC도쿄)를	장현수/NNP+(/SS+21/SN+·/SP+FC도쿄/NNP+)/SS+를/JKO
위주로	위주/NNG+로/JKB
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
수비	수비/NNG
라인을	라인/NNG+을/JKO
맞추는	맞추/VV+는/ETM
동시에	동시/NNG+에/JKB
공격수와	공격수/NNG+와/JC
미드필더의	미드필더/NNG+의/JKG
가담을	가담/NNG+을/JKO
높여	높이/VV+어/EC
팀	팀/NNG
전체의	전체/NNG+의/JKG
수비를	수비/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.227.7.1
그러나 전문가들은 단기적인 대책으로 눈앞의 문제를 해결하는 것 못지않게 장기적인 대책을 마련해 ‘대형 수비수’를 발굴하는 것이 중요하다고 말한다.

그러나	그러나/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
단기적인	단기/NNG+적/XSN+이/VCP+ㄴ/ETM
대책으로	대책/NNG+으로/JKB
눈앞의	눈앞/NNG+의/JKG
문제를	문제/NNG+를/JKO
해결하는	해결/NNG+하/XSV+는/ETM
것	것/NNB
못지않게	못지않/VA+게/EC
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
‘대형	‘/SS+대형/NNG
수비수’를	수비수/NNG+’/SS+를/JKO
발굴하는	발굴/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.227.8.1
한 위원은 “체계적인 수비 훈련을 통해 전문 수비수를 키워내야 한다.

한	한/MMN
위원은	위원/NNG+은/JX
“체계적인	“/SS+체계/NNG+적/XSN+이/VCP+ㄴ/ETM
수비	수비/NNG
훈련을	훈련/NNG+을/JKO
통해	통하/VV+아/EC
전문	전문/NNG
수비수를	수비수/NNG+를/JKO
키워내야	키우/VV+어/EC+내/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.227.8.2
많은 유럽 국가는 유소년 시절부터 수비수로 키워낼 선수를 선별해 이론과 실전에 대한 전문적인 교육을 하고 있다”고 말했다.

많은	많/VA+은/ETM
유럽	유럽/NNP
국가는	국가/NNG+는/JX
유소년	유소년/NNG
시절부터	시절/NNG+부터/JX
수비수로	수비수/NNG+로/JKB
키워낼	키우/VV+어/EC+내/VX+ㄹ/ETM
선수를	선수/NNG+를/JKO
선별해	선별/NNG+하/XSV+아/EC
이론과	이론/NNG+과/JC
실전에	실전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전문적인	전문/NNG+적/XSN+이/VCP+ㄴ/ETM
교육을	교육/NNG+을/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.227.9.1
26년 전 박종환 감독이 관전평에 남긴 또 다른 말은 지금도 유효하다.

26년	26/SN+년/NNB
전	전/NNG
박종환	박종환/NNP
감독이	감독/NNG+이/JKS
관전평에	관전평/NNG+에/JKB
남긴	남기/VV+ㄴ/ETM
또	또/MAG
다른	다른/MMD
말은	말/NNG+은/JX
지금도	지금/NNG+도/JX
유효하다.	유효/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.227.9.2
“다른 일도 마찬가지겠지만 축구도 하루아침에 되는 것이 아니다.

“다른	“/SS+다른/MMD
일도	일/NNG+도/JX
마찬가지겠지만	마찬가지/NNG+이/VCP+겠/EP+지만/EC
축구도	축구/NNG+도/JX
하루아침에	하루아침/NNG+에/JKB
되는	되/VV+는/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.227.9.3
차근차근 쌓아 나갈 수밖에 없다.”

차근차근	차근차근/MAG
쌓아	쌓/VV+아/EC
나갈	나가/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.”	없/VA+다/EF+./SF+”/SS


