# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.187
metadata : {}


# id : NWRW1800000029.187.1.1
日 팬들도 ‘KARA 앓이’

日	日/SH
가수의	가수/NNG+의/JKG
갈등이	갈등/NNG+이/JKS
공들여	공들이/VV+어/EC
놓은	놓/VX+은/ETM
한류	한류/NNG
상승세에	상승세/NNG+에/JKB
찬물을	찬물/NNG+을/JKO
끼얹는	끼얹/VV+는/ETM
꼴”이라며	꼴/NNG+”/SS+이/VCP+라며/EC
“기획사와	“/SS+기획사/NNG+와/JC
연예인	연예인/NNG
모두	모두/MAG
자신의	자신/NNG+의/JKG
잇속만	잇속/NNG+만/JX
챙길	챙기/VV+ㄹ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
끊임없는	끊임없/VA+는/ETM
소통으로	소통/NNG+으로/JKB
신뢰를	신뢰/NNG+를/JKO
확보해야	확보/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.187.13.1
이문원 대중문화평론가는 “일본은 브랜드 자체에 호감을 갖고 꾸준한 신뢰를 보내는 시장임을 잊어선 안 된다”며 “만약 멤버들이 팀을 새로 꾸려도 기존에 누리던 인기를 그대로 누리기는 힘들 것”이라고 전망했다.

이문원	이문원/NNP
대중문화평론가는	대중문화/NNG+평론가/NNG+는/JX
“일본은	“/SS+일본/NNP+은/JX
브랜드	브랜드/NNG
자체에	자체/NNG+에/JKB
호감을	호감/NNG+을/JKO
갖고	갖/VV+고/EC
꾸준한	꾸준하/VA+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
보내는	보내/VV+는/ETM
시장임을	시장/NNG+이/VCP+ㅁ/ETN+을/JKO
잊어선	잊/VV+어서/EC+ㄴ/JX
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“만약	“/SS+만약/NNG
멤버들이	멤버/NNG+들/XSN+이/JKS
팀을	팀/NNG+을/JKO
새로	새로/MAG
꾸려도	꾸리/VV+어도/EC
기존에	기존/NNG+에/JKB
누리던	누리/VV+던/ETM
인기를	인기/NNG+를/JKO
그대로	그대로/MAG
누리기는	누리/VV+기/ETN+는/JX
힘들	힘들/VA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


