# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.385
metadata : {}


# id : NWRW1800000033.385.1.1
[대선 D-11]朴 “文 정권 잡으면 국민들 노선투쟁-편가르기에 시달릴 것”

[대선	[/SS+대선/NNG
박 후보는 서울 송파구 마천시장, 중랑구 상봉터널 입구 유세에서 “생활비, 아이들 교육비, 이자부담 등 돈 쓸 곳은 늘어나는데 경제가 점점 어려워지는 상황에서 다음 대통령에게 가장 시급한 과제가 무엇인가”라고 물으며 “한미 자유무역협정(FTA) 재협상인가, 제주 해군기지건설 중단인가.

박	박/NNP
후보는	후보/NNG+는/JX
서울	서울/NNP
송파구	송파구/NNP
마천시장,	마천시장/NNP+,/SP
중랑구	중랑구/NNP
상봉터널	상봉/NNP+터널/NNG
입구	입구/NNG
유세에서	유세/NNG+에서/JKB
“생활비,	“/SS+생활비/NNG+,/SP
아이들	아이/NNG+들/XSN
교육비,	교육비/NNG+,/SP
이자부담	이자/NNG+부담/NNG
등	등/NNB
돈	돈/NNG
쓸	쓰/VV+ㄹ/ETM
곳은	곳/NNG+은/JX
늘어나는데	늘어나/VV+는데/EC
경제가	경제/NNG+가/JKS
점점	점점/MAG
어려워지는	어렵/VA+어/EC+지/VX+는/ETM
상황에서	상황/NNG+에서/JKB
다음	다음/NNG
대통령에게	대통령/NNG+에게/JKB
가장	가장/MAG
시급한	시급하/VA+ㄴ/ETM
과제가	과제/NNG+가/JKS
무엇인가”라고	무엇/NP+이/VCP+ㄴ가/EF+”/SS+라고/JKQ
물으며	묻/VV+으며/EC
“한미	“/SS+한미/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
재협상인가,	재/XPN+협상/NNG+이/VCP+ㄴ가/EF+,/SP
제주	제주/NNP
해군기지건설	해군/NNG+기지/NNG+건설/NNG
중단인가.	중단/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000033.385.4.2
아니다.

아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.385.4.3
바로 민생을 챙기고 해결하는 것이다”라고 역설했다.

바로	바로/MAG
민생을	민생/NNG+을/JKO
챙기고	챙기/VV+고/EC
해결하는	해결/NNG+하/XSV+는/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
역설했다.	역설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.385.4.4
이어 그는 “(문 후보가 정권을 잡으면) 과거 참여정부 때보다 더 큰 노선투쟁과 편 가르기에 시달릴 것이다.

이어	이어/MAG
그는	그/NP+는/JX
“(문	“/SS+(/SS+문/NNP
후보가	후보/NNG+가/JKS
정권을	정권/NNG+을/JKO
잡으면)	잡/VV+으면/EC+)/SS
과거	과거/NNG
참여정부	참여/NNG+정부/NNG
때보다	때/NNG+보다/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
노선투쟁과	노선/NNG+투쟁/NNG+과/JC
편	편/NNG
가르기에	가르/VV+기/ETN+에/JKB
시달릴	시달리/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.385.4.5
민생은 하루가 급한데 그렇게 허송세월할 시간이 있느냐”라고 주장했다.

민생은	민생/NNG+은/JX
하루가	하루/NNG+가/JKS
급한데	급하/VA+ㄴ데/EC
그렇게	그렇/VA+게/EC
허송세월할	허송세월/NNG+하/XSV+ㄹ/ETM
시간이	시간/NNG+이/JKS
있느냐”라고	있/VA+느냐/EF+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.385.5.1
또 박 후보는 문 후보와 안 전 후보를 겨냥해 “변화를 가장한 무책임한 변화는 민생을 더욱 어렵게 만들고 국민에게 더 큰 좌절을 안길 뿐”이라며 “책임 있는 변화로 새로운 대한민국을 만드는 것은 오로지 여러분 손에 달려 있다”며 목소리를 높였다.

또	또/MAG
박	박/NNP
후보는	후보/NNG+는/JX
문	문/NNP
후보와	후보/NNG+와/JC
안	안/NNP
전	전/MMD
후보를	후보/NNG+를/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
“변화를	“/SS+변화/NNG+를/JKO
가장한	가장/NNG+하/XSV+ㄴ/ETM
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
변화는	변화/NNG+는/JX
민생을	민생/NNG+을/JKO
더욱	더욱/MAG
어렵게	어렵/VA+게/EC
만들고	만들/VV+고/EC
국민에게	국민/NNG+에게/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
좌절을	좌절/NNG+을/JKO
안길	안기/VV+ㄹ/ETM
뿐”이라며	뿐/NNB+”/SS+이/VCP+라며/EC
“책임	“/SS+책임/NNG
있는	있/VA+는/ETM
변화로	변화/NNG+로/JKB
새로운	새롭/VA+ㄴ/ETM
대한민국을	대한민국/NNP+을/JKO
만드는	만들/VV+는/ETM
것은	것/NNB+은/JX
오로지	오로지/MAG
여러분	여러분/NP
손에	손/NNG+에/JKB
달려	달리/VV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.385.5.2
그러면서 전날과 같이 중산층 비율 확대 등 민생 공약들을 열거했다.

그러면서	그러/VV+면서/EC
전날과	전날/NNG+과/JKB
같이	같이/MAG
중산층	중산/NNG+층/XSN
비율	비율/NNG
확대	확대/NNG
등	등/NNB
민생	민생/NNG
공약들을	공약/NNG+들/XSN+을/JKO
열거했다.	열거/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.385.5.3
“국민과의 약속을 반드시 지키는 ‘약속 대통령’이 돼 국민행복시대를 열겠다”고도 했다.

“국민과의	“/SS+국민/NNG+과/JKB+의/JKG
약속을	약속/NNG+을/JKO
반드시	반드시/MAG
지키는	지키/VV+는/ETM
‘약속	‘/SS+약속/NNG
대통령’이	대통령/NNG+’/SS+이/JKC
돼	되/VV+어/EC
국민행복시대를	국민/NNG+행복/NNG+시대/NNG+를/JKO
열겠다”고도	열/VV+겠/EP+다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.385.6.1
이어 박 후보는 경기 고양시 킨텍스에서 열린 ‘전국축산인 한마음 전진대회’에 참석해 사료구입자금 지원 확대 등 축산분야 공약을 제시했다.

이어	이어/MAG
박	박/NNP
후보는	후보/NNG+는/JX
경기	경기/NNP
고양시	고양시/NNP
킨텍스에서	킨텍스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘전국축산인	‘/SS+전국/NNG+축산인/NNG
한마음	한마음/NNG
전진대회’에	전진/NNG+대회/NNG+’/SS+에/JKB
참석해	참석/NNG+하/XSV+아/EC
사료구입자금	사료/NNG+구입/NNG+자금/NNG
지원	지원/NNG
확대	확대/NNG
등	등/NNB
축산분야	축산/NNG+분야/NNG
공약을	공약/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.385.6.2
그는 “축산업 지도자분들이 농림수산식품부를 농림축산식품부로 이름을 바꾸는 것을 제안했다”며 “축산업이 농업에서 차지하는 비중을 볼 때 타당한 건의라고 생각해 적극 검토하겠다”고 밝혔다.

그는	그/NP+는/JX
“축산업	“/SS+축산업/NNG
지도자분들이	지도자/NNG+분/NNB+들/XSN+이/JKS
농림수산식품부를	농림/NNG+수산/NNG+식품부/NNG+를/JKO
농림축산식품부로	농림/NNG+축산/NNG+식품부/NNG+로/JKB
이름을	이름/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
것을	것/NNB+을/JKO
제안했다”며	제안/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“축산업이	“/SS+축산업/NNG+이/JKS
농업에서	농업/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비중을	비중/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
타당한	타당하/VA+ㄴ/ETM
건의라고	건의/NNG+이/VCP+라고/EC
생각해	생각/NNG+하/XSV+아/EC
적극	적극/NNG
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.385.7.1
새누리당은 10일 오후 서울 광화문 세종문화회관 앞 광장에서 조직총괄본부가 영입한 단체 소속 인사 1만 명이 모인 대규모 지지 선언 행사를 열며 세몰이를 할 계획이다.

새누리당은	새누리당/NNP+은/JX
10일	10/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
광화문	광화문/NNP
세종문화회관	세종문화회관/NNP
앞	앞/NNG
광장에서	광장/NNG+에서/JKB
조직총괄본부가	조직/NNG+총괄/NNG+본부/NNG+가/JKS
영입한	영입/NNG+하/XSV+ㄴ/ETM
단체	단체/NNG
소속	소속/NNG
인사	인사/NNG
1만	1/SN+만/NR
명이	명/NNB+이/JKS
모인	모이/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
지지	지지/NNG
선언	선언/NNG
행사를	행사/NNG+를/JKO
열며	열/VV+며/EC
세몰이를	세몰이/NNG+를/JKO
할	하/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.385.8.1
한편 미국 시사주간 타임은 17일자에 ‘권력자의 딸(The Strongman’s Daughter)’이라는 제목의 커버스토리로 박 후보를 소개했다.

한편	한편/MAG
미국	미국/NNP
시사주간	시사/NNG+주간/NNG
타임은	타임/NNP+은/JX
17일자에	17/SN+일/NNB+자/NNG+에/JKB
‘권력자의	‘/SS+권력자/NNG+의/JKG
딸(The	딸/NNG+(/SS+The/SL
Strongman’s	Strongman/SL+’/SS+s/SL
Daughter)’이라는	Daughter/SL+)/SS+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
커버스토리로	커버스토리/NNG+로/JKB
박	박/NNP
후보를	후보/NNG+를/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.385.8.2
타임은 “앞서가고 있는 박 후보가 추격 중인 민주통합당 문재인 후보에 승리하기 위해서는 많은 유권자가 (그들이 기억하는) 과거를 잊거나 용서할 준비가 돼 있어야 한다”며 “그렇게 된다면 한국은 새로운 미래를 열어갈 수 있을 것”이라고 보도했다.

타임은	타임/NNP+은/JX
“앞서가고	“/SS+앞서가/VV+고/EC
있는	있/VX+는/ETM
박	박/NNP
후보가	후보/NNG+가/JKS
추격	추격/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보에	후보/NNG+에/JKB
승리하기	승리/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
많은	많/VA+은/ETM
유권자가	유권자/NNG+가/JKS
(그들이	(/SS+그/NP+들/XSN+이/JKS
기억하는)	기억/NNG+하/XSV+는/ETM+)/SS
과거를	과거/NNG+를/JKO
잊거나	잊/VV+거나/EC
용서할	용서/NNG+하/XSV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있어야	있/VX+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“그렇게	“/SS+그렇/VA+게/EC
된다면	되/VV+ㄴ다면/EC
한국은	한국/NNP+은/JX
새로운	새롭/VA+ㄴ/ETM
미래를	미래/NNG+를/JKO
열어갈	열/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.385.9.1
새누리당이 이날 커버스토리 제목을 ‘강력한 지도자의 딸’로 번역해 보도자료를 내자 누리꾼들은 “박정희 전 대통령은 강력한 지도자가 아닌 독재자”라고 비판하는 글을 올리기도 했다.

새누리당이	새누리당/NNP+이/JKS
이날	이날/NNG
커버스토리	커버스토리/NNG
제목을	제목/NNG+을/JKO
‘강력한	‘/SS+강력/NNG+하/XSA+ㄴ/ETM
지도자의	지도자/NNG+의/JKG
딸’로	딸/NNG+’/SS+로/JKB
번역해	번역/NNG+하/XSV+아/EC
보도자료를	보도/NNG+자료/NNG+를/JKO
내자	내/VV+자/EC
누리꾼들은	누리/NNG+꾼/XSN+들/XSN+은/JX
“박정희	“/SS+박정희/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
지도자가	지도자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
독재자”라고	독재자/NNG+”/SS+라고/JKQ
비판하는	비판/NNG+하/XSV+는/ETM
글을	글/NNG+을/JKO
올리기도	올리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


