# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.43
metadata : {}


# id : NWRW1800000030.43.1.1
中, 美·러 전유물이었던 우주정거장에 도전장

中,	中/SH+,/SP
주취안(酒泉)	주취안/NNP+(/SS+酒泉/SH+)/SS
우주발사기지에서	우주/NNG+발사/NNG+기지/NNG+에서/JKB
발사될	발사/NNG+되/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.43.4.2
톈궁 1호는 이미 '창정(長征)2호 F' 우주로켓에 장착돼 주취안기지 내 발사 구역으로 옮겨진 상태라고 신화통신은 전했다.

톈궁	톈궁/NNP
1호는	1/SN+호/NNB+는/JX
이미	이미/MAG
'창정(長征)2호	'/SS+창정/NNP+(/SS+長征/SH+)/SS+2/SN+호/NNB
F'	F/SL+'/SS
우주로켓에	우주/NNG+로켓/NNG+에/JKB
장착돼	장착/NNG+되/XSV+어/EC
주취안기지	주취안/NNP+기지/NNG
내	내/NNB
발사	발사/NNG
구역으로	구역/NNG+으로/JKB
옮겨진	옮기/VV+어/EC+지/VX+ㄴ/ETM
상태라고	상태/NNG+이/VCP+라고/EC
신화통신은	신화통신/NNP+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.43.5.1
중국은 당초 지난달 하순 톈궁 1호를 발사할 계획이었으나, 지난달 18일 우주과학실험용 위성 발사에 실패하면서 1개월가량 발사를 연기했다.

중국은	중국/NNP+은/JX
당초	당초/NNG
지난달	지난달/NNG
하순	하순/NNG
톈궁	톈궁/NNP
1호를	1/SN+호/NNB+를/JKO
발사할	발사/NNG+하/XSV+ㄹ/ETM
계획이었으나,	계획/NNG+이/VCP+었/EP+으나/EC+,/SP
18일	18/SN+일/NNB
우주과학실험용	우주/NNG+과학/NNG+실험/NNG+용/XSN
위성	위성/NNG
발사에	발사/NNG+에/JKB
실패하면서	실패/NNG+하/XSV+면서/EC
1개월가량	1/SN+개월/NNB+가량/XSN
발사를	발사/NNG+를/JKO
연기했다.	연기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.43.6.1
톈궁 1호는 중국이 자체 개발한 소형 우주정거장으로 뭉툭한 원통형에 무게는 8t가량이다.

톈궁	톈궁/NNP
1호는	1/SN+호/NNB+는/JX
중국이	중국/NNP+이/JKS
자체	자체/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
소형	소형/NNG
우주정거장으로	우주/NNG+정거장/NNG+으로/JKB
뭉툭한	뭉툭/MAG+하/XSA+ㄴ/ETM
원통형에	원통/NNG+형/XSN+에/JKB
무게는	무게/NNG+는/JX
8t가량이다.	8/SN+t/SW+가량/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.43.6.2
각종 관측·실험 장비가 실려 있는 실험실 모듈과 에너지원을 공급하는 동력 모듈, 우주선 도킹이 가능한 접속 장치 등으로 구성돼 있다.

각종	각종/NNG
관측·실험	관측/NNG+·/SP+실험/NNG
장비가	장비/NNG+가/JKS
실려	실리/VV+어/EC
있는	있/VX+는/ETM
실험실	실험실/NNG
모듈과	모듈/NNG+과/JC
에너지원을	에너지원/NNG+을/JKO
공급하는	공급/NNG+하/XSV+는/ETM
동력	동력/NNG
모듈,	모듈/NNG+,/SP
우주선	우주선/NNG
도킹이	도킹/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
접속	접속/NNG
장치	장치/NNG
등으로	등/NNB+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.43.6.3
수명은 2년이다.

수명은	수명/NNG+은/JX
2년이다.	2/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.43.7.1
중국은 톈궁 1호 발사 후 두달가량 발사 성공 여부를 점검한 뒤, 성공한 것으로 확인되면 오는 11월 말쯤 무인 우주선 선저우(神舟) 8호를 쏘아 올려 우주 공간에서 도킹을 시도할 계획이다.

중국은	중국/NNP+은/JX
톈궁	톈궁/NNP
1호	1/SN+호/NNB
발사	발사/NNG
후	후/NNG
두달가량	두/MMN+달/NNB+가량/XSN
성공	성공/NNG
여부를	여부/NNG+를/JKO
점검한	점검/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
성공한	성공/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인되면	확인/NNG+되/XSV+면/EC
오는	오/VV+는/ETM
11월	11/SN+월/NNB
말쯤	말/NNB+쯤/XSN
무인	무인/NNG
우주선	우주선/NNG
선저우(神舟)	선저우/NNP+(/SS+神舟/SH+)/SS
8호를	8/SN+호/NNB+를/JKO
쏘아	쏘/VV+아/EC
올려	올리/VV+어/EC
우주	우주/NNG
공간에서	공간/NNG+에서/JKB
도킹을	도킹/NNG+을/JKO
시도할	시도/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.43.7.2
도킹은 우주선이 초속 8㎞의 빠른 속도로 지구 궤도를 도는 우주정거장의 뒤에 접근해 속도를 일치시킨 뒤, 초당 10~50㎝씩 전진하며 접속장치를 맞추는 고난도의 기술이다.

도킹은	도킹/NNG+은/JX
우주선이	우주선/NNG+이/JKS
초속	초속/NNG
8㎞의	8/SN+㎞/SW+의/JKG
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
지구	지구/NNG
궤도를	궤도/NNG+를/JKO
도는	돌/VV+는/ETM
우주정거장의	우주/NNG+정거장/NNG+의/JKG
뒤에	뒤/NNG+에/JKB
접근해	접근/NNG+하/XSV+아/EC
속도를	속도/NNG+를/JKO
일치시킨	일치/NNG+시키/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
초당	초/NNG+당/XSN
10~50㎝씩	10/SN+~/SO+50/SN+㎝/SW+씩/XSN
전진하며	전진/NNG+하/XSV+며/EC
접속장치를	접속/NNG+장치/NNG+를/JKO
맞추는	맞추/VV+는/ETM
고난도의	고/XPN+난도/NNG+의/JKG
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.43.7.3
조그만 오차가 생겨도 추돌 사고가 발생하거나 두 비행체가 먼 거리로 떨어질 수 있다.

조그만	조그맣/VA+ㄴ/ETM
오차가	오차/NNG+가/JKS
생겨도	생기/VV+어도/EC
추돌	추돌/NNG
사고가	사고/NNG+가/JKS
발생하거나	발생/NNG+하/XSV+거나/EC
두	두/MMN
비행체가	비행체/NNG+가/JKS
먼	멀/VA+ㄴ/ETM
거리로	거리/NNG+로/JKB
떨어질	떨어지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.43.8.1
중국은 선저우 8호가 도킹에 성공하면 이어 유인 또는 무인 발사가 모두 가능한 선저우 9호와 유인우주선 선저우 10호 등이 차례로 발사돼 도킹 기술의 완성도를 높이고, 우주 유영도 시도한다는 일정을 잡고 있다.

중국은	중국/NNP+은/JX
선저우	선저우/NNP
8호가	8/SN+호/NNB+가/JKS
도킹에	도킹/NNG+에/JKB
성공하면	성공/NNG+하/XSV+면/EC
이어	이어/MAG
유인	유인/NNG
또는	또는/MAG
무인	무인/NNG
발사가	발사/NNG+가/JKS
모두	모두/MAG
가능한	가능/NNG+하/XSA+ㄴ/ETM
9호와	9/SN+호/NNB+와/JC
유인우주선	유인/NNG+우주선/NNG
10호	10/SN+호/NNB
등이	등/NNB+이/JKS
차례로	차례/NNG+로/JKB
발사돼	발사/NNG+되/XSV+어/EC
도킹	도킹/NNG
기술의	기술/NNG+의/JKG
완성도를	완성도/NNG+를/JKO
높이고,	높이/VV+고/EC+,/SP
우주	우주/NNG
유영도	유영/NNG+도/JX
시도한다는	시도/NNG+하/XSV+ㄴ다는/ETM
일정을	일정/NNG+을/JKO
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.43.9.1
이어 2015년 전에 우주과학기술 실험과 지구 관측 장비 등을 실은 톈궁 2호, 우주인의 중기(中期) 거주와 화물 우주선 도킹이 가능한 텐궁 3호 등을 순차적으로 쏘아 올리고, 최종적으로 오는 2020년 무게 60t 규모의 중형 우주정거장을 완성한다는 것이 중국의 목표이다.

이어	이어/MAG
2015년	2015/SN+년/NNB
전에	전/NNG+에/JKB
우주과학기술	우주/NNG+과학/NNG+기술/NNG
실험과	실험/NNG+과/JC
지구	지구/NNG
관측	관측/NNG
장비	장비/NNG
등을	등/NNB+을/JKO
실은	싣/VV+은/ETM
톈궁	톈궁/NNP
2호,	2/SN+호/NNB+,/SP
우주인의	우주인/NNG+의/JKG
중기(中期)	중기/NNG+(/SS+中期/SH+)/SS
거주와	거주/NNG+와/JC
화물	화물/NNG
우주선	우주선/NNG
도킹이	도킹/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
텐궁	텐궁/NNP
3호	3/SN+호/NNB
순차적으로	순차/NNG+적/XSN+으로/JKB
쏘아	쏘/VV+아/EC
올리고,	올리/VV+고/EC+,/SP
최종적으로	최종/NNG+적/XSN+으로/JKB
오는	오/VV+는/ETM
2020년	2020/SN+년/NNB
무게	무게/NNG
60t	60/SN+t/SW
규모의	규모/NNG+의/JKG
중형	중형/NNG
우주정거장을	우주/NNG+정거장/NNG+을/JKO
완성한다는	완성/NNG+하/XSV+ㄴ다는/ETM
것이	것/NNB+이/JKS
중국의	중국/NNP+의/JKG
목표이다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.43.10.1
장뤼첸(張履謙) 중국공정원 원사는 "우주정거장은 우주 개발에서 꼭 필요한 분야로, 한 국가의 우주 국력을 대표한다"면서 "지금 이 기술을 확보하지 않으면 중국의 우주 기술은 뒤처질 수밖에 없을 것"이라고 말했다.

장뤼첸(張履謙)	장뤼첸/NNP+(/SS+張履謙/SH+)/SS
중국공정원	중국/NNP+공정원/NNG
원사는	원사/NNG+는/JX
"우주정거장은	"/SS+우주/NNG+정거장/NNG+은/JX
우주	우주/NNG
개발에서	개발/NNG+에서/JKB
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
분야로,	분야/NNG+로/JKB+,/SP
한	한/MMN
국가의	국가/NNG+의/JKG
국력을	국력/NNG+을/JKO
대표한다"면서	대표/NNG+하/XSV+ㄴ다/EF+"/SS+면서/EC
"지금	"/SS+지금/MAG
이	이/MMD
기술을	기술/NNG+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
중국의	중국/NNP+의/JKG
기술은	기술/NNG+은/JX
뒤처질	뒤처지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없을	없/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.43.10.2
[그래픽] 중국 우주정거장 실험 프로젝트

[그래픽]	[/SS+그래픽/NNG+]/SS
중국	중국/NNP
우주정거장	우주/NNG+정거장/NNG
실험	실험/NNG
프로젝트	프로젝트/NNG


