# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.380
metadata : {}


# id : NWRW1800000046.380.1.1
"朴대통령 訪中 필요"… 열병식 참석은 의견 갈려

"朴대통령	"/SS+朴/SH+대통령/NNG
# id : NWRW1800000046.380.4.2
남궁영 한국외국어대 교수만 "안 가는 게 최선"이라고 했다.

남궁영	남궁영/NNP
한국외국어대	한국외국어대/NNP
교수만	교수/NNG+만/JX
"안	"/SS+안/MAG
가는	가/VV+는/ETM
게	거/NNB+이/JKS
최선"이라고	최선/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.4.3
그러나 열병식 참석에 대해선 '우려'의 목소리가 다소 컸다.

그러나	그러나/MAJ
열병식	열병식/NNG
참석에	참석/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
'우려'의	'/SS+우려/NNG+'/SS+의/JKG
목소리가	목소리/NNG+가/JKS
다소	다소/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.380.5.1
외교부 차관을 지낸 고려대 김성한 교수는 "열병식 참석이 일본에 의해 악용될 소지가 있다"고 했다.

외교부	외교부/NNG
차관을	차관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
고려대	고려대/NNP
김성한	김성한/NNP
교수는	교수/NNG+는/JX
"열병식	"/SS+열병식/NNG
참석이	참석/NNG+이/JKS
일본에	일본/NNP+에/JKB
의해	의하/VV+아/EC
악용될	악용/NNG+되/XSV+ㄹ/ETM
소지가	소지/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.5.2
자칫 한·중이 공동 반일(反日) 전선을 꾸리는 것으로 곡해될 여지가 있다는 것이다.

자칫	자칫/MAG
한·중이	한·중/NNP+이/JKS
공동	공동/NNG
반일(反日)	반일/NNG+(/SS+反日/SH+)/SS
전선을	전선/NNG+을/JKO
꾸리는	꾸리/VV+는/ETM
것으로	것/NNB+으로/JKB
곡해될	곡해/NNG+되/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.380.5.3
남궁 교수도 "미국이 좋아할 리 없다"며 "열병식 참석만은 절대 안 된다"고 했다.

남궁	남궁/NNP
교수도	교수/NNG+도/JX
"미국이	"/SS+미국/NNP+이/JKS
좋아할	좋아하/VA+ㄹ/ETM
리	리/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
"열병식	"/SS+열병식/NNG
참석만은	참석/NNG+만/JX+은/JX
절대	절대/MAG
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.5.4
반면 서울대 신성호 교수는 "(열병식에도) 화끈하게 참석하는 게 좋다"고 했다.

반면	반면/NNG
서울대	서울대/NNP
신성호	신성호/NNP
교수는	교수/NNG+는/JX
"(열병식에도)	"/SS+(/SS+열병식/NNG+에/JKB+도/JX+)/SS
화끈하게	화끈/MAG+하/XSA+게/EC
참석하는	참석/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋다"고	좋/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.6.1
주재우 경희대 교수는 열병식 대신 지난 12일 대형 폭발 사고가 난 톈진(天津)을 방문하는 대안을 제시했다.

주재우	주재우/NNP
경희대	경희대/NNP
교수는	교수/NNG+는/JX
열병식	열병식/NNG
대신	대신/NNG
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
대형	대형/NNG
폭발	폭발/NNG
사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
톈진(天津)을	톈진/NNP+(/SS+天津/SH+)/SS+을/JKO
방문하는	방문/NNG+하/XSV+는/ETM
대안을	대안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.6.2
주 교수는 "중국 인민들을 위로한다는 명분도 있고, 수출 차량 4000여 대가 전소되는 피해를 본 현대·기아차 상황도 살필 기회"라고 했다.

주	주/NNP
교수는	교수/NNG+는/JX
"중국	"/SS+중국/NNP
인민들을	인민/NNG+들/XSN+을/JKO
위로한다는	위로/NNG+하/XSV+ㄴ다는/ETM
명분도	명분/NNG+도/JX
있고,	있/VA+고/EC+,/SP
수출	수출/NNG
차량	차량/NNG
4000여	4000/SN+여/XSN
대가	대/NNB+가/JKS
전소되는	전소/NNG+되/XSV+는/ETM
피해를	피해/NNG+를/JKO
본	보/VV+ㄴ/ETM
현대·기아차	현대/NNP+·/SP+기아차/NNP
상황도	상황/NNG+도/JX
살필	살피/VV+ㄹ/ETM
기회"라고	기회/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.7.1
◇"임정 청사 재개관식 참석은 필수"

◇"임정	◇/SW+"/SS+임정/NNG
청사	청사/NNG
재개관식	재/XPN+개관식/NNG
참석은	참석/NNG+은/JX
필수"	필수/NNG+"/SS


# id : NWRW1800000046.380.8.1
정부는 다음 달 중국 전승절 즈음 열릴 예정인 상하이(上海) 임시정부 청사 재개관식에도 박 대통령이 참석하는 방안을 긍정적으로 검토 중이다.

정부는	정부/NNG+는/JX
다음	다음/NNG
달	달/NNG
중국	중국/NNP
전승절	전승절/NNG
즈음	즈음/NNB
열릴	열리/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
상하이(上海)	상하이/NNP+(/SS+上海/SH+)/SS
임시정부	임시/NNG+정부/NNG
청사	청사/NNG
재개관식에도	재/XPN+개관식/NNG+에/JKB+도/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
참석하는	참석/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.380.8.2
광복 70주년을 맞아 임정 청사 재개관식 자체가 의미 있는 행사인 데다 방중의 또 다른 명분도 될 수 있기 때문이다.

광복	광복/NNG
70주년을	70/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
임정	임정/NNG
청사	청사/NNG
재개관식	재/XPN+개관식/NNG
자체가	자체/NNG+가/JKS
의미	의미/NNG
있는	있/VA+는/ETM
행사인	행사/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
방중의	방중/NNG+의/JKG
또	또/MAG
다른	다른/MMD
명분도	명분/NNG+도/JX
될	되/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.380.9.1
전문가들도 "참석하는 게 좋다"는 의견이었다.

전문가들도	전문가/NNG+들/XSN+도/JX
"참석하는	"/SS+참석/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋다"는	좋/VA+다/EF+"/SS+는/ETM
의견이었다.	의견/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.380.9.2
박병광 국가안보전략연구원 동북아연구실장은 "역대 한국 대통령 가운데 상하이에 가지 않은 분은 박 대통령밖에 없다"며 "베이징만 간다면 시진핑(習近平) 주석만 바라보고 방중했다는 인상을 풍길 수 있다"고 했다.

박병광	박병광/NNP
국가안보전략연구원	국가안보전략연구원/NNP
동북아연구실장은	동북아/NNP+연구실장/NNG+은/JX
"역대	"/SS+역대/NNG
한국	한국/NNP
대통령	대통령/NNG
가운데	가운데/NNG
상하이에	상하이/NNP+에/JKB
가지	가/VV+지/EC
않은	않/VX+은/ETM
분은	분/NNB+은/JX
박	박/NNP
대통령밖에	대통령/NNG+밖에/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"베이징만	"/SS+베이징/NNP+만/JX
간다면	가/VV+ㄴ다면/EC
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
주석만	주석/NNG+만/JX
바라보고	바라보/VV+고/EC
방중했다는	방중/NNG+하/XSV+았/EP+다는/ETM
인상을	인상/NNG+을/JKO
풍길	풍기/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.9.3
다만 이상현 세종연구소 연구기획본부장은 "재개관식에 가되 한·중이 일본에 대해 역사 공동 전선을 펴는 인상을 주지 않도록 조심해야 한다"고 했다.

다만	다만/MAG
이상현	이상현/NNP
세종연구소	세종연구소/NNP
연구기획본부장은	연구/NNG+기획/NNG+본부장/NNG+은/JX
"재개관식에	"/SS+재/XPN+개관식/NNG+에/JKB
가되	가/VV+되/EC
한·중이	한·중/NNP+이/JKS
일본에	일본/NNP+에/JKB
대해	대하/VV+아/EC
역사	역사/NNG
공동	공동/NNG
전선을	전선/NNG+을/JKO
펴는	펴/VV+는/ETM
인상을	인상/NNG+을/JKO
주지	주/VV+지/EC
않도록	않/VX+도록/EC
조심해야	조심/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.10.1
◇"美 우려 해소할 조치 필요"

◇"美	◇/SW+"/SS+美/SH
우려	우려/NNG
해소할	해소/NNG+하/XSV+ㄹ/ETM
조치	조치/NNG
필요"	필요/NNG+"/SS


# id : NWRW1800000046.380.11.1
외교 당국은 이번 방중 기간에 중국과 단독 정상회담을 성사시켜 연내 한·중·일 3국 정상회의 개최라는 성과를 이끌어 내겠다는 계획인 것으로 전해졌다.

외교	외교/NNG
당국은	당국/NNG+은/JX
이번	이번/NNG
방중	방중/NNG
기간에	기간/NNG+에/JKB
중국과	중국/NNP+과/JKB
단독	단독/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
성사시켜	성사/NNG+시키/XSV+어/EC
연내	연내/NNG
한·중·일	한·중·일/NNP
3국	3국/NNG
정상회의	정상/NNG+회의/NNG
개최라는	개최/NNG+이/VCP+라는/ETM
성과를	성과/NNG+를/JKO
이끌어	이끌/VV+어/EC
내겠다는	내/VX+겠/EP+다는/ETM
계획인	계획/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.380.11.2
이는 동북아 지역의 안정을 위해 3국 정상회의가 필요하다고 보는 미국을 의식한 측면이 있다.

이는	이/NP+는/JX
동북아	동북아/NNP
지역의	지역/NNG+의/JKG
안정을	안정/NNG+을/JKO
위해	위하/VV+아/EC
3국	3국/NNG
정상회의가	정상/NNG+회의/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
보는	보/VV+는/ETM
미국을	미국/NNP+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.380.11.3
일부 전문가들은 이 밖에도 미국 조야(朝野)에 퍼진 한국의 '대중(對中) 경사론' 해소 차원에서 추가적 조치가 뒤따라야 한다고 했다.

일부	일부/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
이	이/MMD
밖에도	밖/NNG+에/JKB+도/JX
미국	미국/NNP
조야(朝野)에	조야/NNG+(/SS+朝野/SH+)/SS+에/JKB
퍼진	퍼지/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
'대중(對中)	'/SS+대중/NNG+(/SS+對中/SH+)/SS
경사론'	경사/NNG+론/XSN+'/SS
해소	해소/NNG
차원에서	차원/NNG+에서/JKB
추가적	추가/NNG+적/XSN
조치가	조치/NNG+가/JKS
뒤따라야	뒤따르/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.12.1
남궁 교수는 "이번에 북핵 문제와 관련해 한·미·중 간 공통분모를 찾는 게 급선무"라고 했다.

남궁	남궁/NNP
교수는	교수/NNG+는/JX
"이번에	"/SS+이번/NNG+에/JKB
북핵	북핵/NNG
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
한·미·중	한·미/NNP+·/SP+중/NNP
간	간/NNB
공통분모를	공통분모/NNG+를/JKO
찾는	찾/VV+는/ETM
게	거/NNB+이/JKS
급선무"라고	급선무/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.12.2
박병광 실장은 "맥아더 장군의 인천상륙작전 기념식을 정부 차원의 행사로 격상하는 방안을 검토해야 한다"고 말했다.

박병광	박병광/NNP
실장은	실장/NNG+은/JX
"맥아더	"/SS+맥아더/NNP
장군의	장군/NNG+의/JKG
인천상륙작전	인천/NNP+상륙/NNG+작전/NNG
기념식을	기념식/NNG+을/JKO
정부	정부/NNG
차원의	차원/NNG+의/JKG
행사로	행사/NNG+로/JKB
격상하는	격상/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토해야	검토/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.380.12.3
주재우 교수는 "사드(THAAD· 고고도미사일 방어 체계) 배치를 원하는 미국의 입장을 감안, 중국을 설득하는 노력이 필요하다"고 했다.

주재우	주재우/NNP
교수는	교수/NNG+는/JX
"사드(THAAD·	"/SS+사드/NNG+(/SS+THAAD/SL+·/SP
고고도미사일	고/XPN+고도/NNG+미사일/NNG
방어	방어/NNG
체계)	체계/NNG+)/SS
배치를	배치/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
미국의	미국/NNP+의/JKG
입장을	입장/NNG+을/JKO
감안,	감안/NNG+,/SP
중국을	중국/NNP+을/JKO
설득하는	설득/NNG+하/XSV+는/ETM
노력이	노력/NNG+이/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


