# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.262
metadata : {}


# id : NWRW1800000032.262.1.1
기출 문제·예상 문답 ‘실전처럼’

기출	기출/NNG
새로운	새롭/VA+ㄴ/ETM
시도를	시도/NNG+를/JKO
하기보다는	하/VV+기/ETN+보다/JKB+는/JX
기출문제와	기출문제/NNG+와/JC
대학별	대학/NNG+별/XSN
모의논술	모의/NNG+논술/NNG
문제를	문제/NNG+를/JKO
실제	실제/NNG
시험시간과	시험/NNG+시간/NNG+과/JC
분량에	분량/NNG+에/JKB
맞춰	맞추/VV+어/EC
실전처럼	실전/NNG+처럼/JKB
써보는	쓰/VV+어/EC+보/VX+는/ETM
것이	것/NNB+이/JKS
효율적이다.	효율/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000032.262.6.3
논술문을 쓴 뒤에는 학교 교사 등에게 첨삭을 받고, 첨삭된 내용을 바탕으로 오류를 고쳐 다시 써보거나 꼼꼼히 복기해야 한다.

논술문을	논술문/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
학교	학교/NNG
교사	교사/NNG
등에게	등/NNB+에게/JKB
첨삭을	첨삭/NNG+을/JKO
받고,	받/VV+고/EC+,/SP
첨삭된	첨삭/NNG+되/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
오류를	오류/NNG+를/JKO
고쳐	고치/VV+어/EC
다시	다시/MAG
써보거나	쓰/VV+어/EC+보/VX+거나/EC
꼼꼼히	꼼꼼히/MAG
복기해야	복기/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.262.6.4
이때 출제자의 의도를 파악하는 연습도 함께 하면 좋다.

이때	이때/NNG
출제자의	출제자/NNG+의/JKG
의도를	의도/NNG+를/JKO
파악하는	파악/NNG+하/XSV+는/ETM
연습도	연습/NNG+도/JX
함께	함께/MAG
하면	하/VV+면/EC
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000032.262.7.1
기존에 첨삭받은 자료가 있다면, 처음부터 훑어보면서 자주 지적받은 부분을 점검해보는 것도 도움이 된다.

기존에	기존/NNG+에/JKB
첨삭받은	첨삭/NNG+받/XSV+은/ETM
자료가	자료/NNG+가/JKS
있다면,	있/VA+다면/EC+,/SP
처음부터	처음/NNG+부터/JX
훑어보면서	훑어보/VV+면서/EC
자주	자주/MAG
지적받은	지적/NNG+받/XSV+은/ETM
부분을	부분/NNG+을/JKO
점검해보는	점검/NNG+하/XSV+아/EC+보/VX+는/ETM
것도	것/NNB+도/JX
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.262.7.2
지원 학교별로 나눠서 따로따로 준비하기보다는 논술 유형이나 출제 경향이 비슷한 대학끼리 묶어서 대비하거나, 가채점 결과 수능 최저학력기준을 충족하는 대학에 집중하는 편이 낫다.

지원	지원/NNG
학교별로	학교/NNG+별/XSN+로/JKB
나눠서	나누/VV+어서/EC
따로따로	따로따로/MAG
준비하기보다는	준비/NNG+하/XSV+기/ETN+보다/JKB+는/JX
논술	논술/NNG
유형이나	유형/NNG+이나/JC
출제	출제/NNG
경향이	경향/NNG+이/JKS
비슷한	비슷하/VA+ㄴ/ETM
대학끼리	대학/NNG+끼리/XSN
묶어서	묶/VV+어서/EC
대비하거나,	대비/NNG+하/XSV+거나/EC+,/SP
가채점	가/XPN+채점/NNG
결과	결과/NNG
수능	수능/NNG
최저학력기준을	최저/NNG+학력/NNG+기준/NNG+을/JKO
충족하는	충족/NNG+하/XSV+는/ETM
대학에	대학/NNG+에/JKB
집중하는	집중/NNG+하/XSV+는/ETM
편이	편/NNB+이/JKS
낫다.	낫/VA+다/EF+./SF


# id : NWRW1800000032.262.7.3
곽영주 서울 석관고 3학년 부장교사는 “논술 실력은 단기간에 올릴 수 없기 때문에 불안해하며 학원에 다니는 것보다 스스로 그동안 해왔던 내용을 정리하는 시간을 갖는 것이 필요하다”며 “지원 대학의 기출문제 유형을 파악해 실제 논술 시험처럼 연습하고, 첨삭을 통해 부족한 부분을 보충하는 것이 도움이 된다”고 말했다.

곽영주	곽영주/NNP
서울	서울/NNP
석관고	석관고/NNP
3학년	3/SN+학년/NNG
부장교사는	부장/NNG+교사/NNG+는/JX
“논술	“/SS+논술/NNG
실력은	실력/NNG+은/JX
단기간에	단기간/NNG+에/JKB
올릴	올리/VV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
불안해하며	불안/NNG+하/XSA+아/EC+하/VX+며/EC
학원에	학원/NNG+에/JKB
다니는	다니/VV+는/ETM
것보다	것/NNB+보다/JKB
스스로	스스로/MAG
그동안	그동안/NNG
해왔던	하/VV+아/EC+오/VX+았/EP+던/ETM
내용을	내용/NNG+을/JKO
정리하는	정리/NNG+하/XSV+는/ETM
시간을	시간/NNG+을/JKO
갖는	갖/VV+는/ETM
것이	것/NNB+이/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
“지원	“/SS+지원/NNG
대학의	대학/NNG+의/JKG
기출문제	기출문제/NNG
유형을	유형/NNG+을/JKO
파악해	파악/NNG+하/XSV+아/EC
실제	실제/NNG
논술	논술/NNG
시험처럼	시험/NNG+처럼/JKB
연습하고,	연습/NNG+하/XSV+고/EC+,/SP
첨삭을	첨삭/NNG+을/JKO
통해	통하/VV+아/EC
부족한	부족/NNG+하/XSA+ㄴ/ETM
부분을	부분/NNG+을/JKO
보충하는	보충/NNG+하/XSV+는/ETM
도움이	도움/NNG+이/JKC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.262.8.1
자연계열 수학 논술의 경우는 문제를 푸는 형태가 많아 교과서에 있는 다양한 유형의 문제를 논리정연하고 꼼꼼하게 푸는 연습을 해둬야 한다.

자연계열	자연/NNG+계열/NNG
수학	수학/NNG
논술의	논술/NNG+의/JKG
경우는	경우/NNG+는/JX
문제를	문제/NNG+를/JKO
푸는	풀/VV+는/ETM
형태가	형태/NNG+가/JKS
많아	많/VA+아/EC
교과서에	교과서/NNG+에/JKB
있는	있/VA+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
유형의	유형/NNG+의/JKG
논리정연하고	논리정연하/VA+고/EC
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
연습을	연습/NNG+을/JKO
해둬야	하/VV+아/EC+두/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.262.8.2
과학 논술은 관련 개념과 원리를 정확하게 이해한 뒤 실생활과 연결해보는 것이 좋다.

과학	과학/NNG
논술은	논술/NNG+은/JX
관련	관련/NNG
개념과	개념/NNG+과/JC
원리를	원리/NNG+를/JKO
정확하게	정확/NNG+하/XSA+게/EC
이해한	이해/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
실생활과	실생활/NNG+과/JKB
연결해보는	연결/NNG+하/XSV+아/EC+보/VX+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000032.262.9.1
면접에는 원서 접수 때 제출했던 자기소개서나 학업계획서 등 서류를 확인하는 과정이 포함되기 때문에, 이 서류들을 바탕으로 면접관이 물어볼 질문을 예상해 답변 연습을 하는 것이 좋다.

면접에는	면접/NNG+에/JKB+는/JX
원서	원서/NNG
접수	접수/NNG
때	때/NNG
제출했던	제출/NNG+하/XSV+았/EP+던/ETM
자기소개서나	자기소개서/NNG+나/JC
학업계획서	학업/NNG+계획서/NNG
등	등/NNB
서류를	서류/NNG+를/JKO
확인하는	확인/NNG+하/XSV+는/ETM
과정이	과정/NNG+이/JKS
포함되기	포함/NNG+되/XSV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
이	이/MMD
서류들을	서류/NNG+들/XSN+을/JKO
바탕으로	바탕/NNG+으로/JKB
면접관이	면접관/NNG+이/JKS
물어볼	물어보/VV+ㄹ/ETM
질문을	질문/NNG+을/JKO
예상해	예상/NNG+하/XSV+아/EC
답변	답변/NNG
연습을	연습/NNG+을/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000032.262.9.2
또 심층면접은 전공 관련 지식을 물어보기 때문에, 대학 누리집을 통해 지원 학과에서 배우는 내용을 알아보는 등 전공 관련 정보를 파악해둬야 한다.

또	또/MAG
심층면접은	심층/NNG+면접/NNG+은/JX
전공	전공/NNG
관련	관련/NNG
지식을	지식/NNG+을/JKO
물어보기	물어보/VV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
대학	대학/NNG
누리집을	누리집/NNG+을/JKO
통해	통하/VV+아/EC
지원	지원/NNG
학과에서	학과/NNG+에서/JKB
배우는	배우/VV+는/ETM
내용을	내용/NNG+을/JKO
알아보는	알아보/VV+는/ETM
등	등/NNB
정보를	정보/NNG+를/JKO
파악해둬야	파악/NNG+하/XSV+아/EC+두/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.262.9.3
면접도 교사나 친구들과 함께 실제 질문을 하고 답을 하는 연습을 해두면 도움이 된다.

면접도	면접/NNG+도/JX
교사나	교사/NNG+나/JC
친구들과	친구/NNG+들/XSN+과/JKB
함께	함께/MAG
실제	실제/NNG
질문을	질문/NNG+을/JKO
하고	하/VV+고/EC
답을	답/NNG+을/JKO
하는	하/VV+는/ETM
연습을	연습/NNG+을/JKO
해두면	하/VV+아/EC+두/VX+면/EC
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.262.9.4
유성룡 티치미 대학진학연구소장은 “제출한 서류의 사실관계를 파악하는 일반면접에서는 진솔한 자세가, 심층면접에서는 기출문제를 바탕으로 관련 지식을 정확히 설명하는 것이 중요하다”며 “잘 아는 것도 중요하지만 면접관에게 자신의 의사를 정확히 전달할 수 있도록 직접 소리를 내 답변하는 연습을 하면 좋다”고 말했다.

유성룡	유성룡/NNP
티치미	티치미/NNP
대학진학연구소장은	대학/NNG+진학/NNG+연구소장/NNG+은/JX
“제출한	“/SS+제출/NNG+하/XSV+ㄴ/ETM
서류의	서류/NNG+의/JKG
사실관계를	사실/NNG+관계/NNG+를/JKO
파악하는	파악/NNG+하/XSV+는/ETM
일반면접에서는	일반/NNG+면접/NNG+에서/JKB+는/JX
진솔한	진솔하/VA+ㄴ/ETM
자세가,	자세/NNG+가/JKS+,/SP
심층면접에서는	심층/NNG+면접/NNG+에서/JKB+는/JX
기출문제를	기출문제/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
관련	관련/NNG
지식을	지식/NNG+을/JKO
정확히	정확히/MAG
설명하는	설명/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다”며	중요/NNG+하/XSA+다/EF+”/SS+며/EC
“잘	“/SS+잘/MAG
아는	알/VV+는/ETM
것도	것/NNB+도/JX
중요하지만	중요/NNG+하/XSA+지만/EC
면접관에게	면접관/NNG+에게/JKB
자신의	자신/NNG+의/JKG
의사를	의사/NNG+를/JKO
전달할	전달/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
직접	직접/MAG
소리를	소리/NNG+를/JKO
내	내/VV+어/EC
답변하는	답변/NNG+하/XSV+는/ETM
연습을	연습/NNG+을/JKO
하면	하/VV+면/EC
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


