# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.69
metadata : {}


# id : NWRW1800000030.69.1.1
야, 방학이다… 와, 음악회다… 음, 다채롭네

야,	야/IC+,/SP
협주곡'(바이올린	협주곡/NNG+'/SS+(/SS+바이올린/NNG
피호영)과	피호영/NNP+)/SS+과/JC
'헤브리디스	'/SS+헤브리디스/NNP
서곡',	서곡/NNG+'/SS+,/SP
베토벤의	베토벤/NNP+의/JKG
'교향곡	'/SS+교향곡/NNG
제3번(영웅)'을	제/XPN+3/SN+번/NNB+(/SS+영웅/NNP+)/SS+'/SS+을/JKO
연주한다.	연주/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.9.1
◆국악 공연도

◆국악	◆/SW+국악/NNG
공연도	공연/NNG+도/JX


# id : NWRW1800000030.69.10.1
서울시청소년국악관현악단은 다음 달 10일 오후 7시 30분 세종문화회관 대극장에서 민요·색소폰·팝페라·대금·무용·타악을 고루 맛볼 수 있는 '클릭! 국악속으로'를 개최한다.

서울시청소년국악관현악단은	서울시청소년국악관현악단/NNP+은/JX
다음	다음/NNG
달	달/NNG
10일	10/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
30분	30/SN+분/NNB
세종문화회관	세종문화회관/NNP
대극장에서	대/XPN+극장/NNG+에서/JKB
민요·색소폰·팝페라·대금·무용·타악을	민요/NNG+·/SP+색소폰/NNG+·/SP+팝페라/NNG+·/SP+대금/NNG+·/SP+무용/NNG+·/SP+타악/NNG+을/JKO
고루	고루/MAG
맛볼	맛보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'클릭!	'/SS+클릭/NNG+!/SF
국악속으로'를	국악/NNG+속/NNG+으로/JKB+'/SS+를/JKO
개최한다.	개최/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.10.2
대금 명인 이생강, 탤런트 양금석, 팝페라 가수 카이, 색소폰 연주자 김진수 등이 출연해 대금산조, 민요 등 정통 국악과 '오 솔레미오' '석양의 무법자' ost 등을 섞어 무대를 꾸민다.

대금	대금/NNG
명인	명인/NNG
이생강,	이생강/NNP+,/SP
탤런트	탤런트/NNG
양금석,	양금석/NNP+,/SP
팝페라	팝페라/NNG
가수	가수/NNG
카이,	카이/NNP+,/SP
색소폰	색소폰/NNG
연주자	연주자/NNG
김진수	김진수/NNP
등이	등/NNB+이/JKS
출연해	출연/NNG+하/XSV+아/EC
대금산조,	대금/NNG+산조/NNG+,/SP
민요	민요/NNG
등	등/NNB
정통	정통/NNG
국악과	국악/NNG+과/JC
'오	'/SS+오/NNP
솔레미오'	솔레미오/NNP+'/SS
'석양의	'/SS+석양/NNG+의/JKG
무법자'	무법자/NNG+'/SS
ost	ost/SL
등을	등/NNB+을/JKO
섞어	섞/VV+어/EC
무대를	무대/NNG+를/JKO
꾸민다.	꾸미/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.11.1
국내 최고(最古) 국악관현악단인 서울시국악관현악단도 다음 달 9일 오후 7시 30분 같은 곳에서 여름방학 프로그램인 '소리역사 여행'을 연다.

국내	국내/NNG
최고(最古)	최고/NNG+(/SS+最古/SH+)/SS
국악관현악단인	국악/NNG+관현악단/NNG+이/VCP+ㄴ/ETM
서울시국악관현악단도	서울시국악관현악단/NNP+도/JX
다음	다음/NNG
달	달/NNG
9일	9/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
30분	30/SN+분/NNB
같은	같/VA+은/ETM
곳에서	곳/NNG+에서/JKB
여름방학	여름/NNG+방학/NNG
프로그램인	프로그램/NNG+이/VCP+ㄴ/ETM
'소리역사	'/SS+소리/NNG+역사/NNG
여행'을	여행/NNG+'/SS+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.11.2
유네스코인류무형문화유산 중 한국을 대표하는 종묘제례악·판소리·가곡·처용무를 볼 수 있다.

유네스코인류무형문화유산	유네스코/NNP+인류/NNG+무형/NNG+문화유산/NNG
중	중/NNB
한국을	한국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
종묘제례악·판소리·가곡·처용무를	종묘/NNG+제례악/NNG+·/SP+판소리/NNG+·/SP+가곡/NNG+·/SP+처용무/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.69.12.1
서울남산국악당에서는 '2011 진짜 재미있는 국악'이 다음 달 17~21일 공연된다.

서울남산국악당에서는	서울남산국악당/NNP+에서/JKB+는/JX
'2011	'/SS+2011/SN
진짜	진짜/MAG
재미있는	재미있/VA+는/ETM
국악'이	국악/NNG+'/SS+이/JKS
다음	다음/NNG
달	달/NNG
17~21일	17/SN+~/SO+21/SN+일/NNB
공연된다.	공연/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.12.2
브리튼의 '청소년을 위한 관현악입문'과 비발디의 '사계'를 국악 악기로 그려낸다.

브리튼의	브리튼/NNP+의/JKG
'청소년을	'/SS+청소년/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
관현악입문'과	관현악/NNG+입문/NNG+'/SS+과/JC
비발디의	비발디/NNP+의/JKG
'사계'를	'/SS+사계/NNP+'/SS+를/JKO
국악	국악/NNG
악기로	악기/NNG+로/JKB
그려낸다.	그리/VV+어/EC+내/VX+ㄴ다/EF+./SF


