# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.397
metadata : {}


# id : NWRW1800000028.397.1.1
사람도 차도 꽁꽁 묶인 ‘도심속 섬’

사람도	사람/NNG+도/JX
약이다)’라고	약/NNG+이/VCP+다/EF+)/SS+’/SS+라고/JKQ
적힌	적히/VV+ㄴ/ETM
팻말을	팻말/NNG+을/JKO
들고	들/VV+고/EC
서	서/VV+어/EC
있다가	있/VX+다가/EC
경호구역	경호/NNG+구역/NNG
밖으로	밖/NNG+으로/JKB
쫓겨났다.	쫓겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.397.4.5
경찰은 “1인시위가 행사를 방해할 염려가 있어 경호안전특별법에 의해 안전구역 밖으로 이동 조처하고 있다”고 설명했다.

경찰은	경찰/NNG+은/JX
“1인시위가	“/SS+1/SN+인/NNG+시위/NNG+가/JKS
행사를	행사/NNG+를/JKO
방해할	방해/NNG+하/XSV+ㄹ/ETM
염려가	염려/NNG+가/JKS
있어	있/VA+어/EC
경호안전특별법에	경호/NNG+안전/NNG+특별법/NNG+에/JKB
의해	의하/VV+아/EC
안전구역	안전/NNG+구역/NNG
밖으로	밖/NNG+으로/JKB
이동	이동/NNG
조처하고	조처/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.397.5.1
이날 오전 11시께에는 김아무개(38)씨가 “G20 정상회의에 반대한다.

이날	이날/NNG
오전	오전/NNG
11시께에는	11/SN+시/NNB+께/XSN+에/JKB+는/JX
김아무개(38)씨가	김/NNP+아무개/NP+(/SS+38/SN+)/SS+씨/NNB+가/JKS
“G20	“/SS+G/SL+20/SN
정상회의에	정상/NNG+회의/NNG+에/JKB
반대한다.	반대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.397.5.2
이명박 정부 규탄한다”라고 외치며 몸에 시너를 붓고 분신을 시도하다 경비요원들의 제지를 받고 서울 강남경찰서로 연행됐다.

이명박	이명박/NNP
정부	정부/NNG
규탄한다”라고	규탄/NNG+하/XSV+ㄴ다/EF+”/SS+라고/JKQ
외치며	외치/VV+며/EC
몸에	몸/NNG+에/JKB
시너를	시너/NNG+를/JKO
붓고	붓/VV+고/EC
분신을	분신/NNG+을/JKO
시도하다	시도/NNG+하/XSV+다/EC
경비요원들의	경비/NNG+요원/NNG+들/XSN+의/JKG
제지를	제지/NNG+를/JKO
받고	받/VV+고/EC
서울	서울/NNP
강남경찰서로	강남경찰서/NNP+로/JKB
연행됐다.	연행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.397.5.3
경찰은 “직업과 주거지가 분명하지 않은 여성으로, 조사과정에서 정신이상 증세가 보여 응급의료기관으로 이송했다”고 밝혔다.

경찰은	경찰/NNG+은/JX
“직업과	“/SS+직업/NNG+과/JC
주거지가	주거지/NNG+가/JKS
분명하지	분명/MAG+하/XSA+지/EC
않은	않/VX+은/ETM
여성으로,	여성/NNG+으로/JKB+,/SP
조사과정에서	조사/NNG+과정/NNG+에서/JKB
정신이상	정신/NNG+이상/NNG
증세가	증세/NNG+가/JKS
보여	보이/VV+어/EC
응급의료기관으로	응급/NNG+의료/NNG+기관/NNG+으로/JKB
이송했다”고	이송/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.397.6.1
삼엄한 경비로 인한 시민들의 불편 호소도 계속됐다.

삼엄한	삼엄하/VA+ㄴ/ETM
경비로	경비/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
시민들의	시민/NNG+들/XSN+의/JKG
불편	불편/NNG
호소도	호소/NNG+도/JX
계속됐다.	계속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.397.6.2
이날 인터넷 트위터에는 “환기를 하려고 회사 창문을 열었더니, 경찰이 건너편 호텔에 G20 인사들이 숙박하고 있다며 창문을 닫으라고 연락해왔다.

이날	이날/NNG
인터넷	인터넷/NNG
트위터에는	트위터/NNP+에/JKB+는/JX
“환기를	“/SS+환기/NNG+를/JKO
하려고	하/VV+려고/EC
회사	회사/NNG
창문을	창문/NNG+을/JKO
열었더니,	열/VV+었/EP+더니/EC+,/SP
경찰이	경찰/NNG+이/JKS
건너편	건너편/NNG
호텔에	호텔/NNG+에/JKB
G20	G/SL+20/SN
인사들이	인사/NNG+들/XSN+이/JKS
숙박하고	숙박/NNG+하/XSV+고/EC
있다며	있/VX+다며/EC
닫으라고	닫/VV+으라고/EC
연락해왔다.	연락/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.397.6.3
옥상까지 출입금지를 시키고 너무하다” 등 코엑스 주변 직장인들의 불만이 쉴 새 없이 올라왔다.

옥상까지	옥상/NNG+까지/JX
출입금지를	출입/NNG+금지/NNG+를/JKO
시키고	시키/VV+고/EC
너무하다”	너무/MAG+하/XSA+다/EF+”/SS
등	등/NNB
코엑스	코엑스/NNP
주변	주변/NNG
직장인들의	직장인/NNG+들/XSN+의/JKG
불만이	불만/NNG+이/JKS
쉴	쉬/VV+ㄹ/ETM
새	새/NNG
없이	없이/MAG
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.397.7.1
이날 코엑스몰의 상점들은 대부분 문을 닫았고, 일부 대형 브랜드와 프랜차이즈 매장들만 문을 열었다.

이날	이날/NNG
코엑스몰의	코엑스몰/NNP+의/JKG
상점들은	상점/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
문을	문/NNG+을/JKO
닫았고,	닫/VV+았/EP+고/EC+,/SP
일부	일부/NNG
대형	대형/NNG
브랜드와	브랜드/NNG+와/JC
프랜차이즈	프랜차이즈/NNG
매장들만	매장/NNG+들/XSN+만/JX
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.397.7.2
한 화장품 가게 종업원은 “회사 방침 때문에 문을 열었는데 매출이 크게 줄었다.

한	한/MMN
화장품	화장품/NNG
가게	가게/NNG
종업원은	종업원/NNG+은/JX
“회사	“/SS+회사/NNG
방침	방침/NNG
때문에	때문/NNB+에/JKB
문을	문/NNG+을/JKO
열었는데	열/VV+었/EP+는데/EC
매출이	매출/NNG+이/JKS
크게	크/VA+게/EC
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.397.7.3
내일은 거의 모든 매장이 문을 닫는다”고 전했다.

내일은	내일/NNG+은/JX
거의	거의/MAG
모든	모든/MMN
매장이	매장/NNG+이/JKS
문을	문/NNG+을/JKO
닫는다”고	닫/VV+는다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.397.8.1
행사장 주변 영동대로와 테헤란로는 우려했던 것과 달리 지나는 차량이 크게 줄어 한산했다.

행사장	행사장/NNG
주변	주변/NNG
영동대로와	영동대로/NNP+와/JC
테헤란로는	테헤란로/NNP+는/JX
우려했던	우려/NNG+하/XSV+았/EP+던/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
지나는	지나/VV+는/ETM
차량이	차량/NNG+이/JKS
크게	크/VA+게/EC
줄어	줄/VV+어/EC
한산했다.	한산하/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.397.8.2
경찰청은 이날 “아침 7~9시 사이의 교통량을 측정한 결과, 지난주 목요일에 견줘 서울 전체 교통량이 3%(1만2107대) 줄었고 강남 지역은 7.4%(1만967대) 줄었다”고 밝혔다.

경찰청은	경찰청/NNG+은/JX
이날	이날/NNG
“아침	“/SS+아침/NNG
7~9시	7/SN+~/SO+9/SN+시/NNB
사이의	사이/NNG+의/JKG
교통량을	교통량/NNG+을/JKO
측정한	측정/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
지난주	지난주/NNG
목요일에	목요일/NNG+에/JKB
견줘	견주/VV+어/EC
서울	서울/NNP
전체	전체/NNG
교통량이	교통량/NNG+이/JKS
3%(1만2107대)	3/SN+%/SW+(/SS+1/SN+만/NR+2107/SN+대/NNB+)/SS
줄었고	줄/VV+었/EP+고/EC
강남	강남/NNP
지역은	지역/NNG+은/JX
7.4%(1만967대)	7/SN+./SP+4/SN+%/SW+(/SS+1/SN+만/NR+967/SN+대/NNB+)/SS
줄었다”고	줄/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.397.8.3
경찰은 “시민들이 자율2부제에 적극적으로 참여해 전반적으로 교통량이 줄어든 것 같다”고 설명했다.

경찰은	경찰/NNG+은/JX
“시민들이	“/SS+시민/NNG+들/XSN+이/JKS
자율2부제에	자율/NNG+2/SN+부제/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
참여해	참여/NNG+하/XSV+아/EC
전반적으로	전반/NNG+적/XSN+으로/JKB
교통량이	교통량/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.397.9.1
한편 코엑스 주변은 12일 0시부터 밤 10시까지 일반인들의 출입이 통제된다.

한편	한편/MAG
코엑스	코엑스/NNP
주변은	주변/NNG+은/JX
12일	12/SN+일/NNB
0시부터	0/SN+시/NNB+부터/JX
밤	밤/NNG
10시까지	10/SN+시/NNB+까지/JX
일반인들의	일반인/NNG+들/XSN+의/JKG
출입이	출입/NNG+이/JKS
통제된다.	통제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.397.9.2
행사장을 둘러싸고 있는 아셈로와 봉은사로는 1개 차로를 제외하고 모두 통제되고, 영동대로와 테헤란로는 차로의 절반을 이용할 수 없다.

행사장을	행사장/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
있는	있/VX+는/ETM
아셈로와	아셈로/NNP+와/JC
봉은사로는	봉은사로/NNP+는/JX
1개	1/SN+개/NNB
차로를	차로/NNG+를/JKO
제외하고	제외/NNG+하/XSV+고/EC
모두	모두/MAG
통제되고,	통제/NNG+되/XSV+고/EC+,/SP
영동대로와	영동대로/NNP+와/JC
테헤란로는	테헤란로/NNP+는/JX
차로의	차로/NNG+의/JKG
절반을	절반/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.397.9.3
봉은사로를 지나는 시내버스는 주변도로로 우회하고 지하철 2호선도 삼성역에선 정차하지 않는다.

봉은사로를	봉은사로/NNP+를/JKO
지나는	지나/VV+는/ETM
시내버스는	시내버스/NNG+는/JX
주변도로로	주변/NNG+도로/NNG+로/JKB
우회하고	우회/NNG+하/XSV+고/EC
지하철	지하철/NNG
2호선도	2/SN+호선/NNB+도/JX
삼성역에선	삼성역/NNP+에서/JKB+ㄴ/JX
정차하지	정차/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


