# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.179
metadata : {}


# id : NWRW1800000045.179.1.1
5일밤 보름달 휘영청 어디서나 소원 비세요

5일밤	5/SN+일/NNB+밤/NNG
8분의	8/SN+분/XSN+의/JKG
3	3/SN
이하이면	이하/NNG+이/VCP+면/EC
달을	달/NNG+을/JKO
보기에	보/VV+기/ETN+에/JKB
좋은	좋/VA+은/ETM
날씨로	날씨/NNG+로/JKB
본다”며	보/VV+ㄴ다/EF+”/SS+며/EC
“5일에는	“/SS+5/SN+일/NNB+에/JKB+는/JX
3을	3/SN+을/JKO
넘지	넘/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
예측된다”고	예측/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.179.4.2
이번 보름달은 음력 기준으로 올 한 해 뜨는 12번의 보름달 중 가장 작은 크기로, 가장 큰 보름달이 될 9월 27일 추석(음력 8월 15일)보다 약 14% 작다.

이번	이번/NNG
보름달은	보름달/NNG+은/JX
음력	음력/NNG
기준으로	기준/NNG+으로/JKB
올	올/NNG
한	한/MMN
해	해/NNB
뜨는	뜨/VV+는/ETM
12번의	12/SN+번/NNB+의/JKG
보름달	보름달/NNG
중	중/NNB
가장	가장/MAG
작은	작/VA+은/ETM
크기로,	크기/NNG+로/JKB+,/SP
큰	크/VA+ㄴ/ETM
보름달이	보름달/NNG+이/JKC
될	되/VV+ㄹ/ETM
9월	9/SN+월/NNB
27일	27/SN+일/NNB
추석(음력	추석/NNG+(/SS+음력/NNG
8월	8/SN+월/NNB
15일)보다	15/SN+일/NNB+)/SS+보다/JKB
약	약/MMA
14%	14/SN+%/SW
작다.	작/VA+다/EF+./SF


# id : NWRW1800000045.179.5.1
5일 보름달이 뜨는 시각은 강릉 오후 6시 1분, 부산 오후 6시 2분, 대전 오후 6시 8분, 목포 오후 6시 13분.

5일	5/SN+일/NNB
보름달이	보름달/NNG+이/JKS
뜨는	뜨/VV+는/ETM
시각은	시각/NNG+은/JX
강릉	강릉/NNP
오후	오후/NNG
6시	6/SN+시/NNB
1분,	1/SN+분/NNB+,/SP
부산	부산/NNP
2분,	2/SN+분/NNB+,/SP
대전	대전/NNP
8분,	8/SN+분/NNB+,/SP
목포	목포/NNP
13분.	13/SN+분/NNB+./SF


# id : NWRW1800000045.179.5.2
서울에서는 오후 6시 9분에 달이 뜨고 6일 0시 36분에 가장 높은 곳에 이를 것으로 보인다.

서울에서는	서울/NNP+에서/JKB+는/JX
오후	오후/NNG
6시	6/SN+시/NNB
9분에	9/SN+분/NNB+에/JKB
달이	달/NNG+이/JKS
뜨고	뜨/VV+고/EC
6일	6/SN+일/NNB
0시	0/SN+시/NNB
36분에	36/SN+분/NNB+에/JKB
가장	가장/MAG
높은	높/VA+은/ETM
곳에	곳/NNG+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.179.6.1
4일에는 북서쪽에서 내려온 찬 공기의 영향으로 아침 최저기온이 영하 8도∼영하 1도에 머물고, 바람도 약간 강하게 불어 체감온도는 더 낮을 것으로 전망된다.

4일에는	4/SN+일/NNB+에/JKB+는/JX
북서쪽에서	북서쪽/NNG+에서/JKB
내려온	내려오/VV+ㄴ/ETM
찬	차/VA+ㄴ/ETM
공기의	공기/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
아침	아침/NNG
최저기온이	최저/NNG+기온/NNG+이/JKS
영하	영하/NNG
8도∼영하	8/SN+도/NNB+∼/SO+영하/NNG
1도에	1/SN+도/NNB+에/JKB
머물고,	머물/VV+고/EC+,/SP
바람도	바람/NNG+도/JX
약간	약간/MAG
강하게	강하/VA+게/EC
불어	불/VV+어/EC
체감온도는	체감/NNG+온도/NNG+는/JX
더	더/MAG
낮을	낮/VA+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.179.6.2
낮 최고기온은 2∼8도.

낮	낮/NNG
최고기온은	최고/NNG+기온/NNG+은/JX
2∼8도.	2/SN+∼/SO+8/SN+도/NNB+./SF


# id : NWRW1800000045.179.6.3
이번 추위는 5일까지 계속되다 6일 낮부터 점차 풀릴 것으로 기상청은 내다봤다.

이번	이번/NNG
추위는	추위/NNG+는/JX
5일까지	5/SN+일/NNB+까지/JX
계속되다	계속/NNG+되/XSV+다/EC
6일	6/SN+일/NNB
낮부터	낮/NNG+부터/JX
점차	점차/MAG
풀릴	풀리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기상청은	기상청/NNG+은/JX
내다봤다.	내다보/VV+았/EP+다/EF+./SF


