# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.339
metadata : {}


# id : NWRW1800000033.339.1.1
“불혹 아닌 갈대”… 40代 표심잡기 총력

“불혹	“/SS+불혹/NNG
속의	속/NNG+의/JKG
변화를	변화/NNG+를/JKO
추구하는	추구/NNG+하/XSV+는/ETM
세대다.	세대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.9.2
그동안 박 의원은 안정을, 안 원장은 변화를 상징해 왔는데 안 원장이 책에서 복지, 정의, 평화라는 국정운영 키워드를 던지면서 어느 정도 안정감도 심어준 효과가 있다”고 분석했다.

그동안	그동안/NNG
박	박/NNP
의원은	의원/NNG+은/JX
안정을,	안정/NNG+을/JKO+,/SP
안	안/NNP
원장은	원장/NNG+은/JX
변화를	변화/NNG+를/JKO
상징해	상징/NNG+하/XSV+아/EC
왔는데	오/VX+았/EP+는데/EC
원장이	원장/NNG+이/JKS
책에서	책/NNG+에서/JKB
복지,	복지/NNG+,/SP
정의,	정의/NNG+,/SP
평화라는	평화/NNG+이/VCP+라는/ETM
국정운영	국정/NNG+운영/NNG
키워드를	키워드/NNG+를/JKO
던지면서	던지/VV+면서/EC
어느	어느/MMD
정도	정도/NNG
안정감도	안정감/NNG+도/JX
심어준	심/VV+어/EC+주/VX+ㄴ/ETM
효과가	효과/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.339.10.1
민주통합당은 김용민 후보의 막말 파문과 통합진보당과의 야권연대 등으로 국정을 맡기기에 불안한 세력으로 인식됐고 이는 총선 패배로 이어졌다.

민주통합당은	민주통합당/NNP+은/JX
김용민	김용민/NNP
후보의	후보/NNG+의/JKG
막말	막말/NNG
파문과	파문/NNG+과/JKB
통합진보당과의	통합진보당/NNP+과/JKB+의/JKG
야권연대	야권/NNG+연대/NNG
등으로	등/NNB+으로/JKB
국정을	국정/NNG+을/JKO
맡기기에	맡기/VV+기/ETN+에/JKB
불안한	불안/NNG+하/XSA+ㄴ/ETM
세력으로	세력/NNG+으로/JKB
인식됐고	인식/NNG+되/XSV+었/EP+고/EC
이는	이/NP+는/JX
총선	총선/NNG
패배로	패배/NNG+로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.339.10.2
반면에 안 원장은 아직 국정운영 능력을 놓고 논란이 많지만 국정운영 방향에 대한 자신의 견해를 내놓으며 일단 주목을 끄는 데는 성공하고 있다는 얘기다.

반면에	반면/NNG+에/JKB
안	안/NNP
원장은	원장/NNG+은/JX
아직	아직/MAG
국정운영	국정/NNG+운영/NNG
능력을	능력/NNG+을/JKO
놓고	놓/VV+고/EC
논란이	논란/NNG+이/JKS
많지만	많/VA+지만/EC
방향에	방향/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자신의	자신/NNG+의/JKG
견해를	견해/NNG+를/JKO
내놓으며	내놓/VV+으며/EC
일단	일단/MAG
주목을	주목/NNG+을/JKO
끄는	끌/VV+는/ETM
데는	데/NNB+는/JX
성공하고	성공/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.11.1
하지만 안 원장은 재벌 2, 3세와 벤처기업 최고경영자들의 모임인 ‘브이소사이어티’ 논란이 불거져 지지율이 빠지기도 했다.

하지만	하지만/MAJ
안	안/NNP
원장은	원장/NNG+은/JX
재벌	재벌/NNG
2,	2/SN+,/SP
3세와	3/SN+세/NNB+와/JC
벤처기업	벤처/NNG+기업/NNG
최고경영자들의	최고/NNG+경영자/NNG+들/XSN+의/JKG
모임인	모임/NNG+이/VCP+ㄴ/ETM
‘브이소사이어티’	‘/SS+브이소사이어티/NNG+’/SS
논란이	논란/NNG+이/JKS
불거져	불거지/VV+어/EC
지지율이	지지/NNG+율/XSN+이/JKS
빠지기도	빠지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.339.12.1
박 의원이 준비된 지도자라는 이미지에 ‘변화’ 콘셉트를 더할 수 있느냐, 안 원장이 참신함을 유지하며 ‘안정감’을 각인할 수 있느냐가 40대 표심을 움직이는 중요한 포인트가 될 것이라는 게 전문가들의 분석이다.

박	박/NNP
의원이	의원/NNG+이/JKS
준비된	준비/NNG+되/XSV+ㄴ/ETM
지도자라는	지도자/NNG+이/VCP+라는/ETM
이미지에	이미지/NNG+에/JKB
‘변화’	‘/SS+변화/NNG+’/SS
콘셉트를	콘셉트/NNG+를/JKO
더할	더/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있느냐,	있/VA+느냐/EF+,/SP
안	안/NNP
원장이	원장/NNG+이/JKS
참신함을	참신하/VA+ㅁ/ETN+을/JKO
유지하며	유지/NNG+하/XSV+며/EC
‘안정감’을	‘/SS+안정감/NNG+’/SS+을/JKO
각인할	각인/NNG+하/XSV+ㄹ/ETM
있느냐가	있/VA+느냐/EF+가/JKS
40대	40/SN+대/NNB
표심을	표심/NNG+을/JKO
움직이는	움직이/VV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
포인트가	포인트/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.13.1
○ 40대 민심 잡기 까다롭네

○	○/SW
40대	40/SN+대/NNB
민심	민심/NNG
잡기	잡/VV+기/ETN
까다롭네	까다롭/VA+네/EF


# id : NWRW1800000033.339.14.1
40대는 본인의 주거, 물가, 노후 걱정에 자녀 교육, 부모 봉양까지 각종 생활고의 정점에 서 있는 세대다.

40대는	40/SN+대/NNB+는/JX
본인의	본인/NNG+의/JKG
주거,	주거/NNG+,/SP
물가,	물가/NNG+,/SP
노후	노후/NNG
걱정에	걱정/NNG+에/JKB
자녀	자녀/NNG
교육,	교육/NNG+,/SP
부모	부모/NNG
봉양까지	봉양/NNG+까지/JX
각종	각종/NNG
생활고의	생활고/NNG+의/JKG
정점에	정점/NNG+에/JKB
서	서/VV+어/EC
있는	있/VX+는/ETM
세대다.	세대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.14.2
그러다 보니 현실적이다.

그러다	그러/VV+다/EC
보니	보/VX+니/EC
현실적이다.	현실/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.14.3
또 6·10민주항쟁이 벌어진 1987년 전후에 대학을 다닌 세대라 민주화에 대한 자부심도 크다.

또	또/MAG
6·10민주항쟁이	6/SN+·/SP+10/SN+민주/NNG+항쟁/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
1987년	1987/SN+년/NNB
전후에	전후/NNG+에/JKB
대학을	대학/NNG+을/JKO
다닌	다니/VV+ㄴ/ETM
세대라	세대/NNG+이/VCP+라/EC
민주화에	민주/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
자부심도	자부심/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000033.339.14.4
40대는 경제민주화를 강조하지만 자신의 인생 이모작을 위한 일자리 창출과 성장에도 관심이 많다.

40대는	40/SN+대/NNB+는/JX
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
강조하지만	강조/NNG+하/XSV+지만/EC
자신의	자신/NNG+의/JKG
인생	인생/NNG
이모작을	이모작/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
일자리	일자리/NNG
창출과	창출/NNG+과/JC
성장에도	성장/NNG+에/JKB+도/JX
관심이	관심/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.339.14.5
박 의원 캠프에서는 40대 민심 잡기 전략으로 ‘박근혜가 바뀌네’ ‘박근혜가 바꾸네’라는 슬로건을 내걸었다.

박	박/NNP
의원	의원/NNG
캠프에서는	캠프/NNG+에서/JKB+는/JX
40대	40/SN+대/NNB
민심	민심/NNG
잡기	잡/VV+기/ETN
전략으로	전략/NNG+으로/JKB
‘박근혜가	‘/SS+박근혜/NNP+가/JKS
바뀌네’	바뀌/VV+네/EF+’/SS
바꾸네’라는	바꾸/VV+네/EF+’/SS+이/VCP+라는/ETM
슬로건을	슬로건/NNG+을/JKO
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.339.14.6
박 의원의 약점인 불통 이미지를 깨고 변화를 주도하는 이미지로 나서겠다는 의지다.

박	박/NNP
의원의	의원/NNG+의/JKG
약점인	약점/NNG+이/VCP+ㄴ/ETM
불통	불통/NNG
이미지를	이미지/NNG+를/JKO
깨고	깨/VV+고/EC
변화를	변화/NNG+를/JKO
주도하는	주도/NNG+하/XSV+는/ETM
이미지로	이미지/NNG+로/JKB
나서겠다는	나서/VV+겠/EP+다는/ETM
의지다.	의지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.14.7
주거-교육 정책 개발에 몰두하는 것도 주로 40대를 겨냥한 것이다.

주거-교육	주거/NNG+-/SO+교육/NNG
정책	정책/NNG
개발에	개발/NNG+에/JKB
몰두하는	몰두/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
주로	주로/MAG
40대를	40/SN+대/NNB+를/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.14.8
안 원장도 책에서 보육과 교육, 주거, 건강, 노후, 일자리 등 민생의 각종 정책에 큰 관심을 나타내고 일자리 창출과 복지를 동시에 강조하며 40대에 눈을 맞췄다.

안	안/NNP
원장도	원장/NNG+도/JX
책에서	책/NNG+에서/JKB
보육과	보육/NNG+과/JC
교육,	교육/NNG+,/SP
주거,	주거/NNG+,/SP
건강,	건강/NNG+,/SP
노후,	노후/NNG+,/SP
일자리	일자리/NNG
등	등/NNB
민생의	민생/NNG+의/JKG
각종	각종/NNG
정책에	정책/NNG+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
나타내고	나타내/VV+고/EC
창출과	창출/NNG+과/JC
복지를	복지/NNG+를/JKO
동시에	동시/NNG+에/JKB
강조하며	강조/NNG+하/XSV+며/EC
40대에	40/SN+대/NNB+에/JKB
눈을	눈/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


