# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.367
metadata : {}


# id : NWRW1800000022.367.1.1
장미란 金 셋 '번쩍';전국체전 대전서 개막

장미란	장미란/NNP
최중량급	최중량급/NNG
모든	모든/MMN
종목에서	종목/NNG+에서/JKB
장미란에	장미란/NNP+에/JKB
이은	잇/VV+은/ETM
2위에	2/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.367.4.2
여자 일반부 48㎏급 경기에선 임정화(23·울산시청)가 인상 87㎏을 들어 올리며 자신이 베이징올림픽에서 세웠던 종전 한국기록(86㎏)을 1년2개월 만에 깨뜨리는 등 용상 97㎏, 합계 184㎏으로 3관왕에 올랐다.

여자	여자/NNG
일반부	일반부/NNG
48㎏급	48/SN+㎏/SW+급/NNG
경기에선	경기/NNG+에서/JKB+ㄴ/JX
임정화(23·울산시청)가	임정화/NNP+(/SS+23/SN+·/SP+울산시청/NNP+)/SS+가/JKS
인상	인상/NNG
87㎏을	87/SN+㎏/SW+을/JKO
들어	들/VV+어/EC
올리며	올리/VV+며/EC
자신이	자신/NNG+이/JKS
베이징올림픽에서	베이징/NNP+올림픽/NNG+에서/JKB
세웠던	세우/VV+었/EP+던/ETM
종전	종전/NNG
한국기록(86㎏)을	한국/NNP+기록/NNG+(/SS+86/SN+㎏/SW+)/SS+을/JKO
1년2개월	1/SN+년/NNB+2/SN+개월/NNB
만에	만/NNB+에/JKB
깨뜨리는	깨뜨리/VV+는/ETM
등	등/NNB
용상	용상/NNG
97㎏,	97/SN+㎏/SW+,/SP
합계	합계/NNG
184㎏으로	184/SN+㎏/SW+으로/JKB
3관왕에	3관왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.367.5.1
사이클 남자 일반부 15㎞ 스크래치 경기에선 최종균(25·금산군청)이 1위로 결승선을 통과해 이번 대회 첫 금메달의 주인공이 됐다.

사이클	사이클/NNG
남자	남자/NNG
일반부	일반부/NNG
15㎞	15/SN+㎞/SW
스크래치	스크래치/NNG
경기에선	경기/NNG+에서/JKB+ㄴ/JX
최종균(25·금산군청)이	최종균/NNP+(/SS+25/SN+·/SP+금산군청/NNP+)/SS+이/JKS
1위로	1/SN+위/NNB+로/JKB
결승선을	결승선/NNG+을/JKO
통과해	통과/NNG+하/XSV+아/EC
이번	이번/NNG
대회	대회/NNG
첫	첫/MMN
금메달의	금메달/NNG+의/JKG
주인공이	주인공/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.367.6.1
20일 오후 5시 대전월드컵경기장에서 화려한 개막식을 가진 전국체전은 26일까지 열린다.

20일	20/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
대전월드컵경기장에서	대전월드컵경기장/NNP+에서/JKB
화려한	화려하/VA+ㄴ/ETM
개막식을	개막식/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
전국체전은	전국/NNG+체전/NNG+은/JX
26일까지	26/SN+일/NNB+까지/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.367.6.2
대전에서 전국체전이 개최되는 것은 1960년(41회), 1994년(75회)에 이어 이번이 세 번째다.

대전에서	대전/NNP+에서/JKB
전국체전이	전국/NNG+체전/NNG+이/JKS
개최되는	개최/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
1960년(41회),	1960/SN+년/NNB+(/SS+41/SN+회/NNB+)/SS+,/SP
1994년(75회)에	1994/SN+년/NNB+(/SS+75/SN+회/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
이번이	이번/NNG+이/JKS
세	세/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


